Unnamed: 0,DateTime,Open,High,Low,Close,Volume
0.0,2021-02-17,10.6,10.8,10.5,10.76,209900
1.0,2021-02-18,10.75,10.99,10.63,10.98,287100
2.0,2021-02-19,10.75,10.98,10.73,10.8,165900
3.0,2021-02-22,10.75,10.79,10.6,10.7,220500
4.0,2021-02-23,10.56,10.56,10.05,10.45,162600
5.0,2021-02-24,10.45,10.66,10.33,10.44,104000
6.0,2021-02-25,10.51,10.58,10.2,10.32,130800
7.0,2021-02-26,10.41,10.517,10.22,10.25,150000
8.0,2021-03-01,13.45,15.15,12.71,13.95,40481700
9.0,2021-03-02,14.5,15.15,13.01,13.14,10932300
10.0,2021-03-03,13.8,14.1,12.5,12.59,5236700
11.0,2021-03-04,12.5,12.63,11.06,11.33,6856200
12.0,2021-03-05,12.2,12.55,11.3,12.5,3702600
13.0,2021-03-08,13.03,13.2,11.91,12.0,2489200
14.0,2021-03-09,12.5,12.7,12.06,12.29,1773500
15.0,2021-03-10,12.55,12.96,11.8,12.41,2066300
16.0,2021-03-11,12.81,12.81,12.12,12.41,1985600
17.0,2021-03-12,12.3,12.45,12.04,12.22,1250000
18.0,2021-03-15,12.44,12.58,12.08,12.31,1102500
19.0,2021-03-16,12.35,12.4,11.55,11.87,1552700
20.0,2021-03-17,11.7,12.18,11.5,11.99,1239800
21.0,2021-03-18,11.85,12.04,11.31,11.47,1408800
22.0,2021-03-19,11.508,12.06,11.29,11.6,856600
23.0,2021-03-22,12.25,13.17,12.01,12.51,2589400
24.0,2021-03-23,12.774,12.95,11.91,12.08,1878400
25.0,2021-03-24,12.35,12.39,11.3,11.35,1909900
26.0,2021-03-25,11.13,11.89,10.8,11.89,3111900
27.0,2021-03-26,12.18,12.19,11.36,11.68,1194100
28.0,2021-03-29,12.1,12.6,11.71,11.85,1571100
29.0,2021-03-30,11.71,11.79,11.35,11.4,961600
30.0,2021-03-31,11.47,11.87,11.44,11.84,764600
31.0,2021-04-01,11.95,11.992,11.23,11.48,1147000
32.0,2021-04-05,11.79,11.79,10.92,11.03,1442600
33.0,2021-04-06,11.09,11.09,10.89,10.99,717800
34.0,2021-04-07,11.0,11.32,10.6,10.78,1214200
35.0,2021-04-08,10.79,11.13,10.68,11.11,1018900
36.0,2021-04-09,11.15,11.25,10.9,11.1,791000
37.0,2021-04-12,11.0,11.16,10.7,10.84,676500
38.0,2021-04-13,10.79,10.87,10.6,10.81,719200
39.0,2021-04-14,11.21,11.21,10.64,10.74,731500
40.0,2021-04-15,10.86,10.86,10.5,10.53,996600
41.0,2021-04-16,10.554,11.11,10.27,10.9,1087300
42.0,2021-04-19,11.06,11.06,10.4,10.74,890200
43.0,2021-04-20,10.49,10.79,10.27,10.55,882000
44.0,2021-04-21,10.5,10.79,10.37,10.55,353600
45.0,2021-04-22,10.65,10.69,10.45,10.56,612900
46.0,2021-04-23,10.69,10.85,10.49,10.75,696000
47.0,2021-04-26,10.8,10.8,10.65,10.7,551800
48.0,2021-04-27,10.75,10.82,10.61,10.68,316100
49.0,2021-04-28,10.7,10.71,10.5,10.52,551200
50.0,2021-04-29,10.68,10.7,10.47,10.49,495600
51.0,2021-04-30,10.51,10.535,10.43,10.46,221600
52.0,2021-05-03,10.56,10.64,10.39,10.47,372500
53.0,2021-05-04,10.51,10.51,10.2,10.35,906100
54.0,2021-05-05,10.46,10.468,10.18,10.27,708900
55.0,2021-05-06,10.25,10.27,10.08,10.14,1016300
56.0,2021-05-07,10.1,10.125,9.95,9.99,2091400
57.0,2021-05-10,10.05,10.06,9.86,9.9,1661300
58.0,2021-05-11,9.83,9.97,9.77,9.9,1267200
59.0,2021-05-12,9.92,10.05,9.86,9.92,908200
60.0,2021-05-13,10.0,10.0,9.82,9.91,811900
61.0,2021-05-14,9.97,10.0,9.9,9.94,489600
62.0,2021-05-17,9.85,10.02,9.8,10.0,961400
63.0,2021-05-18,10.02,10.08,9.987,10.01,755500
64.0,2021-05-19,9.9,10.0,9.9,9.99,503000
65.0,2021-05-20,10.03,10.03,9.91,9.96,678800
66.0,2021-05-21,9.95,10.03,9.95,10.0,351100
67.0,2021-05-24,9.98,10.0,9.92,9.94,428100
68.0,2021-05-25,9.94,9.99,9.89,9.9,1029700
69.0,2021-05-26,9.91,9.97,9.89,9.9,1494400
70.0,2021-05-27,9.91,9.91,9.89,9.91,605000
71.0,2021-05-28,9.92,10.08,9.91,9.98,729400
72.0,2021-06-01,10.1,10.195,10.01,10.04,662600
73.0,2021-06-02,10.11,10.123,9.98,10.07,493000
74.0,2021-06-03,10.04,10.17,9.98,10.09,419700
75.0,2021-06-04,10.15,10.27,10.05,10.15,464600
76.0,2021-06-07,10.25,10.29,10.06,10.07,592600
77.0,2021-06-08,10.21,10.6,10.13,10.47,1373300
78.0,2021-06-09,10.86,10.9,10.5,10.63,750400
79.0,2021-06-10,10.66,10.72,10.45,10.52,518800
80.0,2021-06-11,10.55,10.6,10.45,10.47,424300
81.0,2021-06-14,10.55,10.593,10.17,10.22,477800
82.0,2021-06-15,10.44,10.523,10.12,10.35,746400
83.0,2021-06-16,10.35,10.526,10.21,10.27,783200
84.0,2021-06-17,10.35,10.41,10.23,10.34,528200
85.0,2021-06-18,10.36,10.42,10.24,10.4,463100
86.0,2021-06-21,10.45,10.55,10.39,10.41,392300
87.0,2021-06-22,10.48,10.5,10.3,10.35,366700
88.0,2021-06-23,10.35,10.39,10.29,10.31,324900
89.0,2021-06-24,10.32,10.34,10.26,10.29,378800
