,DateTime,Open,High,Low,Close,Volume
0,2006-09-21,14.6,15.6,13.2,15.2,5521860
1,2006-09-22,15.34,17.04,14.76,16.364,1514119
2,2006-09-25,17.5,17.5,16.33,16.72,925908
3,2006-09-26,17.16,17.16,15.79,16.34,879159
4,2006-09-27,16.25,17.6,16.03,17.05,766365
5,2006-09-28,17.4,19.48,16.99,18.65,681208
6,2006-09-29,18.75,19.7,17.6,19.5,992089
7,2006-10-02,19.9,19.9,18.46,18.8,439912
8,2006-10-03,18.55,19.1,18.15,18.75,421574
9,2006-10-04,19.35,19.35,18.75,19.3,496600
10,2006-10-05,19.49,20.19,19.15,19.55,522164
11,2006-10-06,19.55,19.8,18.8,18.9,482453
12,2006-10-09,19.04,19.49,18.8,19.39,169640
13,2006-10-10,20.75,21.2,19.401,19.83,1058310
14,2006-10-11,19.4,19.75,18.4,18.56,565700
15,2006-10-12,18.74,19.33,18.5,18.84,404198
16,2006-10-13,19.2,19.2,17.52,18.05,538439
17,2006-10-16,20.79,21.48,19.57,20.0,3702232
18,2006-10-17,20.0,21.85,19.5,21.6,1591275
19,2006-10-18,22.3,22.76,21.16,22.15,1132612
20,2006-10-19,22.2,22.8399,21.75,21.96,570131
21,2006-10-20,21.76,22.1,20.75,21.8,445982
22,2006-10-23,21.9,22.47,21.52,22.32,488824
23,2006-10-24,22.4,24.0,22.16,23.35,880539
24,2006-10-25,24.02,24.19,22.74,22.8801,762801
25,2006-10-26,23.2,24.05,23.1,23.95,910055
26,2006-10-27,23.25,26.3599,22.45,24.42,2032404
27,2006-10-30,24.46,25.21,23.29,24.27,761769
28,2006-10-31,24.74,25.0,23.8,24.2,436515
29,2006-11-01,24.1,24.67,23.53,23.64,378183
30,2006-11-02,24.0,24.5,23.5,24.48,386648
31,2006-11-03,24.75,25.7,24.47,25.35,642423
32,2006-11-06,25.8,26.6,25.06,25.31,1033600
33,2006-11-07,25.4,25.77,25.25,25.54,367295
34,2006-11-08,26.19,27.5,25.6,26.96,815084
35,2006-11-09,27.9,28.53,27.1001,27.64,811111
36,2006-11-10,27.0,27.25,26.56,26.8,441567
37,2006-11-13,26.79,28.36,25.6,27.94,1147302
38,2006-11-14,28.2,28.99,27.66,28.23,459379
39,2006-11-15,28.73,31.22,28.38,30.4,903753
40,2006-11-16,30.47,30.7,28.2,28.8,985055
41,2006-11-17,28.48,30.24,28.0,29.31,514324
