Unnamed: 0,DateTime,Open,High,Low,Close,Volume
0.0,2000-01-04,145.6875,148.6875,142.5938,143.625,393333
1.0,2000-01-05,143.4375,146.8125,142.125,143.9062,578333
2.0,2000-01-06,143.3438,146.5312,138.75,139.3125,714600
3.0,2000-01-07,138.75,138.75,135.0,137.625,1049867
4.0,2000-01-10,138.2812,154.125,138.1875,151.9688,773067
5.0,2000-01-11,149.0625,153.6562,142.6875,144.9375,593067
6.0,2000-01-12,142.6875,146.4375,141.375,141.375,321867
7.0,2000-01-13,141.5625,149.0625,141.375,147.75,375467
8.0,2000-01-14,148.5468,151.5,145.9688,146.1562,504333
9.0,2000-01-18,146.8125,156.75,145.125,149.5312,323333
10.0,2000-01-19,155.7188,159.5625,149.8125,157.5,864000
11.0,2000-01-20,158.0625,167.625,157.875,165.9375,606133
12.0,2000-01-21,166.125,166.875,161.4375,163.3125,434600
13.0,2000-01-24,163.125,169.6875,162.9375,167.3438,774133
14.0,2000-01-25,166.875,168.6562,157.125,167.5312,633533
15.0,2000-01-26,166.5,167.625,156.0,156.8438,1040133
16.0,2000-01-27,159.0,163.125,155.25,156.9375,478867
17.0,2000-01-28,156.5625,161.8125,150.75,153.0,644267
18.0,2000-01-31,152.25,159.75,151.7812,159.375,346133
19.0,2000-02-01,161.0625,162.0,154.6875,159.375,284267
20.0,2000-02-02,159.1875,165.5625,157.5,165.0,462267
21.0,2000-02-03,166.2188,173.625,164.0625,173.25,493200
22.0,2000-02-04,173.8125,177.9375,172.125,176.25,539467
23.0,2000-02-07,175.6875,179.625,174.75,178.0312,259000
24.0,2000-02-08,178.5,183.1875,178.3125,180.5625,527533
25.0,2000-02-09,177.1875,177.75,176.25,177.0,1948800
26.0,2000-02-10,177.0,181.5,175.5,178.125,995733
27.0,2000-02-11,178.4062,178.875,171.0,177.0,671867
28.0,2000-02-14,175.7812,176.25,167.4375,172.125,302733
29.0,2000-02-15,170.25,173.625,164.4375,170.625,591400
30.0,2000-02-16,169.5,176.0625,168.75,169.3125,280733
31.0,2000-02-17,170.7188,177.0,168.9375,176.0625,427000
32.0,2000-02-18,175.3125,175.4062,168.0,168.75,295400
33.0,2000-02-22,167.25,177.75,166.5,176.8125,486667
34.0,2000-02-23,175.875,182.25,172.3125,179.25,565067
35.0,2000-02-24,179.4375,183.5625,175.125,183.4688,729533
36.0,2000-02-25,183.8438,187.125,182.25,182.5312,751200
37.0,2000-02-28,182.625,182.8125,161.25,174.2812,1027733
38.0,2000-02-29,176.25,181.3125,172.7812,175.5938,533400
39.0,2000-03-01,176.625,180.1875,174.75,177.2812,339400
40.0,2000-03-02,176.7188,180.0,171.375,171.6562,370333
41.0,2000-03-03,174.0,178.5,172.2422,176.3438,332867
42.0,2000-03-06,180.0,183.1875,176.8125,178.2188,435067
43.0,2000-03-07,182.25,187.6875,176.625,182.3438,688267
44.0,2000-03-08,185.625,185.625,175.875,183.375,326933
45.0,2000-03-09,183.0,191.8125,182.8125,191.7188,455267
46.0,2000-03-10,191.3438,195.5625,189.0,190.5938,395600
47.0,2000-03-13,186.375,187.9688,181.125,181.5,330867
48.0,2000-03-14,187.125,192.0,174.0,174.0,676400
49.0,2000-03-15,176.8125,178.5,171.5625,174.0,549067
50.0,2000-03-16,174.0,191.625,172.6875,191.25,653533
51.0,2000-03-17,183.375,202.875,182.8125,198.0,732000
52.0,2000-03-20,199.875,200.3438,184.5938,192.0,548600
53.0,2000-03-21,192.1875,193.5,181.6875,193.5,468267
54.0,2000-03-22,192.9375,200.0625,192.9375,194.9062,297533
55.0,2000-03-23,189.75,200.25,187.125,192.5625,387033
56.0,2000-03-24,196.6875,200.25,194.25,198.0,604500
57.0,2000-03-27,200.625,204.0,192.375,192.375,323600
58.0,2000-03-28,192.9843,198.375,182.8125,183.75,387900
59.0,2000-03-29,184.5,188.625,179.625,183.5625,386133
60.0,2000-03-30,181.125,186.0,166.125,170.625,785100
61.0,2000-03-31,171.0,203.25,167.625,202.6875,1094200
62.0,2000-04-03,189.0,198.75,178.5,180.1875,572033
63.0,2000-04-04,182.25,187.5,165.75,184.3125,661200
64.0,2000-04-05,181.3125,197.8125,172.125,184.875,522000
65.0,2000-04-06,186.1875,194.8125,183.75,192.0,353700
66.0,2000-04-07,193.875,202.5,186.0,201.1875,264267
67.0,2000-04-10,200.8125,201.0,169.3125,170.4375,770667
68.0,2000-04-11,169.5,173.4375,164.8125,167.8125,673067
69.0,2000-04-12,168.75,169.125,155.25,156.1875,462000
70.0,2000-04-13,159.75,165.375,153.4218,154.5,521667
71.0,2000-04-14,152.25,157.3125,145.125,147.9375,706767
72.0,2000-04-17,144.1875,154.875,141.75,152.8125,1068300
73.0,2000-04-18,153.5625,154.5,126.375,148.125,4749767
74.0,2000-04-19,153.0,179.0625,152.625,166.5,2611433
75.0,2000-04-20,165.9375,173.4375,165.5625,168.0,742633
76.0,2000-04-24,167.25,168.375,161.625,164.8125,828000
77.0,2000-04-25,166.6875,177.375,166.5,177.0,487833
78.0,2000-04-26,177.0,178.875,173.25,176.625,524667
79.0,2000-04-27,172.3125,180.75,168.9375,179.8125,511833
80.0,2000-04-28,181.3125,181.5,174.75,180.1875,523500
81.0,2000-05-01,178.6875,179.4375,169.5,171.375,852133
82.0,2000-05-02,171.375,171.375,156.375,157.125,472900
83.0,2000-05-03,165.1875,165.9375,156.75,160.3125,1136967
84.0,2000-05-04,162.0,163.125,161.25,162.1875,761400
85.0,2000-05-05,160.875,165.0,159.0,164.0625,525600
86.0,2000-05-08,163.125,166.6875,160.875,161.25,368733
87.0,2000-05-09,163.875,164.8125,157.5,160.875,445333
88.0,2000-05-10,158.0625,159.0,149.25,150.75,530500
89.0,2000-05-11,152.625,163.3125,150.375,160.125,571833
90.0,2000-05-12,161.625,170.0625,161.625,168.0,716867
91.0,2000-05-15,170.625,177.5625,157.5,176.25,566833
92.0,2000-05-16,176.25,181.5,171.5625,178.125,583600
93.0,2000-05-17,174.0,178.3125,171.5625,174.1875,418667
94.0,2000-05-18,174.375,181.5,174.0,177.0,619400
95.0,2000-05-19,170.625,174.375,163.875,164.0625,469433
96.0,2000-05-22,164.0625,172.875,151.875,172.6875,479567
97.0,2000-05-23,173.625,177.0,165.375,165.375,467400
98.0,2000-05-24,165.375,171.9375,153.375,170.625,579567
99.0,2000-05-25,172.5,179.4375,168.0,169.3125,581133
100.0,2000-05-26,179.8125,181.5,169.5,172.875,668367
101.0,2000-05-30,176.25,180.375,173.4375,180.0,1093600
102.0,2000-05-31,181.1718,192.75,180.9375,190.875,1310767
103.0,2000-06-01,194.25,208.5,194.0625,206.8125,1310833
104.0,2000-06-02,219.75,228.75,210.75,217.5,1240700
105.0,2000-06-05,217.6875,227.25,217.5,225.0,1112167
106.0,2000-06-06,224.8125,231.0,220.875,225.0,892333
107.0,2000-06-07,223.5,225.0,211.6875,224.25,708767
108.0,2000-06-08,228.0,228.0,210.375,214.125,669000
109.0,2000-06-09,215.25,233.625,214.875,229.125,819733
110.0,2000-06-12,229.7814,235.5,222.375,223.125,403333
111.0,2000-06-13,219.1875,229.5,216.75,225.375,594400
