Unnamed: 0,DateTime,Open,High,Low,Close,Volume
0.0,2017-05-15,11.95,12.0,11.41,11.75,575100
1.0,2017-05-16,11.88,12.25,11.62,12.03,247400
2.0,2017-05-17,12.01,12.2,11.61,12.04,263400
3.0,2017-05-18,12.02,12.07,11.76,12.0,312100
4.0,2017-05-19,11.98,12.11,11.67,11.85,166000
5.0,2017-05-22,11.95,12.05,11.75,11.83,244900
6.0,2017-05-23,11.82,12.01,11.73,11.85,149600
7.0,2017-05-24,11.81,12.01,11.72,12.0,190200
8.0,2017-05-25,12.04,12.137,11.74,12.0,284800
9.0,2017-05-26,11.96,12.015,11.77,11.98,412700
10.0,2017-05-30,12.0,12.049,11.84,11.87,436700
11.0,2017-05-31,11.79,11.94,11.3,11.5,328800
12.0,2017-06-01,11.47,12.0,11.468,11.7,171800
13.0,2017-06-02,11.67,11.85,11.63,11.67,124200
14.0,2017-06-05,11.63,11.77,11.5,11.56,167600
15.0,2017-06-06,11.8,11.9,11.44,11.54,571500
16.0,2017-06-07,11.62,11.652,10.08,10.36,738300
17.0,2017-06-08,10.34,10.55,9.895,10.04,534700
18.0,2017-06-09,10.1,10.24,9.93,9.97,437800
19.0,2017-06-12,10.05,10.55,10.05,10.39,401100
20.0,2017-06-13,10.79,11.688,10.52,11.34,558100
21.0,2017-06-14,11.27,11.35,10.9,11.16,370700
22.0,2017-06-15,11.08,11.38,10.56,11.13,243600
23.0,2017-06-16,11.08,11.48,11.0,11.25,379300
24.0,2017-06-19,11.28,11.38,10.9,11.26,172200
25.0,2017-06-20,11.19,11.19,10.6,10.71,205200
26.0,2017-06-21,10.74,11.0,10.501,10.9,143100
27.0,2017-06-22,10.83,11.05,10.11,10.31,242200
28.0,2017-06-23,10.21,10.8,10.21,10.73,1175600
29.0,2017-06-26,10.8,10.89,10.6,10.74,105100
30.0,2017-06-27,10.74,11.5,10.74,11.1,168800
31.0,2017-06-28,11.14,11.97,11.05,11.43,168200
32.0,2017-06-29,11.33,11.86,11.33,11.77,125900
33.0,2017-06-30,11.77,11.9,11.47,11.53,103900
34.0,2017-07-03,11.46,11.81,11.46,11.62,195200
35.0,2017-07-05,11.69,11.69,11.18,11.38,140200
36.0,2017-07-06,11.4,11.96,11.181,11.61,234900
37.0,2017-07-07,11.55,11.73,11.22,11.59,177700
38.0,2017-07-10,11.6,12.01,11.04,11.98,185700
39.0,2017-07-11,11.96,12.2,11.778,12.0,165500
40.0,2017-07-12,12.08,12.1,11.5,11.71,101000
41.0,2017-07-13,11.67,12.0,11.211,11.95,109300
42.0,2017-07-14,11.87,12.24,11.53,12.09,60300
43.0,2017-07-17,12.05,13.45,11.77,12.93,347500
44.0,2017-07-18,13.02,13.16,12.8,12.88,237700
45.0,2017-07-19,12.85,14.0,12.16,13.86,396300
46.0,2017-07-20,14.02,14.067,12.58,12.71,348000
47.0,2017-07-21,12.77,13.055,12.32,12.76,121000
48.0,2017-07-24,12.75,12.89,12.36,12.72,166600
49.0,2017-07-25,12.75,12.9,12.0,12.29,154100
50.0,2017-07-26,12.26,13.0,12.153,12.78,281600
51.0,2017-07-27,12.81,13.422,12.53,12.94,142400
52.0,2017-07-28,12.83,13.38,12.78,13.1,122400
53.0,2017-07-31,13.17,13.24,12.74,13.05,94200
54.0,2017-08-01,13.12,13.12,12.62,12.86,85100
55.0,2017-08-02,12.9,12.92,12.49,12.57,122700
56.0,2017-08-03,12.75,12.84,12.45,12.66,236300
57.0,2017-08-04,12.7,13.51,12.63,13.44,261900
58.0,2017-08-07,13.54,13.8,13.11,13.42,193500
59.0,2017-08-08,13.27,13.45,12.85,12.99,179000
60.0,2017-08-09,12.9,13.25,12.52,12.71,84500
61.0,2017-08-10,12.25,12.58,11.71,12.12,264500
62.0,2017-08-11,12.21,12.74,11.8,11.83,189000
63.0,2017-08-14,11.93,13.09,11.9,12.3,239800
64.0,2017-08-15,12.47,12.47,12.03,12.14,101600
65.0,2017-08-16,12.29,12.63,12.19,12.39,147000
66.0,2017-08-17,12.29,12.45,12.07,12.27,104500
67.0,2017-08-18,12.17,12.91,12.17,12.81,220800
68.0,2017-08-21,12.88,13.35,12.5,13.25,157400
69.0,2017-08-22,13.36,13.57,12.91,13.49,164300
70.0,2017-08-23,13.44,13.78,13.07,13.29,164900
71.0,2017-08-24,13.3,13.865,13.06,13.54,199100
