Unnamed: 0,DateTime,Open,High,Low,Close,Volume
0.0,2016-03-21,2.93,2.97,2.81,2.85,169200
1.0,2016-03-22,2.85,2.96,2.81,2.83,106100
2.0,2016-03-23,2.95,3.15,2.85,2.87,115500
3.0,2016-03-24,2.86,2.936,2.6,2.71,95800
4.0,2016-03-28,2.88,2.929,2.63,2.75,111000
5.0,2016-03-29,2.8,2.82,2.61,2.75,23100
6.0,2016-03-30,2.9,2.96,2.804,2.85,297200
7.0,2016-03-31,2.93,2.95,2.83,2.86,412300
8.0,2016-04-01,2.95,2.96,2.85,2.92,29900
9.0,2016-04-04,2.92,3.04,2.85,3.02,73100
10.0,2016-04-05,3.02,3.25,3.013,3.24,108600
11.0,2016-04-06,3.25,3.28,3.13,3.26,84000
12.0,2016-04-07,3.28,3.4,3.28,3.37,140200
13.0,2016-04-08,3.39,3.39,3.0,3.03,97900
14.0,2016-04-11,3.19,3.19,2.84,2.97,49800
15.0,2016-04-12,3.08,3.14,2.801,2.97,98800
16.0,2016-04-13,3.15,3.32,3.05,3.29,97400
17.0,2016-04-14,3.33,3.33,3.245,3.33,45200
18.0,2016-04-15,3.39,3.4,3.35,3.37,64400
19.0,2016-04-18,3.39,3.4,3.26,3.27,63800
20.0,2016-04-19,3.36,3.4,3.36,3.39,28400
21.0,2016-04-20,3.25,3.4,3.25,3.4,27900
22.0,2016-04-21,3.4,3.42,3.325,3.41,43900
23.0,2016-04-22,3.68,3.68,3.355,3.5,69500
24.0,2016-04-25,3.45,3.5,3.4,3.5,44700
25.0,2016-04-26,3.3,3.45,3.1,3.45,53700
26.0,2016-04-27,3.35,3.465,3.305,3.4,34300
27.0,2016-04-28,3.376,3.45,3.16,3.279,49600
28.0,2016-04-29,3.29,3.45,3.26,3.44,25900
29.0,2016-05-02,3.45,3.5,3.35,3.41,42500
30.0,2016-05-03,3.45,3.45,3.13,3.24,43800
31.0,2016-05-04,3.25,3.39,3.11,3.14,63000
32.0,2016-05-05,3.17,3.33,3.03,3.09,75200
33.0,2016-05-06,3.15,3.34,3.0,3.19,99200
34.0,2016-05-09,3.45,3.45,3.02,3.15,46200
35.0,2016-05-10,3.23,3.3,3.02,3.22,133400
36.0,2016-05-11,3.42,3.43,3.08,3.2,180200
37.0,2016-05-12,3.4,3.4,3.08,3.3,80300
38.0,2016-05-13,3.39,3.4,3.0,3.25,172200
39.0,2016-05-16,3.2,3.37,3.07,3.36,37700
40.0,2016-05-17,3.3,3.33,3.02,3.12,142800
41.0,2016-05-18,3.13,3.33,3.02,3.28,186100
42.0,2016-05-19,3.12,3.44,3.12,3.39,96900
43.0,2016-05-20,3.39,3.5,3.35,3.42,187700
44.0,2016-05-23,3.33,3.5,3.32,3.32,176800
45.0,2016-05-24,3.3,3.5,3.3,3.43,51100
46.0,2016-05-25,3.52,3.75,3.49,3.7,211300
47.0,2016-05-26,3.69,3.75,3.67,3.75,84000
48.0,2016-05-27,3.82,3.82,3.7,3.81,62100
49.0,2016-05-31,3.85,3.85,3.73,3.82,45600
50.0,2016-06-01,3.76,3.88,3.76,3.88,38900
51.0,2016-06-02,3.86,3.96,3.83,3.96,30200
52.0,2016-06-03,3.81,3.86,3.81,3.84,32200
53.0,2016-06-06,3.84,3.9,3.84,3.9,56200
54.0,2016-06-07,3.87,3.9,3.7,3.8,461700
55.0,2016-06-08,3.77,3.88,3.77,3.88,16600
56.0,2016-06-09,4.05,4.05,3.8,3.84,28200
57.0,2016-06-10,3.93,3.93,3.74,3.79,41300
58.0,2016-06-13,3.74,3.86,3.73,3.84,201100
59.0,2016-06-14,3.74,3.86,3.74,3.86,93200
60.0,2016-06-15,3.89,3.89,3.845,3.87,109000
61.0,2016-06-16,3.81,3.88,3.81,3.88,115900
62.0,2016-06-17,3.89,3.89,3.68,3.82,615300
63.0,2016-06-20,3.8,3.88,3.77,3.88,65500
64.0,2016-06-21,3.85,3.88,3.8,3.86,86300
65.0,2016-06-22,3.85,3.865,3.83,3.86,124300
66.0,2016-06-23,3.86,3.88,3.81,3.86,182100
67.0,2016-06-24,3.65,3.86,3.62,3.78,2366500
68.0,2016-06-27,3.8,3.83,3.62,3.82,90800
69.0,2016-06-28,3.82,3.94,3.73,3.92,168600
70.0,2016-06-29,3.9,3.92,3.875,3.92,67700
71.0,2016-06-30,3.92,3.93,3.86,3.93,76000
72.0,2016-07-01,3.87,3.94,3.84,3.94,83100
73.0,2016-07-05,3.98,3.98,3.87,3.95,62100
74.0,2016-07-06,3.95,3.95,3.91,3.95,64800
75.0,2016-07-07,3.95,3.95,3.86,3.88,72800
76.0,2016-07-08,3.88,3.9,3.5,3.67,804700
77.0,2016-07-11,3.67,3.9,3.67,3.78,57100
78.0,2016-07-12,3.78,3.89,3.78,3.86,86500
79.0,2016-07-13,3.89,3.89,3.75,3.81,52900
80.0,2016-07-14,3.85,3.89,3.76,3.8,87200
81.0,2016-07-15,3.8,3.83,3.75,3.78,32200
82.0,2016-07-18,3.76,3.79,3.62,3.64,60900
83.0,2016-07-19,3.6,3.7,3.51,3.63,59600
84.0,2016-07-20,3.62,3.64,3.595,3.62,57600
85.0,2016-07-21,3.62,3.64,3.55,3.56,32400
86.0,2016-07-22,3.6,3.6,3.51,3.54,36100
87.0,2016-07-25,3.47,3.62,3.29,3.31,101800
88.0,2016-07-26,3.29,3.3,3.2,3.26,49000
89.0,2016-07-27,3.22,3.37,3.22,3.36,80300
90.0,2016-07-28,3.31,3.46,3.31,3.42,33200
91.0,2016-07-29,3.4,3.445,3.27,3.32,34600
92.0,2016-08-01,3.32,3.32,3.1,3.12,113600
93.0,2016-08-02,3.07,3.15,3.0,3.0,146500
94.0,2016-08-03,3.0,3.18,3.0,3.17,80000
95.0,2016-08-04,3.18,3.22,3.15,3.15,31800
96.0,2016-08-05,3.18,3.36,3.15,3.19,105700
97.0,2016-08-08,3.17,3.27,3.1,3.1,125400
98.0,2016-08-09,3.15,3.26,3.0,3.0,115300
99.0,2016-08-10,3.3,4.24,3.3,4.06,691800
100.0,2016-08-11,4.12,4.12,3.963,4.07,500700
101.0,2016-08-12,4.1,4.1,3.98,4.04,85200
102.0,2016-08-15,4.08,4.08,3.79,4.0,94300
103.0,2016-08-16,3.95,4.04,3.859,3.96,33800
104.0,2016-08-17,3.99,4.06,3.9,4.03,43000
105.0,2016-08-18,4.1,4.1,3.994,4.03,15500
106.0,2016-08-19,4.02,4.05,3.92,3.97,49100
107.0,2016-08-22,3.99,4.06,3.99,4.06,38100
108.0,2016-08-23,4.06,4.07,4.02,4.07,35400
109.0,2016-08-24,4.03,4.05,4.0,4.0,30400
110.0,2016-08-25,4.02,4.04,3.93,3.98,17900
111.0,2016-08-26,4.03,4.05,3.95,3.98,12900
112.0,2016-08-29,4.02,4.05,3.96,4.04,53800
113.0,2016-08-30,4.0,4.04,3.92,4.0,11000
114.0,2016-08-31,4.0,4.04,3.93,4.0,28100
115.0,2016-09-01,4.03,4.04,3.79,3.92,65900
116.0,2016-09-02,3.96,3.97,3.86,3.9,15100
117.0,2016-09-06,3.95,4.05,3.94,4.05,121800
118.0,2016-09-07,4.04,4.05,4.016,4.04,88700
119.0,2016-09-08,4.1,4.1,3.89,3.9,582000
120.0,2016-09-09,3.92,3.98,3.86,3.86,64100
121.0,2016-09-12,3.99,4.04,3.9,4.0,99500
