,DateTime,Open,High,Low,Close,Volume
0,2000-01-03,99.88,105.0,97.5,103.38,409100
1,2000-01-04,102.44,102.44,92.5,94.5,544000
2,2000-01-05,95.13,99.25,90.13,95.38,525900
3,2000-01-06,95.88,104.0,95.88,103.0,654400
4,2000-01-07,104.94,118.0,103.5,117.69,1015500
5,2000-01-10,120.0,123.44,114.38,120.13,992400
6,2000-01-11,117.88,128.0,117.31,122.94,767200
7,2000-01-12,122.88,122.88,114.44,117.0,490400
8,2000-01-13,119.0,121.38,116.5,120.13,432500
9,2000-01-14,121.0,130.0,120.88,126.06,720900
10,2000-01-18,126.5,131.19,126.0,130.88,343400
11,2000-01-19,129.13,134.38,126.0,127.13,532100
12,2000-01-20,133.13,143.88,128.0,140.38,1094400
13,2000-01-21,141.81,157.0,137.63,154.75,872400
14,2000-01-24,150.94,158.5,146.94,150.0,857200
15,2000-01-25,151.5,151.56,135.0,145.25,628100
16,2000-01-26,144.19,151.5,144.0,148.38,219400
17,2000-01-27,147.75,148.0,138.75,143.25,190100
18,2000-01-28,141.88,144.25,131.0,138.0,249000
19,2000-01-31,135.94,140.75,125.75,140.75,508200
20,2000-02-01,140.5,150.0,133.5,149.94,434000
21,2000-02-02,144.63,148.5,140.44,147.31,355200
22,2000-02-03,147.75,147.88,137.63,140.13,360600
23,2000-02-04,142.31,145.56,136.5,137.06,411800
24,2000-02-07,138.0,151.75,137.13,142.5,523200
25,2000-02-08,139.0,143.5,137.5,141.81,541300
26,2000-02-09,142.13,144.5,140.0,142.19,833300
27,2000-02-10,143.56,148.91,137.0,145.0,844700
28,2000-02-11,147.0,147.0,139.88,139.88,244600
29,2000-02-14,142.38,142.5,137.13,141.88,385600
30,2000-02-15,149.0,150.5,144.13,149.63,862200
31,2000-02-16,149.75,165.0,147.0,160.63,1557300
32,2000-02-17,162.25,175.06,156.0,171.0,1078400
33,2000-02-18,174.94,178.38,162.75,166.06,1013300
34,2000-02-22,167.38,167.5,153.75,160.0,530800
35,2000-02-23,161.38,175.25,161.38,174.44,793500
36,2000-02-24,174.63,187.0,170.5,184.5,1613200
37,2000-02-25,189.13,210.0,185.0,196.88,1599800
38,2000-02-28,97.0,99.38,92.0,97.75,1283100
39,2000-02-29,98.31,106.0,98.25,101.34,1141100
40,2000-03-01,101.13,117.25,100.5,113.31,1654700
41,2000-03-02,117.44,122.0,115.0,120.0,1712800
42,2000-03-03,121.5,126.81,120.75,124.38,1503300
43,2000-03-06,122.88,125.0,111.0,114.06,1604100
44,2000-03-07,111.5,112.94,92.75,93.94,1964600
45,2000-03-08,97.88,107.0,94.0,102.0,2044900
46,2000-03-09,103.5,107.0,102.38,104.38,955100
47,2000-03-10,106.25,114.25,103.75,112.13,1427900
48,2000-03-13,102.94,109.5,97.38,101.31,845600
49,2000-03-14,101.0,102.25,92.0,92.81,845400
50,2000-03-15,96.75,96.75,81.5,93.25,1362500
51,2000-03-16,98.0,98.0,85.0,95.0,803000
52,2000-03-17,88.5,94.5,88.0,90.44,430400
53,2000-03-20,90.25,91.63,84.38,86.5,461300
54,2000-03-21,85.63,92.56,76.0,91.25,1319700
55,2000-03-22,92.25,100.13,92.25,93.44,950600
56,2000-03-23,94.25,99.88,89.5,91.44,412800
57,2000-03-24,93.0,97.0,89.5,93.5,479600
58,2000-03-27,95.06,97.25,90.75,91.06,321600
59,2000-03-28,92.81,93.0,85.0,85.31,393600
60,2000-03-29,86.88,87.5,76.63,77.06,997700
61,2000-03-30,76.25,77.5,59.5,68.5,1955800
62,2000-03-31,70.13,74.5,70.06,72.81,1495700
63,2000-04-03,71.5,74.0,65.0,68.0,670600
64,2000-04-04,69.0,69.25,57.75,66.97,2013900
65,2000-04-05,64.06,82.0,63.25,74.94,1332000
66,2000-04-06,77.38,80.0,75.0,77.0,1238300
67,2000-04-07,77.56,81.0,77.0,80.44,594900
68,2000-04-10,80.5,82.75,78.25,80.25,945600
69,2000-04-11,77.0,80.94,74.75,78.5,602500
70,2000-04-12,76.0,77.94,67.5,68.69,1552400
71,2000-04-13,84.0,89.75,76.28,85.0,3539300
72,2000-04-14,79.56,83.0,69.25,71.19,1734800
73,2000-04-17,69.38,76.88,69.0,70.56,1031500
74,2000-04-18,76.0,87.5,74.5,84.0,1720300
75,2000-04-19,86.5,97.38,82.88,91.63,1186400
76,2000-04-20,92.94,92.94,82.06,89.25,963500
77,2000-04-24,83.25,88.0,82.5,85.75,439700
78,2000-04-25,87.13,93.63,87.0,90.0,725600
79,2000-04-26,91.25,93.63,87.0,87.44,462400
80,2000-04-27,84.75,89.63,84.25,87.31,594700
81,2000-04-28,88.63,95.75,88.0,91.97,846900
82,2000-05-01,93.31,103.0,93.06,102.31,759400
83,2000-05-02,99.25,102.0,93.5,95.75,706800
84,2000-05-03,93.5,93.56,89.63,93.0,418600
85,2000-05-04,94.38,101.0,92.06,100.81,748500
86,2000-05-05,100.13,103.5,97.19,102.81,591200
87,2000-05-08,101.5,109.75,100.44,104.0,869000
88,2000-05-09,102.88,107.0,100.88,107.0,653500
89,2000-05-10,105.44,105.44,94.13,97.5,374100
90,2000-05-11,99.25,101.88,94.0,100.19,350000
91,2000-05-12,101.56,106.13,101.56,102.0,224400
92,2000-05-15,104.94,105.0,97.44,103.0,218500
93,2000-05-16,104.06,109.88,104.06,109.75,710200
94,2000-05-17,106.0,110.75,105.0,108.0,377300
95,2000-05-18,108.0,109.56,105.0,106.5,509800
96,2000-05-19,103.19,105.13,98.75,100.13,723100
97,2000-05-22,98.5,99.5,90.88,93.25,648700
98,2000-05-23,92.75,96.94,89.75,90.0,463700
99,2000-05-24,88.56,88.56,81.0,87.5,1034000
100,2000-05-25,88.47,93.75,88.44,90.75,443900
101,2000-05-26,89.25,93.5,89.25,91.19,471900
102,2000-05-30,93.75,95.94,92.25,94.25,443000
103,2000-05-31,96.06,97.0,93.94,95.63,343800
104,2000-06-01,98.25,101.94,96.5,100.25,398900
105,2000-06-02,103.38,112.0,102.75,107.88,2172100
106,2000-06-05,108.19,118.5,108.0,116.88,1259300
107,2000-06-06,118.0,118.0,109.56,111.0,970700
108,2000-06-07,111.31,115.0,109.25,111.06,848200
109,2000-06-08,110.94,114.31,109.5,112.0,376600
110,2000-06-09,114.38,117.38,113.75,116.5,1007000
111,2000-06-12,111.94,112.06,99.38,99.88,1234000
112,2000-06-13,102.13,105.0,100.88,105.0,953300
113,2000-06-14,105.75,107.0,99.5,100.13,880000
114,2000-06-15,101.0,105.5,99.13,105.25,659700
115,2000-06-16,107.0,108.0,104.5,107.16,926000
116,2000-06-19,108.5,118.25,107.19,118.25,1277000
117,2000-06-20,116.38,119.5,112.0,115.69,1142200
118,2000-06-21,115.94,118.5,112.88,117.06,676700
119,2000-06-22,116.94,117.0,110.0,110.13,485400
120,2000-06-23,112.69,114.88,110.5,112.13,461200
121,2000-06-26,113.5,119.19,110.63,115.88,449900
122,2000-06-27,115.13,117.63,112.31,115.63,353200
123,2000-06-28,116.06,125.0,114.0,123.0,1490900
124,2000-06-29,122.19,123.5,115.25,117.06,948000
125,2000-06-30,117.75,121.56,116.06,120.63,508800
126,2000-07-03,120.75,128.63,118.88,125.75,507600
127,2000-07-05,126.38,131.88,124.5,130.63,1015700
128,2000-07-06,129.5,139.0,128.13,137.38,1717100
129,2000-07-07,137.25,140.0,132.38,135.63,782300
130,2000-07-10,134.94,135.5,131.5,134.5,893800
131,2000-07-11,133.81,138.25,131.69,133.13,545400
132,2000-07-12,135.63,137.91,129.13,133.0,472600
133,2000-07-13,135.75,136.19,126.81,129.75,1126100
134,2000-07-14,131.38,134.0,125.0,133.75,515200
135,2000-07-17,131.63,134.75,129.13,131.25,974400
136,2000-07-18,132.0,133.0,128.5,130.0,351500
137,2000-07-19,131.63,131.63,125.0,125.0,498700
138,2000-07-20,127.0,129.13,123.0,125.13,647100
139,2000-07-21,125.44,131.0,124.19,129.81,611900
140,2000-07-24,128.0,130.0,118.94,120.19,664400
141,2000-07-25,121.13,124.0,114.38,116.44,782500
142,2000-07-26,115.94,128.38,112.06,126.44,1158100
143,2000-07-27,125.5,128.94,119.38,123.5,378800
144,2000-07-28,120.03,122.44,107.5,108.88,1122300
145,2000-07-31,107.5,109.47,104.19,105.5,912600
146,2000-08-01,106.81,120.97,105.5,119.63,983500
147,2000-08-02,118.63,125.75,117.94,123.06,695600
148,2000-08-03,118.13,127.13,117.06,126.5,503200
149,2000-08-04,126.06,127.25,121.25,124.5,319200
150,2000-08-07,127.19,131.5,123.5,130.19,731100
151,2000-08-08,129.25,130.75,126.75,129.5,484900
152,2000-08-09,129.44,137.5,92.38,106.0,14639400
153,2000-08-10,107.5,110.5,92.0,94.5,8363000
154,2000-08-11,93.63,99.31,93.13,98.0,2014300
155,2000-08-14,98.06,99.13,95.81,97.31,693100
156,2000-08-15,97.5,98.31,94.31,96.31,910500
157,2000-08-16,96.0,98.25,95.75,96.13,896400
158,2000-08-17,96.28,98.13,92.25,94.0,658000
159,2000-08-18,94.25,95.75,92.5,93.03,1007400
160,2000-08-21,93.0,101.88,90.5,100.38,1241900
161,2000-08-22,101.25,105.25,98.0,99.69,1009300
162,2000-08-23,99.66,101.0,96.5,97.25,380900
163,2000-08-24,99.13,103.94,97.75,102.94,599100
164,2000-08-25,104.0,105.72,103.25,105.72,459800
165,2000-08-28,105.75,108.0,104.38,106.13,634200
166,2000-08-29,107.0,108.94,105.75,108.63,536800
167,2000-08-30,107.81,110.0,105.06,109.63,601200
168,2000-08-31,109.63,112.25,107.25,110.06,463300
169,2000-09-01,111.44,114.13,110.56,112.88,368000
170,2000-09-05,113.81,113.81,105.75,106.31,846500
171,2000-09-06,107.81,108.25,98.06,99.0,1462200
172,2000-09-07,100.38,103.0,97.38,101.0,1030100
173,2000-09-08,101.56,104.0,99.5,102.25,610000
174,2000-09-11,102.0,103.06,100.0,101.88,505400
175,2000-09-12,102.25,103.25,101.0,101.5,382200
176,2000-09-13,100.88,103.44,100.75,101.88,294100
177,2000-09-14,102.91,108.69,102.88,107.63,972500
178,2000-09-15,106.0,109.5,104.5,105.31,882900
179,2000-09-18,105.31,106.75,99.06,100.0,698600
180,2000-09-19,100.0,103.5,99.56,102.13,2066600
181,2000-09-20,102.63,103.5,99.5,100.38,517800
182,2000-09-21,100.38,104.0,99.0,102.0,607900
183,2000-09-22,100.0,114.0,99.5,111.94,1683700
184,2000-09-25,113.5,119.0,112.44,116.56,1003600
185,2000-09-26,117.25,117.63,112.56,116.13,873200
186,2000-09-27,116.5,118.0,113.88,117.25,1049400
187,2000-09-28,117.19,122.38,116.5,122.0,646700
188,2000-09-29,121.97,123.13,119.75,122.63,494100
189,2000-10-02,122.97,124.63,117.75,119.88,491000
190,2000-10-03,119.66,122.25,116.0,116.69,395500
191,2000-10-04,117.0,117.63,111.5,114.44,565800
192,2000-10-05,114.0,119.5,114.0,117.5,717800
193,2000-10-06,117.75,120.5,112.63,114.69,540500
194,2000-10-09,114.88,114.88,107.56,109.75,409500
195,2000-10-10,110.75,117.5,110.31,113.06,484400
196,2000-10-11,112.5,115.0,109.31,109.56,620200
197,2000-10-12,116.31,116.38,105.0,112.94,2358400
198,2000-10-13,111.56,116.5,109.0,115.88,756700
199,2000-10-16,116.03,120.5,110.5,111.19,2033300
200,2000-10-17,113.63,118.0,113.06,115.16,840300
201,2000-10-18,114.31,121.75,110.5,120.88,944400
202,2000-10-19,81.5,89.75,70.75,87.03,14759000
203,2000-10-20,83.94,85.75,79.63,82.69,2239800
204,2000-10-23,81.38,85.75,80.0,85.5,1694500
205,2000-10-24,86.31,89.5,81.88,81.88,1361700
206,2000-10-25,81.56,83.0,77.5,79.94,1363200
207,2000-10-26,80.63,80.63,71.5,71.75,1944500
208,2000-10-27,73.69,76.5,69.38,70.06,1401300
209,2000-10-30,70.44,71.25,63.0,64.44,2419000
210,2000-10-31,64.44,71.69,63.38,68.25,1352800
211,2000-11-01,70.0,73.69,68.75,72.69,1176100
212,2000-11-02,74.44,75.75,66.69,67.25,1264600
213,2000-11-03,67.88,68.0,65.38,67.19,1476800
214,2000-11-06,67.56,71.75,67.5,70.0,1217500
215,2000-11-07,70.44,74.16,68.13,73.0,512400
216,2000-11-08,75.66,80.5,73.25,73.44,1092400
217,2000-11-09,73.31,73.75,68.0,71.88,536400
218,2000-11-10,70.5,72.75,69.19,69.88,340500
219,2000-11-13,67.5,69.38,62.25,69.13,1380100
220,2000-11-14,70.0,71.38,68.75,69.88,1305600
221,2000-11-15,70.06,73.0,69.5,71.5,1202600
222,2000-11-16,71.63,72.75,68.5,69.88,570800
223,2000-11-17,70.63,72.13,68.0,69.94,715500
224,2000-11-20,68.88,68.88,63.5,64.75,1350800
225,2000-11-21,68.91,68.94,63.63,65.0,1447500
226,2000-11-22,64.75,66.13,61.5,63.06,1440800
227,2000-11-24,63.63,67.0,63.13,67.0,349300
228,2000-11-27,68.13,77.13,67.81,76.5,1368500
229,2000-11-28,74.94,75.63,69.25,69.56,626400
230,2000-11-29,70.56,74.44,69.5,70.13,1240600
231,2000-11-30,69.75,73.75,67.31,73.06,1159300
232,2000-12-01,73.06,81.5,72.75,81.0,1558000
233,2000-12-04,79.56,80.5,71.56,73.56,1164300
234,2000-12-05,77.06,79.75,75.13,76.81,852700
235,2000-12-06,76.75,78.81,75.44,75.47,814000
236,2000-12-07,76.88,76.94,71.25,73.88,902800
237,2000-12-08,74.88,80.13,74.56,79.94,721400
238,2000-12-11,80.94,87.0,78.0,83.5,1197700
239,2000-12-12,83.0,83.38,78.56,80.38,650200
240,2000-12-13,80.03,83.81,80.0,81.63,884200
241,2000-12-14,81.38,85.5,79.63,82.5,671900
242,2000-12-15,77.69,78.25,65.63,74.75,2249700
243,2000-12-18,74.13,78.38,73.0,76.19,784100
244,2000-12-19,75.75,79.5,71.63,73.06,909200
245,2000-12-20,72.0,72.88,67.88,69.63,863500
246,2000-12-21,68.5,73.5,67.75,73.0,1325200
247,2000-12-22,73.44,76.5,68.0,71.88,716400
248,2000-12-26,72.25,74.38,69.0,71.94,623200
249,2000-12-27,71.75,74.0,70.56,73.19,449700
250,2000-12-28,72.66,76.34,72.56,75.06,793100
251,2000-12-29,74.81,80.25,74.69,80.13,1296200
252,2001-01-02,79.75,81.88,76.0,76.38,989400
253,2001-01-03,75.5,77.44,67.25,76.06,1581400
254,2001-01-04,75.81,78.5,70.75,73.06,954200
255,2001-01-05,72.06,72.63,66.31,68.38,2418200
256,2001-01-08,67.75,68.13,64.25,67.44,1651300
257,2001-01-09,67.0,69.13,64.63,69.06,842100
258,2001-01-10,68.63,70.63,67.0,69.94,664500
259,2001-01-11,68.0,72.25,66.38,71.63,645800
260,2001-01-12,70.06,72.56,68.19,70.88,763000
261,2001-01-16,70.25,74.72,69.88,74.13,663900
262,2001-01-17,74.69,76.63,69.0,70.13,561100
263,2001-01-18,70.13,70.75,67.25,67.5,1530100
264,2001-01-19,68.19,70.0,66.25,68.75,1146200
265,2001-01-22,69.06,73.0,69.06,71.38,1278300
266,2001-01-23,71.19,76.19,68.63,74.88,1409600
267,2001-01-24,75.44,78.19,73.88,76.56,1397200
268,2001-01-25,76.63,77.0,71.25,73.44,961200
269,2001-01-26,69.56,70.88,64.88,70.63,2890200
270,2001-01-29,71.5,73.25,69.5,71.56,706400
271,2001-01-30,70.5,71.25,68.0,69.0,738600
272,2001-01-31,68.0,69.25,66.0,66.0,657300
273,2001-02-01,66.13,67.19,61.75,63.38,1371900
274,2001-02-02,63.69,63.88,56.75,57.06,1658700
275,2001-02-05,57.31,64.44,55.0,64.19,1927100
276,2001-02-06,64.75,68.5,63.5,64.06,1538700
277,2001-02-07,63.41,66.34,61.63,62.19,697300
278,2001-02-08,63.19,66.56,62.25,65.88,782200
279,2001-02-09,64.94,66.25,62.56,65.63,596500
280,2001-02-12,64.63,67.75,64.25,66.25,605600
281,2001-02-13,66.13,67.75,63.38,64.94,665900
282,2001-02-14,65.56,65.63,63.0,65.19,786300
283,2001-02-15,65.38,67.0,64.25,64.94,548600
284,2001-02-16,55.0,60.88,54.88,58.06,6516000
285,2001-02-20,58.06,61.0,58.0,60.19,841100
286,2001-02-21,58.63,59.0,56.13,56.5,1213400
287,2001-02-22,56.38,56.44,52.25,55.88,1405000
288,2001-02-23,54.41,56.5,53.5,56.5,770100
289,2001-02-26,56.25,57.0,54.31,54.56,1127600
290,2001-02-27,54.63,56.44,53.0,53.5,955800
291,2001-02-28,53.5,55.13,50.63,51.94,1034700
292,2001-03-01,50.63,51.0,44.81,47.81,5216000
293,2001-03-02,45.75,47.5,44.31,45.25,3800500
294,2001-03-05,44.38,46.38,44.03,44.88,1870600
295,2001-03-06,45.0,46.63,43.56,45.19,1140000
296,2001-03-07,45.0,45.38,40.5,42.63,2384300
297,2001-03-08,42.0,42.72,39.25,39.63,2595700
298,2001-03-09,39.0,40.47,38.0,39.38,2048900
299,2001-03-12,38.13,39.5,34.13,35.25,2951300
300,2001-03-13,35.06,40.94,34.0,40.72,3061000
301,2001-03-14,37.88,41.88,36.75,38.06,1181700
302,2001-03-15,40.5,41.13,35.38,35.81,1490500
303,2001-03-16,36.13,36.63,32.25,33.38,1368300
304,2001-03-19,33.81,33.88,30.06,31.63,1887600
305,2001-03-20,32.31,33.25,30.5,30.56,2246400
306,2001-03-21,29.88,30.63,26.75,28.0,2971200
307,2001-03-22,27.75,28.81,24.81,28.34,3258600
308,2001-03-23,29.0,31.13,28.0,30.0,1937700
309,2001-03-26,31.1,33.65,31.0,32.69,1951200
310,2001-03-27,33.0,34.2,32.0,33.5,2178500
311,2001-03-28,33.27,33.49,32.25,33.02,1049200
312,2001-03-29,32.63,34.55,31.95,32.75,1692000
313,2001-03-30,32.88,33.14,31.84,31.99,1180500
314,2001-04-02,32.25,32.45,30.0,31.02,1683200
315,2001-04-03,30.2,30.8,29.84,30.08,999700
316,2001-04-04,29.95,30.5,29.5,29.99,1558000
317,2001-04-05,30.42,32.25,30.29,32.25,1666800
318,2001-04-06,32.04,34.42,31.45,32.9,841500
319,2001-04-09,33.4,35.24,33.15,34.4,907400
320,2001-04-10,35.38,37.96,35.31,37.95,1332400
321,2001-04-11,40.0,40.45,36.15,36.22,1340100
322,2001-04-12,36.0,40.54,35.86,40.19,1241900
323,2001-04-16,40.0,40.35,37.18,38.02,909700
324,2001-04-17,38.24,40.31,37.75,39.95,779400
325,2001-04-18,42.0,46.0,40.0,43.5,1377600
326,2001-04-19,43.98,46.2,43.95,46.0,1165400
327,2001-04-20,45.95,45.96,41.72,42.66,1679300
328,2001-04-23,39.53,39.6,31.34,34.39,5321800
329,2001-04-24,32.32,32.5,26.25,26.93,7940200
330,2001-04-25,27.21,29.25,27.15,28.05,4684400
331,2001-04-26,28.01,28.94,27.55,28.06,2514500
332,2001-04-27,28.34,28.4,25.0,26.33,1933500
333,2001-04-30,27.64,28.1,25.97,26.36,1930500
334,2001-05-01,26.52,26.55,24.39,25.0,1516800
335,2001-05-02,24.65,25.62,23.5,25.5,3083300
336,2001-05-03,24.86,25.4,24.21,24.54,1164100
337,2001-05-04,23.69,26.3,23.45,26.23,2345300
338,2001-05-07,25.74,26.83,25.33,25.69,1735200
339,2001-05-08,25.9,27.44,25.67,27.1,1775700
340,2001-05-09,27.91,30.7,27.69,30.5,3268600
341,2001-05-10,31.01,31.29,29.95,30.05,2711400
342,2001-05-11,29.75,32.25,28.5,28.74,1748800
343,2001-05-14,27.98,28.4,27.04,27.39,1135100
344,2001-05-15,27.67,28.95,27.38,28.39,1009200
345,2001-05-16,28.1,30.2,27.9,29.99,1092000
346,2001-05-17,30.02,34.35,29.75,33.65,2314100
347,2001-05-18,33.61,33.61,32.05,32.99,1897600
348,2001-05-21,33.04,35.49,32.46,35.11,1873100
349,2001-05-22,35.31,35.42,33.84,35.01,1454500
350,2001-05-23,34.99,35.1,33.89,34.21,802300
351,2001-05-24,34.4,36.35,34.2,36.28,778300
352,2001-05-25,36.5,36.68,34.5,35.45,371500
353,2001-05-29,35.35,35.4,34.85,35.1,543500
354,2001-05-30,34.5,34.7,32.6,32.63,494900
355,2001-05-31,32.87,33.99,32.63,33.32,769400
356,2001-06-01,33.45,33.99,32.62,33.58,492200
357,2001-06-04,32.8,34.75,32.7,33.81,650000
358,2001-06-05,33.86,36.1,33.85,34.14,861300
359,2001-06-06,36.3,36.44,34.8,35.62,1071300
360,2001-06-07,35.77,37.53,35.5,36.39,1739100
361,2001-06-08,36.25,37.13,35.7,36.5,1145700
362,2001-06-11,36.5,36.51,33.0,34.66,1021000
363,2001-06-12,34.45,34.52,31.6,34.08,1098600
364,2001-06-13,34.2,35.76,33.91,35.05,1050500
365,2001-06-14,34.98,35.0,33.45,33.66,729000
366,2001-06-15,32.88,34.8,32.88,34.26,532200
367,2001-06-18,34.27,35.0,32.82,33.04,393200
368,2001-06-19,33.74,33.9,31.99,32.9,541100
369,2001-06-20,32.98,36.35,32.95,36.35,1085000
370,2001-06-21,35.55,37.58,35.54,36.1,997800
371,2001-06-22,35.65,36.64,34.06,36.09,779400
372,2001-06-25,35.65,36.06,34.26,35.19,449600
373,2001-06-26,34.75,35.77,34.27,34.81,342900
374,2001-06-27,34.7,36.1,34.15,35.65,543900
375,2001-06-28,35.6,39.35,35.6,37.76,1752600
376,2001-06-29,37.4,40.26,37.24,39.72,1071000
377,2001-07-02,39.29,39.59,37.99,38.8,610900
378,2001-07-03,38.66,40.7,38.19,40.55,479400
379,2001-07-05,39.96,40.35,39.7,40.0,998600
380,2001-07-06,39.74,39.8,37.75,39.47,964400
381,2001-07-09,39.22,40.48,38.64,39.72,571600
382,2001-07-10,39.85,39.95,37.45,38.22,659300
383,2001-07-11,37.93,38.72,37.5,37.88,547700
384,2001-07-12,38.23,38.37,36.5,36.98,683200
385,2001-07-13,36.99,39.74,36.98,38.91,635600
