,DateTime,Open,High,Low,Close,Volume
0,2006-09-29,15.5,16.73,15.01,15.51,8402825
1,2006-10-02,15.69,15.69,15.4,15.47,715488
2,2006-10-03,15.5,15.5,14.06,14.36,1750715
3,2006-10-04,14.27,14.56,14.06,14.06,556596
4,2006-10-05,14.05,14.18,13.18,13.54,948945
5,2006-10-06,13.55,13.55,12.32,12.6,726653
6,2006-10-09,12.62,13.2,12.51,12.88,491386
7,2006-10-10,12.8,13.0,12.5,12.65,247263
8,2006-10-11,12.65,12.96,12.5,12.7091,312113
9,2006-10-12,12.69,13.39,12.65,12.9,596014
10,2006-10-13,12.9,12.92,12.75,12.8,174847
11,2006-10-16,12.8,12.86,12.74,12.75,271280
12,2006-10-17,12.7,12.94,12.52,12.88,203483
13,2006-10-18,12.892,12.9,12.8,12.8,88250
14,2006-10-19,12.86,12.9,12.68,12.81,145522
15,2006-10-20,12.75,12.9,12.75,12.9,90579
16,2006-10-23,13.01,13.37,13.0,13.23,261745
17,2006-10-24,13.3,13.45,13.2,13.31,61979
18,2006-10-25,13.6,13.72,13.25,13.34,200697
19,2006-10-26,13.49,13.5,13.2,13.4,93215
20,2006-10-27,13.3,13.9,13.25,13.35,164351
21,2006-10-30,13.65,13.65,13.22,13.223,46928
22,2006-10-31,13.4,13.4,13.0,13.06,90308
23,2006-11-01,13.05,13.1,12.68,12.7,209360
24,2006-11-02,12.7,12.75,12.1,12.5,319758
25,2006-11-03,12.58,12.58,12.3,12.35,57290
26,2006-11-06,12.38,12.55,12.25,12.26,182175
27,2006-11-07,12.3,12.44,12.05,12.1,152906
28,2006-11-08,12.34,13.32,12.34,13.14,1165407
29,2006-11-09,13.1,14.44,13.1,14.01,866972
30,2006-11-10,14.0,14.73,13.93,14.6,439142
31,2006-11-13,14.76,15.01,14.56,14.95,155106
32,2006-11-14,15.14,15.58,15.09,15.4,322008
33,2006-11-15,15.63,15.76,14.6,14.62,215935
34,2006-11-16,14.58,14.58,14.0,14.29,72019
35,2006-11-17,14.26,14.69,14.11,14.55,133678
36,2006-11-20,14.55,14.67,14.5,14.67,26226
37,2006-11-21,14.68,15.0,14.61,15.0,79960
38,2006-11-22,15.0,15.25,14.9,15.23,54987
39,2006-11-24,15.24,15.63,15.1,15.2,79038
40,2006-11-27,15.23,15.23,14.75,14.84,150493
41,2006-11-28,15.14,15.5,14.94,15.4,172573
42,2006-11-29,15.42,15.42,15.1,15.15,75745
43,2006-11-30,15.12,15.38,15.1,15.33,51340
44,2006-12-01,15.5,15.73,15.18,15.7,125784
45,2006-12-04,15.7,16.26,15.57,15.6,255581
46,2006-12-05,15.61,15.84,15.15,15.2,67833
47,2006-12-06,15.12,15.13,14.8,14.95,86187
48,2006-12-07,15.11,15.11,14.9,14.9,117952
49,2006-12-08,14.951,15.05,14.8,14.94,56301
50,2006-12-11,14.98,15.35,14.98,15.15,175482
51,2006-12-12,15.15,15.15,14.66,14.72,113428
52,2006-12-13,14.95,15.09,14.76,14.9,270383
53,2006-12-14,14.89,15.0,14.6601,14.8,94880
54,2006-12-15,14.74,15.31,14.7,14.85,292587
55,2006-12-18,14.85,15.05,14.65,14.78,142125
56,2006-12-19,14.8,14.91,14.6,14.87,138840
