,DateTime,Open,High,Low,Close,Volume
0,2010-09-17,167.5,185.0,157.52,181.72,1370585
1,2010-09-20,181.65,181.75,165.5,167.38,379644
2,2010-09-21,170.575,178.95,166.57,168.6,208717
3,2010-09-22,168.75,172.38,164.77,167.22,122413
4,2010-09-23,165.0,171.425,163.8,168.025,47689
5,2010-09-24,174.52,180.0,167.5,174.98,86513
6,2010-09-27,175.0,178.75,167.6,167.6,73860
7,2010-09-28,168.8,169.3,162.38,162.505,82748
8,2010-09-29,162.7,163.225,152.78,153.775,202726
9,2010-09-30,153.8,163.75,153.8,162.5,110277
10,2010-10-01,164.85,169.25,162.95,164.3,34034
11,2010-10-04,157.55,161.3,157.5,158.28,50494
12,2010-10-05,157.93,172.1,157.0,165.0,101951
13,2010-10-06,166.88,167.25,161.65,165.75,27166
14,2010-10-07,164.5,164.5,160.48,161.88,20451
15,2010-10-08,158.88,163.75,158.25,160.43,28125
16,2010-10-11,161.15,161.15,158.012,158.22,21667
17,2010-10-12,160.47,162.9,155.75,160.12,66632
18,2010-10-13,160.1248,178.1,159.68,174.975,118356
19,2010-10-14,175.2,193.73,169.48,191.058,109905
20,2010-10-15,192.5,197.62,186.275,188.3252,44805
21,2010-10-18,191.4,192.88,181.2,181.62,48184
22,2010-10-19,178.03,182.23,173.15,178.53,48333
23,2010-10-20,181.62,181.62,171.2,175.02,31015
24,2010-10-21,177.83,181.18,172.28,177.5,52610
25,2010-10-22,182.425,203.12,179.175,199.775,94105
26,2010-10-25,203.02,205.65,196.72,200.32,57784
27,2010-10-26,199.62,200.0,194.3,195.815,60981
28,2010-10-27,195.12,195.88,182.5,185.52,83748
29,2010-10-28,189.46,189.475,179.99,182.49,24406
30,2010-10-29,181.4,189.675,180.68,183.75,126299
31,2010-11-01,184.52,190.0,180.3,183.48,18875
32,2010-11-02,182.65,185.0,181.578,183.8,47620
33,2010-11-03,183.75,197.5,183.75,192.4998,109474
34,2010-11-04,191.2,199.75,187.625,190.92,46466
35,2010-11-05,192.5,195.35,191.25,192.98,30167
36,2010-11-08,197.5,211.23,196.25,207.08,63609
37,2010-11-09,210.68,211.23,206.43,209.43,30488
38,2010-11-10,226.82,233.75,220.2,228.32,123854
39,2010-11-11,226.25,238.8,223.95,236.3002,31508
40,2010-11-12,231.2,233.9,220.0,223.02,30779
41,2010-11-15,224.13,225.6,201.38,207.93,72814
42,2010-11-16,205.42,212.25,187.5,191.12,104460
43,2010-11-17,191.37,198.55,188.77,190.6,75041
44,2010-11-18,197.28,199.85,185.6503,189.5,45141
45,2010-11-19,187.58,199.75,187.38,191.92,72995
46,2010-11-22,196.88,196.88,184.68,191.45,31806
47,2010-11-23,187.51,191.5,183.66,190.01,17597
48,2010-11-24,194.2,194.2,185.375,187.5,25057
49,2010-11-26,189.575,191.8,183.58,191.25,7859
50,2010-11-29,187.5,192.7,186.95,191.1,56514
51,2010-11-30,187.42,190.38,180.0,184.0,51277
52,2010-12-01,184.88,190.0,180.6,182.45,21987
