Unnamed: 0,DateTime,Open,High,Low,Close,Volume
0.0,2015-02-02,45.63,46.23,42.0,43.99,2197500
1.0,2015-02-03,45.24,45.25,41.0,44.98,1042100
2.0,2015-02-04,44.85,44.85,40.75,41.32,1366800
3.0,2015-02-05,41.77,42.88,40.86,42.64,722600
4.0,2015-02-06,43.59,44.1,41.65,41.96,703000
5.0,2015-02-09,40.3,41.5,39.705,41.5,1040600
6.0,2015-02-10,41.49,41.9,40.8,41.5,347200
7.0,2015-02-11,41.5,42.49,41.0,41.5,347100
8.0,2015-02-12,41.6,41.6,40.555,40.65,347700
9.0,2015-02-13,40.84,40.84,40.5,40.69,235800
10.0,2015-02-17,41.15,41.15,38.635,39.05,694800
11.0,2015-02-18,39.94,42.92,39.182,42.92,855700
12.0,2015-02-19,42.89,43.9,41.92,43.76,609800
13.0,2015-02-20,43.9,46.41,43.15,44.87,868100
14.0,2015-02-23,44.905,45.0,41.25,41.6,853800
15.0,2015-02-24,42.25,43.9,41.87,43.47,930500
16.0,2015-02-25,43.5,43.88,42.62,42.79,404300
17.0,2015-02-26,43.09,43.688,42.53,43.5,254700
18.0,2015-02-27,42.78,44.0,41.65,43.15,484900
19.0,2015-03-02,43.5,45.68,42.8,45.48,750200
20.0,2015-03-03,45.4,45.5,43.12,44.68,657400
21.0,2015-03-04,44.35,46.45,44.26,46.19,572300
22.0,2015-03-05,46.74,47.77,44.07,44.13,731300
23.0,2015-03-06,44.13,44.44,42.7,43.87,502500
24.0,2015-03-09,43.94,43.99,42.33,43.54,607400
25.0,2015-03-10,43.25,46.0,43.022,45.78,655700
26.0,2015-03-11,45.77,47.45,44.86,46.9,1427100
27.0,2015-03-12,43.24,49.6,42.08,47.79,2864500
28.0,2015-03-13,47.49,49.48,47.01,48.5,748800
29.0,2015-03-16,48.6,49.0,46.18,46.46,563700
30.0,2015-03-17,45.86,46.7,45.26,45.85,433800
31.0,2015-03-18,46.26,47.49,44.95,46.94,429300
32.0,2015-03-19,46.67,47.98,46.52,47.57,243700
33.0,2015-03-20,47.98,48.09,45.25,46.92,763900
34.0,2015-03-23,47.2,49.25,46.55,49.25,486800
35.0,2015-03-24,48.96,51.2,48.01,49.55,936400
36.0,2015-03-25,50.0,50.8,47.5,47.86,582700
37.0,2015-03-26,47.86,47.86,47.01,47.4,421100
38.0,2015-03-27,47.4,49.0,47.025,49.0,323300
39.0,2015-03-30,48.5,49.65,47.5,49.62,453100
40.0,2015-03-31,49.3,50.5,48.78,50.05,950500
41.0,2015-04-01,49.8,50.39,47.5,48.4,713300
42.0,2015-04-02,48.4,48.98,47.8,48.24,217400
43.0,2015-04-06,48.51,49.45,48.39,49.26,240200
44.0,2015-04-07,49.36,50.5,49.27,50.48,392900
45.0,2015-04-08,50.2,51.07,49.5,50.05,339300
46.0,2015-04-09,50.7,50.98,49.96,50.46,322200
47.0,2015-04-10,50.15,50.4,49.03,49.79,223200
48.0,2015-04-13,49.67,53.9,49.56,53.69,685400
49.0,2015-04-14,53.0,60.0,52.15,59.93,1392800
50.0,2015-04-15,59.52,59.56,56.81,57.47,1077100
51.0,2015-04-16,58.42,62.75,58.21,61.59,1802400
52.0,2015-04-17,60.51,62.25,59.24,61.67,577900
53.0,2015-04-20,62.15,63.72,60.7,63.65,589200
54.0,2015-04-21,62.62,62.65,59.01,60.0,1039000
55.0,2015-04-22,59.9,62.18,59.2,62.0,504000
56.0,2015-04-23,63.0,63.25,60.76,62.73,420600
57.0,2015-04-24,63.07,68.75,63.02,68.53,890500
58.0,2015-04-27,68.16,71.67,66.246,69.36,1153300
59.0,2015-04-28,69.7,69.75,67.5,68.59,437900
60.0,2015-04-29,69.03,71.1,67.7,69.04,404100
61.0,2015-04-30,68.54,68.885,66.0,68.75,518800
62.0,2015-05-01,69.6,72.0,69.0,70.75,618700
63.0,2015-05-04,71.4,76.499,71.4,75.65,711000
64.0,2015-05-05,75.0,79.0,72.8,78.36,1038800
65.0,2015-05-06,78.3,79.5,75.0,75.13,709400
66.0,2015-05-07,75.94,75.94,65.5,66.04,1479400
67.0,2015-05-08,65.99,68.4,61.5,68.0,1916500
68.0,2015-05-11,68.0,68.18,64.47,65.3,584100
69.0,2015-05-12,64.93,66.76,64.5,65.63,469100
70.0,2015-05-13,66.59,69.5,64.99,68.36,1532900
71.0,2015-05-14,75.34,77.73,64.78,65.5,3219500
72.0,2015-05-15,67.15,72.55,66.03,69.39,1540800
73.0,2015-05-18,71.65,72.83,69.4,72.54,759400
74.0,2015-05-19,73.5,78.87,72.62,76.45,1204200
75.0,2015-05-20,78.32,84.98,76.01,82.85,1673000
76.0,2015-05-21,85.04,90.52,85.04,89.87,1979600
77.0,2015-05-22,94.39,96.749,90.12,92.86,2832900
78.0,2015-05-26,88.49,90.38,82.78,85.76,2110500
79.0,2015-05-27,82.78,83.24,73.13,73.69,3303400
80.0,2015-05-28,72.32,78.15,71.2,76.01,2018200
81.0,2015-05-29,79.19,83.0,78.347,82.81,1915900
82.0,2015-06-01,80.25,80.74,76.5,78.69,1291800
83.0,2015-06-02,80.88,82.5,78.601,78.93,804700
84.0,2015-06-03,80.6,80.6,76.8,77.5,533600
85.0,2015-06-04,78.4,79.44,74.5,75.33,727100
86.0,2015-06-05,76.28,77.335,75.01,77.01,399900
87.0,2015-06-08,77.1,78.28,76.33,76.94,195900
88.0,2015-06-09,77.59,77.59,75.0,76.6,235900
89.0,2015-06-10,76.12,76.54,73.0,74.3,573100
90.0,2015-06-11,74.02,78.0,73.18,77.44,928100
91.0,2015-06-12,78.74,78.74,75.01,75.39,380000
92.0,2015-06-15,74.95,76.15,73.78,74.86,301500
93.0,2015-06-16,74.53,75.29,73.583,73.81,337300
94.0,2015-06-17,73.81,74.28,71.05,72.3,368000
95.0,2015-06-18,72.48,72.55,68.0,69.1,854100
96.0,2015-06-19,69.3,71.874,68.8,69.34,897600
97.0,2015-06-22,69.49,69.97,65.505,66.0,559400
98.0,2015-06-23,65.5,66.95,63.506,63.84,687100
99.0,2015-06-24,63.5,64.985,62.2,62.48,545900
100.0,2015-06-25,62.61,65.82,61.6,63.93,520600
101.0,2015-06-26,63.93,64.29,62.07,62.4,285200
102.0,2015-06-29,61.88,64.488,60.11,60.46,413700
103.0,2015-06-30,60.52,61.4,59.72,60.27,350400
104.0,2015-07-01,60.75,62.66,59.88,60.04,407000
105.0,2015-07-02,59.89,60.8,57.59,57.89,538900
106.0,2015-07-06,57.45,60.5,56.06,59.0,383900
107.0,2015-07-07,55.87,56.35,52.5,54.74,1203300
108.0,2015-07-08,53.75,53.99,51.44,51.73,580600
109.0,2015-07-09,51.75,53.0,50.1,50.43,507700
110.0,2015-07-10,51.5,52.21,50.2,50.5,461800
111.0,2015-07-13,51.28,53.0,50.643,51.72,473400
112.0,2015-07-14,52.71,53.34,50.89,50.91,411500
113.0,2015-07-15,51.2,51.49,48.25,48.73,565600
114.0,2015-07-16,48.6,50.34,48.21,49.42,381000
115.0,2015-07-17,49.76,53.42,49.4,52.94,879800
116.0,2015-07-20,55.0,56.67,51.75,54.79,882800
117.0,2015-07-21,52.99,58.95,51.5,58.56,1042800
118.0,2015-07-22,59.03,60.89,57.77,58.08,608200
119.0,2015-07-23,58.09,60.5,57.27,60.26,412400
120.0,2015-07-24,60.98,61.0,55.16,56.55,398200
121.0,2015-07-27,56.41,56.45,52.5,52.8,507500
122.0,2015-07-28,53.56,55.3,52.1,52.64,329700
123.0,2015-07-29,54.42,63.948,53.51,62.15,1372600
124.0,2015-07-30,61.59,64.9,57.3,60.61,1061800
125.0,2015-07-31,61.06,69.64,60.37,68.05,1407100
126.0,2015-08-03,68.49,74.379,67.71,69.97,1466800
127.0,2015-08-04,73.0,74.889,69.5,70.59,745200
128.0,2015-08-05,72.4,72.65,66.01,68.98,657600
129.0,2015-08-06,67.43,67.73,62.853,64.66,455600
130.0,2015-08-07,66.53,72.0,65.06,71.64,717600
131.0,2015-08-10,72.67,73.1,66.71,70.64,2028400
132.0,2015-08-11,75.04,75.9,67.5,68.56,2679300
133.0,2015-08-12,65.52,67.0,62.2,64.79,1530800
134.0,2015-08-13,64.79,64.79,54.11,54.49,7349900
135.0,2015-08-14,55.62,58.09,54.5,55.33,2783900
136.0,2015-08-17,56.25,58.2,55.63,55.96,1507700
137.0,2015-08-18,55.85,58.9,55.6,55.7,1342300
138.0,2015-08-19,55.35,55.378,51.5,53.15,1869200
139.0,2015-08-20,52.41,53.98,50.5,50.65,1359400
140.0,2015-08-21,49.44,50.0,46.0,47.5,1838600
141.0,2015-08-24,42.0,47.5,41.5,45.34,1443500
142.0,2015-08-25,49.71,49.72,44.6,44.89,1041900
143.0,2015-08-26,46.53,48.38,44.96,47.68,868700
144.0,2015-08-27,49.51,51.35,46.98,50.45,929400
145.0,2015-08-28,50.0,51.176,49.34,50.61,513600
146.0,2015-08-31,51.0,51.0,48.0,49.94,700300
147.0,2015-09-01,48.19,48.97,47.16,48.27,462200
148.0,2015-09-02,48.4,49.25,47.53,48.7,387000
149.0,2015-09-03,49.01,49.25,47.25,48.11,394400
150.0,2015-09-04,47.29,48.58,46.71,47.81,349900
151.0,2015-09-08,48.5,50.25,48.42,49.27,543800
152.0,2015-09-09,50.01,51.0,48.42,48.5,518200
153.0,2015-09-10,48.51,49.78,48.052,48.56,296500
154.0,2015-09-11,48.54,56.69,48.49,55.14,2314300
155.0,2015-09-14,53.78,53.9,49.7,51.98,1152100
156.0,2015-09-15,51.66,54.46,51.17,52.18,472900
157.0,2015-09-16,52.11,52.858,50.77,51.46,485400
158.0,2015-09-17,51.46,55.92,51.22,53.79,1236300
159.0,2015-09-18,53.21,54.248,51.17,53.16,679600
160.0,2015-09-21,53.5,55.77,52.01,52.6,629600
161.0,2015-09-22,51.66,52.55,49.97,50.9,355300
162.0,2015-09-23,51.01,52.51,50.27,50.38,304900
163.0,2015-09-24,50.0,51.64,49.4,50.94,560600
164.0,2015-09-25,51.5,51.87,48.84,49.4,563700
165.0,2015-09-28,49.45,50.25,47.4,47.94,406500
166.0,2015-09-29,47.94,48.85,46.35,46.9,319600
167.0,2015-09-30,47.77,49.08,46.8,47.4,488400
168.0,2015-10-01,47.25,48.25,46.3,47.17,524800
169.0,2015-10-02,46.78,50.66,46.6,50.11,632800
170.0,2015-10-05,50.37,51.25,48.82,49.4,524100
171.0,2015-10-06,49.4,50.65,48.85,48.95,200500
172.0,2015-10-07,49.28,49.63,47.48,48.48,333100
173.0,2015-10-08,44.7,46.7,43.1,46.22,1052100
174.0,2015-10-09,45.85,46.0,43.95,44.05,881600
175.0,2015-10-12,44.54,44.73,42.05,42.61,599300
176.0,2015-10-13,42.61,44.98,42.2,43.06,642000
177.0,2015-10-14,43.05,43.42,41.3,41.72,565600
178.0,2015-10-15,42.35,42.888,41.0,42.45,515500
179.0,2015-10-16,42.51,45.7,41.62,43.46,998200
180.0,2015-10-19,43.5,44.84,42.675,44.29,407800
181.0,2015-10-20,44.71,45.5,43.8,44.01,528500
182.0,2015-10-21,44.12,44.24,42.058,42.33,345500
183.0,2015-10-22,43.16,44.11,42.25,42.88,250900
184.0,2015-10-23,43.18,45.65,43.02,45.02,427600
185.0,2015-10-26,45.28,45.77,44.41,44.65,264600
186.0,2015-10-27,44.35,44.88,43.5,44.05,270300
187.0,2015-10-28,44.3,46.5,44.12,46.01,421100
188.0,2015-10-29,46.26,46.85,44.0,44.32,592900
189.0,2015-10-30,44.52,45.91,44.14,45.57,338000
190.0,2015-11-02,45.99,48.54,45.69,47.94,852300
191.0,2015-11-03,47.63,49.57,47.46,48.63,838300
192.0,2015-11-04,49.805,49.94,48.2,48.92,544600
193.0,2015-11-05,50.64,52.0,48.7,51.11,2862300
194.0,2015-11-06,53.5,53.5,49.33,49.99,2568100
195.0,2015-11-09,50.0,50.0,46.42,48.55,1078200
196.0,2015-11-10,48.01,48.5,46.26,46.68,591100
197.0,2015-11-11,47.04,47.04,43.65,44.12,708700
198.0,2015-11-12,44.49,45.18,42.13,42.47,1003100
199.0,2015-11-13,42.0,42.36,39.91,40.85,1249800
200.0,2015-11-16,40.7,43.8,39.95,43.42,1007600
201.0,2015-11-17,43.0,43.51,41.57,42.96,699500
202.0,2015-11-18,42.71,43.855,41.77,42.48,536100
203.0,2015-11-19,42.16,43.53,41.53,43.17,494200
204.0,2015-11-20,43.3,43.57,42.17,42.53,421000
205.0,2015-11-23,42.72,43.46,42.057,43.22,411000
206.0,2015-11-24,42.97,43.62,42.2,43.4,443800
207.0,2015-11-25,43.68,44.9,43.39,43.48,327600
208.0,2015-11-27,43.72,44.7,43.707,44.12,162000
209.0,2015-11-30,44.15,46.4,44.15,45.95,671300
210.0,2015-12-01,46.0,47.0,44.56,45.7,671500
211.0,2015-12-02,45.5,45.69,45.02,45.51,570100
212.0,2015-12-03,45.73,45.993,43.75,44.63,405100
213.0,2015-12-04,44.87,44.98,43.423,44.04,429700
214.0,2015-12-07,44.0,44.73,43.5,43.77,459100
215.0,2015-12-08,43.62,43.99,42.5,43.81,573600
216.0,2015-12-09,44.0,45.07,42.71,44.16,701300
217.0,2015-12-10,44.1,44.59,42.61,42.94,794700
218.0,2015-12-11,42.25,43.0,41.14,41.19,674500
219.0,2015-12-14,41.3,41.35,40.03,40.16,633400
220.0,2015-12-15,40.7,41.72,40.219,41.58,505400
221.0,2015-12-16,42.03,42.03,39.5,40.17,756300
222.0,2015-12-17,40.33,40.85,38.45,38.54,788700
223.0,2015-12-18,39.25,39.75,38.0,39.75,1506800
224.0,2015-12-21,40.01,40.25,37.6,38.19,909700
225.0,2015-12-22,38.19,40.44,37.924,39.75,787100
226.0,2015-12-23,40.35,40.83,39.51,39.84,442100
227.0,2015-12-24,39.5,40.88,39.46,40.49,200200
228.0,2015-12-28,40.2,41.68,39.72,39.85,678700
229.0,2015-12-29,40.24,41.05,39.825,40.64,447200
230.0,2015-12-30,40.54,40.98,39.88,39.96,396400
231.0,2015-12-31,39.87,40.75,39.55,39.6,407800
232.0,2016-01-04,38.5,39.1,37.76,38.55,558000
233.0,2016-01-05,38.56,39.1,38.091,39.01,282400
234.0,2016-01-06,38.0,38.412,37.7,38.33,582700
235.0,2016-01-07,37.54,37.84,36.2,36.2,855700
236.0,2016-01-08,36.39,37.0,33.91,34.9,1071300
237.0,2016-01-11,35.08,35.235,33.6,34.21,566800
238.0,2016-01-12,34.05,35.5,32.0,32.86,1063700
239.0,2016-01-13,32.86,33.48,31.31,31.92,528900
240.0,2016-01-14,32.24,33.34,30.0,32.24,1124300
241.0,2016-01-15,31.01,32.2,30.42,32.07,833100
242.0,2016-01-19,33.72,34.97,33.02,33.5,1326100
243.0,2016-01-20,32.44,34.2,31.1,33.75,940400
244.0,2016-01-21,33.9,36.93,33.7,35.09,905000
245.0,2016-01-22,36.02,36.875,35.0,35.52,1093200
246.0,2016-01-25,35.55,35.75,34.51,34.76,431700
247.0,2016-01-26,35.0,35.314,34.501,35.0,506800
248.0,2016-01-27,34.79,35.0,33.2,33.39,635600
249.0,2016-01-28,33.62,34.008,32.62,33.75,673100
250.0,2016-01-29,33.76,34.58,33.76,34.58,504400
251.0,2016-02-01,34.03,36.77,34.03,36.55,512800
252.0,2016-02-02,36.21,36.54,35.54,35.71,490500
253.0,2016-02-03,36.0,36.83,34.8,36.49,436600
254.0,2016-02-04,36.18,38.4,36.04,38.3,509200
255.0,2016-02-05,37.47,37.885,33.96,34.07,632800
