,DateTime,Open,High,Low,Close,Volume
0,2000-01-03,5.4375,5.53125,5.4375,5.4375,40400
1,2000-01-04,5.5,5.5625,5.4375,5.5625,79400
2,2000-01-05,5.4375,5.5,5.4375,5.5,49600
3,2000-01-06,5.4375,5.5625,5.4375,5.5,134300
4,2000-01-07,5.5,5.5625,5.5,5.5625,35100
5,2000-01-10,5.5625,5.5625,5.5,5.5625,76900
6,2000-01-11,5.5,5.5625,5.4375,5.5,178400
7,2000-01-12,5.5,5.5625,5.4375,5.5,23200
8,2000-01-13,5.5,5.5625,5.5,5.5,54600
9,2000-01-14,5.5,5.5,5.4375,5.5,62300
10,2000-01-18,5.4375,5.5625,5.4375,5.5,149000
11,2000-01-19,5.4375,5.5625,5.4375,5.5,61400
12,2000-01-20,5.5625,5.625,5.5,5.5,74500
13,2000-01-21,5.625,5.75,5.625,5.6875,61400
14,2000-01-24,5.75,5.75,5.625,5.6875,131800
15,2000-01-25,5.75,5.8125,5.625,5.8125,348000
16,2000-01-26,5.75,5.8125,5.75,5.8125,80600
17,2000-01-27,5.75,5.875,5.75,5.8125,48700
18,2000-01-28,5.8125,5.875,5.75,5.75,59500
19,2000-01-31,5.75,5.875,5.75,5.75,40400
20,2000-02-01,5.8125,5.8125,5.75,5.75,122900
21,2000-02-02,5.6875,5.8125,5.6875,5.6875,53400
22,2000-02-03,5.75,5.9375,5.75,5.8125,111100
23,2000-02-04,5.8125,5.875,5.8125,5.8125,57200
24,2000-02-07,5.8125,5.875,5.75,5.8125,82800
25,2000-02-08,5.875,5.875,5.75,5.8125,60000
26,2000-02-09,5.875,5.9375,5.8125,5.8125,84900
27,2000-02-10,5.8125,5.9375,5.8125,5.8125,65400
28,2000-02-11,5.8125,5.875,5.8125,5.875,76200
29,2000-02-14,5.9375,5.9375,5.8125,5.9375,61000
30,2000-02-15,5.9375,5.9375,5.875,5.875,49000
31,2000-02-16,5.9375,6.0,5.875,6.0,44800
32,2000-02-17,5.9375,6.0,5.8125,5.9375,67800
33,2000-02-18,5.875,5.9375,5.8125,5.8125,64900
34,2000-02-22,5.9375,5.9375,5.8125,5.875,60800
35,2000-02-23,5.9375,5.9375,5.8125,5.875,91200
36,2000-02-24,5.9375,5.96875,5.875,5.875,80000
37,2000-02-25,5.9375,6.0,5.875,5.875,105500
38,2000-02-28,5.9375,6.0,5.875,5.875,81400
39,2000-02-29,5.875,5.9375,5.875,5.875,60900
40,2000-03-01,5.875,5.875,5.75,5.75,52300
41,2000-03-02,5.75,5.875,5.75,5.75,38300
42,2000-03-03,5.75,5.875,5.75,5.8125,72900
43,2000-03-06,5.8125,5.8125,5.75,5.8125,27700
44,2000-03-07,5.75,5.875,5.75,5.75,60200
45,2000-03-08,5.75,5.8125,5.75,5.75,81600
46,2000-03-09,5.75,5.8125,5.6875,5.6875,81000
47,2000-03-10,5.6875,5.75,5.6875,5.75,64500
48,2000-03-13,5.75,5.8125,5.6875,5.75,57500
49,2000-03-14,5.75,5.8125,5.625,5.6875,81800
50,2000-03-15,5.625,5.6875,5.625,5.625,31900
51,2000-03-16,5.625,5.75,5.625,5.6875,59700
52,2000-03-17,5.75,5.8125,5.6875,5.8125,35900
53,2000-03-20,5.8125,5.875,5.75,5.8125,70800
54,2000-03-21,5.8125,5.875,5.8125,5.8125,49700
