Unnamed: 0,DateTime,Open,High,Low,Close,Volume
0.0,2021-04-22,16.2,21.0,16.2,19.34,1093700
1.0,2021-04-23,19.6,21.7,19.36,20.96,516500
2.0,2021-04-26,21.51,22.42,20.96,21.02,252100
3.0,2021-04-27,20.5,20.97,18.01,18.15,378800
4.0,2021-04-28,18.56,18.99,17.75,18.62,293600
5.0,2021-04-29,18.87,22.11,18.519,21.77,492800
6.0,2021-04-30,21.73,21.75,20.49,20.8,198300
7.0,2021-05-03,21.62,21.747,20.75,21.18,199800
8.0,2021-05-04,21.12,22.0,20.9,21.39,338900
9.0,2021-05-05,21.35,21.796,20.02,20.47,236700
10.0,2021-05-06,20.24,22.0,18.14,21.58,351000
11.0,2021-05-07,21.6,21.6,19.9,20.25,84300
12.0,2021-05-10,20.25,20.42,18.7,19.91,145500
13.0,2021-05-11,19.58,20.76,19.0,20.3,120200
14.0,2021-05-12,20.18,20.78,19.18,19.59,193100
15.0,2021-05-13,19.59,20.174,18.753,19.37,278700
16.0,2021-05-14,19.71,20.06,19.3,19.67,110900
17.0,2021-05-17,19.81,20.0,19.28,19.36,159700
18.0,2021-05-18,19.61,20.0,19.0,19.97,391100
19.0,2021-05-19,19.97,21.63,19.22,20.95,194600
20.0,2021-05-20,21.08,26.69,21.08,26.4,669700
21.0,2021-05-21,26.94,27.25,26.0,26.61,372100
22.0,2021-05-24,26.81,29.727,26.42,29.3,217500
23.0,2021-05-25,29.3,29.91,25.313,25.78,261300
24.0,2021-05-26,26.0,27.14,24.26,26.12,157600
25.0,2021-05-27,26.13,27.2,25.24,25.42,133500
26.0,2021-05-28,25.43,26.15,25.0,26.04,150900
27.0,2021-06-01,26.27,27.99,26.04,26.7,189700
28.0,2021-06-02,26.99,27.7,26.35,26.73,152600
29.0,2021-06-03,26.28,26.95,24.31,26.2,183800
30.0,2021-06-04,26.29,27.82,25.825,27.37,239800
31.0,2021-06-07,27.86,27.87,26.53,27.32,190100
32.0,2021-06-08,27.52,27.52,26.03,26.65,112200
33.0,2021-06-09,26.96,30.481,25.978,28.56,677000
34.0,2021-06-10,29.07,29.13,27.51,27.84,138800
35.0,2021-06-11,27.84,28.578,27.1,28.54,136900
36.0,2021-06-14,28.78,33.47,28.7,29.07,538100
37.0,2021-06-15,29.79,31.802,28.0,28.48,261600
38.0,2021-06-16,28.64,30.4,28.64,30.07,203500
39.0,2021-06-17,30.23,34.2,30.23,33.85,334300
40.0,2021-06-18,33.53,34.43,31.02,31.14,527900
41.0,2021-06-21,31.59,31.59,26.5,28.02,405300
42.0,2021-06-22,28.1,28.38,26.65,26.88,229700
43.0,2021-06-23,28.718,32.82,28.56,29.0,734700
44.0,2021-06-24,29.1,31.727,29.1,30.73,372300
45.0,2021-06-25,31.05,31.5,28.64,28.76,1163000
46.0,2021-06-28,29.55,30.78,27.56,28.72,419300
47.0,2021-06-29,29.0,29.99,27.75,27.9,189300
48.0,2021-06-30,28.0,28.99,27.83,28.65,174500
49.0,2021-07-01,28.81,28.81,27.57,27.7,151100
50.0,2021-07-02,28.0,28.35,26.501,26.58,233700
51.0,2021-07-06,27.0,27.177,25.605,26.68,273500
52.0,2021-07-07,26.29,27.36,24.95,24.95,153500
53.0,2021-07-08,24.65,26.267,22.55,25.4,258400
54.0,2021-07-09,25.6,25.75,25.0,25.04,120900
55.0,2021-07-12,25.46,26.38,25.1,26.24,181000
56.0,2021-07-13,26.36,27.71,25.9,27.09,189200
57.0,2021-07-14,27.35,27.75,24.81,25.26,296800
58.0,2021-07-15,25.25,25.525,23.62,24.16,291000
59.0,2021-07-16,25.45,27.89,24.65,26.78,462200
60.0,2021-07-19,25.96,27.05,25.52,26.84,298500
61.0,2021-07-20,26.84,27.79,26.5,27.25,276100
62.0,2021-07-21,27.34,29.37,27.1,28.86,355000
63.0,2021-07-22,28.67,29.0,27.46,27.6,163800
64.0,2021-07-23,27.86,28.56,26.81,27.41,78400
65.0,2021-07-26,27.93,30.23,27.55,28.86,253600
66.0,2021-07-27,24.48,24.49,15.371,15.75,3437200
67.0,2021-07-28,16.25,17.75,15.53,17.51,1589500
68.0,2021-07-29,17.332,17.77,16.5,16.95,541000
69.0,2021-07-30,16.89,17.84,16.52,17.26,243700
70.0,2021-08-02,17.43,18.37,17.4,17.58,294000
71.0,2021-08-03,17.76,17.88,16.6,16.85,291000
72.0,2021-08-04,16.86,20.9,16.86,20.24,673600
73.0,2021-08-05,19.17,22.789,18.17,22.52,594200
74.0,2021-08-06,22.82,23.68,21.05,22.29,314800
75.0,2021-08-09,22.14,23.15,21.27,22.54,272000
76.0,2021-08-10,22.94,22.94,21.22,22.46,189800
77.0,2021-08-11,22.67,22.67,19.51,21.12,297100
78.0,2021-08-12,22.28,24.2,22.0,23.07,498900
79.0,2021-08-13,23.33,23.665,22.89,23.12,208400
80.0,2021-08-16,23.44,23.44,22.72,22.97,334600
81.0,2021-08-17,23.11,23.2,19.52,19.83,405600
82.0,2021-08-18,19.868,20.77,19.2,20.42,421900
83.0,2021-08-19,20.23,20.89,19.68,19.75,372200
84.0,2021-08-20,20.13,20.38,19.5,19.99,243900
85.0,2021-08-23,20.0,20.8,20.0,20.59,163800
86.0,2021-08-24,24.365,27.3,23.6,26.84,1947300
87.0,2021-08-25,27.009,29.229,26.79,27.6,862200
88.0,2021-08-26,27.7,29.69,27.05,28.75,456100
89.0,2021-08-27,28.76,29.815,27.12,27.37,375300
90.0,2021-08-30,28.15,31.75,27.97,31.2,511500
91.0,2021-08-31,31.82,33.62,30.31,33.38,487400
92.0,2021-09-01,34.0,35.97,30.69,31.67,672700
93.0,2021-09-02,32.0,32.54,31.13,31.49,340900
94.0,2021-09-03,32.45,34.79,32.0,33.86,336800
95.0,2021-09-07,34.41,36.8,32.9,34.35,409100
96.0,2021-09-08,34.44,34.99,30.025,31.05,398500
97.0,2021-09-09,31.44,33.47,31.3,31.86,195000
98.0,2021-09-10,32.37,33.14,31.2,31.24,254900
99.0,2021-09-13,31.33,31.87,29.134,29.8,424000
100.0,2021-09-14,30.0,30.91,29.7,30.16,241300
101.0,2021-09-15,30.15,30.8,28.99,30.65,203100
102.0,2021-09-16,30.76,32.14,30.15,31.9,270000
103.0,2021-09-17,32.2,32.5,29.85,30.83,260100
104.0,2021-09-20,29.6,29.8,26.5,27.56,404300
105.0,2021-09-21,27.54,28.59,26.61,27.04,291500
106.0,2021-09-22,27.04,28.24,26.73,27.95,283400
107.0,2021-09-23,28.07,31.0,28.0,30.88,242500
108.0,2021-09-24,30.88,31.33,29.54,30.11,194600
109.0,2021-09-27,29.95,30.26,28.59,29.82,203200
110.0,2021-09-28,28.95,28.95,27.14,28.34,356400
111.0,2021-09-29,28.64,28.75,26.801,27.05,316700
112.0,2021-09-30,27.4,27.76,26.657,27.2,178500
113.0,2021-10-01,26.9,27.15,25.42,26.38,216000
114.0,2021-10-04,25.92,25.92,24.64,25.39,268700
115.0,2021-10-05,25.39,27.33,25.27,27.28,165400
116.0,2021-10-06,26.6,27.39,25.79,27.03,121700
117.0,2021-10-07,27.38,27.5,26.33,27.14,172700
118.0,2021-10-08,27.05,27.574,25.5,26.33,249800
119.0,2021-10-11,26.13,26.5,24.56,24.81,209700
120.0,2021-10-12,24.92,25.19,22.97,23.32,301800
121.0,2021-10-13,23.77,25.26,23.5,24.89,127000
122.0,2021-10-14,25.7,26.344,25.08,25.81,231300
