,DateTime,Open,High,Low,Close,Volume
0,2012-02-02,16.0,16.14,15.38,16.0,1378300
1,2012-02-03,16.0,16.4,15.71,16.12,554100
2,2012-02-06,16.4,16.45,15.92,16.35,336200
3,2012-02-07,16.44,17.5,16.04,17.34,880400
4,2012-02-08,17.2,17.74,17.0,17.2,777300
5,2012-02-09,17.5,17.7,17.08,17.25,157100
6,2012-02-10,17.0,17.32,16.95,17.05,200500
7,2012-02-13,17.07,17.39,17.03,17.25,140500
8,2012-02-14,17.25,17.32,16.8,16.85,329600
9,2012-02-15,17.0,17.0,16.41,16.66,168400
10,2012-02-16,16.75,16.97,16.57,16.79,71600
11,2012-02-17,18.22,18.22,16.38,16.54,371500
12,2012-02-21,16.75,16.75,16.45,16.75,251600
13,2012-02-22,16.95,17.1,16.71,17.0,199500
14,2012-02-23,17.05,17.09,16.74,17.01,407600
15,2012-02-24,16.98,17.9,16.9,17.43,346600
16,2012-02-27,17.36,17.57,17.09,17.4,166700
17,2012-02-28,17.35,17.39,16.99,17.05,149000
18,2012-02-29,17.14,17.14,16.9,16.92,113200
19,2012-03-01,16.94,17.09,16.91,17.09,115000
20,2012-03-02,17.0,17.21,16.89,16.94,101800
21,2012-03-05,16.77,17.03,16.2,16.24,337600
22,2012-03-06,16.1,16.65,16.1,16.25,489100
23,2012-03-07,16.55,16.75,16.2,16.45,256400
24,2012-03-08,16.65,16.89,16.49,16.56,200100
25,2012-03-09,16.5,17.15,16.5,17.06,691100
26,2012-03-12,17.35,17.85,17.19,17.34,753500
27,2012-03-13,17.29,17.98,17.21,17.47,355000
28,2012-03-14,17.65,18.85,17.6,18.3,553200
29,2012-03-15,18.24,19.48,18.23,19.33,570800
30,2012-03-16,19.56,20.45,19.41,19.94,884000
31,2012-03-19,20.75,20.91,19.49,19.81,552000
32,2012-03-20,19.67,21.78,19.61,21.09,1170900
33,2012-03-21,21.6,21.75,20.5,21.4,794300
34,2012-03-22,21.06,21.07,20.07,20.13,477000
35,2012-03-23,20.78,21.0,20.4,20.62,259100
36,2012-03-26,20.95,21.73,20.74,21.69,320300
37,2012-03-27,21.78,22.14,21.54,21.87,303100
38,2012-03-28,21.79,21.99,20.85,20.94,272800
39,2012-03-29,20.87,21.21,20.38,20.72,348900
40,2012-03-30,21.01,21.07,20.61,20.94,1027800
41,2012-04-02,20.94,21.51,20.65,21.11,308900
42,2012-04-03,21.79,21.79,20.59,21.21,362700
43,2012-04-04,20.75,21.1,20.25,20.42,173800
44,2012-04-05,20.34,20.4,19.72,20.01,381800
45,2012-04-09,19.95,20.41,19.01,19.72,142300
46,2012-04-10,19.72,20.06,18.47,19.09,304000
47,2012-04-11,19.19,19.4,18.33,18.75,420900
48,2012-04-12,18.77,19.3,18.4,18.79,381000
49,2012-04-13,18.19,18.67,17.47,18.0,786700
50,2012-04-16,18.8,18.8,17.34,17.63,433400
51,2012-04-17,17.85,18.09,17.4,17.47,480700
52,2012-04-18,17.93,17.93,16.64,16.88,546900
53,2012-04-19,17.1,17.46,16.45,16.75,655500
54,2012-04-20,16.88,17.01,16.32,16.56,188100
55,2012-04-23,16.25,16.51,15.92,16.28,428900
56,2012-04-24,16.31,17.05,16.23,16.83,303200
57,2012-04-25,16.94,17.81,16.72,17.12,355800
58,2012-04-26,17.08,17.96,16.92,17.84,435400
59,2012-04-27,17.9,18.53,17.9,18.19,511200
60,2012-04-30,18.15,18.27,17.57,18.12,200000
61,2012-05-01,18.12,18.64,17.85,18.12,235200
62,2012-05-02,17.98,18.65,17.96,18.52,159000
63,2012-05-03,18.5,18.82,18.22,18.48,119000
64,2012-05-04,18.41,18.43,17.56,17.78,263600
65,2012-05-07,17.77,17.88,17.43,17.68,228000
66,2012-05-08,17.61,17.73,15.38,15.58,1001700
67,2012-05-09,15.49,15.8,14.76,15.15,355900
68,2012-05-10,15.28,15.35,14.37,14.85,440300
69,2012-05-11,14.68,14.87,13.67,14.02,274000
70,2012-05-14,14.25,14.32,13.04,13.11,274400
71,2012-05-15,13.18,13.76,12.56,12.67,480500
72,2012-05-16,12.72,13.3,11.83,11.94,685700
73,2012-05-17,11.99,12.3,11.64,11.94,626500
74,2012-05-18,12.08,12.15,11.42,11.71,293400
75,2012-05-21,11.74,11.83,11.31,11.67,518100
76,2012-05-22,11.66,12.7,11.59,12.05,339200
77,2012-05-23,11.89,12.32,11.2,12.08,267000
78,2012-05-24,12.12,12.19,11.66,12.05,103700
79,2012-05-25,12.04,12.09,11.77,12.01,125500
80,2012-05-29,12.11,12.45,11.8,11.99,186600
81,2012-05-30,11.89,11.89,10.8,11.38,231900
82,2012-05-31,11.75,12.35,11.03,12.17,308800
83,2012-06-01,12.12,12.12,10.87,10.95,309000
84,2012-06-04,10.96,11.2,10.01,10.17,429500
85,2012-06-05,10.07,10.38,9.92,10.1,331000
86,2012-06-06,10.21,11.55,10.21,11.04,378000
87,2012-06-07,11.27,12.1,11.04,11.57,343300
88,2012-06-08,11.53,11.68,11.07,11.3,213100
89,2012-06-11,11.42,11.45,10.95,11.03,144800
90,2012-06-12,11.06,11.29,11.03,11.1,140300
91,2012-06-13,11.36,12.23,11.19,11.75,476200
92,2012-06-14,12.17,12.17,11.48,11.85,297300
93,2012-06-15,11.93,12.27,11.72,12.19,203900
94,2012-06-18,12.19,12.56,12.12,12.5,365200
95,2012-06-19,12.65,13.22,12.5,12.61,447200
96,2012-06-20,12.75,12.76,12.0,12.11,291800
97,2012-06-21,12.15,12.15,11.25,11.37,290100
98,2012-06-22,11.46,11.8,11.3,11.8,387200
99,2012-06-25,11.51,11.51,10.4,10.87,425800
100,2012-06-26,10.89,11.15,10.51,10.64,243900
101,2012-06-27,11.11,11.11,10.55,10.71,205400
102,2012-06-28,10.57,11.03,10.57,10.89,239500
103,2012-06-29,11.15,11.45,11.05,11.26,310900
104,2012-07-02,11.5,11.64,10.91,11.1,341000
105,2012-07-03,11.2,11.35,11.1,11.23,140300
106,2012-07-05,11.29,11.68,11.27,11.45,325200
107,2012-07-06,11.37,11.59,11.14,11.52,234100
108,2012-07-09,11.55,11.55,10.77,10.94,296000
109,2012-07-10,10.9,11.19,10.44,10.54,194600
110,2012-07-11,10.53,10.68,10.0,10.16,227800
111,2012-07-12,10.06,10.58,10.01,10.29,164200
112,2012-07-13,10.48,11.08,10.4,11.08,235800
113,2012-07-16,11.2,11.37,10.84,11.03,174600
114,2012-07-17,11.21,11.21,10.88,10.93,107400
115,2012-07-18,10.87,11.25,10.8,11.19,192100
116,2012-07-19,11.28,11.28,10.86,10.91,253900
117,2012-07-20,10.9,11.27,10.89,11.07,367000
118,2012-07-23,10.99,11.06,10.65,10.68,127400
119,2012-07-24,10.78,10.95,10.1,10.19,258000
120,2012-07-25,10.3,10.34,10.08,10.17,144200
121,2012-07-26,10.39,10.64,9.31,9.5,731400
122,2012-07-27,9.58,9.88,9.02,9.74,873000
123,2012-07-30,9.82,9.95,9.15,9.54,476300
124,2012-07-31,10.24,10.93,9.46,10.35,888800
125,2012-08-01,10.5,10.8,9.8,10.14,555500
126,2012-08-02,9.98,10.05,9.57,9.78,521800
127,2012-08-03,9.96,10.96,9.94,10.6,579300
128,2012-08-06,10.62,10.75,10.46,10.57,272900
129,2012-08-07,10.71,10.94,10.54,10.78,391200
130,2012-08-08,10.64,10.85,10.52,10.82,204900
131,2012-08-09,10.73,10.85,10.54,10.84,527500
132,2012-08-10,10.72,10.94,10.3,10.37,249500
133,2012-08-13,10.31,10.44,10.05,10.12,365800
134,2012-08-14,10.16,10.64,10.16,10.57,937700
135,2012-08-15,10.79,11.94,10.79,11.82,1169800
136,2012-08-16,11.78,13.11,11.62,12.92,873500
137,2012-08-17,12.38,12.58,12.15,12.44,825000
138,2012-08-20,12.49,12.6,12.25,12.38,219300
139,2012-08-21,12.39,12.71,12.38,12.48,395000
140,2012-08-22,12.48,12.54,12.27,12.41,467700
141,2012-08-23,12.4,12.78,12.31,12.44,525800
142,2012-08-24,12.35,12.43,11.96,12.03,401200
143,2012-08-27,12.12,12.28,11.45,11.56,265600
144,2012-08-28,11.52,11.89,11.52,11.67,137300
145,2012-08-29,11.66,11.92,11.52,11.86,239900
146,2012-08-30,11.69,11.95,11.5,11.7,277500
147,2012-08-31,11.84,11.98,11.63,11.9,130300
148,2012-09-04,11.82,12.25,11.82,12.14,233200
149,2012-09-05,12.02,12.15,11.85,12.15,426700
150,2012-09-06,12.16,12.35,11.96,12.29,185900
151,2012-09-07,12.27,12.53,12.19,12.37,332800
152,2012-09-10,12.42,12.8,12.42,12.7,331900
153,2012-09-11,12.8,13.97,12.72,13.81,612200
154,2012-09-12,13.99,14.69,13.85,14.62,626000
155,2012-09-13,14.11,14.82,14.05,14.77,571800
156,2012-09-14,14.88,15.22,14.53,14.62,403300
157,2012-09-17,15.07,15.22,14.81,15.17,263100
158,2012-09-18,15.0,15.19,14.07,14.61,438700
159,2012-09-19,14.92,14.92,14.06,14.09,297300
160,2012-09-20,14.03,14.26,13.73,14.23,244900
161,2012-09-21,14.59,14.69,13.89,14.0,256000
162,2012-09-24,14.12,14.42,13.75,14.35,291600
163,2012-09-25,14.4,14.53,13.99,14.1,331800
164,2012-09-26,14.09,14.09,13.62,13.75,310400
165,2012-09-27,13.84,13.89,13.27,13.62,236100
166,2012-09-28,13.56,13.66,13.42,13.56,112100
167,2012-10-01,13.69,14.54,13.5,14.43,174700
168,2012-10-02,14.69,14.99,13.83,13.9,388600
169,2012-10-03,13.99,14.09,13.74,13.91,245600
170,2012-10-04,13.98,14.56,13.91,14.23,206100
171,2012-10-05,14.38,14.5,13.62,13.72,340800
172,2012-10-08,13.66,13.74,13.45,13.51,171000
173,2012-10-09,13.52,14.0,13.09,13.15,164900
174,2012-10-10,13.15,13.42,12.86,13.4,304600
175,2012-10-11,13.85,14.0,13.0,13.17,193200
176,2012-10-12,13.13,13.36,12.8,13.17,156500
177,2012-10-15,13.38,13.45,12.92,13.03,140300
178,2012-10-16,13.05,13.36,12.88,13.05,156800
179,2012-10-17,13.14,13.88,13.11,13.51,277900
180,2012-10-18,13.87,13.87,13.23,13.45,318700
181,2012-10-19,13.5,13.67,13.06,13.4,265800
182,2012-10-22,13.43,13.62,13.34,13.39,229300
183,2012-10-23,13.31,13.38,12.94,13.12,232900
184,2012-10-24,13.25,13.46,12.9,13.12,214100
185,2012-10-25,13.31,13.43,13.16,13.25,501300
186,2012-10-26,13.17,13.19,12.75,12.9,265400
187,2012-10-31,13.32,13.32,12.37,12.8,230900
188,2012-11-01,12.83,12.87,12.51,12.87,285200
189,2012-11-02,13.45,14.49,12.74,14.25,983200
190,2012-11-05,14.52,14.7,14.17,14.52,394400
191,2012-11-06,14.65,15.94,14.33,15.58,674800
192,2012-11-07,15.29,15.75,14.17,15.54,810800
193,2012-11-08,15.35,15.67,14.94,15.4,392500
194,2012-11-09,15.2,15.32,14.93,14.98,580500
195,2012-11-12,15.19,15.57,14.98,15.06,388400
196,2012-11-13,14.88,14.88,12.75,14.63,1637200
197,2012-11-14,14.83,14.88,14.25,14.65,592700
198,2012-11-15,14.59,15.15,14.34,15.09,440200
199,2012-11-16,15.25,15.55,14.69,15.45,392800
200,2012-11-19,16.0,17.25,15.8,16.73,941800
201,2012-11-20,16.76,16.76,16.17,16.49,506800
202,2012-11-21,16.33,16.65,15.47,16.07,500100
203,2012-11-23,16.07,16.07,14.94,15.31,273700
204,2012-11-26,15.85,16.56,15.52,16.25,1196300
205,2012-11-27,16.26,16.33,15.87,15.93,540600
206,2012-11-28,15.94,16.18,14.55,14.82,728000
207,2012-11-29,14.9,15.46,14.78,14.95,444800
208,2012-11-30,14.99,15.1,13.77,14.52,1695900
209,2012-12-03,14.35,15.1,14.05,15.01,423000
210,2012-12-04,14.9,15.29,14.66,14.84,246200
211,2012-12-05,14.78,14.87,14.18,14.31,315000
212,2012-12-06,14.27,14.92,14.27,14.43,210600
213,2012-12-07,14.75,15.98,14.75,14.98,556300
214,2012-12-10,15.0,15.47,14.11,14.86,483200
215,2012-12-11,15.06,15.84,15.05,15.56,619100
216,2012-12-12,15.61,16.55,15.55,16.24,550200
217,2012-12-13,16.1,16.34,15.77,15.99,332800
218,2012-12-14,16.06,16.44,15.95,16.08,231800
219,2012-12-17,16.36,16.58,15.9,15.99,336500
220,2012-12-18,16.0,16.94,16.0,16.31,623200
221,2012-12-19,16.42,17.16,16.16,17.0,401300
222,2012-12-20,17.15,17.23,16.2,16.99,538500
223,2012-12-21,16.59,16.6,15.88,16.53,463700
224,2012-12-24,16.68,16.68,16.0,16.5,176300
225,2012-12-26,16.47,16.47,16.0,16.37,338200
226,2012-12-27,16.51,16.51,15.51,15.98,336100
227,2012-12-28,16.12,16.12,15.75,15.83,116100
228,2012-12-31,15.83,16.77,15.83,16.73,294900
229,2013-01-02,17.5,17.89,16.91,17.45,509400
230,2013-01-03,17.5,17.95,16.26,16.53,740000
231,2013-01-04,16.59,17.38,16.15,17.15,430600
232,2013-01-07,17.95,19.28,17.68,18.99,717200
233,2013-01-08,18.98,19.47,18.3,18.59,377200
234,2013-01-09,18.67,19.51,18.65,19.21,669400
235,2013-01-10,19.01,19.02,17.95,18.11,615500
236,2013-01-11,18.12,18.21,17.71,17.96,294000
237,2013-01-14,18.26,18.89,17.97,18.85,390900
238,2013-01-15,18.84,18.88,18.25,18.67,266100
239,2013-01-16,18.8,19.25,18.59,18.85,486100
240,2013-01-17,18.67,18.95,18.51,18.9,323400
241,2013-01-18,19.02,19.25,18.61,18.93,303400
242,2013-01-22,19.29,19.5,18.55,18.85,374600
243,2013-01-23,19.38,19.94,18.93,19.29,377300
244,2013-01-24,19.5,20.13,19.31,20.05,352000
245,2013-01-25,20.12,20.3,19.72,19.76,374000
246,2013-01-28,20.0,20.09,19.42,19.99,256300
247,2013-01-29,20.1,20.6,19.14,19.25,391500
248,2013-01-30,19.55,19.9,19.25,19.78,309700
249,2013-01-31,19.7,20.2,19.55,20.07,248200
250,2013-02-01,20.2,20.26,19.9,20.04,273200
251,2013-02-04,20.04,20.11,19.31,19.62,224500
252,2013-02-05,19.68,20.47,19.68,20.29,291500
253,2013-02-06,20.17,20.9,20.09,20.58,296100
254,2013-02-07,20.79,20.91,19.98,20.41,203700
255,2013-02-08,20.68,20.7,19.92,20.08,185800
256,2013-02-11,20.5,21.5,20.22,21.0,372900
257,2013-02-12,21.02,21.39,20.36,20.43,387700
258,2013-02-13,20.75,20.75,20.05,20.18,325300
259,2013-02-14,20.0,20.2,17.68,20.03,1132300
260,2013-02-15,20.15,20.15,19.51,19.95,336200
261,2013-02-19,20.09,20.25,19.85,20.0,321500
262,2013-02-20,20.1,20.25,18.41,18.79,364500
263,2013-02-21,19.29,19.29,17.05,17.81,725200
264,2013-02-22,18.5,18.97,18.26,18.28,321200
265,2013-02-25,18.37,18.87,18.02,18.35,460400
266,2013-02-26,20.94,23.56,20.3,21.62,2527900
267,2013-02-27,21.94,24.63,21.7,23.97,1530200
268,2013-02-28,23.75,26.41,22.75,24.59,1122800
269,2013-03-01,24.09,25.33,23.05,24.0,1072800
270,2013-03-04,24.21,24.8,23.33,24.41,752300
271,2013-03-05,24.93,26.0,24.2,24.47,659400
272,2013-03-06,24.47,25.94,24.23,25.57,688300
273,2013-03-07,25.55,26.99,25.26,25.65,715400
274,2013-03-08,26.89,27.86,25.29,26.43,1192700
275,2013-03-11,28.5,28.5,26.04,26.53,755200
276,2013-03-12,25.51,25.65,23.22,24.47,2132700
277,2013-03-13,23.79,24.75,22.67,22.79,1879000
278,2013-03-14,21.62,22.2,21.57,21.7,9261500
279,2013-03-15,21.57,21.99,21.24,21.7,2457500
280,2013-03-18,22.0,23.25,21.51,22.76,4628300
281,2013-03-19,23.19,23.72,22.22,22.7,2160900
282,2013-03-20,22.72,24.23,22.25,23.87,2028000
283,2013-03-21,23.8,24.35,23.45,23.9,1378100
