,DateTime,Open,High,Low,Close,Volume
0,2018-04-30,19.51,19.51,18.8,19.3,640500
1,2018-05-01,19.05,20.0,19.0,19.85,656200
2,2018-05-02,19.95,19.96,19.4,19.51,313600
3,2018-05-03,19.55,19.65,19.06,19.44,401600
4,2018-05-04,19.47,19.47,18.86,18.88,362700
5,2018-05-07,18.89,19.84,18.8,19.6,187700
6,2018-05-08,19.79,20.98,19.25,20.73,209600
7,2018-05-09,20.76,21.699,20.76,21.35,434400
8,2018-05-10,21.63,21.676,20.22,20.75,276700
9,2018-05-11,20.91,20.91,20.24,20.51,83400
10,2018-05-14,20.79,20.89,20.3,20.74,73500
11,2018-05-15,20.74,20.81,20.43,20.6,66000
12,2018-05-16,20.66,20.73,19.9,20.0,108600
13,2018-05-17,20.01,20.28,19.12,19.46,82000
14,2018-05-18,19.43,19.96,19.22,19.89,170900
15,2018-05-21,20.27,20.27,19.47,20.03,110200
16,2018-05-22,20.28,20.76,20.24,20.25,328900
17,2018-05-23,20.45,20.45,20.16,20.26,159900
18,2018-05-24,20.3,22.63,20.26,22.23,496300
19,2018-05-25,22.35,23.659,22.33,22.53,266800
20,2018-05-29,22.66,23.37,22.6,22.78,344300
21,2018-05-30,23.1,23.79,22.56,22.87,358400
22,2018-05-31,23.07,25.374,23.07,24.92,457200
23,2018-06-01,25.09,26.93,25.04,26.27,436800
24,2018-06-04,26.88,28.662,26.414,26.54,919800
25,2018-06-05,30.15,32.79,27.95,28.95,2857800
26,2018-06-06,29.16,29.4,28.11,28.75,547600
27,2018-06-07,28.88,29.158,28.34,28.45,447500
28,2018-06-08,28.33,28.69,27.54,27.65,508200
29,2018-06-11,27.8,27.986,26.58,27.11,434300
30,2018-06-12,27.15,28.26,26.27,26.48,392000
31,2018-06-13,26.64,27.5,26.6,27.11,356800
32,2018-06-14,27.61,29.41,27.61,28.43,662200
33,2018-06-15,28.31,30.14,27.625,30.13,1181500
34,2018-06-18,30.11,32.49,29.65,32.21,711000
35,2018-06-19,31.8,31.8,27.06,28.91,870900
36,2018-06-20,29.12,29.392,26.51,27.07,578100
37,2018-06-21,27.2,28.03,25.8,26.52,434900
38,2018-06-22,26.57,26.939,24.0,24.31,593100
39,2018-06-25,23.9,26.93,23.13,26.92,660800
40,2018-06-26,27.13,28.18,26.44,26.72,357000
41,2018-06-27,26.58,27.165,24.96,25.04,315900
42,2018-06-28,24.98,25.0,23.705,24.41,349600
43,2018-06-29,24.6,26.978,24.44,25.97,387700
44,2018-07-02,25.66,25.94,24.02,24.36,380000
45,2018-07-03,24.55,25.69,24.05,25.3,253500
46,2018-07-05,25.48,25.67,24.3,24.61,304400
47,2018-07-06,24.53,24.63,23.7,24.04,405200
48,2018-07-09,23.9,24.4,23.3,23.36,461800
49,2018-07-10,23.52,24.1,22.643,23.05,408600
50,2018-07-11,23.02,23.752,22.515,23.63,464400
51,2018-07-12,23.69,25.72,23.3,25.14,528100
52,2018-07-13,25.0,25.17,23.66,25.0,383900
53,2018-07-16,24.99,25.35,23.68,23.75,249400
54,2018-07-17,23.69,24.09,23.143,23.25,333000
55,2018-07-18,23.37,24.65,23.37,24.49,392200
56,2018-07-19,24.41,24.57,23.6,23.76,289500
57,2018-07-20,23.86,24.69,22.601,22.76,394900
58,2018-07-23,22.76,23.68,22.13,23.5,570000
59,2018-07-24,23.67,24.02,22.63,22.9,302200
60,2018-07-25,22.81,23.31,22.72,22.79,136300
61,2018-07-26,22.73,23.27,22.73,22.93,105700
62,2018-07-27,23.0,23.2,21.63,21.92,375400
63,2018-07-30,22.01,22.137,20.5,20.76,330300
64,2018-07-31,20.9,22.4,20.9,21.5,309600
65,2018-08-01,21.5,21.96,21.09,21.09,176200
66,2018-08-02,21.0,23.44,21.0,23.4,350300
67,2018-08-03,23.5,23.86,23.06,23.55,170200
68,2018-08-06,23.43,24.54,23.001,24.5,154500
69,2018-08-07,24.36,25.35,24.36,25.0,151000
70,2018-08-08,24.92,24.95,24.1,24.33,109200
71,2018-08-09,24.4,26.27,24.4,26.22,263700
72,2018-08-10,25.704,26.97,25.47,25.87,213500
73,2018-08-13,25.92,27.07,25.92,27.0,172700
74,2018-08-14,27.01,27.48,25.9,26.93,186800
75,2018-08-15,26.83,26.83,25.39,25.56,231200
76,2018-08-16,25.8,26.29,25.68,26.0,80900
77,2018-08-17,26.01,26.15,25.15,25.21,117300
78,2018-08-20,25.34,26.92,25.19,26.49,99000
79,2018-08-21,26.67,28.1,26.5,28.05,295300
80,2018-08-22,28.0,28.7,27.727,28.69,172100
81,2018-08-23,28.68,29.84,28.36,28.95,228900
82,2018-08-24,29.0,29.9,28.75,29.43,154400
83,2018-08-27,29.7,30.0,29.4,29.92,182000
84,2018-08-28,30.0,30.0,28.46,29.27,186000
85,2018-08-29,29.32,29.7,28.4,29.59,114000
86,2018-08-30,29.33,29.988,29.25,29.5,255800
87,2018-08-31,29.51,30.44,29.14,29.73,297100
88,2018-09-04,29.89,31.93,29.851,31.7,640600
89,2018-09-05,33.91,33.98,28.01,29.05,1628000
90,2018-09-06,29.31,29.479,26.63,27.22,564700
91,2018-09-07,27.02,29.065,27.01,28.67,359900
92,2018-09-10,28.91,29.44,28.33,28.67,325700
93,2018-09-11,28.46,29.55,28.342,29.22,441300
94,2018-09-12,29.31,29.31,27.65,28.56,333300
95,2018-09-13,28.62,29.96,28.33,29.87,258400
96,2018-09-14,29.92,30.475,29.514,29.88,287700
97,2018-09-17,29.94,30.16,28.995,29.05,174600
98,2018-09-18,29.57,32.317,29.285,31.75,420100
99,2018-09-19,31.75,31.98,30.58,31.85,356100
100,2018-09-20,32.21,33.25,31.33,31.87,589500
101,2018-09-21,32.13,32.222,31.07,31.64,348400
102,2018-09-24,31.4,31.895,30.5,30.56,214800
103,2018-09-25,30.68,31.07,29.71,29.88,241700
104,2018-09-26,30.03,30.64,29.16,30.14,293800
105,2018-09-27,30.51,31.39,30.22,30.71,234300
106,2018-09-28,30.59,31.27,30.16,31.26,298900
107,2018-10-01,31.63,31.9,29.64,30.32,534800
108,2018-10-02,30.38,30.388,26.65,27.23,540900
109,2018-10-03,27.54,28.43,27.3,28.26,267100
110,2018-10-04,28.5,28.75,26.36,26.75,552500
111,2018-10-05,26.75,26.81,25.16,25.72,507200
112,2018-10-08,25.3,26.446,24.57,25.6,453200
113,2018-10-09,25.26,25.97,24.46,24.88,432100
114,2018-10-10,24.85,24.85,23.25,23.76,576400
115,2018-10-11,23.36,24.07,22.75,23.2,815300
116,2018-10-12,23.89,26.6,23.75,26.54,1150900
117,2018-10-15,26.6,26.755,25.0,25.28,781900
118,2018-10-16,25.8,27.69,25.53,27.29,699000
119,2018-10-17,26.48,27.03,25.36,26.26,420500
120,2018-10-18,25.89,26.97,25.485,25.66,621600
121,2018-10-19,25.76,26.595,23.51,24.41,395300
