Unnamed: 0,DateTime,Open,High,Low,Close,Volume
0.0,2022-05-04,10.31,10.571,9.8,10.4,1075500
1.0,2022-05-05,10.41,10.46,9.635,9.94,681500
2.0,2022-05-06,9.84,10.61,9.4,10.61,729500
3.0,2022-05-09,10.59,10.72,10.05,10.53,831800
4.0,2022-05-10,10.71,10.8,9.93,10.3,642300
5.0,2022-05-11,10.15,10.29,10.06,10.19,462600
6.0,2022-05-12,10.0,10.0,9.31,9.84,681200
7.0,2022-05-13,10.03,10.119,9.5,9.62,583100
8.0,2022-05-16,9.7,10.0,9.66,9.78,390900
9.0,2022-05-17,9.91,10.06,9.772,9.85,415500
10.0,2022-05-18,9.77,9.839,9.31,9.6,441900
11.0,2022-05-19,9.65,9.9,9.59,9.84,345500
12.0,2022-05-20,9.995,10.24,9.75,9.9,557000
13.0,2022-05-23,10.07,10.07,9.63,9.67,316800
14.0,2022-05-24,9.68,9.7,8.87,8.96,835100
15.0,2022-05-25,9.1,9.77,8.97,9.52,426700
16.0,2022-05-26,9.48,9.64,9.37,9.46,222500
17.0,2022-05-27,9.53,9.97,9.5,9.9,466600
18.0,2022-05-31,10.05,10.125,9.75,9.79,389000
19.0,2022-06-01,9.915,9.96,9.32,9.6,480400
20.0,2022-06-02,9.5,9.89,9.31,9.48,488600
21.0,2022-06-03,9.51,9.61,9.23,9.44,514300
22.0,2022-06-06,9.89,10.075,9.76,9.85,708900
23.0,2022-06-07,9.69,10.15,9.64,10.14,569100
24.0,2022-06-08,10.07,10.15,9.9,10.13,321400
25.0,2022-06-09,10.1,10.63,9.92,9.96,659700
26.0,2022-06-10,9.93,10.43,9.73,9.99,440400
27.0,2022-06-13,9.59,9.9,9.2,9.71,715700
28.0,2022-06-14,9.71,9.84,9.52,9.75,392500
29.0,2022-06-15,9.75,10.35,9.74,10.35,659900
30.0,2022-06-16,10.05,10.12,9.76,9.98,737000
31.0,2022-06-17,10.02,10.41,9.95,10.32,1583400
32.0,2022-06-21,10.48,10.8,10.25,10.73,971000
33.0,2022-06-22,10.51,10.56,10.37,10.52,667600
34.0,2022-06-23,10.49,10.49,10.25,10.34,602800
35.0,2022-06-24,10.3,10.52,10.25,10.26,2315200
36.0,2022-06-27,10.78,10.96,10.445,10.68,678100
37.0,2022-06-28,10.82,10.85,10.49,10.64,424000
38.0,2022-06-29,10.75,10.75,9.65,9.81,581800
39.0,2022-06-30,9.88,10.26,9.82,9.99,404700
40.0,2022-07-01,9.95,10.67,9.45,10.65,946900
41.0,2022-07-05,10.36,10.5,10.19,10.46,439800
42.0,2022-07-06,10.52,10.75,10.36,10.52,499600
43.0,2022-07-07,10.69,10.94,10.63,10.78,549100
44.0,2022-07-08,10.74,10.767,10.2,10.2,632400
45.0,2022-07-11,10.3,10.33,9.98,10.23,227100
46.0,2022-07-12,10.27,10.4,9.75,10.08,430500
47.0,2022-07-13,9.91,10.378,9.82,10.22,362700
48.0,2022-07-14,10.17,10.32,9.918,10.28,378900
49.0,2022-07-15,10.34,10.57,10.21,10.28,301200
50.0,2022-07-18,10.39,10.6,10.27,10.28,297600
51.0,2022-07-19,10.42,10.85,10.35,10.67,579900
52.0,2022-07-20,10.7,11.91,10.67,11.83,1226100
53.0,2022-07-21,12.7,12.7,11.66,12.36,1017000
54.0,2022-07-22,12.28,13.33,11.81,12.66,1012200
55.0,2022-07-25,12.91,12.98,12.56,12.92,892700
56.0,2022-07-26,12.97,13.46,12.76,12.88,771700
57.0,2022-07-27,13.1,13.57,12.89,13.5,803000
58.0,2022-07-28,13.88,14.12,13.14,13.44,696800
59.0,2022-07-29,13.54,14.5,13.31,14.34,1131200
60.0,2022-08-01,15.63,15.85,15.0,15.13,1361300
61.0,2022-08-02,15.55,15.55,14.73,14.93,972100
62.0,2022-08-03,15.19,15.331,14.65,14.84,833300
63.0,2022-08-04,15.42,15.48,14.79,15.0,901200
64.0,2022-08-05,15.0,15.0,14.3,14.62,648900
65.0,2022-08-08,15.1,15.625,14.905,15.02,1375400
66.0,2022-08-09,15.0,15.16,14.8,15.0,412900
67.0,2022-08-10,15.25,15.29,13.69,14.27,1094000
68.0,2022-08-11,14.61,15.27,14.59,14.88,1063200
69.0,2022-08-12,15.0,15.05,14.788,14.87,542200
70.0,2022-08-15,14.8,15.0,14.69,15.0,619400
71.0,2022-08-16,14.68,14.71,13.7,14.2,1566900
72.0,2022-08-17,14.09,14.32,13.01,13.02,1022200
73.0,2022-08-18,13.55,14.15,13.1,13.85,930500
74.0,2022-08-19,13.6,14.23,13.5,14.05,732500
75.0,2022-08-22,13.86,14.44,13.62,14.16,853100
76.0,2022-08-23,14.3,14.85,14.13,14.73,1150600
77.0,2022-08-24,14.96,15.79,14.83,15.32,3036300
78.0,2022-08-25,15.8,15.819,14.8,14.83,1059000
79.0,2022-08-26,15.02,15.12,13.72,13.8,1604000
80.0,2022-08-29,13.7,14.73,13.45,14.57,1919200
81.0,2022-08-30,14.8,14.8,12.51,13.26,2801700
82.0,2022-08-31,13.49,13.92,13.21,13.72,826200
83.0,2022-09-01,13.68,13.68,12.66,12.94,1277300
84.0,2022-09-02,13.0,13.65,12.851,13.59,852100
85.0,2022-09-06,13.69,14.7,13.6,14.14,1744500
86.0,2022-09-07,14.14,14.51,13.99,14.13,641700
87.0,2022-09-08,14.13,14.53,13.96,14.5,791300
88.0,2022-09-09,14.6,14.62,13.76,13.91,1006500
89.0,2022-09-12,14.07,14.21,13.62,14.01,778000
90.0,2022-09-13,13.74,14.36,13.54,13.56,983800
91.0,2022-09-14,13.775,14.14,13.53,14.01,640700
92.0,2022-09-15,14.0,14.5,13.46,13.7,1062700
93.0,2022-09-16,13.55,14.16,13.5,13.93,2331600
94.0,2022-09-19,13.76,13.88,13.5,13.72,809800
95.0,2022-09-20,13.675,13.76,13.43,13.46,658200
96.0,2022-09-21,13.46,13.69,13.05,13.06,544400
97.0,2022-09-22,13.3,13.51,13.1,13.48,771600
98.0,2022-09-23,13.26,13.26,12.51,12.57,857100
99.0,2022-09-26,12.43,12.63,11.22,11.53,1346500
100.0,2022-09-27,11.91,12.54,11.84,12.5,783100
101.0,2022-09-28,12.26,12.645,12.11,12.4,637500
102.0,2022-09-29,12.19,12.42,11.77,12.35,556400
103.0,2022-09-30,12.28,12.375,11.64,11.68,494600
104.0,2022-10-03,11.78,12.195,11.65,11.72,538300
105.0,2022-10-04,12.08,12.4,11.995,12.18,946800
106.0,2022-10-05,12.05,12.06,11.337,11.61,745200
107.0,2022-10-06,11.61,11.88,11.38,11.51,575600
108.0,2022-10-07,11.4,11.588,11.26,11.44,546200
109.0,2022-10-10,11.5,11.57,10.91,10.92,554600
110.0,2022-10-11,10.825,11.0,10.57,10.86,591200
111.0,2022-10-12,10.8,10.85,10.36,10.69,501700
112.0,2022-10-13,10.46,11.28,10.31,11.19,698400
113.0,2022-10-14,11.26,11.26,11.0,11.04,515800
114.0,2022-10-17,11.24,11.46,11.08,11.1,435900
115.0,2022-10-18,11.33,11.66,10.91,11.65,907600
116.0,2022-10-19,11.65,11.699,11.39,11.52,747300
117.0,2022-10-20,11.4,11.76,11.14,11.24,655600
118.0,2022-10-21,11.2,12.22,11.2,12.1,930800
119.0,2022-10-24,12.045,12.36,11.85,12.21,860500
120.0,2022-10-25,12.2,12.26,11.955,12.06,522200
121.0,2022-10-26,12.16,12.16,11.57,11.57,678200
122.0,2022-10-27,11.81,11.81,11.29,11.66,595600
123.0,2022-10-28,11.84,11.84,11.41,11.49,497300
124.0,2022-10-31,11.5,11.572,10.99,11.28,783800
125.0,2022-11-01,11.5,11.61,11.25,11.3,535700
126.0,2022-11-02,11.3,11.68,10.96,11.39,560900
127.0,2022-11-03,11.39,11.78,11.2,11.27,414900
128.0,2022-11-04,11.33,11.7,11.21,11.65,652400
129.0,2022-11-07,11.73,11.76,11.38,11.54,592300
130.0,2022-11-08,11.6,11.88,11.48,11.63,400800
131.0,2022-11-09,11.49,11.69,11.46,11.49,458300
132.0,2022-11-10,11.71,11.842,11.5,11.67,451300
133.0,2022-11-11,11.72,12.03,11.62,11.7,734800
134.0,2022-11-14,11.7,12.14,11.3,12.08,774900
135.0,2022-11-15,11.94,12.04,11.4,11.53,723400
136.0,2022-11-16,11.44,11.56,10.98,11.09,684000
137.0,2022-11-17,10.95,11.165,10.7,11.07,429100
138.0,2022-11-18,11.15,11.21,10.81,11.12,388000
139.0,2022-11-21,11.06,11.06,10.65,10.76,450000
140.0,2022-11-22,10.77,10.99,10.57,10.92,453600
141.0,2022-11-23,10.89,11.03,10.67,11.0,336500
142.0,2022-11-25,11.0,11.41,10.82,11.22,358000
143.0,2022-11-28,11.04,11.4,10.71,10.77,565500
144.0,2022-11-29,10.82,10.87,10.685,10.8,453800
145.0,2022-11-30,10.81,10.95,10.68,10.9,703300
146.0,2022-12-01,10.9,11.18,10.79,10.9,616600
147.0,2022-12-02,10.77,11.15,10.75,11.14,519800
148.0,2022-12-05,11.15,11.16,10.66,10.89,647000
149.0,2022-12-06,10.9,11.0,10.82,10.82,415000
150.0,2022-12-07,10.79,11.04,10.72,10.85,444300
151.0,2022-12-08,10.87,11.07,10.76,10.94,570500
152.0,2022-12-09,10.95,11.13,10.68,10.78,384100
153.0,2022-12-12,10.83,10.92,10.64,10.89,353100
154.0,2022-12-13,11.05,11.24,10.25,10.34,906500
155.0,2022-12-14,10.36,10.58,10.13,10.51,1120000
156.0,2022-12-15,10.32,10.55,10.195,10.28,836000
157.0,2022-12-16,10.24,10.24,9.6,9.71,1939500
158.0,2022-12-19,9.75,10.19,9.65,9.96,1029900
159.0,2022-12-20,9.95,10.34,9.925,10.13,984200
160.0,2022-12-21,10.13,10.49,9.97,10.25,405700
161.0,2022-12-22,10.22,10.222,10.0,10.04,475900
162.0,2022-12-23,10.05,10.11,9.97,10.11,245000
163.0,2022-12-27,10.06,10.22,9.83,10.21,400300
164.0,2022-12-28,10.23,10.36,9.96,10.1,252400
165.0,2022-12-29,10.1,10.5,10.08,10.5,340800
166.0,2022-12-30,10.37,10.53,10.2,10.26,337500
167.0,2023-01-03,10.26,10.39,10.022,10.24,480200
168.0,2023-01-04,10.3,10.615,10.226,10.57,503200
169.0,2023-01-05,10.54,10.54,10.25,10.43,336000
170.0,2023-01-06,10.45,10.45,10.135,10.27,477800
171.0,2023-01-09,10.42,10.7,10.3,10.5,750800
172.0,2023-01-10,10.57,10.67,10.295,10.6,595700
173.0,2023-01-11,10.64,10.76,10.555,10.66,413000
174.0,2023-01-12,10.69,10.95,10.58,10.84,652300
175.0,2023-01-13,10.83,11.19,10.79,10.89,852700
176.0,2023-01-17,11.0,11.19,10.4,10.41,745900
177.0,2023-01-18,10.45,10.88,10.325,10.36,581800
178.0,2023-01-19,10.33,10.7,10.27,10.39,568200
179.0,2023-01-20,10.45,10.55,10.273,10.29,605400
180.0,2023-01-23,10.62,10.825,10.221,10.3,1127600
181.0,2023-01-24,11.32,11.32,10.22,10.5,1197600
182.0,2023-01-25,10.51,11.14,10.4,10.97,1894600
183.0,2023-01-26,11.18,11.18,10.52,10.68,1087200
184.0,2023-01-27,10.64,11.08,10.55,11.05,1049100
185.0,2023-01-30,11.05,11.11,10.61,10.72,1324500
186.0,2023-01-31,10.79,10.89,10.65,10.66,3376800
187.0,2023-02-01,10.66,11.18,10.52,11.06,1179800
188.0,2023-02-02,11.18,11.19,10.76,10.79,927800
189.0,2023-02-03,10.75,10.8,10.47,10.66,811900
190.0,2023-02-06,10.66,10.88,10.56,10.87,601400
191.0,2023-02-07,10.79,10.79,10.2,10.32,961800
192.0,2023-02-08,10.41,10.43,10.16,10.24,684100
193.0,2023-02-09,10.32,10.535,10.16,10.22,586500
194.0,2023-02-10,10.22,10.75,10.17,10.7,626500
195.0,2023-02-13,10.78,10.78,10.33,10.57,525400
196.0,2023-02-14,10.47,10.53,10.25,10.46,393800
197.0,2023-02-15,10.4,10.57,10.31,10.55,448500
198.0,2023-02-16,10.39,10.688,10.29,10.4,472000
199.0,2023-02-17,10.4,10.58,10.27,10.54,490000
200.0,2023-02-21,10.5,10.5,10.13,10.27,688000
201.0,2023-02-22,10.3,10.33,10.015,10.25,615400
202.0,2023-02-23,10.25,10.38,10.14,10.33,430000
203.0,2023-02-24,10.25,10.25,10.06,10.11,374800
204.0,2023-02-27,10.21,10.305,10.14,10.16,377700
205.0,2023-02-28,10.18,10.47,10.13,10.35,529200
206.0,2023-03-01,10.32,10.34,10.135,10.24,426400
207.0,2023-03-02,10.18,10.29,9.85,10.0,720500
208.0,2023-03-03,10.03,10.3,9.955,10.3,430600
209.0,2023-03-06,10.3,10.4,10.165,10.18,363100
210.0,2023-03-07,10.2,10.34,10.03,10.05,402200
211.0,2023-03-08,10.09,10.12,9.96,10.12,302000
212.0,2023-03-09,10.1,10.15,9.8,9.86,495300
213.0,2023-03-10,9.8,9.85,9.38,9.44,968800
214.0,2023-03-13,9.29,9.69,9.16,9.66,650200
215.0,2023-03-14,9.79,9.84,9.31,9.5,686200
216.0,2023-03-15,9.37,9.47,8.91,9.0,1053500
217.0,2023-03-16,9.05,9.07,8.6,8.8,858700
218.0,2023-03-17,8.78,8.81,8.54,8.76,1105000
219.0,2023-03-20,8.755,8.96,8.56,8.6,771200
220.0,2023-03-21,8.65,8.96,8.65,8.86,604200
221.0,2023-03-22,8.86,8.95,8.62,8.62,473900
222.0,2023-03-23,8.65,8.875,8.37,8.47,616100
223.0,2023-03-24,8.44,8.45,8.21,8.33,524200
224.0,2023-03-27,8.4,8.43,8.18,8.33,489300
225.0,2023-03-28,8.35,8.39,8.09,8.22,676400
226.0,2023-03-29,8.29,8.59,8.252,8.53,379300
227.0,2023-03-30,8.65,8.92,8.63,8.83,565300
228.0,2023-03-31,8.9,9.15,8.83,9.09,464600
229.0,2023-04-03,9.16,9.27,9.0,9.05,357200
230.0,2023-04-04,9.12,9.16,8.57,8.64,418800
231.0,2023-04-05,8.65,8.69,8.425,8.49,342200
232.0,2023-04-06,8.52,8.55,8.24,8.27,584000
233.0,2023-04-10,8.19,8.49,8.19,8.44,387300
234.0,2023-04-11,8.49,8.93,8.46,8.77,573100
235.0,2023-04-12,8.9,8.973,8.76,8.79,366600
236.0,2023-04-13,8.8,9.09,8.78,8.96,357500
237.0,2023-04-14,8.97,9.09,8.86,8.97,342100
238.0,2023-04-17,9.01,9.25,8.96,9.0,479900
239.0,2023-04-18,9.01,9.12,8.84,8.94,337000
240.0,2023-04-19,8.84,8.95,8.703,8.85,250500
241.0,2023-04-20,8.83,8.9,8.645,8.78,329400
242.0,2023-04-21,8.76,8.79,8.555,8.72,357200
243.0,2023-04-24,8.75,8.75,8.58,8.59,313000
244.0,2023-04-25,8.5,8.615,8.46,8.47,263200
245.0,2023-04-26,8.51,8.6,8.35,8.49,318500
246.0,2023-04-27,8.57,8.72,8.53,8.68,348600
247.0,2023-04-28,8.65,9.0,8.625,8.87,522200
248.0,2023-05-01,9.0,9.01,8.5,8.54,539200
249.0,2023-05-02,8.54,8.55,7.905,8.06,1074700
250.0,2023-05-03,8.14,8.26,7.75,7.83,702200
251.0,2023-05-04,7.9,7.908,7.615,7.69,557400
252.0,2023-05-05,7.81,8.07,7.7,8.06,594200
253.0,2023-05-08,8.22,8.22,7.85,8.01,716400
254.0,2023-05-09,7.95,8.13,7.75,8.04,770300
255.0,2023-05-10,8.0,8.04,7.6,7.94,712400
256.0,2023-05-11,8.355,8.48,8.11,8.3,1279200
257.0,2023-05-12,8.4,8.51,8.18,8.3,843600
258.0,2023-05-15,8.39,8.49,8.13,8.3,668600
259.0,2023-05-16,8.35,8.46,7.87,7.93,766400
260.0,2023-05-17,7.95,8.182,7.8,8.15,839500
261.0,2023-05-18,8.15,8.19,7.76,7.79,761700
262.0,2023-05-19,7.85,7.97,7.67,7.69,726800
263.0,2023-05-22,8.01,8.29,7.82,8.11,1953800
264.0,2023-05-23,8.16,8.97,8.02,8.71,2506300
265.0,2023-05-24,8.675,8.675,7.9,7.98,1686700
266.0,2023-05-25,8.0,8.09,7.82,7.91,1361100
267.0,2023-05-26,7.98,8.05,7.73,7.79,956600
268.0,2023-05-30,7.8,7.84,7.32,7.5,1746400
269.0,2023-05-31,7.5,7.58,7.26,7.5,1286800
270.0,2023-06-01,7.52,7.71,7.34,7.59,1346400
271.0,2023-06-02,7.66,7.74,7.55,7.67,947000
272.0,2023-06-05,7.74,7.99,7.615,7.74,982300
273.0,2023-06-06,7.68,8.07,7.64,7.97,1100300
274.0,2023-06-07,8.0,8.34,7.92,8.24,1311500
275.0,2023-06-08,8.29,8.39,8.02,8.21,1490200
276.0,2023-06-09,8.23,8.23,7.68,7.88,1117000
277.0,2023-06-12,7.88,8.265,7.88,8.25,952100
278.0,2023-06-13,8.31,8.71,8.3,8.44,1374400
279.0,2023-06-14,8.44,8.54,8.12,8.23,1306200
280.0,2023-06-15,8.22,8.355,8.01,8.11,1728900
281.0,2023-06-16,8.15,8.239,7.97,8.17,4601900
282.0,2023-06-20,8.17,8.3,7.7,7.9,2069700
283.0,2023-06-21,7.89,8.11,7.733,8.08,1257200
284.0,2023-06-22,8.08,8.08,7.725,7.74,809400
285.0,2023-06-23,7.66,7.66,7.23,7.27,4708000
286.0,2023-06-26,7.3,7.32,6.69,6.73,1743300
287.0,2023-06-27,6.78,6.839,6.415,6.59,2105900
288.0,2023-06-28,6.59,6.78,6.51,6.67,1253100
289.0,2023-06-29,6.71,7.05,6.65,6.84,1074200
290.0,2023-06-30,6.9,6.952,6.77,6.8,986800
291.0,2023-07-03,6.86,7.1,6.86,7.07,599200
292.0,2023-07-05,7.04,7.09,6.86,6.91,684500
293.0,2023-07-06,6.8,6.81,6.47,6.67,1052100
294.0,2023-07-07,6.72,7.42,6.71,7.26,1887000
295.0,2023-07-10,7.29,7.68,7.26,7.49,1376400
296.0,2023-07-11,7.58,7.945,7.52,7.88,1271000
297.0,2023-07-12,8.03,8.05,7.61,7.63,1284200
298.0,2023-07-13,7.77,7.889,7.65,7.87,959300
299.0,2023-07-14,7.9,7.939,7.63,7.65,628400
300.0,2023-07-17,7.64,7.85,7.57,7.84,706000
301.0,2023-07-18,7.84,8.05,7.79,7.85,848800
302.0,2023-07-19,7.92,8.02,7.683,7.7,814200
303.0,2023-07-20,7.66,7.817,7.4,7.49,1227700
304.0,2023-07-21,7.56,7.599,7.4,7.44,474500
305.0,2023-07-24,7.49,7.71,7.35,7.36,551500
306.0,2023-07-25,7.41,7.52,7.34,7.49,736800
307.0,2023-07-26,7.49,7.73,7.365,7.4,780000
308.0,2023-07-27,7.44,7.48,6.805,6.85,1161700
309.0,2023-07-28,7.0,7.08,6.87,7.05,826000
310.0,2023-07-31,7.15,7.83,7.14,7.58,3117700
311.0,2023-08-01,7.55,7.73,7.38,7.5,1179100
312.0,2023-08-02,7.45,7.47,7.155,7.27,821200
313.0,2023-08-03,7.2,7.33,7.075,7.1,625800
314.0,2023-08-04,7.19,7.485,7.19,7.39,841300
315.0,2023-08-07,7.4,7.4,7.01,7.05,952100
316.0,2023-08-08,7.0,7.04,6.77,6.91,1380400
317.0,2023-08-09,6.92,6.98,6.76,6.92,986800
318.0,2023-08-10,6.86,7.94,6.85,7.07,2139900
319.0,2023-08-11,7.14,7.25,6.9,7.2,816900
320.0,2023-08-14,7.1,7.18,6.85,7.14,946700
321.0,2023-08-15,7.02,7.11,6.87,6.99,1068100
322.0,2023-08-16,6.95,7.32,6.87,6.98,1093400
323.0,2023-08-17,7.0,7.03,6.71,6.71,1273700
324.0,2023-08-18,6.6,6.77,6.52,6.67,963000
325.0,2023-08-21,6.68,6.895,6.53,6.53,883700
326.0,2023-08-22,6.54,6.61,6.23,6.23,1449500
327.0,2023-08-23,6.2,6.32,6.09,6.1,1040400
328.0,2023-08-24,6.08,6.08,5.8,5.82,1665000
329.0,2023-08-25,5.86,6.0,5.75,5.85,847300
330.0,2023-08-28,5.93,6.11,5.9,6.02,911100
331.0,2023-08-29,6.0,6.08,5.74,6.0,1084300
332.0,2023-08-30,6.0,6.21,5.86,6.01,1111600
333.0,2023-08-31,6.05,6.24,5.97,5.97,866500
334.0,2023-09-01,6.07,6.36,6.03,6.26,1250100
335.0,2023-09-05,6.32,6.345,6.15,6.2,1131800
336.0,2023-09-06,6.18,6.23,5.835,5.85,868800
337.0,2023-09-07,5.88,6.015,5.7,5.92,1279700
338.0,2023-09-08,5.94,5.99,5.85,5.92,778500
339.0,2023-09-11,5.96,6.07,5.91,5.92,1053400
340.0,2023-09-12,5.92,6.18,5.91,6.18,1092700
341.0,2023-09-13,6.2,6.5,6.13,6.36,1900900
342.0,2023-09-14,6.43,6.71,6.13,6.16,1708200
343.0,2023-09-15,6.16,6.21,5.97,6.0,1813000
344.0,2023-09-18,6.02,6.02,5.5,5.51,1941000
345.0,2023-09-19,5.53,5.785,5.43,5.67,1234500
346.0,2023-09-20,5.67,5.785,5.51,5.54,1051600
347.0,2023-09-21,5.46,5.51,5.3,5.31,1083400
348.0,2023-09-22,5.33,5.39,5.22,5.24,1048100
349.0,2023-09-25,5.24,5.41,5.03,5.17,1736600
350.0,2023-09-26,5.09,5.325,5.06,5.07,912000
351.0,2023-09-27,5.12,5.33,5.102,5.14,946400
352.0,2023-09-28,5.14,5.15,5.005,5.06,712000
353.0,2023-09-29,5.1,5.17,4.88,4.9,983200
354.0,2023-10-02,4.9,4.9,4.48,4.51,1574200
355.0,2023-10-03,4.48,5.02,4.47,4.96,2158100
356.0,2023-10-04,4.96,5.0,4.65,4.68,1321300
357.0,2023-10-05,4.65,4.725,4.555,4.68,1124600
358.0,2023-10-06,4.96,5.84,4.905,5.75,14017200
359.0,2023-10-09,5.66,5.74,5.3,5.42,3242400
360.0,2023-10-10,5.43,5.79,5.41,5.71,2523300
361.0,2023-10-11,5.8,5.82,5.48,5.74,1223100
362.0,2023-10-12,5.75,5.76,5.35,5.48,1161300
363.0,2023-10-13,5.54,5.86,5.48,5.78,1932600
364.0,2023-10-16,5.8,5.908,5.67,5.88,1175900
365.0,2023-10-17,5.83,5.86,5.54,5.61,1462400
366.0,2023-10-18,5.56,5.56,5.0,5.04,1763400
367.0,2023-10-19,5.07,5.16,4.38,4.46,4460600
368.0,2023-10-20,4.47,4.47,3.79,3.8,5705400
369.0,2023-10-23,3.75,3.83,3.425,3.45,2693000
370.0,2023-10-24,3.5,3.875,3.5,3.67,2966900
371.0,2023-10-25,3.67,3.7,3.49,3.5,1622800
372.0,2023-10-26,3.525,3.63,3.435,3.54,1461900
373.0,2023-10-27,3.54,3.55,3.185,3.2,1951700
374.0,2023-10-30,3.27,3.35,3.07,3.07,1319100
375.0,2023-10-31,3.08,3.47,3.06,3.38,2417500
376.0,2023-11-01,3.35,3.36,3.01,3.11,2495400
377.0,2023-11-02,3.22,3.49,3.22,3.48,1703600
378.0,2023-11-03,3.6,3.65,3.37,3.45,2033800
379.0,2023-11-06,3.53,3.54,3.08,3.26,2334000
380.0,2023-11-07,3.27,3.31,3.14,3.21,1229900
381.0,2023-11-08,3.26,3.26,3.07,3.1,2405000
382.0,2023-11-09,2.16,2.18,1.81,2.08,7414200
383.0,2023-11-10,2.18,2.18,1.82,2.09,4330300
384.0,2023-11-13,2.07,2.31,2.0,2.31,3673100
385.0,2023-11-14,2.41,2.47,2.2,2.45,3579600
386.0,2023-11-15,2.53,2.795,2.51,2.68,3197100
387.0,2023-11-16,2.76,2.79,2.29,2.31,3212700
388.0,2023-11-17,2.38,2.51,2.26,2.5,2246300
389.0,2023-11-20,2.7,2.71,2.52,2.56,2263200
390.0,2023-11-21,2.59,2.59,2.4,2.48,1884200
391.0,2023-11-22,2.51,2.6,2.47,2.57,1258900
392.0,2023-11-24,2.58,2.87,2.57,2.83,1376800
393.0,2023-11-27,2.86,2.93,2.74,2.79,1474700
394.0,2023-11-28,2.74,2.76,2.59,2.67,1321000
395.0,2023-11-29,2.74,2.84,2.73,2.76,1367100
396.0,2023-11-30,2.83,2.84,2.69,2.77,1446300
397.0,2023-12-01,2.78,3.17,2.69,3.04,1950600
398.0,2023-12-04,3.07,3.21,3.055,3.15,1881200
399.0,2023-12-05,3.2,3.219,3.02,3.08,1271900
