,DateTime,Open,High,Low,Close,Volume
0,2000-01-03,24.5,25.0,22.06,23.84,2437597
1,2000-01-04,23.11,23.56,22.33,22.42,2598215
2,2000-01-05,22.04,22.24,18.768,21.35,7109855
3,2000-01-06,21.02,21.48,19.64,19.64,2269475
4,2000-01-07,20.25,21.0,19.75,20.52,4286746
5,2000-01-10,21.04,22.48,20.73,21.52,2718948
6,2000-01-11,21.75,21.97,20.58,21.22,2057197
7,2000-01-12,21.37,21.75,20.19,20.53,1400804
8,2000-01-13,21.42,21.86,21.05,21.36,1044515
9,2000-01-14,22.0,22.25,21.69,22.09,1183597
10,2000-01-18,22.26,24.48,22.2,23.9,2646265
11,2000-01-19,24.55,24.71,23.29,24.38,2460382
12,2000-01-20,24.91,26.72,23.83,26.53,2934715
13,2000-01-21,27.53,27.72,25.65,26.34,2042044
14,2000-01-24,26.7,27.12,24.99,25.24,2639010
15,2000-01-25,25.23,25.72,23.48,25.63,2026547
16,2000-01-26,25.5,26.0,24.1,24.19,1726778
17,2000-01-27,28.06,36.18,27.5,35.1,14951346
18,2000-01-28,33.12,34.68,28.74,29.49,5334203
19,2000-01-31,30.44,34.13,28.31,33.47,6279590
20,2000-02-01,33.5,34.48,30.79,33.73,3942560
21,2000-02-02,33.67,34.22,31.94,33.73,2230327
22,2000-02-03,34.27,34.51,31.74,33.77,5808460
23,2000-02-04,34.19,37.38,34.16,35.5,6554400
24,2000-02-07,36.36,37.3,35.86,36.23,2324172
25,2000-02-08,37.13,38.94,34.95,35.73,3038767
26,2000-02-09,36.73,37.73,35.48,35.56,4983371
27,2000-02-10,36.5,37.34,36.31,37.03,2767605
28,2000-02-11,37.38,38.28,36.41,37.27,2063996
29,2000-02-14,38.0,38.81,37.25,38.11,3517618
30,2000-02-15,38.22,38.58,35.91,37.75,1395600
31,2000-02-16,38.06,38.81,36.37,37.31,1931586
32,2000-02-17,37.67,39.92,37.67,38.52,4251171
33,2000-02-18,38.7,38.83,35.46,36.45,2453952
34,2000-02-22,37.25,37.38,35.47,36.44,3099986
35,2000-02-23,35.8,37.57,35.74,36.75,3593697
36,2000-02-24,38.44,41.0,38.25,39.81,4007776
37,2000-02-25,41.25,44.88,40.75,44.62,4522000
38,2000-02-28,45.83,46.2,42.27,42.89,2681800
