,DateTime,Open,High,Low,Close,Volume
0,2010-11-03,24.75,25.5,23.15,24.13,6072656
1,2010-11-04,27.4,33.7,26.85,30.0,3114494
2,2010-11-05,32.89,33.11,30.8,31.88,1432785
3,2010-11-08,32.0,37.86,31.78,34.86,1638000
4,2010-11-09,36.5,36.78,31.57,33.87,1596271
5,2010-11-10,32.82,33.62,31.78,32.88,899222
6,2010-11-11,31.81,33.85,31.01,32.01,883634
7,2010-11-12,31.4,32.5,29.75,30.7,558144
8,2010-11-15,30.755,31.25,29.894,30.69,425202
9,2010-11-16,30.16,30.893,29.16,30.1001,309635
10,2010-11-17,30.15,31.92,29.75,30.81,691016
11,2010-11-18,31.95,32.5,30.884,30.99,254880
12,2010-11-19,30.99,32.0,30.13,30.56,190593
13,2010-11-22,30.75,35.4,30.75,35.21,934009
14,2010-11-23,35.18,39.15,34.1,38.85,1798075
15,2010-11-24,40.82,43.26,40.3,41.35,1771870
16,2010-11-26,42.5,42.81,41.3,41.57,466649
17,2010-11-29,42.33,42.48,39.11,41.54,1099125
18,2010-11-30,43.56,43.87,32.9,32.94,3349908
19,2010-12-01,33.93,35.6,31.68,31.89,2453660
20,2010-12-02,32.02,32.96,30.06,30.95,1598893
21,2010-12-03,31.68,33.56,31.17,33.3,1623237
22,2010-12-06,33.53,35.34,33.32,35.0,1184604
23,2010-12-07,35.83,36.43,33.75,34.15,836425
24,2010-12-08,33.85,34.96,33.3,34.68,453332
25,2010-12-09,35.14,35.75,33.95,34.03,236868
26,2010-12-10,34.01,34.3999,32.27,32.48,549347
27,2010-12-13,33.27,33.5,31.58,31.73,568515
28,2010-12-14,31.56,32.2,29.54,30.22,937489
29,2010-12-15,30.4,30.9666,29.63,30.18,383636
30,2010-12-16,30.78,30.78,29.9,30.14,240419
31,2010-12-17,30.45,32.13,30.31,31.3596,431169
32,2010-12-20,31.82,33.33,31.01,32.36,530887
33,2010-12-21,33.15,34.85,32.8,34.77,636145
34,2010-12-22,35.5,35.72,33.43,34.07,497174
35,2010-12-23,34.24,34.24,33.097,33.43,183434
36,2010-12-27,33.0,33.15,32.21,33.0,170582
37,2010-12-28,33.0,33.02,31.6,31.86,231134
38,2010-12-29,31.65,32.0344,31.0,31.4,182325
39,2010-12-30,31.44,32.4,30.8,31.57,325291
40,2010-12-31,31.2,31.85,31.16,31.51,184181
41,2011-01-03,31.72,31.9999,30.05,30.34,544792
42,2011-01-04,30.14,30.858,28.73,28.86,895275
43,2011-01-05,28.68,28.7,27.0,27.04,910808
44,2011-01-06,27.0,29.1,27.0,28.99,711137
45,2011-01-07,29.34,30.99,29.14,30.7,838876
46,2011-01-10,30.75,32.5,30.35,31.8,660017
47,2011-01-11,32.48,32.717,31.9,32.09,261045
48,2011-01-12,32.27,32.74,30.85,32.7,356432
49,2011-01-13,33.0,39.4,32.9,39.0,4077083
50,2011-01-14,38.65,40.92,35.87,37.8853,2277428
51,2011-01-18,37.46,39.88,37.16,39.1,524182
52,2011-01-19,39.23,40.2,37.58,38.13,346265
53,2011-01-20,38.19,38.23,36.6,36.71,317448
54,2011-01-21,37.85,39.25,36.91,37.91,374512
55,2011-01-24,38.5,38.74,37.25,37.88,87446
56,2011-01-25,37.63,40.9,37.63,39.31,697554
57,2011-01-26,39.5,40.38,38.75,39.53,426540
58,2011-01-27,39.48,40.23,38.55,38.98,222466
59,2011-01-28,39.4,40.0,38.8,39.69,351752
60,2011-01-31,40.24,43.04,39.73,42.95,1347263
61,2011-02-01,43.0,44.78,40.6,41.79,766184
62,2011-02-02,41.67,43.31,41.26,43.0,163370
63,2011-02-03,43.05,43.5,41.89,42.57,239208
64,2011-02-04,42.63,43.29,42.09,42.41,131468
65,2011-02-07,42.97,44.89,42.67,44.28,519462
66,2011-02-08,44.81,45.13,43.21,43.65,244327
67,2011-02-09,43.61,43.63,42.71,43.35,128704
68,2011-02-10,43.19,44.36,41.96,43.41,163640
69,2011-02-11,43.11,45.51,43.07,44.17,355371
70,2011-02-14,44.14,45.33,44.14,45.24,209849
71,2011-02-15,45.0,45.0,43.31,44.49,285157
72,2011-02-16,44.22,44.414,42.55,42.8384,288091
73,2011-02-17,42.7,43.935,42.25,42.8,125135
74,2011-02-18,43.97,43.98,42.04,42.63,199883
75,2011-02-22,42.0,42.89,41.25,41.89,221403
76,2011-02-23,41.63,41.74,38.0,39.6,473692
77,2011-02-24,39.77,40.58,38.18,40.32,266838
78,2011-02-25,40.79,43.47,40.75,43.43,420025
79,2011-02-28,43.9,45.13,43.4,44.38,772993
80,2011-03-01,45.66,46.88,39.42,39.58,2508604
81,2011-03-02,40.43,41.33,39.77,40.66,491950
82,2011-03-03,41.48,41.48,40.2,40.79,215657
83,2011-03-04,40.41,41.3,40.01,40.24,139649
84,2011-03-07,40.45,43.24,40.45,42.66,546450
85,2011-03-08,42.55,42.55,41.31,41.54,256039
86,2011-03-09,41.48,42.69,41.02,42.44,226039
87,2011-03-10,42.08,43.7,41.38,43.48,411644
88,2011-03-11,42.87,45.25,42.87,44.49,623042
89,2011-03-14,44.0,44.89,43.32,44.34,240656
90,2011-03-15,43.08,43.65,42.38,43.25,245225
91,2011-03-16,43.11,43.88,41.6,42.08,187841
92,2011-03-17,42.6,43.0,41.0,41.62,177998
93,2011-03-18,41.95,42.24,40.1,41.22,257334
94,2011-03-21,41.27,42.9,41.27,41.58,202844
95,2011-03-22,42.27,42.27,41.1,41.8,227547
96,2011-03-23,41.55,42.08,40.79,41.32,553907
97,2011-03-24,41.48,41.99,40.5,40.62,233458
98,2011-03-25,41.37,43.17,40.56,42.05,272540
99,2011-03-28,42.25,43.08,41.52,41.74,148597
100,2011-03-29,41.45,42.85,41.45,42.8,334792
101,2011-03-30,43.15,44.4,42.74,44.197,370792
102,2011-03-31,44.1,44.25,42.9,43.87,291848
103,2011-04-01,44.64,48.2,43.56,46.6,822522
104,2011-04-04,47.5,47.92,41.26,42.71,1262997
105,2011-04-05,42.75,43.47,42.1,42.5,414382
106,2011-04-06,42.58,43.25,41.2,41.68,366728
107,2011-04-07,41.42,42.37,41.25,42.0,167407
108,2011-04-08,42.23,42.6,41.57,42.09,102408
109,2011-04-11,42.08,42.2,40.51,41.15,233638
110,2011-04-12,40.76,43.14,40.5,42.7,607216
111,2011-04-13,43.04,45.6,42.08,45.03,1125883
112,2011-04-14,45.17,46.2,44.09,44.81,3818275
113,2011-04-15,44.41,44.54,43.3,43.41,1145023
114,2011-04-18,43.11,43.25,41.65,43.03,627427
115,2011-04-19,43.49,43.49,41.41,41.8,378958
116,2011-04-20,42.11,42.85,41.51,41.96,364651
117,2011-04-21,42.81,43.57,41.85,43.54,319775
118,2011-04-25,43.84,47.9,43.64,47.16,1515103
119,2011-04-26,47.6,48.64,45.85,46.45,555533
120,2011-04-27,47.03,47.24,44.6,46.3,366164
121,2011-04-28,46.14,47.63,45.6,46.56,534019
122,2011-04-29,46.95,46.95,45.4,45.72,242128
123,2011-05-02,46.25,47.49,43.25,43.78,1000644
124,2011-05-03,43.97,44.71,43.25,44.49,403787
125,2011-05-04,44.4,44.85,41.96,42.33,743580
126,2011-05-05,42.0,43.89,41.24,42.24,572727
127,2011-05-06,43.45,43.45,41.61,42.02,327038
128,2011-05-09,42.23,43.24,42.05,42.99,407342
129,2011-05-10,43.05,46.23,43.05,46.22,755837
130,2011-05-11,45.9,46.25,44.34,45.5,483170
131,2011-05-12,45.35,46.05,44.75,45.67,365160
132,2011-05-13,45.77,46.22,44.58,44.73,335853
133,2011-05-16,45.18,45.24,43.01,43.26,485676
134,2011-05-17,43.41,44.9691,43.361,43.74,809128
135,2011-05-18,48.17,54.75,46.63,54.02,9703768
136,2011-05-19,52.8,56.54,52.73,56.45,4320126
137,2011-05-20,55.53,56.74,54.25,55.4,1499995
138,2011-05-23,53.9,54.8,53.25,54.36,756851
139,2011-05-24,55.88,58.0,54.38,57.83,2728440
140,2011-05-25,57.75,59.94,56.4,56.51,1891022
141,2011-05-26,57.37,57.5,54.89,56.54,1016437
142,2011-05-27,57.12,58.32,55.86,56.28,623989
143,2011-05-31,57.8,58.72,55.81,58.12,754940
144,2011-06-01,57.55,58.14,56.25,56.37,811465
145,2011-06-02,56.36,57.68,56.25,56.75,686385
146,2011-06-03,55.88,57.86,55.41,56.36,596273
147,2011-06-06,56.39,59.63,56.39,57.28,1160027
148,2011-06-07,58.13,61.7,58.13,61.05,1965636
149,2011-06-08,61.54,63.2,58.56,58.85,1572995
150,2011-06-09,59.19,61.12,58.8,59.66,1006085
151,2011-06-10,59.63,59.96,56.25,57.37,1112165
152,2011-06-13,58.64,58.87,52.38,52.57,2391586
153,2011-06-14,54.01,56.17,52.65,54.5,1807011
154,2011-06-15,53.36,54.82,52.76,54.64,821925
155,2011-06-16,54.21,55.49,52.26,54.45,826035
156,2011-06-17,55.07,55.53,51.41,51.42,734364
157,2011-06-20,51.45,53.03,50.55,53.0,1214457
158,2011-06-21,53.85,54.98,52.51,52.844,894971
159,2011-06-22,52.84,53.87,52.51,52.62,418509
160,2011-06-23,51.53,53.65,50.1,53.25,1353030
161,2011-06-24,52.98,54.42,52.61,53.71,582586
162,2011-06-27,54.41,57.63,54.1,57.26,1052873
163,2011-06-28,58.11,59.96,57.05,59.55,821618
164,2011-06-29,60.0,61.5,59.0,59.76,955985
165,2011-06-30,60.84,61.29,59.52,60.89,510685
166,2011-07-01,61.3,68.66,61.09,68.24,1797195
167,2011-07-05,67.75,71.8,65.64,70.39,1885835
168,2011-07-06,73.51,77.07,73.51,76.67,2850228
169,2011-07-07,78.47,79.64,71.64,71.95,2794391
170,2011-07-08,72.75,76.6,69.8,75.69,2059770
171,2011-07-11,73.51,75.88,71.92,72.81,1351890
172,2011-07-12,72.5,72.73,66.58,66.87,1903845
173,2011-07-13,68.79,73.25,67.55,71.92,1679364
174,2011-07-14,73.0,75.27,70.1,73.87,1604424
175,2011-07-15,74.59,75.25,72.04,74.5,842211
176,2011-07-18,73.51,74.38,71.95,72.73,720773
177,2011-07-19,73.7,75.34,69.56,69.63,2236253
178,2011-07-20,70.5,70.98,68.0,69.93,781800
179,2011-07-21,70.0,70.83,67.56,68.39,802876
180,2011-07-22,67.93,71.279,66.75,68.69,1262573
181,2011-07-25,67.47,69.35,67.0,67.94,440497
182,2011-07-26,68.52,69.0,66.97,67.27,595711
183,2011-07-27,67.0,67.0,63.0,65.05,1383115
184,2011-07-28,67.5,74.4,67.25,70.76,2408504
185,2011-07-29,69.62,74.0,69.52,73.45,1345464
186,2011-08-01,76.9,79.72,74.62,77.7,2277495
187,2011-08-02,77.43,77.7,74.15,75.24,972519
188,2011-08-03,75.61,76.77,70.0,75.54,1593267
189,2011-08-04,74.57,74.57,67.13,68.26,1215228
190,2011-08-05,71.7,73.43,67.14,70.31,1195785
191,2011-08-08,66.01,68.0,62.2,63.12,1841909
192,2011-08-09,65.01,69.76,62.5,67.83,1398866
193,2011-08-10,66.43,71.68,64.28,68.81,2214979
194,2011-08-11,62.11,62.18,40.97,45.52,17526645
195,2011-08-12,49.43,49.95,45.76,47.73,4476469
196,2011-08-15,48.86,51.8,47.95,50.34,2574623
197,2011-08-16,46.6,48.39,38.27,38.6,8919277
198,2011-08-17,40.0,40.0,35.52,38.8,6162531
199,2011-08-18,37.35,40.4,37.0,39.69,4373900
200,2011-08-19,41.95,43.0,37.75,37.95,3742403
201,2011-08-22,39.72,39.96,34.4,34.46,2726707
202,2011-08-23,35.6,36.09,32.5,33.6,4336624
203,2011-08-24,34.18,36.48,33.79,34.91,2756160
204,2011-08-25,35.48,36.0,33.61,33.8,1299615
205,2011-08-26,33.57,35.8,32.7,34.65,1474951
206,2011-08-29,35.85,38.0,35.5,36.95,1702805
207,2011-08-30,36.2,37.89,36.05,36.51,1208804
208,2011-08-31,37.5,37.5,35.18,35.41,1285332
209,2011-09-01,35.17,36.14,34.0,34.93,1028936
210,2011-09-02,33.59,36.83,33.59,35.64,1821776
211,2011-09-06,36.32,38.58,36.0,38.45,2678954
212,2011-09-07,40.16,41.0,38.49,38.82,2971588
213,2011-09-08,38.15,41.5,37.7,40.87,2581749
214,2011-09-09,41.81,42.45,38.1,38.5749,2761602
215,2011-09-12,37.4,40.7,37.25,38.89,1798285
216,2011-09-13,40.84,42.7,39.9,42.22,2669152
217,2011-09-14,43.32,44.72,42.25,42.84,2612786
218,2011-09-15,43.07,43.74,40.95,42.24,1363204
219,2011-09-16,42.3106,42.641,40.5869,41.75,1288028
220,2011-09-19,40.46,42.34,40.24,42.3,1017716
221,2011-09-20,42.04,43.99,39.97,39.99,1878833
222,2011-09-21,40.64,42.41,40.13,40.33,1045041
223,2011-09-22,38.16,38.49,34.2,35.69,2437894
224,2011-09-23,35.62,37.97,35.44,36.74,983015
225,2011-09-26,37.36,37.73,35.27,37.46,877246
226,2011-09-27,38.1,40.24,37.27,37.78,1317537
227,2011-09-28,37.77,38.58,35.84,36.1,1114976
228,2011-09-29,37.31,37.59,32.35,34.81,1702361
229,2011-09-30,33.39,34.18,31.0,33.05,1583850
230,2011-10-03,32.2,33.36,29.0,29.11,1480060
231,2011-10-04,30.15,31.81,27.85,31.76,2594223
232,2011-10-05,31.86,33.77,31.0,32.77,1762772
233,2011-10-06,33.19,36.03,32.98,35.78,1670292
234,2011-10-07,36.95,37.0,33.7,35.06,1006834
235,2011-10-10,36.38,37.15,35.52,36.27,733770
236,2011-10-11,35.92,37.59,35.92,37.5,545509
237,2011-10-12,38.53,38.53,35.6,36.25,1116912
238,2011-10-13,36.61,36.97,34.84,35.93,1075256
239,2011-10-14,36.51,36.82,34.57,35.2,918758
240,2011-10-17,34.65,35.6,33.33,33.83,557230
241,2011-10-18,33.34,33.76,31.05,32.93,1317994
242,2011-10-19,32.43,32.89,31.36,31.55,623741
243,2011-10-20,31.66,32.51,30.82,32.23,592899
244,2011-10-21,32.92,33.69,32.26,33.67,549733
245,2011-10-24,34.77,35.1,32.76,34.86,1087845
246,2011-10-25,34.18,34.2001,31.33,31.75,906594
247,2011-10-26,32.21,32.96,28.65,29.12,2546426
248,2011-10-27,30.68,31.12,29.2108,29.41,1737373
249,2011-10-28,29.4,34.2,29.35,33.86,2531178
250,2011-10-31,32.65,34.88,32.25,34.1,1539836
251,2011-11-01,32.32,33.19,30.99,31.83,1900358
252,2011-11-02,32.83,33.89,31.78,33.5,923867
253,2011-11-03,34.25,35.57,33.45,34.31,1360182
254,2011-11-04,34.4147,35.22,33.934,35.04,797669
255,2011-11-07,34.96,36.41,34.33,35.35,928509
256,2011-11-08,36.29,36.3,33.3,34.19,2291656
257,2011-11-09,38.02,39.5,33.5,36.03,9562051
258,2011-11-10,36.79,36.92,31.56,32.95,3348638
259,2011-11-11,33.75,34.39,32.25,32.63,1742236
260,2011-11-14,32.26,33.45,32.26,32.3607,869529
261,2011-11-15,32.21,34.17,32.0,33.75,1221512
262,2011-11-16,33.18,35.0,33.18,34.7,1200410
263,2011-11-17,34.5,35.19,32.82,33.5,934943
264,2011-11-18,33.45,33.93,32.16,32.5,736501
265,2011-11-21,31.59,31.75,29.5,30.53,1297692
266,2011-11-22,30.08,31.07,28.87,29.55,1233817
267,2011-11-23,28.9,29.23,27.6,28.64,1136093
268,2011-11-25,28.31,28.9,28.26,28.53,447517
269,2011-11-28,30.23,31.36,29.87,31.3262,991970
