,DateTime,Open,High,Low,Close,Volume
0,2000-01-03,24.625,24.625,23.5,23.875,403100
1,2000-01-04,23.625,23.625,22.125,22.25,290400
2,2000-01-05,22.125,22.125,21.125,22.0,226400
3,2000-01-06,22.125,23.75,22.0,23.125,135300
4,2000-01-07,23.875,24.0,23.25,23.25,90300
5,2000-01-10,21.5,22.0,21.125,21.25,163800
6,2000-01-11,21.5,21.625,21.0,21.25,118800
7,2000-01-12,21.25,21.25,20.25,20.75,160000
8,2000-01-13,20.875,22.0,20.75,21.625,132500
9,2000-01-14,21.625,22.375,21.625,21.625,157100
10,2000-01-18,21.625,22.75,21.625,22.75,292400
11,2000-01-19,22.75,23.875,22.75,23.5,232300
12,2000-01-20,23.5,23.875,22.25,22.625,129600
13,2000-01-21,23.125,25.25,23.125,25.0,221400
14,2000-01-24,25.0,25.0,23.25,23.375,121900
15,2000-01-25,23.625,23.625,22.75,22.75,66200
16,2000-01-26,23.25,24.0,23.125,23.375,218700
17,2000-01-27,23.5,23.5,22.25,22.5,45400
18,2000-01-28,22.5,22.5,21.875,21.875,53900
19,2000-01-31,21.125,21.25,19.5,20.0,282300
20,2000-02-01,20.25,21.0,20.0,20.75,203300
21,2000-02-02,21.0,21.75,20.5,20.875,82400
22,2000-02-03,21.0,21.0,20.375,20.875,130400
23,2000-02-04,20.5,20.5,16.875,18.125,2706700
24,2000-02-07,18.25,18.375,17.5,17.5,563300
25,2000-02-08,17.75,18.0,17.0,17.125,296600
26,2000-02-09,17.125,17.25,15.0,15.0,459000
27,2000-02-10,15.5,17.0,15.5,17.0,555700
28,2000-02-11,17.0,18.25,16.625,17.25,237900
29,2000-02-14,16.5,17.0,16.25,16.75,206500
30,2000-02-15,17.0,18.375,17.0,18.0,715800
31,2000-02-16,18.0,19.375,18.0,18.5,304300
32,2000-02-17,18.25,18.75,16.875,17.0,540200
33,2000-02-18,17.0,17.0,14.375,14.5,281100
34,2000-02-22,15.0,15.75,14.75,15.25,954700
35,2000-02-23,15.75,15.75,15.0,15.0,774400
36,2000-02-24,14.875,15.25,14.5,15.0,670800
37,2000-02-25,15.25,16.375,15.0,16.0,128500
38,2000-02-28,16.25,16.375,15.375,15.875,83600
39,2000-02-29,16.0,16.5,15.875,16.375,305800
40,2000-03-01,16.625,18.75,16.625,18.125,394200
41,2000-03-02,18.875,19.0,18.5,19.0,323500
42,2000-03-03,19.0,19.0,17.125,17.75,184000
43,2000-03-06,18.0,18.875,17.25,18.125,121000
44,2000-03-07,18.0,19.5,17.75,18.625,519600
45,2000-03-08,19.75,20.25,18.375,18.375,500400
46,2000-03-09,18.5,18.5,17.5,17.875,275400
47,2000-03-10,18.0,18.5,17.625,18.25,107500
48,2000-03-13,18.75,19.25,18.0,18.875,140600
49,2000-03-14,19.5,19.75,18.5,19.25,178100
50,2000-03-15,19.25,19.25,18.125,18.375,152100
51,2000-03-16,18.375,18.875,18.0,18.5,318800
52,2000-03-17,18.25,18.875,18.125,18.125,185300
53,2000-03-20,18.375,18.375,17.875,18.0,152500
54,2000-03-21,18.0,18.25,17.625,18.0,284700
55,2000-03-22,18.0,18.375,17.875,18.125,904200
56,2000-03-23,18.5,18.75,18.25,18.5,339500
57,2000-03-24,18.5,18.875,18.375,18.375,400800
58,2000-03-27,18.125,18.375,17.75,18.25,141000
59,2000-03-28,18.125,18.5,18.0,18.125,161500
60,2000-03-29,17.875,20.0,17.75,19.5,1282700
61,2000-03-30,19.75,21.375,19.625,20.25,467600
62,2000-03-31,20.5,21.875,20.5,21.25,276600
63,2000-04-03,23.25,23.5,22.125,22.375,377300
64,2000-04-04,22.5,22.875,21.0,21.375,190800
65,2000-04-05,21.625,21.75,21.0,21.5,193200
66,2000-04-06,21.75,22.5,21.5,22.125,240100
67,2000-04-07,22.375,22.75,21.625,22.75,122800
68,2000-04-10,23.0,23.0,21.375,21.5,129500
69,2000-04-11,21.75,22.0,21.25,21.375,125300
70,2000-04-12,21.625,21.625,20.75,21.5,222100
71,2000-04-13,21.5,23.0,20.375,23.0,212300
72,2000-04-14,23.0,23.0,21.5,21.875,141900
73,2000-04-17,21.625,21.875,20.25,21.125,201200
74,2000-04-18,21.25,22.125,21.25,21.625,106600
75,2000-04-19,21.375,22.875,21.125,22.0,187700
76,2000-04-20,21.875,22.25,21.5,22.0,139900
77,2000-04-24,22.0,22.0,21.25,21.375,94100
78,2000-04-25,21.25,21.5,20.75,21.125,187600
79,2000-04-26,21.0,21.5,21.0,21.125,89200
80,2000-04-27,20.875,23.0,20.875,22.125,332900
81,2000-04-28,22.0,23.5,21.75,22.375,241900
82,2000-05-01,23.125,24.0,22.75,24.0,119400
83,2000-05-02,24.5,24.625,23.5,23.75,117600
84,2000-05-03,23.875,23.875,23.125,23.25,92300
85,2000-05-04,23.0,24.75,23.0,24.625,301000
