Unnamed: 0,DateTime,Open,High,Low,Close,Volume
0.0,2000-07-13,13.125,13.125,13.0,13.125,629400
1.0,2000-07-14,13.1875,13.5,13.0,13.0625,419900
2.0,2000-07-17,13.125,13.125,12.0,12.0625,503400
3.0,2000-07-18,12.375,13.0,9.75,9.875,1726200
4.0,2000-07-19,10.4688,10.5,8.625,9.125,1153500
5.0,2000-07-20,9.125,9.125,8.875,9.0,287100
6.0,2000-07-21,9.0312,9.125,8.3125,8.3594,263900
7.0,2000-07-24,8.375,8.5,7.5,7.6875,356700
8.0,2000-07-25,7.875,7.875,7.0,7.25,164700
9.0,2000-07-26,7.0938,7.125,6.625,6.6875,200700
10.0,2000-07-27,6.5625,6.75,5.625,5.75,272200
11.0,2000-07-28,5.9375,6.0,4.75,5.5,1127300
12.0,2000-07-31,5.5,7.25,5.4375,6.375,618200
13.0,2000-08-01,6.75,7.125,6.625,6.6875,630600
14.0,2000-08-02,6.8438,7.0,6.375,6.5,200500
15.0,2000-08-03,6.5,6.5469,6.0,6.125,240100
16.0,2000-08-04,6.8438,6.875,6.125,6.5,231600
17.0,2000-08-07,6.375,6.75,6.25,6.375,108100
18.0,2000-08-08,6.2812,6.5,6.25,6.25,211500
19.0,2000-08-09,6.5,6.5,5.625,5.6875,81100
20.0,2000-08-10,5.75,6.3125,5.7188,6.1562,174200
21.0,2000-08-11,6.0312,6.125,5.8125,5.875,56800
22.0,2000-08-14,5.9062,6.0,5.375,5.75,223000
23.0,2000-08-15,5.75,5.75,5.0,5.125,241400
24.0,2000-08-16,5.375,5.5,5.25,5.375,86200
25.0,2000-08-17,5.4062,5.875,5.25,5.875,85800
26.0,2000-08-18,5.875,6.5625,5.625,6.25,145400
27.0,2000-08-21,6.4688,6.5,6.375,6.375,217400
28.0,2000-08-22,6.4375,6.875,6.375,6.375,134600
29.0,2000-08-23,6.5312,6.6875,6.25,6.375,140100
30.0,2000-08-24,6.625,6.875,6.375,6.625,576800
31.0,2000-08-25,6.8438,7.0,6.375,6.375,145700
32.0,2000-08-28,6.6875,6.75,6.375,6.4375,39600
33.0,2000-08-29,6.5156,6.625,6.375,6.4062,86800
34.0,2000-08-30,6.4375,6.5,6.375,6.4375,34900
35.0,2000-08-31,6.625,8.125,6.5,7.625,266400
36.0,2000-09-01,7.8125,8.0625,7.125,7.5,168600
37.0,2000-09-05,7.5,7.625,6.875,6.875,91100
38.0,2000-09-06,7.375,7.375,6.875,6.9375,111300
39.0,2000-09-07,7.6875,7.875,6.9375,7.3125,36000
40.0,2000-09-08,7.2656,7.4062,6.5,7.125,83600
41.0,2000-09-11,7.0,7.0,6.75,6.75,83300
42.0,2000-09-12,7.0312,7.0625,6.75,6.875,58900
43.0,2000-09-13,6.9375,7.125,6.875,7.0,45200
44.0,2000-09-14,7.2344,8.125,7.2344,7.625,176300
45.0,2000-09-15,7.6875,8.0,7.25,7.625,91400
46.0,2000-09-18,7.7188,7.75,7.0,7.3125,116900
47.0,2000-09-19,7.3125,7.8125,7.0625,7.8125,142800
48.0,2000-09-20,7.5938,7.875,7.25,7.5,84000
49.0,2000-09-21,7.2188,7.2188,7.0,7.125,71600
50.0,2000-09-22,6.75,7.0,6.5625,6.6875,56300
51.0,2000-09-25,6.75,6.875,6.4375,6.5,41000
52.0,2000-09-26,6.5,6.875,6.375,6.375,96800
53.0,2000-09-27,6.4062,6.4375,5.875,6.0312,252400
54.0,2000-09-28,5.9375,5.9375,5.25,5.5,151400
55.0,2000-09-29,5.3438,5.875,5.25,5.8125,25200
56.0,2000-10-02,5.5,5.75,5.3281,5.4375,12200
57.0,2000-10-03,5.375,5.5,5.3125,5.375,19900
58.0,2000-10-04,5.375,5.4375,5.25,5.4375,18200
59.0,2000-10-05,5.25,5.4375,4.8125,4.875,68600
60.0,2000-10-06,4.9375,5.0,3.625,4.0,212000
61.0,2000-10-09,4.2656,5.5,4.125,4.375,156000
62.0,2000-10-10,4.3594,4.5,4.125,4.2812,45400
63.0,2000-10-11,4.0781,4.25,3.75,4.0,103800
64.0,2000-10-12,4.3594,4.375,4.0,4.0469,49500
65.0,2000-10-13,4.1406,5.375,4.0312,5.375,100200
66.0,2000-10-16,5.25,5.375,4.75,5.0,37000
67.0,2000-10-17,4.875,4.875,4.375,4.375,21900
68.0,2000-10-18,4.625,4.625,4.125,4.3125,21300
69.0,2000-10-19,4.4375,4.625,4.125,4.5625,52300
70.0,2000-10-20,4.625,4.625,4.4375,4.5625,61800
71.0,2000-10-23,4.6094,4.625,4.5,4.625,32700
72.0,2000-10-24,4.625,4.625,4.3125,4.375,16300
73.0,2000-10-25,4.2656,4.375,4.0312,4.25,10700
74.0,2000-10-26,4.375,4.375,4.0312,4.25,16400
75.0,2000-10-27,4.2344,4.375,4.0,4.3125,49400
76.0,2000-10-30,4.4688,4.4688,4.125,4.25,51900
77.0,2000-10-31,4.1562,4.375,3.0,3.0312,382600
78.0,2000-11-01,3.0312,3.1875,2.5625,3.125,393600
79.0,2000-11-02,3.1562,3.4375,3.0,3.125,596300
80.0,2000-11-03,3.25,3.25,3.0,3.0625,327800
81.0,2000-11-06,3.1094,3.25,2.9375,3.0,307400
82.0,2000-11-07,3.0,3.125,3.0,3.0,146300
83.0,2000-11-08,3.0312,3.0625,3.0,3.0625,34800
84.0,2000-11-09,3.0469,3.0625,2.8125,2.8125,125700
85.0,2000-11-10,2.8594,3.0,2.75,2.9375,122100
86.0,2000-11-13,2.875,3.0,2.6875,2.875,75500
87.0,2000-11-14,2.9531,3.125,2.9375,3.0,133100
88.0,2000-11-15,3.0625,3.0625,2.9375,3.0625,144700
89.0,2000-11-16,2.875,3.0,2.875,2.875,5500
90.0,2000-11-17,3.0,3.0,2.75,2.875,25400
91.0,2000-11-20,2.875,2.9375,2.75,2.8125,32200
92.0,2000-11-21,2.8125,3.0,2.625,2.625,38100
93.0,2000-11-22,2.625,2.8125,2.3438,2.4375,118900
94.0,2000-11-24,2.9219,2.9375,2.4375,2.5938,21200
95.0,2000-11-27,2.6094,2.9375,2.375,2.375,39900
96.0,2000-11-28,2.375,2.625,2.1875,2.25,36300
97.0,2000-11-29,2.5,2.5,2.25,2.25,25400
98.0,2000-11-30,2.1875,2.3125,2.0,2.1875,38800
99.0,2000-12-01,2.3594,2.5,2.1875,2.4375,52300
100.0,2000-12-04,2.4844,2.4844,2.0625,2.25,26900
101.0,2000-12-05,2.3125,3.5,2.3125,3.5,219300
102.0,2000-12-06,3.375,3.375,2.625,2.625,57700
103.0,2000-12-07,2.625,2.875,2.625,2.875,29100
104.0,2000-12-08,3.0,3.1562,2.9062,3.0,61000
