DateTime,Open,High,Low,Close,Volume
2026-02-09,64.91,65.8553,63.9,64.66,2569286
2026-02-10,64.7,65.33,63.52,63.8,2583074
2026-02-11,67.58,75.43,66.105,74.95,7784713
2026-02-12,78.66,84.44,77.44,78.03,9358890
2026-02-13,77.0,79.7499,75.66,78.22,4663304
2026-02-17,78.06,83.31,77.6,80.9,4671737
2026-02-18,81.57,82.881,78.5,80.92,3336557
2026-02-19,80.84,80.9,77.45,77.86,2485443
2026-02-20,77.5,80.5,77.18,80.05,2882439
2026-02-23,80.0,80.8899,77.69,78.55,2410070
2026-02-24,79.46,80.6616,78.08,79.09,2229722
2026-02-25,80.83,80.99,76.77,79.87,2921919
2026-02-26,80.01,81.7,75.81,78.32,3497117
2026-02-27,76.12,78.59,74.13,78.51,3219584
2026-03-02,77.73,78.99,75.945,78.88,2998178
2026-03-03,75.0,75.4425,72.25,73.9,2575752
2026-03-04,74.5,75.595,72.88,75.11,2247016
2026-03-05,74.25,78.81,74.231,76.72,3598945
2026-03-06,74.49,74.71,71.11,72.17,2398780
2026-03-09,70.36,73.93,69.0001,73.87,3540782
2026-03-10,74.19,76.34,73.67,74.95,2577179
2026-03-11,75.51,75.55,72.6105,75.18,1608026
2026-03-12,74.305,74.64,71.75,72.08,1963715
2026-03-13,72.28,74.205,71.24,73.22,2394409
2026-03-16,74.0,75.88,73.08,73.27,1858670
2026-03-17,73.775,75.67,71.82,75.15,1488249
2026-03-18,75.0,76.5,74.07,74.41,2772089
2026-03-19,71.91,73.43,70.12,73.08,1788608
2026-03-20,73.86,74.69,66.55,67.05,29609595
