Unnamed: 0,DateTime,Open,High,Low,Close,Volume
0.0,2022-04-29,8.49,8.49,5.75,6.5,100600
1.0,2022-05-02,12.2,12.38,8.04,10.95,17842700
2.0,2022-05-03,15.92,18.14,12.45,12.62,28541200
3.0,2022-05-04,10.93,14.9,10.54,14.51,4531600
4.0,2022-05-05,14.75,16.88,13.86,14.98,3599000
5.0,2022-05-06,14.34,15.41,12.56,13.47,2212500
6.0,2022-05-09,13.52,14.08,10.11,10.35,992100
7.0,2022-05-10,10.46,11.73,8.88,8.94,634800
8.0,2022-05-11,8.36,9.0,7.01,7.19,561900
9.0,2022-05-12,6.3,6.89,5.33,6.62,1085700
10.0,2022-05-13,6.36,7.255,6.36,6.79,582400
11.0,2022-05-16,6.75,7.18,5.86,6.1,489900
12.0,2022-05-17,7.02,7.15,6.01,6.22,1359200
13.0,2022-05-18,6.06,6.27,5.15,5.19,642600
14.0,2022-05-19,5.23,5.33,4.81,4.86,610700
15.0,2022-05-20,4.75,5.05,4.34,4.79,778800
16.0,2022-05-23,4.8,5.36,4.51,5.14,552800
17.0,2022-05-24,5.1,5.7,4.82,5.45,570800
18.0,2022-05-25,5.59,6.06,5.3,5.95,477900
19.0,2022-05-26,5.94,6.8,5.88,6.52,415000
20.0,2022-05-27,6.66,8.0,6.51,7.91,687400
21.0,2022-05-31,8.0,8.1,7.0,7.68,605100
22.0,2022-06-01,7.53,8.73,7.211,8.57,977000
23.0,2022-06-02,8.45,8.45,7.342,7.95,783900
24.0,2022-06-03,7.73,8.3,7.69,7.94,863000
25.0,2022-06-06,7.95,8.12,4.1,4.1,3144000
26.0,2022-06-07,4.44,4.48,3.81,4.0,1677100
27.0,2022-06-08,4.0,4.335,3.9,4.18,1080300
28.0,2022-06-09,4.78,5.24,4.13,4.2,2956500
29.0,2022-06-10,4.06,4.12,3.527,3.62,1274400
30.0,2022-06-13,3.4,3.58,3.12,3.2,782700
31.0,2022-06-14,3.24,3.32,2.89,2.93,591300
32.0,2022-06-15,2.92,3.12,2.64,2.84,861000
33.0,2022-06-16,2.74,2.74,2.55,2.67,703400
34.0,2022-06-17,2.67,5.07,2.64,4.0,23696200
35.0,2022-06-21,4.07,4.07,3.615,3.75,2224700
36.0,2022-06-22,3.74,3.84,3.58,3.59,801400
37.0,2022-06-23,3.57,3.6,3.3,3.45,467100
38.0,2022-06-24,3.44,3.59,3.15,3.2,454800
39.0,2022-06-27,3.41,3.41,2.94,2.94,519600
40.0,2022-06-28,2.93,3.2,2.92,2.95,571600
41.0,2022-06-29,2.99,3.028,2.65,2.715,421100
42.0,2022-06-30,2.82,2.855,2.66,2.68,439900
43.0,2022-07-01,2.58,2.67,2.4,2.59,532500
44.0,2022-07-05,2.57,3.1,2.5,3.07,622400
45.0,2022-07-06,3.1,3.1,2.88,3.03,196500
46.0,2022-07-07,2.95,3.14,2.76,3.14,317700
47.0,2022-07-08,3.09,3.14,2.93,3.1,174400
48.0,2022-07-11,3.02,3.43,2.86,3.25,723800
49.0,2022-07-12,3.28,3.5,2.96,3.5,532200
50.0,2022-07-13,3.24,3.6,3.11,3.37,241600
51.0,2022-07-14,3.27,3.49,3.022,3.23,226500
52.0,2022-07-15,3.22,3.69,3.21,3.52,436800
53.0,2022-07-18,3.57,3.8,3.32,3.63,617500
54.0,2022-07-19,3.65,3.72,3.46,3.68,308400
55.0,2022-07-20,3.69,4.25,3.68,4.25,506800
56.0,2022-07-21,4.16,4.53,4.04,4.17,392800
57.0,2022-07-22,4.13,4.195,3.43,3.73,458300
58.0,2022-07-25,3.73,4.16,3.58,4.1,341600
59.0,2022-07-26,4.05,4.05,3.53,3.6,179900
60.0,2022-07-27,3.62,3.88,3.61,3.79,220700
61.0,2022-07-28,3.71,3.71,3.45,3.69,177100
62.0,2022-07-29,3.65,3.805,3.48,3.5,241200
63.0,2022-08-01,3.46,3.75,3.32,3.65,188500
64.0,2022-08-02,3.65,3.93,3.56,3.93,288700
65.0,2022-08-03,3.84,3.95,3.53,3.8,257200
66.0,2022-08-04,3.78,3.8,3.56,3.7,136600
67.0,2022-08-05,3.69,3.81,3.55,3.77,143600
68.0,2022-08-08,3.76,3.805,3.47,3.51,232600
69.0,2022-08-09,3.51,3.51,3.15,3.21,284700
70.0,2022-08-10,3.22,3.57,3.182,3.57,313500
71.0,2022-08-11,3.6,3.77,3.23,3.57,480100
72.0,2022-08-12,3.59,3.76,3.42,3.66,334600
73.0,2022-08-15,3.62,3.75,3.421,3.75,231000
74.0,2022-08-16,3.74,3.74,3.541,3.68,273000
75.0,2022-08-17,3.62,3.644,3.42,3.42,114000
76.0,2022-08-18,3.37,3.49,3.31,3.36,224000
77.0,2022-08-19,3.31,3.44,3.23,3.23,160900
78.0,2022-08-22,3.15,3.319,2.85,2.855,277500
79.0,2022-08-23,2.96,3.05,2.92,2.965,80200
80.0,2022-08-24,3.11,3.135,2.87,3.01,133500
81.0,2022-08-25,3.05,3.17,2.97,3.15,128400
82.0,2022-08-26,3.12,3.12,2.95,2.95,122300
83.0,2022-08-29,2.88,2.94,2.8,2.86,127800
84.0,2022-08-30,2.95,3.03,2.83,2.88,122600
85.0,2022-08-31,2.92,2.99,2.81,2.85,153100
86.0,2022-09-01,2.94,3.43,2.8,3.2,389000
87.0,2022-09-02,3.26,3.38,3.11,3.31,164900
88.0,2022-09-06,3.17,3.265,2.87,2.91,189700
89.0,2022-09-07,2.9,3.05,2.85,3.01,88600
90.0,2022-09-08,2.95,3.26,2.93,3.16,194500
91.0,2022-09-09,3.23,3.47,3.2,3.24,613400
92.0,2022-09-12,3.3,3.32,3.21,3.26,69300
93.0,2022-09-13,3.23,3.28,2.94,3.23,175600
94.0,2022-09-14,3.17,3.35,3.17,3.32,77200
95.0,2022-09-15,3.32,3.44,3.201,3.25,111300
96.0,2022-09-16,3.32,3.8,3.14,3.74,388100
97.0,2022-09-19,3.73,3.73,3.24,3.24,101600
98.0,2022-09-20,3.12,3.22,3.02,3.04,100400
99.0,2022-09-21,3.0,3.11,2.81,2.85,317600
100.0,2022-09-22,2.89,3.33,2.85,3.24,212400
101.0,2022-09-23,3.29,3.33,3.02,3.07,184200
102.0,2022-09-26,3.06,3.3,3.02,3.08,176700
103.0,2022-09-27,3.12,3.29,3.12,3.26,185600
104.0,2022-09-28,3.12,3.35,3.03,3.34,137900
105.0,2022-09-29,3.23,3.29,3.07,3.24,222400
106.0,2022-09-30,3.27,3.48,3.19,3.28,206000
107.0,2022-10-03,3.37,3.57,3.22,3.52,149600
108.0,2022-10-04,3.55,3.8,3.5,3.77,303500
109.0,2022-10-05,3.58,3.71,3.44,3.61,151300
110.0,2022-10-06,3.59,3.77,3.59,3.68,132700
111.0,2022-10-07,3.63,3.65,3.3,3.42,106700
112.0,2022-10-10,3.37,3.71,3.37,3.59,282600
113.0,2022-10-11,3.58,3.65,3.412,3.5,195200
114.0,2022-10-12,3.51,3.51,3.32,3.47,169800
115.0,2022-10-13,3.34,3.38,3.14,3.37,240600
116.0,2022-10-14,3.36,3.93,3.17,3.93,1190500
117.0,2022-10-17,4.0,4.0,3.28,3.5,578200
118.0,2022-10-18,3.55,3.62,3.17,3.19,445300
119.0,2022-10-19,3.2,3.23,3.07,3.13,267700
120.0,2022-10-20,3.11,3.25,2.855,2.92,292500
121.0,2022-10-21,2.92,3.07,2.85,2.95,281900
122.0,2022-10-24,2.94,2.98,2.65,2.685,327400
123.0,2022-10-25,2.71,2.852,2.7,2.83,215100
124.0,2022-10-26,2.82,3.06,2.74,2.8,233200
125.0,2022-10-27,2.81,2.92,2.68,2.68,99700
126.0,2022-10-28,2.74,2.79,2.5,2.55,293500
127.0,2022-10-31,2.62,2.87,2.62,2.71,145000
128.0,2022-11-01,2.74,2.82,2.59,2.61,163200
129.0,2022-11-02,2.6,2.6,2.36,2.4,231000
130.0,2022-11-03,2.46,2.48,2.11,2.2,260700
131.0,2022-11-04,2.2,2.32,2.1,2.11,140000
132.0,2022-11-07,2.13,2.199,1.91,1.99,193900
133.0,2022-11-08,2.0,2.134,1.9,2.04,224300
134.0,2022-11-09,2.0,2.12,1.95,2.06,105600
135.0,2022-11-10,2.16,2.17,1.85,1.89,428200
136.0,2022-11-11,2.33,2.62,1.77,1.81,4426600
137.0,2022-11-14,1.86,1.87,1.66,1.85,852800
138.0,2022-11-15,1.94,1.94,1.72,1.82,352300
139.0,2022-11-16,1.8,1.94,1.775,1.91,283000
140.0,2022-11-17,1.85,2.08,1.83,2.03,534300
141.0,2022-11-18,2.09,2.12,1.9,1.92,413100
142.0,2022-11-21,1.84,1.92,1.62,1.62,772400
143.0,2022-11-22,1.65,1.65,1.43,1.45,796000
144.0,2022-11-23,1.4,1.55,1.22,1.45,930500
