,DateTime,Open,High,Low,Close,Volume
0,2012-04-19,32.0,35.85,30.91,35.48,14125127
1,2012-04-20,35.25,36.64,33.5,36.2,1796785
2,2012-04-23,36.78,37.24,35.76,35.93,931033
3,2012-04-24,36.04,37.34,34.65,35.8,506199
4,2012-04-25,36.78,37.15,34.57,34.72,520432
5,2012-04-26,34.59,35.2962,33.34,35.11,233970
6,2012-04-27,36.0,36.97,35.015,35.06,380799
7,2012-04-30,36.13,36.13,33.6,33.95,301579
8,2012-05-01,34.29,36.94,33.93,35.91,679496
9,2012-05-02,35.51,36.202,35.2,35.275,261303
10,2012-05-03,36.5,36.5,32.2,32.68,1026640
11,2012-05-04,32.32,32.59,31.76,32.07,439411
12,2012-05-07,31.75,33.03,31.75,32.93,285866
13,2012-05-08,33.0,34.15,32.31,32.75,329258
14,2012-05-09,32.01,34.17,32.01,32.86,356754
15,2012-05-10,33.32,33.95,31.53,31.79,383398
16,2012-05-11,31.33,32.23,29.47,31.355,1023375
17,2012-05-14,31.28,32.92,30.43,31.02,702548
18,2012-05-15,31.39,31.85,31.2,31.62,351880
19,2012-05-16,31.64,31.9,30.41,30.97,237873
20,2012-05-17,31.11,31.178,29.8725,30.62,404364
21,2012-05-18,31.09,31.09,28.49,29.06,814493
22,2012-05-21,29.48,30.14,28.82,30.02,598955
23,2012-05-22,30.42,32.55,30.0922,31.63,508387
24,2012-05-23,31.1,35.8,30.52,34.89,798983
25,2012-05-24,35.5,36.5,33.58,34.59,535516
26,2012-05-25,35.08,36.339,34.43,35.93,296454
27,2012-05-29,36.72,37.57,35.94,36.375,563965
28,2012-05-30,36.08,36.08,33.57,34.3,882473
29,2012-05-31,34.25,34.99,31.36,32.56,988337
30,2012-06-01,31.56,31.97,26.97,27.24,1778879
31,2012-06-04,27.8,28.0,25.147,27.0,706162
32,2012-06-05,27.26,28.85,26.804,28.59,610337
33,2012-06-06,28.9,32.0,28.1,30.15,869297
34,2012-06-07,30.56,31.4091,28.65,29.77,455199
35,2012-06-08,30.1,32.06,29.22,32.01,626515
36,2012-06-11,32.69,32.88,29.77,30.01,378411
37,2012-06-12,30.69,30.99,29.83,30.43,298603
38,2012-06-13,30.48,31.95,30.02,30.75,233851
39,2012-06-14,30.9,31.92,30.755,31.66,273447
40,2012-06-15,31.84,33.04,31.18,32.73,396787
41,2012-06-18,32.35,32.72,31.76,32.13,318465
42,2012-06-19,32.65,32.67,31.84,31.96,387820
43,2012-06-20,31.93,32.02,30.81,31.68,310936
44,2012-06-21,31.52,32.02,29.32,29.54,569279
45,2012-06-22,30.0,31.2,29.11,29.27,1561032
46,2012-06-25,28.84,28.94,27.84,28.26,657248
47,2012-06-26,28.41,28.41,27.5336,27.78,490306
48,2012-06-27,27.62,28.38,27.62,28.0,351307
49,2012-06-28,26.98,27.59,25.82,26.49,1176305
50,2012-06-29,27.1,28.36,27.0149,28.1,458260
