,DateTime,Open,High,Low,Close,Volume
0,2000-07-19,25.5,39.1875,25.5,32.625,10981600
1,2000-07-20,33.5,37.0,29.0,35.375,1359500
2,2000-07-21,34.0,36.78125,31.5,33.25,488800
3,2000-07-24,33.6875,34.125,31.6875,33.0,288700
4,2000-07-25,32.65625,35.75,32.0,35.0,284800
5,2000-07-26,34.0,34.9375,32.375,33.625,296600
6,2000-07-27,33.75,33.9375,31.125,31.5,326700
7,2000-07-28,31.65625,31.875,26.0,29.0,723100
8,2000-07-31,29.21875,34.125,28.125,34.125,389400
9,2000-08-01,34.09375,34.09375,30.75,31.5,76200
10,2000-08-02,31.0,31.0,28.0,28.75,185100
11,2000-08-03,27.625,31.625,26.875,28.75,81300
12,2000-08-04,29.5,31.0,29.5,30.25,274900
13,2000-08-07,30.375,33.8125,30.125,33.5,155000
14,2000-08-08,33.28125,33.75,32.75,33.375,140000
15,2000-08-09,33.0,33.0,32.25,32.5,121600
16,2000-08-10,32.5,32.5625,29.5625,30.0,26700
17,2000-08-11,30.0,30.125,28.75,29.25,78100
18,2000-08-14,29.1875,30.6875,26.875,28.5,141200
19,2000-08-15,28.8125,29.5,27.5,28.125,96900
20,2000-08-16,28.125,28.125,24.0,25.5,409800
21,2000-08-17,25.375,25.5,24.125,24.5,79300
22,2000-08-18,24.1875,24.1875,22.625,23.75,109900
23,2000-08-21,24.1875,24.75,23.46875,24.25,189700
24,2000-08-22,24.25,24.625,23.0,23.5,116300
25,2000-08-23,23.0,23.625,23.0,23.5625,44500
26,2000-08-24,23.90625,26.5,23.875,25.6875,59300
27,2000-08-25,26.15625,35.0,26.15625,31.25,132400
28,2000-08-28,30.8125,34.0,30.5,32.5,73700
29,2000-08-29,32.375,34.9375,32.0,33.5,31800
30,2000-08-30,34.0,34.0,32.25,32.5,21700
31,2000-08-31,31.5,32.5,29.81,31.03,100100
32,2000-09-01,31.375,31.375,29.75,30.0,80900
33,2000-09-05,30.0,31.0,29.5625,30.75,41900
34,2000-09-06,30.71875,30.75,29.375,29.5,100700
35,2000-09-07,29.625,29.625,28.875,29.0,35700
36,2000-09-08,28.875,29.5,28.5,28.875,12100
37,2000-09-11,28.8125,29.125,26.375,27.0,18300
38,2000-09-12,27.15625,27.75,26.625,27.0,25800
39,2000-09-13,26.5,29.375,26.5,29.375,52100
40,2000-09-14,29.3125,32.9375,29.125,31.0625,313100
41,2000-09-15,32.0,32.375,31.0625,31.0625,26900
42,2000-09-18,31.75,31.75,28.625,29.75,7700
43,2000-09-19,28.875,29.75,27.75,27.875,238900
44,2000-09-20,27.875,28.4375,27.75,28.25,11700
45,2000-09-21,28.4375,30.0,28.25,29.875,70100
46,2000-09-22,27.5,30.75,27.5,30.125,12900
47,2000-09-25,30.875,33.5,30.875,32.5,74600
48,2000-09-26,32.5,33.0,32.5,32.5,4000
49,2000-09-27,32.5,33.0,28.75,29.0,22700
50,2000-09-28,29.5,30.259,27.989,29.2,33014
51,2000-09-29,28.125,31.625,28.0,30.625,132900
52,2000-10-02,30.75,32.5,30.75,31.5,45300
53,2000-10-03,31.125,31.5,28.625,28.625,230000
54,2000-10-04,28.625,28.625,25.5,27.0,34800
55,2000-10-05,27.6875,28.5,27.0,27.0,90600
56,2000-10-06,27.125,27.1875,26.0,26.0,7700
57,2000-10-09,26.0,26.0,24.375,24.625,13900
58,2000-10-10,24.25,25.0,23.0625,23.9375,10300
59,2000-10-11,22.9375,22.9375,19.5,20.375,38000
60,2000-10-12,20.03125,20.21875,17.375,18.3125,36400
61,2000-10-13,17.125,17.375,15.75,16.3125,32300
62,2000-10-16,16.96875,19.25,16.6875,17.625,112500
63,2000-10-17,18.125,18.875,17.875,18.25,21000
64,2000-10-18,18.375,22.25,18.25,20.1875,24500
65,2000-10-19,21.96875,26.0625,21.9375,25.625,73400
66,2000-10-20,25.46875,27.0,25.25,26.75,62100
67,2000-10-23,25.5,25.5,19.375,19.4375,113800
68,2000-10-24,19.75,20.875,18.0,18.1875,44000
69,2000-10-25,18.0,18.75,17.5625,18.125,75400
70,2000-10-26,18.25,18.375,17.625,18.0,34700
71,2000-10-27,17.4979,17.8716,16.3771,16.3771,17163
72,2000-10-30,16.97688,17.01,15.132,15.507,139438
73,2000-10-31,15.8207,15.8207,14.132,14.26,38984
74,2000-11-01,14.03125,15.0,13.5,14.5,75300
75,2000-11-02,15.02364,15.992,14.992,15.867,61530
76,2000-11-03,15.5,15.875,15.4375,15.4375,45600
77,2000-11-06,15.75,16.5,14.0,14.125,43500
78,2000-11-07,14.26,15.008,14.26,14.758,20592
79,2000-11-08,14.6875,14.75,12.0,12.0625,33600
80,2000-11-09,12.625,12.625,11.75,12.125,53400
81,2000-11-10,11.5,12.25,10.75,11.0,98100
82,2000-11-13,8.85068,11.26,8.76,11.01,57757
83,2000-11-14,11.125,13.0,11.125,13.0,45800
84,2000-11-15,12.875,12.875,11.75,11.75,36500
85,2000-11-16,11.76,12.76,11.76,12.26,31480
86,2000-11-17,12.625,12.625,10.0,10.1875,58200
87,2000-11-20,10.375,11.0,10.125,10.125,25500
88,2000-11-21,10.4767,10.5,9.945,10.008,66050
89,2000-11-22,10.0,10.125,9.875,10.0,218000
90,2000-11-24,10.125,10.125,9.875,10.0625,146000
91,2000-11-27,10.0,10.4375,10.0,10.4375,154500
92,2000-11-28,10.5,11.25,10.375,11.0,177400
93,2000-11-29,11.03125,11.25,10.75,11.125,253700
94,2000-11-30,10.875,14.375,10.875,14.0625,56700
95,2000-12-01,14.0,16.4375,14.0,14.625,101200
96,2000-12-04,14.5,14.5,12.75,13.25,68000
97,2000-12-05,13.25,14.875,13.25,14.75,19500
98,2000-12-06,14.625,15.5,14.625,15.25,65900
99,2000-12-07,15.0,15.75,14.75,15.75,8300
100,2000-12-08,15.5,17.0708,15.5,16.633,24492
101,2000-12-11,16.5625,18.25,16.5625,18.0,45800
102,2000-12-12,18.25,21.125,18.25,20.5625,87700
103,2000-12-13,20.625,22.25,20.5,21.5625,567200
104,2000-12-14,22.1169,22.117,20.617,20.9299,245879
105,2000-12-15,20.75,21.1875,20.5625,21.0,111800
106,2000-12-18,21.0625,21.25,20.875,21.0,110300
107,2000-12-19,20.9375,21.5,20.625,21.0,80700
108,2000-12-20,20.625,20.6875,19.625,20.0625,557400
109,2000-12-21,20.0,20.03125,15.75,18.3125,220100
110,2000-12-22,18.25,19.125,17.75,18.25,288000
111,2000-12-26,18.7583,19.687,18.3868,19.625,128321
112,2000-12-27,18.5,20.5,18.5,20.0,226900
113,2000-12-28,19.5,20.1875,19.5,19.875,158400
114,2000-12-29,19.625,20.5625,19.625,20.25,138400
115,2001-01-02,20.0,20.1875,14.0,14.0625,239300
116,2001-01-03,14.5625,14.8125,11.0,13.5,318900
117,2001-01-04,13.25,13.5,10.375,12.25,169500
118,2001-01-05,11.0625,11.75,11.0,11.75,144900
119,2001-01-08,11.75,11.8125,11.0,11.1875,124300
120,2001-01-09,11.25,12.75,11.25,12.5,83900
121,2001-01-10,12.0625,13.25,12.0,12.9375,61600
122,2001-01-11,12.75,12.875,12.0,12.5,109800
123,2001-01-12,12.1875,14.625,12.0,14.625,137000
124,2001-01-16,13.125,13.125,10.75,12.375,669400
125,2001-01-17,14.96888,15.28204,13.904,14.8436,1588677
126,2001-01-18,14.9375,15.125,12.125,12.375,429100
127,2001-01-19,12.0,12.5,10.875,12.375,458400
128,2001-01-22,12.375,12.9375,12.375,12.875,291600
129,2001-01-23,13.0,15.25,12.75,14.6875,1046700
130,2001-01-24,14.875,15.125,14.0,14.3125,1010800
131,2001-01-25,14.2494,14.2494,13.6272,14.0006,99032
132,2001-01-26,13.984,14.016,13.14,13.922,267008
133,2001-01-29,13.383,14.26,13.3826,14.008,202688
134,2001-01-30,14.0,14.3125,13.875,14.1875,2597800
135,2001-01-31,14.4375,15.5,14.375,15.125,103400
136,2001-02-01,15.125,15.375,14.75,14.875,60100
137,2001-02-02,14.9375,15.0,14.75,14.9375,342200
138,2001-02-05,14.875,14.9375,14.0,14.4375,87700
139,2001-02-06,14.25,14.375,14.125,14.1875,210100
140,2001-02-07,14.125,14.25,13.4375,14.0,316000
141,2001-02-08,13.9375,13.9375,12.875,13.125,234700
142,2001-02-09,13.0,13.375,12.6875,13.0,39100
143,2001-02-12,13.125,13.437,12.875,13.156,30700
144,2001-02-13,13.125,13.5,12.75,12.75,69900
145,2001-02-14,12.625,13.125,12.5,13.0,19400
146,2001-02-15,12.875,13.0,12.375,12.375,11700
147,2001-02-16,12.375,12.9375,11.875,12.0,40300
148,2001-02-20,12.03125,12.25,11.875,12.0625,58100
149,2001-02-21,12.0625,12.125,11.875,12.0,189800
150,2001-02-22,11.8125,11.875,11.625,11.6875,71600
151,2001-02-23,11.875,11.875,11.5625,11.625,75900
152,2001-02-26,11.625,12.0,11.0,11.0625,114900
153,2001-02-27,11.0,11.0,9.9375,10.375,27800
154,2001-02-28,10.313,10.375,9.625,9.844,199100
155,2001-03-01,9.875,10.0625,9.25,9.25,551600
156,2001-03-02,9.2818,9.3445,8.4038,8.9682,81921
157,2001-03-05,8.875,8.875,7.75,7.75,105100
158,2001-03-06,7.625,7.625,6.5,6.5,383200
159,2001-03-07,6.5625,6.75,5.75,5.75,425000
160,2001-03-08,5.75,6.0,4.25,5.1875,765800
161,2001-03-09,5.38,5.38,5.0,5.0,725804
162,2001-03-12,4.90625,5.125,4.0,4.6875,1105800
163,2001-03-13,5.0,5.03125,4.625,4.9375,45200
164,2001-03-14,4.65625,5.3125,4.5,5.25,75500
165,2001-03-15,5.3125,5.8437,4.5625,5.1562,424900
166,2001-03-16,5.25,5.25,4.625,4.6562,23500
167,2001-03-19,4.625,4.75,4.5,4.6875,77700
168,2001-03-20,4.78125,4.9375,4.6875,4.6875,121400
169,2001-03-21,4.7349,4.7663,4.39,4.39,7177
170,2001-03-22,4.375,4.4375,4.25,4.3125,9100
171,2001-03-23,4.625,5.125,4.625,4.875,16500
172,2001-03-26,4.90625,5.375,4.90625,5.0,6100
173,2001-03-27,5.25,5.5,4.75,4.875,15800
174,2001-03-28,5.0,5.125,4.875,4.875,2600
175,2001-03-29,4.75,4.8125,4.75,4.75,26100
176,2001-03-30,4.875,5.4375,4.75,5.0313,69700
177,2001-04-02,5.66016,5.76562,4.2891,4.5,75293
178,2001-04-03,4.125,4.125,3.0,3.3437,126600
179,2001-04-04,3.375,3.625,3.0,3.25,799500
180,2001-04-05,3.5,3.5,2.625,3.25,79000
181,2001-04-06,3.375,3.5,3.125,3.25,13800
182,2001-04-09,3.25,3.5,2.9,3.05,25300
183,2001-04-10,3.09,3.42,3.0,3.42,151900
184,2001-04-11,3.39,4.15,3.39,3.7,11700
185,2001-04-12,3.85,4.45,3.85,4.45,10500
186,2001-04-16,4.5,4.57,4.4,4.43,5900
187,2001-04-17,4.45,4.45,4.42,4.43,11200
188,2001-04-18,4.5,6.0,4.5,4.89,44200
189,2001-04-19,5.0,5.06,4.11,4.35,1273100
190,2001-04-20,4.2,4.5,4.0,4.1,431600
191,2001-04-23,4.11,4.11,4.06,4.06,18900
192,2001-04-24,4.1,4.15,4.08,4.08,4900
193,2001-04-25,4.12,4.17,3.69,3.75,537500
194,2001-04-26,3.85,4.24,3.85,4.22,83400
195,2001-04-27,4.16,4.5,4.1,4.33,36600
196,2001-04-30,4.31,4.46,4.25,4.3,10500
197,2001-05-01,4.3,4.3,4.0,4.04,55100
198,2001-05-02,4.04,4.25,4.02,4.25,39000
199,2001-05-03,4.08,4.19,4.06,4.1,73200
200,2001-05-04,4.02,4.1,4.0,4.1,61600
201,2001-05-07,4.11,4.2,4.0,4.08,41300
202,2001-05-08,4.07,4.14,3.75,3.78,348800
203,2001-05-09,3.79,3.98,3.79,3.98,37700
204,2001-05-10,4.1,4.25,4.0,4.25,255500
205,2001-05-11,4.27,4.75,4.25,4.71,291100
206,2001-05-14,4.71,4.71,4.48,4.6,74500
207,2001-05-15,4.5,4.85,4.49,4.85,120000
208,2001-05-16,4.76,5.51,4.76,5.51,214000
209,2001-05-17,5.41,6.7,5.4,6.37,274900
210,2001-05-18,6.37,6.37,5.93,5.93,94000
211,2001-05-21,6.0,6.4,5.93,6.29,179100
212,2001-05-22,6.3,6.35,6.01,6.04,130900
213,2001-05-23,6.05,6.5,5.9,6.44,260200
214,2001-05-24,6.41,7.1,6.3,7.06,319000
215,2001-05-25,7.06,7.42,6.4,7.37,127700
216,2001-05-29,7.04,7.23,6.75,7.16,108900
217,2001-05-30,6.73,7.15,6.65,6.95,58700
218,2001-05-31,6.85,7.65,6.85,7.4,630700
219,2001-06-01,7.61,7.61,7.35,7.55,480900
220,2001-06-04,7.59,7.59,7.08,7.2,15200
221,2001-06-05,7.11,7.15,6.92,6.95,20900
222,2001-06-06,6.92,7.09,6.7,6.98,53600
223,2001-06-07,6.98,7.02,6.9,6.97,35100
224,2001-06-08,6.98,7.06,6.48,6.49,144389
225,2001-06-11,6.5,6.57,6.34,6.42,106400
226,2001-06-12,6.5,6.6,6.38,6.5,149800
227,2001-06-13,6.58,6.6,6.38,6.55,98000
228,2001-06-14,6.51,6.55,6.4,6.42,125200
229,2001-06-15,6.43,6.55,6.43,6.52,51900
230,2001-06-18,6.52,6.52,5.99,6.0,63000
231,2001-06-19,6.15,6.15,6.0,6.0,34300
232,2001-06-20,6.025,6.1651,6.005,6.025,21885
233,2001-06-21,6.03,6.15,5.95,6.08,60300
234,2001-06-22,6.15,6.52,6.06,6.19,78700
235,2001-06-25,6.4,6.4,6.02,6.11,165700
236,2001-06-26,6.25,6.47,6.1,6.19,70900
237,2001-06-27,6.19,6.51,5.86,6.0,357800
238,2001-06-28,6.25,6.25,4.95,5.35,395100
239,2001-06-29,5.01,6.24,5.01,6.15,971100
240,2001-07-02,6.41,6.41,5.5,5.86,127300
241,2001-07-03,6.1,6.1,5.57,6.0,36006
242,2001-07-05,5.98,6.3,4.87,4.98,173800
243,2001-07-06,4.05,4.1,3.9,4.0,1116000
244,2001-07-09,4.04,4.14,3.9,4.0,619900
245,2001-07-10,3.97,3.97,3.75,3.77,1052500
246,2001-07-11,3.75,3.9,3.4,3.52,244400
247,2001-07-12,3.4649,3.6945,3.2552,3.2651,168641
248,2001-07-13,3.49,3.55,3.35,3.45,123600
249,2001-07-16,3.59,3.69,3.26,3.4,144600
250,2001-07-17,3.55,3.8,3.32,3.73,766200
251,2001-07-18,3.78,3.91,3.35,3.75,73300
252,2001-07-19,3.81,3.95,3.75,3.82,579800
253,2001-07-20,3.89,4.25,3.8,3.87,148400
254,2001-07-23,4.05,4.34,3.42,3.42,558600
255,2001-07-24,3.7,3.7,3.2,3.45,34900
256,2001-07-25,3.5,3.5,3.2,3.35,65900
257,2001-07-26,3.26,3.59,3.2,3.5,70300
258,2001-07-27,3.6,3.6,3.2,3.26,33800
259,2001-07-30,3.21,3.29,2.82,2.99,176000
260,2001-07-31,3.05,3.05,2.18,2.2,597100
261,2001-08-01,2.44,2.55,2.2,2.2,104700
262,2001-08-02,2.44,2.84,2.04,2.15,98000
263,2001-08-03,2.28,2.28,2.1,2.14,84200
264,2001-08-06,2.5,3.4,2.31,3.06,429700
265,2001-08-07,3.37,3.6,2.99,3.0,276000
266,2001-08-08,3.04,3.09,2.84,2.89,98800
267,2001-08-09,2.88,3.04,2.7,2.8,25400
268,2001-08-10,2.78,2.79,2.44,2.64,955000
269,2001-08-13,2.75,2.95,2.52,2.63,20600
270,2001-08-14,2.81,2.81,2.58,2.64,17400
271,2001-08-15,2.8,2.85,2.6,2.83,6500
272,2001-08-16,2.71,2.88,2.65,2.88,316100
273,2001-08-17,2.75,2.95,2.69,2.81,47600
