,DateTime,Open,High,Low,Close,Volume
0,2005-11-17,28.0,28.01,24.81,25.45,10565600
1,2005-11-18,25.55,27.51,24.8,27.1,2155300
2,2005-11-21,27.1,27.95,25.75,26.6,571800
3,2005-11-22,26.73,26.73,25.03,25.1,375900
4,2005-11-23,25.15,25.58,25.02,25.14,510000
5,2005-11-25,26.0,26.73,25.47,26.0,71100
6,2005-11-28,27.39,27.4,25.06,25.16,376200
7,2005-11-29,25.57,25.72,24.77,24.78,271200
8,2005-11-30,24.95,25.2,24.75,25.0,109400
9,2005-12-01,25.23,26.0,24.72,25.44,148100
10,2005-12-02,25.72,26.25,25.27,25.68,101300
11,2005-12-05,26.0,26.0,24.78,25.04,171700
12,2005-12-06,25.47,25.49,24.3,24.42,200600
13,2005-12-07,25.69,25.69,24.75,25.0,321400
14,2005-12-08,25.35,27.0,25.22,26.15,229200
15,2005-12-09,26.4,27.9,26.25,27.43,182200
16,2005-12-12,28.09,29.14,27.5,27.61,241400
17,2005-12-13,28.39,28.39,27.7,27.83,91600
18,2005-12-14,29.25,29.25,26.6,28.1,317500
19,2005-12-15,29.1,29.4,27.6,28.4,267300
20,2005-12-16,29.95,30.83,28.78,30.78,1173700
21,2005-12-19,30.99,31.0,29.53,30.04,375200
22,2005-12-20,29.69,30.22,28.97,29.02,286600
23,2005-12-21,28.91,29.13,27.9,28.81,357500
24,2005-12-22,28.74,28.95,28.23,28.77,100000
25,2005-12-23,28.89,28.89,27.21,28.02,233600
26,2005-12-27,28.76,30.15,28.69,29.99,330700
27,2005-12-28,30.5,33.0,29.99,32.43,461500
28,2005-12-29,33.0,34.75,32.51,34.72,1090800
29,2005-12-30,34.71,34.71,33.49,33.99,507600
30,2006-01-03,34.5,34.55,33.22,33.86,363700
31,2006-01-04,34.02,34.02,32.14,33.15,588300
32,2006-01-05,33.53,34.86,32.51,32.54,544900
33,2006-01-06,32.75,32.83,31.23,32.57,539400
34,2006-01-09,33.07,33.94,31.8,33.69,515500
35,2006-01-10,34.13,35.4,33.74,34.86,661100
36,2006-01-11,34.41,37.59,34.38,36.75,664200
37,2006-01-12,37.88,38.04,34.65,34.85,1301600
38,2006-01-13,35.6,36.55,33.85,33.98,786000
39,2006-01-17,33.98,35.0,33.38,34.06,416500
40,2006-01-18,33.65,35.3,32.53,35.25,870500
41,2006-01-19,35.94,36.0,34.12,34.24,1061000
42,2006-01-20,34.43,35.19,33.81,33.85,604900
43,2006-01-23,34.94,34.97,32.36,32.56,736300
44,2006-01-24,32.3,33.1,31.7,31.8,563500
45,2006-01-25,31.67,32.11,29.08,30.13,1645000
46,2006-01-26,31.99,35.6,31.2,35.44,2073900
47,2006-01-27,35.98,37.91,35.25,35.91,1159500
48,2006-01-30,35.88,39.85,34.75,39.39,1031400
49,2006-01-31,39.5,40.2,38.1,40.0,1165900
50,2006-02-01,40.75,41.22,38.23,38.49,782400
51,2006-02-02,38.51,40.1,37.53,37.99,678400
52,2006-02-03,37.7,38.0,36.07,36.42,305000
53,2006-02-06,36.92,38.42,36.68,37.5,458700
54,2006-02-07,37.65,37.65,35.4,35.55,382800
55,2006-02-08,35.82,37.3,35.61,37.07,356000
56,2006-02-09,36.58,38.3,36.58,37.83,238800
57,2006-02-10,37.57,37.57,35.6,37.2,336900
58,2006-02-13,37.15,37.98,36.31,37.09,228900
59,2006-02-14,36.9,36.9,35.08,35.8,524800
60,2006-02-15,35.5,36.85,34.84,35.11,304000
61,2006-02-16,35.17,36.85,35.05,36.53,241800
62,2006-02-17,36.88,38.34,36.51,38.21,576900
63,2006-02-21,39.5,39.74,36.98,37.48,697200
64,2006-02-22,37.14,37.95,36.88,37.53,378900
65,2006-02-23,37.35,38.6,36.86,38.4,357000
66,2006-02-24,38.59,40.13,37.9,39.67,406600
67,2006-02-27,40.5,43.6,40.1,43.3,1138300
68,2006-02-28,43.21,44.6,41.18,43.9,880600
69,2006-03-01,43.97,45.09,43.28,44.07,504500
