Unnamed: 0,DateTime,Open,High,Low,Close,Volume
0.0,2013-02-12,8.54,8.65,8.52,8.65,1151100
1.0,2013-02-13,8.64,8.67,8.55,8.6,769400
2.0,2013-02-14,8.48,8.62,8.46,8.61,680900
3.0,2013-02-15,8.42,8.47,8.37,8.38,2017900
4.0,2013-02-19,8.33,8.41,8.32,8.4,1274500
5.0,2013-02-20,8.37,8.4,8.19,8.2,1263900
6.0,2013-02-21,8.02,8.02,7.9,7.96,2142400
7.0,2013-02-22,7.9,8.02,7.88,8.02,1460400
8.0,2013-02-25,8.29,8.29,7.68,7.69,2705700
9.0,2013-02-26,7.75,7.81,7.65,7.74,1053400
10.0,2013-02-27,7.78,8.09,7.78,8.09,1239200
11.0,2013-02-28,7.96,8.03,7.89,7.95,713800
12.0,2013-03-01,7.87,7.94,7.81,7.87,1850600
13.0,2013-03-04,8.0,8.02,7.9,8.02,1839700
14.0,2013-03-05,8.17,8.18,8.07,8.08,1747800
15.0,2013-03-06,8.07,8.07,7.96,8.02,914400
16.0,2013-03-07,7.94,7.98,7.91,7.98,884300
17.0,2013-03-08,8.02,8.04,7.92,7.99,2402200
18.0,2013-03-11,7.89,7.97,7.86,7.97,682100
19.0,2013-03-12,7.98,8.01,7.55,7.65,3187900
20.0,2013-03-13,7.59,7.61,7.51,7.6,1767400
21.0,2013-03-14,7.61,7.72,7.61,7.69,1261200
22.0,2013-03-15,7.74,7.75,7.62,7.64,960700
23.0,2013-03-18,7.9,8.0,7.87,7.91,1716000
24.0,2013-03-19,8.08,8.11,7.95,8.07,1362200
25.0,2013-03-20,8.14,8.2,8.09,8.14,645100
26.0,2013-03-21,7.98,8.01,7.87,7.89,1336400
27.0,2013-03-22,7.97,8.0,7.89,7.93,811800
28.0,2013-03-25,7.94,7.98,7.82,7.92,1058800
29.0,2013-03-26,8.02,8.05,7.96,8.03,927000
30.0,2013-03-27,7.74,7.84,7.69,7.74,1340500
31.0,2013-03-28,7.7,7.73,7.64,7.71,1295600
32.0,2013-04-01,7.98,8.06,7.8,7.86,2259600
33.0,2013-04-02,7.85,7.91,7.78,7.82,1363500
34.0,2013-04-03,7.92,7.92,7.76,7.83,1738600
35.0,2013-04-04,7.59,7.68,7.55,7.65,1590600
36.0,2013-04-05,7.5,7.57,7.43,7.54,1232000
37.0,2013-04-08,7.55,7.58,7.44,7.58,1009800
38.0,2013-04-09,7.54,7.64,7.48,7.59,747100
39.0,2013-04-10,7.59,7.78,7.59,7.78,679200
40.0,2013-04-11,7.88,8.04,7.85,7.99,908800
41.0,2013-04-12,7.8,7.87,7.75,7.82,859300
42.0,2013-04-15,7.8,7.8,7.59,7.61,1149700
43.0,2013-04-16,7.72,7.83,7.69,7.79,722500
44.0,2013-04-17,7.47,7.48,7.23,7.26,2144900
45.0,2013-04-18,7.34,7.35,7.11,7.11,2939000
46.0,2013-04-19,7.3,7.33,7.11,7.16,3330000
47.0,2013-04-22,7.35,7.37,7.19,7.27,3362900
48.0,2013-04-23,7.75,8.0,7.74,7.93,4777900
49.0,2013-04-24,8.05,8.17,8.03,8.14,2271800
50.0,2013-04-25,8.33,8.41,8.23,8.26,2486400
51.0,2013-04-26,8.3,8.34,8.25,8.27,2448700
52.0,2013-04-29,8.39,8.44,8.38,8.39,2607000
53.0,2013-04-30,8.59,8.69,8.5,8.68,2774300
54.0,2013-05-01,8.85,8.85,8.59,8.61,947200
55.0,2013-05-02,8.57,8.73,8.55,8.73,1639500
56.0,2013-05-03,8.68,8.79,8.67,8.74,874800
57.0,2013-05-06,8.76,8.79,8.72,8.77,543900
58.0,2013-05-07,8.95,8.95,8.82,8.88,826400
59.0,2013-05-08,9.23,9.39,9.23,9.34,1514200
60.0,2013-05-09,9.31,9.33,9.12,9.17,1161000
61.0,2013-05-10,9.23,9.32,9.21,9.32,834200
62.0,2013-05-13,9.08,9.17,9.06,9.13,1301600
63.0,2013-05-14,9.11,9.13,9.03,9.09,891100
64.0,2013-05-15,9.11,9.25,9.09,9.22,1095700
65.0,2013-05-16,9.22,9.29,9.18,9.2,878900
66.0,2013-05-17,9.28,9.45,9.28,9.44,1305500
67.0,2013-05-20,9.63,9.69,9.6,9.61,1320600
68.0,2013-05-21,9.79,9.9,9.76,9.85,1828800
69.0,2013-05-22,9.66,9.83,9.44,9.5,1771500
70.0,2013-05-23,9.38,9.48,9.33,9.45,1148700
71.0,2013-05-24,9.27,9.31,9.22,9.28,1010700
72.0,2013-05-28,9.51,9.56,9.36,9.42,1618200
73.0,2013-05-29,9.36,9.36,9.21,9.31,1121200
74.0,2013-05-30,9.57,9.61,9.5,9.5,1136400
75.0,2013-05-31,9.45,9.5,9.29,9.3,1568900
76.0,2013-06-03,9.32,9.41,9.28,9.37,1345700
77.0,2013-06-04,9.73,9.81,9.69,9.81,4228600
78.0,2013-06-05,9.88,9.88,9.63,9.67,2041100
79.0,2013-06-06,9.66,9.69,9.51,9.68,1643500
80.0,2013-06-07,9.47,9.63,9.45,9.58,1333800
81.0,2013-06-10,9.58,9.64,9.49,9.63,847800
82.0,2013-06-11,9.47,9.65,9.42,9.54,1250900
83.0,2013-06-12,9.47,9.49,9.3,9.35,1713500
84.0,2013-06-13,9.28,9.63,9.22,9.62,1490100
85.0,2013-06-14,9.57,9.57,9.44,9.5,703000
86.0,2013-06-17,9.72,9.77,9.61,9.71,1156600
87.0,2013-06-18,9.88,9.92,9.83,9.89,1534600
88.0,2013-06-19,10.03,10.05,9.71,9.74,1543100
89.0,2013-06-20,9.41,9.43,9.23,9.27,1370600
90.0,2013-06-21,9.16,9.19,8.97,9.11,1179300
91.0,2013-06-24,8.68,8.79,8.62,8.7,1644500
92.0,2013-06-25,8.86,8.88,8.71,8.83,1387900
93.0,2013-06-26,9.03,9.07,8.96,9.05,826200
94.0,2013-06-27,9.08,9.2,9.06,9.09,1118500
95.0,2013-06-28,8.94,9.02,8.88,8.99,901400
96.0,2013-07-01,9.04,9.08,8.97,9.0,508500
97.0,2013-07-02,8.99,9.11,8.93,8.99,656500
98.0,2013-07-03,9.1,9.36,9.1,9.32,970300
99.0,2013-07-05,9.4,9.4,9.24,9.31,937700
100.0,2013-07-08,9.46,9.48,9.26,9.3,1376500
101.0,2013-07-09,9.23,9.23,9.04,9.09,1109200
102.0,2013-07-10,9.09,9.3,9.09,9.28,907900
103.0,2013-07-11,9.36,9.46,9.32,9.45,1079400
104.0,2013-07-12,9.55,9.63,9.47,9.63,1189800
105.0,2013-07-15,9.8,9.84,9.75,9.78,1397400
106.0,2013-07-16,9.71,9.73,9.61,9.69,897800
