Unnamed: 0,DateTime,Open,High,Low,Close,Volume
0.0,2002-12-12,11.5,11.59,11.02,11.18,9195600
1.0,2002-12-13,11.1,11.5,10.95,11.42,7739400
2.0,2002-12-16,11.32,11.62,11.13,11.61,3836400
3.0,2002-12-17,11.6,11.78,11.45,11.5,2729900
4.0,2002-12-18,11.42,11.43,11.13,11.2,2152800
5.0,2002-12-19,11.15,11.2,10.71,10.76,6450800
6.0,2002-12-20,10.85,10.94,10.56,10.81,2930900
7.0,2002-12-23,10.71,10.71,10.2,10.4,3455900
8.0,2002-12-24,10.4,10.45,10.0,10.24,3302500
9.0,2002-12-26,10.05,10.2,10.0,10.03,2019200
10.0,2002-12-27,10.0,10.13,9.86,10.13,1639400
11.0,2002-12-30,10.22,10.55,10.0,10.47,2742800
12.0,2002-12-31,10.3,10.96,10.3,10.73,3730800
13.0,2003-01-02,10.75,10.76,10.25,10.5,3473000
14.0,2003-01-03,10.5,10.75,10.33,10.75,1716600
15.0,2003-01-06,10.9,11.57,10.85,11.43,4041400
16.0,2003-01-07,11.5,12.25,11.4,12.25,6823500
17.0,2003-01-08,12.05,12.24,11.95,12.2,4623100
18.0,2003-01-09,12.3,12.95,12.25,12.6,9553400
19.0,2003-01-10,11.5,11.95,10.7,11.1,7554700
20.0,2003-01-13,11.15,11.28,10.15,10.23,2834700
21.0,2003-01-14,10.23,10.35,10.0,10.25,1629200
22.0,2003-01-15,10.36,10.88,10.19,10.77,2588100
23.0,2003-01-16,10.98,11.1,10.78,11.01,1443400
24.0,2003-01-17,10.98,11.0,10.4,10.8,2000000
25.0,2003-01-21,10.9,10.98,10.21,10.24,1165700
26.0,2003-01-22,10.34,10.34,9.3,9.52,3488500
27.0,2003-01-23,9.75,10.15,9.61,10.0,2498200
28.0,2003-01-24,10.17,10.43,9.8,9.95,2772100
29.0,2003-01-27,9.8,9.9,9.32,9.35,1150600
30.0,2003-01-28,9.43,9.71,9.4,9.4,1267000
31.0,2003-01-29,9.42,9.92,9.4,9.73,1174400
32.0,2003-01-30,9.79,9.89,9.4,9.4,720700
33.0,2003-01-31,9.3,9.34,8.99,9.18,1402500
34.0,2003-02-03,9.23,9.45,9.16,9.17,1002400
35.0,2003-02-04,9.18,9.18,8.95,9.05,1087700
36.0,2003-02-05,9.12,9.21,8.98,9.05,1233500
37.0,2003-02-06,9.1,9.34,9.03,9.05,923500
38.0,2003-02-07,9.15,9.17,8.96,9.0,1069500
39.0,2003-02-10,8.75,8.75,7.78,8.7,10046400
40.0,2003-02-11,8.7,8.93,8.23,8.93,2238900
41.0,2003-02-12,8.95,8.95,8.18,8.34,1726000
42.0,2003-02-13,8.35,8.45,8.0,8.06,2111000
43.0,2003-02-14,8.06,8.4,8.06,8.4,881000
44.0,2003-02-18,8.4,8.74,8.39,8.74,2049100
45.0,2003-02-19,8.81,9.0,8.74,8.99,1506300
46.0,2003-02-20,8.89,9.15,8.87,9.01,760000
47.0,2003-02-21,9.03,9.36,9.03,9.2,1519300
48.0,2003-02-24,9.25,9.4,8.88,9.0,1055600
49.0,2003-02-25,9.0,9.75,8.97,9.68,3049400
50.0,2003-02-26,9.65,9.74,9.42,9.52,782300
51.0,2003-02-27,9.42,9.69,9.32,9.45,387000
52.0,2003-02-28,9.5,9.5,9.18,9.27,808500
53.0,2003-03-03,9.25,9.52,9.22,9.3,575800
54.0,2003-03-04,9.33,9.39,9.2,9.27,517600
55.0,2003-03-05,9.23,9.42,9.14,9.29,1017700
56.0,2003-03-06,9.19,9.75,9.19,9.58,1481100
57.0,2003-03-07,9.48,9.84,9.39,9.7,898800
58.0,2003-03-10,9.45,9.76,9.45,9.76,1837100
59.0,2003-03-11,9.7,9.75,9.45,9.55,1960400
60.0,2003-03-12,9.35,9.4,8.95,9.03,4556400
61.0,2003-03-13,9.03,9.15,8.88,9.05,4223600
62.0,2003-03-14,9.02,9.1,8.75,8.96,2401400
63.0,2003-03-17,8.96,9.43,8.85,9.35,994400
64.0,2003-03-18,9.35,9.56,9.35,9.54,782500
65.0,2003-03-19,9.45,9.51,9.18,9.34,874000
66.0,2003-03-20,9.25,9.45,9.2,9.44,1609600
67.0,2003-03-21,9.5,9.99,9.4,9.8,2559900
68.0,2003-03-24,9.45,9.76,9.43,9.55,1945600
69.0,2003-03-25,9.5,10.22,9.45,10.0,4664700
70.0,2003-03-26,9.85,10.19,9.75,10.1,2908700
71.0,2003-03-27,9.95,10.89,9.94,10.88,4410700
72.0,2003-03-28,10.69,10.8,10.35,10.35,2628000
73.0,2003-03-31,10.0,10.44,9.98,10.32,1127600
74.0,2003-04-01,10.42,10.68,10.33,10.57,1558200
75.0,2003-04-02,10.75,10.95,10.56,10.74,4117900
76.0,2003-04-03,10.84,10.85,10.41,10.72,1517100
77.0,2003-04-04,10.62,10.63,10.15,10.27,4553400
78.0,2003-04-07,10.3,10.48,10.2,10.31,3600200
79.0,2003-04-08,10.35,10.66,10.25,10.52,2169200
80.0,2003-04-09,10.62,10.8,10.5,10.72,1889300
81.0,2003-04-10,10.72,10.9,10.56,10.83,1988500
82.0,2003-04-11,10.85,10.95,10.82,10.95,1500200
83.0,2003-04-14,10.9,11.05,10.66,11.05,991300
84.0,2003-04-15,11.0,11.45,10.9,11.45,2470200
85.0,2003-04-16,11.6,12.35,11.6,11.9,8202400
86.0,2003-04-17,11.87,12.25,11.8,12.25,2437600
87.0,2003-04-21,12.1,12.3,12.0,12.26,1866600
88.0,2003-04-22,12.19,12.45,12.0,12.35,1270200
89.0,2003-04-23,12.35,12.35,11.45,11.75,2737800
90.0,2003-04-24,11.65,11.73,11.46,11.5,1244800
91.0,2003-04-25,11.5,11.5,11.1,11.36,1543400
92.0,2003-04-28,11.33,11.7,11.3,11.48,1635800
93.0,2003-04-29,11.6,12.12,11.6,12.04,1513300
94.0,2003-04-30,11.91,12.09,11.58,12.09,3005000
95.0,2003-05-01,12.03,12.3,11.95,12.25,1312200
96.0,2003-05-02,12.18,12.32,11.85,12.29,1900900
97.0,2003-05-05,12.23,12.58,12.2,12.54,2176000
98.0,2003-05-06,12.25,12.54,12.25,12.5,758600
99.0,2003-05-07,12.42,12.8,12.4,12.7,990300
100.0,2003-05-08,12.6,12.75,12.5,12.72,815300
101.0,2003-05-09,12.75,12.77,12.45,12.59,1157400
102.0,2003-05-12,12.5,13.45,12.25,13.36,3123000
103.0,2003-05-13,13.3,14.22,13.25,13.93,4718700
104.0,2003-05-14,13.97,14.0,13.36,13.65,1354100
105.0,2003-05-15,13.65,13.75,13.16,13.4,797300
106.0,2003-05-16,13.33,13.55,12.83,13.55,1493800
107.0,2003-05-19,13.45,13.58,13.3,13.35,1102300
108.0,2003-05-20,13.3,13.35,12.88,13.1,2152900
109.0,2003-05-21,13.0,13.57,13.0,13.28,930600
110.0,2003-05-22,13.18,13.49,13.15,13.43,1116600
111.0,2003-05-23,13.43,13.64,13.3,13.32,1287900
112.0,2003-05-27,13.42,14.04,13.33,13.95,2212300
113.0,2003-05-28,13.85,15.01,13.78,14.84,3516100
114.0,2003-05-29,15.3,15.9,15.11,15.15,5121900
115.0,2003-05-30,14.7,15.46,14.6,15.15,2465500
116.0,2003-06-02,15.5,15.75,15.48,15.54,1695100
117.0,2003-06-03,15.0,15.2,14.6,14.86,2191600
118.0,2003-06-04,14.96,15.14,14.59,14.97,2222300
119.0,2003-06-05,14.97,16.04,14.76,15.97,2316300
120.0,2003-06-06,15.97,16.53,15.3,15.4,3287000
121.0,2003-06-09,14.5,15.38,14.5,15.35,4232800
122.0,2003-06-10,15.38,15.6,14.85,15.02,4167600
123.0,2003-06-11,14.92,15.4,14.86,15.25,2929900
124.0,2003-06-12,15.18,15.6,15.0,15.6,2549600
125.0,2003-06-13,15.64,16.0,15.4,15.96,2168700
126.0,2003-06-16,16.0,17.1,15.78,17.0,3809400
127.0,2003-06-17,17.35,18.0,17.25,17.25,5949600
