,DateTime,Open,High,Low,Close,Volume
0,2005-06-06,36.23,36.73,36.22,36.56,1049000
1,2005-06-07,36.85,37.24,35.61,35.68,990000
2,2005-06-08,35.69,36.6,35.272,35.6,1173600
3,2005-06-09,35.6,36.95,35.42,36.95,806600
4,2005-06-10,37.1,37.23,36.67,37.15,771700
5,2005-06-13,37.2,40.8,37.15,40.62,2246500
6,2005-06-14,40.65,43.15,40.62,42.75,2124300
7,2005-06-15,43.15,43.93,42.96,43.49,1326500
8,2005-06-16,43.51,43.93,42.32,43.11,1304700
9,2005-06-17,43.85,44.2,42.8,43.39,962000
10,2005-06-20,43.4,44.8,43.4,44.6,810800
11,2005-06-21,44.6,44.96,43.71,43.85,863200
12,2005-06-22,44.25,45.15,43.93,44.4,1100800
13,2005-06-23,44.4,44.75,43.05,43.2,1037600
14,2005-06-24,43.25,43.81,42.05,43.52,3321400
15,2005-06-27,43.52,43.72,43.1,43.4,1003200
16,2005-06-28,43.25,44.19,42.77,43.15,1840800
17,2005-06-29,44.15,46.99,44.15,46.97,2169000
18,2005-06-30,47.0,47.73,45.9,46.98,1448100
19,2005-07-01,48.0,51.15,48.0,50.69,2023700
20,2005-07-05,51.5,53.43,50.48,52.9,1660100
21,2005-07-06,53.0,53.4,49.7,50.31,2717600
22,2005-07-07,48.9,54.43,48.86,54.2,2509000
23,2005-07-08,54.99,55.76,51.12,52.32,2907300
24,2005-07-11,52.75,53.65,51.6,52.74,1580700
25,2005-07-12,53.05,53.84,52.58,53.69,1267600
26,2005-07-13,53.97,53.98,52.45,52.61,904800
27,2005-07-14,52.86,53.44,49.55,50.27,1897500
28,2005-07-15,50.4,51.84,49.51,50.55,1465100
29,2005-07-18,50.5,50.61,49.01,49.55,1409200
30,2005-07-19,50.3,51.6,49.56,51.6,1277400
31,2005-07-20,52.06,52.24,50.18,51.03,961500
32,2005-07-21,51.03,51.31,49.65,50.41,532300
33,2005-07-22,51.13,53.53,51.13,53.5,1470700
34,2005-07-25,53.75,54.75,52.67,54.15,1473400
35,2005-07-26,54.15,55.77,53.5,55.77,1517400
36,2005-07-27,55.77,55.83,54.75,55.18,1709500
37,2005-07-28,55.26,55.61,53.55,54.4,1436200
38,2005-07-29,55.3,55.69,54.95,55.11,1377400
39,2005-08-01,55.36,56.3,55.27,56.05,1129500
40,2005-08-02,56.25,56.93,56.15,56.69,1010800
41,2005-08-03,56.9,57.89,56.54,57.09,1416000
42,2005-08-04,57.09,57.52,56.75,56.88,886100
43,2005-08-05,57.18,57.22,52.75,55.88,1390700
44,2005-08-08,56.5,57.1,55.5,55.65,781800
45,2005-08-09,55.65,56.41,54.34,55.5,764200
46,2005-08-10,56.25,57.31,55.35,57.21,812500
47,2005-08-11,57.4,58.5,56.54,57.3,714900
48,2005-08-12,57.3,57.65,56.478,57.25,452100
49,2005-08-15,57.18,57.68,56.246,56.43,770500
50,2005-08-16,55.8,55.8,54.0,54.0,1376700
51,2005-08-17,53.7,55.31,51.12,51.48,2052300
52,2005-08-18,50.3,53.02,50.02,52.82,1747500
53,2005-08-19,52.9,54.8,52.9,53.81,827400
54,2005-08-22,54.75,54.81,53.1,53.81,956200
55,2005-08-23,54.39,54.4,52.7,53.52,730100
56,2005-08-24,53.1,54.45,52.88,53.49,826900
57,2005-08-25,53.09,53.7,52.33,53.5,998400
58,2005-08-26,53.5,53.75,52.44,52.5,698500
59,2005-08-29,54.0,54.0,51.82,52.5,1024000
60,2005-08-30,53.34,56.46,52.66,56.07,2326500
61,2005-08-31,56.7,59.96,56.0,57.9,2237300
62,2005-09-01,57.9,59.5,56.76,59.25,1633200
63,2005-09-02,58.55,58.55,57.094,57.33,1061200
64,2005-09-06,57.33,58.0,55.41,56.95,1165200
65,2005-09-07,57.0,57.48,56.01,56.53,1241500
66,2005-09-08,56.53,56.98,55.76,55.9,844100
67,2005-09-09,56.29,58.25,56.27,57.45,1140900
68,2005-09-12,57.45,57.73,56.5,56.95,765800
69,2005-09-13,56.95,61.69,56.75,61.12,2792200
70,2005-09-14,62.0,62.06,60.06,61.47,1638100
71,2005-09-15,61.74,62.69,61.45,62.32,4351400
72,2005-09-16,62.38,62.94,62.0,62.68,2369300
