Unnamed: 0,DateTime,Open,High,Low,Close,Volume
0.0,2010-10-21,2.4583,2.5817,2.43,2.46,13497600
1.0,2010-10-22,2.5,2.75,2.4667,2.75,7382400
2.0,2010-10-25,2.825,2.9833,2.6767,2.945,7284000
3.0,2010-10-26,2.9333,3.0567,2.925,3.0,5916600
4.0,2010-10-27,2.9817,2.995,2.725,2.9167,4274400
5.0,2010-10-28,2.8917,2.9867,2.78,2.95,2076000
6.0,2010-10-29,2.95,2.9717,2.8917,2.9667,1066200
7.0,2010-11-01,2.9167,2.95,2.75,2.775,1625400
8.0,2010-11-02,2.7917,2.8133,2.4417,2.5083,3445200
9.0,2010-11-03,2.5083,2.545,2.455,2.5033,1843200
10.0,2010-11-04,2.5133,2.58,2.4667,2.4817,2613000
11.0,2010-11-05,2.4817,2.6133,2.4817,2.5917,540600
12.0,2010-11-08,2.625,2.8167,2.625,2.6733,2321400
13.0,2010-11-09,2.8333,2.8333,2.6933,2.7383,957000
14.0,2010-11-10,2.75,2.8317,2.75,2.8133,888600
15.0,2010-11-11,2.8283,2.9817,2.7833,2.9667,915000
16.0,2010-11-12,2.8917,2.9167,2.765,2.855,379200
17.0,2010-11-15,2.8517,2.8933,2.7083,2.7283,466200
18.0,2010-11-16,2.7,2.76,2.5833,2.5833,399600
19.0,2010-11-17,2.555,2.6883,2.5,2.6467,1626600
20.0,2010-11-18,2.68,2.7867,2.6633,2.6917,690600
21.0,2010-11-19,2.7083,2.725,2.5833,2.5983,713400
22.0,2010-11-22,2.6167,2.7467,2.6133,2.6533,315600
23.0,2010-11-23,2.6717,2.715,2.6433,2.6733,739200
24.0,2010-11-24,2.65,2.8917,2.65,2.875,1059600
25.0,2010-11-26,2.8167,2.87,2.7833,2.8083,442800
26.0,2010-11-29,2.8483,2.87,2.6,2.6667,1165200
27.0,2010-11-30,2.625,2.6833,2.625,2.6667,21600
28.0,2010-12-01,2.7333,2.7883,2.7333,2.74,109200
29.0,2010-12-02,2.7883,2.82,2.7567,2.7867,76800
30.0,2010-12-03,2.75,2.8,2.7217,2.76,357000
31.0,2010-12-06,2.7583,2.7767,2.6717,2.68,198000
32.0,2010-12-07,2.7083,2.7083,2.5333,2.535,2493000
33.0,2010-12-08,2.5333,2.615,2.44,2.5583,2102400
34.0,2010-12-09,2.6,2.6,2.505,2.5167,2271000
35.0,2010-12-10,2.5,2.5317,2.4167,2.4167,1487400
36.0,2010-12-13,2.43,2.4333,2.3367,2.4267,1071600
37.0,2010-12-14,2.445,2.5083,2.38,2.45,329400
38.0,2010-12-15,2.4817,2.52,2.4083,2.43,561600
39.0,2010-12-16,2.44,2.4983,2.3667,2.48,441000
40.0,2010-12-17,2.445,2.445,2.35,2.3983,1555800
41.0,2010-12-20,2.4033,2.4967,2.3767,2.3817,1014600
42.0,2010-12-21,2.4367,2.6067,2.4267,2.59,934200
43.0,2010-12-22,2.545,2.6083,2.5417,2.6,415800
44.0,2010-12-23,2.6,2.6,2.5333,2.5883,106200
45.0,2010-12-27,2.6,2.66,2.5467,2.625,490800
46.0,2010-12-28,2.66,2.66,2.6083,2.6333,420000
47.0,2010-12-29,2.655,2.6583,2.5417,2.625,1366800
48.0,2010-12-30,2.6317,2.655,2.5633,2.655,949200
49.0,2010-12-31,2.6417,2.6917,2.6033,2.6833,514800
50.0,2011-01-03,2.7083,2.7083,2.56,2.6367,268200
51.0,2011-01-04,2.5967,2.6483,2.5817,2.6383,475800
52.0,2011-01-05,2.64,2.68,2.6167,2.65,919200
53.0,2011-01-06,2.6783,2.685,2.6233,2.6817,596400
54.0,2011-01-07,2.6883,2.7,2.655,2.6717,580200
55.0,2011-01-10,2.7067,2.7067,2.58,2.6067,282000
56.0,2011-01-11,2.5833,2.6233,2.5367,2.6083,273000
57.0,2011-01-12,2.5917,2.6833,2.59,2.66,530400
58.0,2011-01-13,2.6667,2.6717,2.6417,2.6667,180000
59.0,2011-01-14,2.6583,2.665,2.5883,2.665,138000
60.0,2011-01-18,2.65,2.6667,2.595,2.6667,264000
61.0,2011-01-19,2.655,2.6917,2.615,2.69,931200
62.0,2011-01-20,2.65,2.6833,2.555,2.6033,1080600
63.0,2011-01-21,2.575,2.5833,2.4833,2.4933,1821600
64.0,2011-01-24,2.5,2.585,2.4783,2.54,2287200
65.0,2011-01-25,2.5267,2.5333,2.0317,2.1733,5479200
66.0,2011-01-26,2.16,2.1917,1.9817,2.0583,7951800
67.0,2011-01-27,2.0533,2.3,2.0267,2.2583,1646400
68.0,2011-01-28,2.2417,2.2417,2.105,2.1767,2435400
69.0,2011-01-31,2.22,2.2483,2.1367,2.1667,844200
70.0,2011-02-01,2.1967,2.2217,2.1333,2.165,685200
71.0,2011-02-02,2.1667,2.1783,2.1433,2.1667,332400
72.0,2011-02-03,2.1667,2.2033,2.1317,2.17,704400
73.0,2011-02-04,2.21,2.21,2.15,2.1683,186000
74.0,2011-02-07,2.15,2.1917,2.15,2.165,223800
75.0,2011-02-08,2.185,2.185,2.15,2.16,375000
76.0,2011-02-09,2.16,2.1667,2.1433,2.145,333600
77.0,2011-02-10,2.1667,2.1667,2.1017,2.1367,777000
78.0,2011-02-11,2.1567,2.1567,2.0917,2.0917,603600
79.0,2011-02-14,2.075,2.1333,2.05,2.0983,1641000
80.0,2011-02-15,2.0833,2.0917,2.0517,2.075,159000
81.0,2011-02-16,2.1217,2.1217,1.9967,2.0067,894000
82.0,2011-02-17,1.9917,2.0083,1.885,1.9167,2109600
