,DateTime,Open,High,Low,Close,Volume
0,2001-06-19,0.5083,0.5083,0.46,0.46,225600
1,2001-06-20,0.4585,0.4585,0.446,0.446,56380
2,2001-06-21,0.446,0.446,0.446,0.446,7198
3,2001-06-22,0.4457,0.479,0.4457,0.479,136847
4,2001-06-25,0.479,0.4832,0.4748,0.479,92432
5,2001-06-26,0.482,0.52,0.482,0.52,36665
6,2001-06-27,0.5038,0.508,0.5038,0.508,55237
7,2001-06-28,0.512,0.512,0.512,0.512,3597
8,2001-06-29,0.5163,0.5405,0.5163,0.533,98460
9,2001-07-02,0.533,0.5372,0.5288,0.533,292988
10,2001-07-03,0.529,0.529,0.529,0.529,12004
11,2001-07-05,0.529,0.529,0.529,0.529,16805
12,2001-07-06,0.5252,0.5252,0.5168,0.521,28790
13,2001-07-09,0.5167,0.5208,0.5,0.5,96000
14,2001-07-10,0.5,0.5,0.5,0.5,174000
15,2001-07-11,0.4998,0.504,0.4998,0.504,13204
16,2001-07-12,0.5043,0.5043,0.496,0.496,103165
17,2001-07-13,0.4958,0.5,0.495,0.495,32400
18,2001-07-16,0.4922,0.493,0.488,0.488,71927
19,2001-07-17,0.483,0.483,0.483,0.483,3602
20,2001-07-18,0.4832,0.4832,0.479,0.479,96033
21,2001-07-19,0.4712,0.4712,0.467,0.467,164284
22,2001-07-20,0.4795,0.4795,0.467,0.467,41970
23,2001-07-23,0.4793,0.4877,0.4677,0.471,67176
24,2001-07-24,0.4877,0.496,0.476,0.481,211126
25,2001-07-25,0.473,0.473,0.473,0.473,21615
26,2001-07-26,0.4728,0.477,0.4728,0.477,31233
27,2001-07-27,0.4797,0.488,0.4772,0.488,55239
28,2001-07-30,0.4888,0.5097,0.4888,0.508,58839
29,2001-07-31,0.5043,0.521,0.5018,0.521,224327
30,2001-08-01,0.5212,0.5212,0.517,0.517,21586
31,2001-08-02,0.5212,0.5212,0.512,0.517,82746
32,2001-08-03,0.522,0.522,0.517,0.517,404135
33,2001-08-06,0.5095,0.517,0.5003,0.517,75549
34,2001-08-07,0.5213,0.5422,0.5213,0.538,1393113
35,2001-08-08,0.5378,0.5628,0.5345,0.552,694382
36,2001-08-09,0.554,0.5707,0.5515,0.569,1733314
37,2001-08-10,0.572,0.592,0.5712,0.592,699205
38,2001-08-13,0.5915,0.6457,0.5915,0.644,1053874
39,2001-08-14,0.6442,0.6458,0.6217,0.645,894000
40,2001-08-15,0.65,0.6625,0.64,0.66,1092000
41,2001-08-16,0.6623,0.6748,0.6457,0.674,1249502
42,2001-08-17,0.674,0.679,0.6565,0.664,1104287
43,2001-08-20,0.6707,0.679,0.6123,0.629,354096
44,2001-08-21,0.6317,0.6458,0.615,0.64,187200
45,2001-08-22,0.6503,0.6503,0.6053,0.642,628475
46,2001-08-23,0.6449,0.6574,0.6449,0.6516,426597
47,2001-08-24,0.6562,0.712,0.6554,0.712,1833692
48,2001-08-27,0.7167,0.7417,0.6833,0.735,1303200
49,2001-08-28,0.7397,0.7538,0.7038,0.708,1639969
50,2001-08-29,0.7047,0.7122,0.693,0.708,162077
51,2001-08-30,0.6988,0.7047,0.6755,0.688,152288
52,2001-08-31,0.6789,0.7163,0.6789,0.708,849998
53,2001-09-04,0.7153,0.7678,0.7153,0.757,376626
54,2001-09-05,0.758,0.7622,0.7372,0.753,296534
55,2001-09-06,0.7342,0.7542,0.725,0.725,346800
56,2001-09-07,0.7168,0.7252,0.696,0.721,110372
57,2001-09-10,0.7032,0.729,0.699,0.729,57613
58,2001-09-17,0.75,0.75,0.6333,0.7,1093200
59,2001-09-18,0.6888,0.7288,0.6888,0.708,506641
60,2001-09-19,0.7163,0.7163,0.6247,0.663,492246
61,2001-09-20,0.6362,0.6362,0.5862,0.587,214681
62,2001-09-21,0.5837,0.6254,0.5545,0.567,479722
63,2001-09-24,0.5872,0.6413,0.5872,0.633,262941
64,2001-09-25,0.6167,0.6667,0.615,0.65,441600
65,2001-09-26,0.6588,0.688,0.6588,0.688,351347
66,2001-09-27,0.6917,0.7292,0.6917,0.725,764400
67,2001-09-28,0.7312,0.7753,0.712,0.712,1148004
68,2001-10-01,0.7088,0.7088,0.688,0.688,152291
69,2001-10-02,0.6918,0.716,0.6918,0.716,157166
70,2001-10-03,0.7255,0.7563,0.7247,0.748,360959
71,2001-10-04,0.742,0.7428,0.737,0.737,369432
72,2001-10-05,0.7422,0.7422,0.7046,0.738,95935
73,2001-10-08,0.7422,0.7422,0.728,0.728,125914
74,2001-10-09,0.7359,0.95,0.7359,0.9334,3461900
75,2001-10-10,0.941,0.9543,0.8752,0.901,1559724
76,2001-10-11,0.9398,0.9398,0.8672,0.9079,431711
77,2001-10-12,0.9089,0.9089,0.8297,0.848,450934
78,2001-10-15,0.8547,0.8688,0.8122,0.853,567813
79,2001-10-16,0.867,0.8878,0.857,0.882,470226
80,2001-10-17,0.8817,0.8858,0.8342,0.835,304800
81,2001-10-18,0.841,0.9027,0.841,0.866,1521318
82,2001-10-19,0.8908,1.0417,0.8908,1.025,4899600
83,2001-10-22,1.0336,1.047,0.8586,0.8921,2183397
84,2001-10-23,0.8767,0.9225,0.8125,0.815,1338000
85,2001-10-24,0.8165,0.8648,0.804,0.854,711738
86,2001-10-25,0.8472,0.8663,0.8297,0.833,647050
87,2001-10-26,0.8428,0.8462,0.8087,0.827,243508
88,2001-10-29,0.8232,0.8232,0.7665,0.779,231649
89,2001-10-30,0.77,0.7958,0.75,0.79,717600
90,2001-10-31,0.7983,0.8333,0.7917,0.795,510000
91,2001-11-01,0.8027,0.8027,0.7935,0.796,373121
92,2001-11-02,0.8078,0.8328,0.8037,0.822,470687
93,2001-11-05,0.8127,0.821,0.8127,0.821,50393
94,2001-11-06,0.8085,0.8093,0.7893,0.796,112772
95,2001-11-07,0.8,0.8825,0.8,0.865,1690800
96,2001-11-08,0.8747,0.883,0.8655,0.883,596626
97,2001-11-09,0.8847,0.9372,0.8705,0.933,731053
98,2001-11-12,0.9318,0.9877,0.931,0.946,1073816
99,2001-11-13,0.9547,0.9588,0.928,0.938,1087818
100,2001-11-14,0.9333,0.9333,0.8758,0.9,392400
101,2001-11-15,0.9058,1.125,0.9,1.105,11155204
102,2001-11-16,1.1523,1.2615,1.1332,1.184,10835147
103,2001-11-19,1.2347,1.238,1.0921,1.158,3924667
104,2001-11-20,1.163,1.1672,1.1263,1.158,726865
105,2001-11-21,1.178,1.2163,1.1247,1.158,1469210
106,2001-11-23,1.1585,1.1876,1.1501,1.1722,427167
107,2001-11-26,1.172,1.1787,1.1337,1.142,527849
108,2001-11-27,1.1547,1.1556,1.0405,1.053,1295371
109,2001-11-28,1.0192,1.02,0.9833,1.0,697200
110,2001-11-29,0.9997,1.0405,0.9797,1.013,496552
111,2001-11-30,0.9808,1.1042,0.98,1.085,762000
112,2001-12-03,1.1033,1.1042,1.0333,1.075,474000
113,2001-12-04,1.085,1.1208,1.0833,1.09,620400
114,2001-12-05,1.1013,1.103,1.0247,1.028,580981
115,2001-12-06,1.0317,1.0358,0.9908,1.01,530400
116,2001-12-07,0.9788,1.0197,0.9622,1.008,552177
117,2001-12-10,0.9862,1.0095,0.9837,0.997,260317
118,2001-12-11,0.9845,1.0087,0.9553,0.967,435453
119,2001-12-12,0.9797,0.9847,0.9597,0.983,310638
120,2001-12-13,0.9723,1.0565,0.9582,1.004,896552
121,2001-12-14,1.0222,1.0588,1.0105,1.033,734041
122,2001-12-17,1.0335,1.0418,1.0085,1.021,149977
123,2001-12-18,1.0218,1.0602,1.0102,1.051,397136
124,2001-12-19,1.0538,1.0538,1.023,1.023,370916
125,2001-12-20,1.0222,1.0222,1.0055,1.008,141645
126,2001-12-21,1.007,1.0078,0.997,0.997,123561
127,2001-12-24,1.004,1.029,0.9957,1.029,106816
128,2001-12-26,1.0323,1.0323,1.009,1.009,39604
129,2001-12-27,1.0191,1.0345,1.0137,1.0312,158345
130,2001-12-28,1.0252,1.046,1.0093,1.046,391140
131,2001-12-31,1.046,1.1502,1.0385,1.146,1246615
132,2002-01-02,1.1393,1.1452,1.0835,1.116,319156
133,2002-01-03,1.126,1.1402,1.1085,1.121,416342
134,2002-01-04,1.121,1.1418,1.1002,1.101,233963
135,2002-01-07,1.1133,1.1133,1.09,1.09,244800
136,2002-01-08,1.1878,1.2703,1.167,1.217,11107757
137,2002-01-09,1.459,1.5165,1.3965,1.479,17925748
138,2002-01-10,1.4795,1.6229,1.4128,1.532,11543883
139,2002-01-11,1.5677,1.5827,1.5085,1.521,4560703
140,2002-01-14,1.433,1.4805,1.3338,1.363,4613922
141,2002-01-15,1.383,1.473,1.383,1.413,2418360
142,2002-01-16,1.4007,1.4007,1.3131,1.3481,1400910
143,2002-01-17,1.3498,1.4498,1.3473,1.434,1915412
144,2002-01-18,1.4344,1.4344,1.4052,1.4086,491923
145,2002-01-22,1.4175,1.4708,1.4083,1.41,922800
146,2002-01-23,1.4345,1.4495,1.3837,1.402,1048561
147,2002-01-24,1.4572,1.458,1.3938,1.398,639745
148,2002-01-25,1.4162,1.4162,1.3612,1.372,750258
149,2002-01-28,1.3728,1.3795,1.3262,1.332,544671
150,2002-01-29,1.3267,1.3333,1.2742,1.325,1195200
151,2002-01-30,1.3205,1.4705,1.3205,1.443,1307108
152,2002-01-31,1.487,1.487,1.397,1.417,1020957
153,2002-02-01,1.376,1.4835,1.376,1.471,1556234
154,2002-02-04,1.4663,1.4663,1.3888,1.408,553328
155,2002-02-05,1.3955,1.4247,1.3847,1.408,416502
156,2002-02-06,1.4083,1.4583,1.3917,1.425,541200
157,2002-02-07,1.4418,1.4568,1.3918,1.406,680321
158,2002-02-08,1.4055,1.4238,1.3922,1.423,434498
159,2002-02-11,1.4228,1.5828,1.3995,1.567,3798383
160,2002-02-12,1.5818,1.5827,1.4602,1.491,2126154
161,2002-02-13,1.4905,1.538,1.4755,1.533,1629075
162,2002-02-14,1.5207,1.524,1.4732,1.474,669671
163,2002-02-15,1.4825,1.4996,1.4638,1.4638,516132
164,2002-02-19,1.4705,1.4989,1.4013,1.403,1626626
165,2002-02-20,1.4008,1.4417,1.3783,1.4,534000
166,2002-02-21,1.3555,1.4113,1.2913,1.323,991452
167,2002-02-22,1.2913,1.343,1.2739,1.338,1003448
168,2002-02-25,1.3525,1.4325,1.3492,1.42,985200
169,2002-02-26,1.4322,1.4505,1.4005,1.413,494230
170,2002-02-27,1.4232,1.4331,1.3873,1.389,349240
171,2002-02-28,1.4252,1.5127,1.4168,1.471,1949781
172,2002-03-01,1.4737,1.4862,1.422,1.467,583390
173,2002-03-04,1.5,1.5,1.4683,1.475,584400
174,2002-03-05,1.4703,1.4987,1.4478,1.4762,1129498
175,2002-03-06,1.4828,1.5003,1.4645,1.472,869807
176,2002-03-07,1.4715,1.479,1.4615,1.469,336032
177,2002-03-08,1.4678,1.6652,1.3328,1.367,9882012
178,2002-03-11,1.4088,1.4572,1.3538,1.408,2114892
179,2002-03-12,1.4167,1.4183,1.2717,1.375,1936800
180,2002-03-13,1.3802,1.3802,1.3443,1.351,844710
181,2002-03-14,1.3645,1.3645,1.3462,1.347,421099
182,2002-03-15,1.4927,1.6018,1.4668,1.526,8513063
183,2002-03-18,1.5814,1.5814,1.5081,1.5364,1733068
184,2002-03-19,1.5507,1.5582,1.5015,1.509,1058509
185,2002-03-20,1.5049,1.5219,1.4661,1.4978,577395
186,2002-03-21,1.4934,1.5567,1.4934,1.5534,547476
187,2002-03-22,1.56,1.5638,1.543,1.5438,394895
188,2002-03-25,1.5547,1.5588,1.5172,1.538,362291
189,2002-03-26,1.5305,1.653,1.5305,1.583,3304308
190,2002-03-27,1.6345,1.692,1.5628,1.642,1796058
191,2002-03-28,1.6483,1.6483,1.5667,1.6,1134000
192,2002-04-01,1.6152,1.6377,1.5877,1.621,877118
193,2002-04-02,1.6335,1.6418,1.5927,1.596,518351
194,2002-04-03,1.5912,1.5953,1.5537,1.577,399725
195,2002-04-04,1.5685,1.5776,1.5035,1.511,603539
196,2002-04-05,1.5365,1.5415,1.484,1.494,884496
197,2002-04-08,1.4832,1.554,1.4748,1.554,366037
198,2002-04-09,1.556,1.556,1.4918,1.511,283171
199,2002-04-10,1.5026,1.5151,1.4984,1.5109,122193
200,2002-04-11,1.5192,1.5792,1.5167,1.575,432000
201,2002-04-12,1.5633,1.6624,1.55,1.5874,734415
202,2002-04-15,1.6043,1.6377,1.601,1.606,392358
203,2002-04-16,1.6047,1.6155,1.5688,1.608,427277
204,2002-04-17,1.6,1.6442,1.6,1.625,342000
205,2002-04-18,1.6245,1.6854,1.597,1.602,1095398
206,2002-04-19,1.6085,1.6568,1.6002,1.641,520754
207,2002-04-22,1.6703,1.7437,1.6328,1.717,4027640
208,2002-04-23,1.7505,1.7505,1.6413,1.698,1387452
209,2002-04-24,1.7255,1.7497,1.688,1.693,1070592
210,2002-04-25,1.7381,1.7381,1.6295,1.6379,1376192
211,2002-04-26,1.6795,1.6795,1.5212,1.542,1152946
212,2002-04-29,1.5855,1.6235,1.5668,1.6168,1695485
213,2002-04-30,1.6367,1.65,1.5625,1.61,956400
214,2002-05-01,1.616,1.6168,1.5443,1.546,650333
215,2002-05-02,1.5663,1.5663,1.4797,1.548,1159457
216,2002-05-03,1.5517,1.6075,1.5508,1.605,579600
217,2002-05-06,1.607,1.6078,1.5545,1.592,590276
218,2002-05-07,1.584,1.6132,1.584,1.604,487244
219,2002-05-08,1.6077,1.6127,1.546,1.566,461954
220,2002-05-09,1.5877,1.5877,1.4252,1.446,1239460
221,2002-05-10,1.4208,1.4333,1.2333,1.3,2827200
222,2002-05-13,1.3225,1.3225,1.1705,1.1838,2362316
223,2002-05-14,1.1708,1.3208,1.1433,1.31,1324800
224,2002-05-15,1.3075,1.3208,1.25,1.3,598800
225,2002-05-16,1.2873,1.2916,1.2082,1.224,446454
226,2002-05-17,1.2498,1.2832,1.2198,1.259,319235
227,2002-05-20,1.3112,1.362,1.2787,1.362,804287
228,2002-05-21,1.3546,1.5255,1.3096,1.523,4197420
229,2002-05-22,1.5734,1.5742,1.481,1.5434,2049398
230,2002-05-23,1.5433,1.5433,1.4583,1.5,1111200
231,2002-05-24,1.4823,1.4823,1.4407,1.479,217223
232,2002-05-28,1.4155,1.4163,1.2664,1.333,2472603
233,2002-05-29,1.3073,1.4365,1.2907,1.404,1548178
