,DateTime,Open,High,Low,Close,Volume
0,2004-02-03,27.21,27.58,27.0,27.1,4951000
1,2004-02-04,27.1,27.15,25.8,26.02,4083200
2,2004-02-05,26.05,26.37,25.7,26.05,1240300
3,2004-02-06,26.05,26.5,26.05,26.4,746200
4,2004-02-09,26.49,26.56,26.42,26.42,271000
5,2004-02-10,26.5,26.75,26.4,26.4,425900
6,2004-02-11,26.55,26.7,26.12,26.44,444400
7,2004-02-12,26.45,26.45,26.31,26.37,384400
8,2004-02-13,26.34,26.34,26.02,26.24,135100
9,2004-02-17,26.45,26.45,25.85,26.0,495600
10,2004-02-18,26.03,26.3,25.9,26.01,198500
11,2004-02-19,26.05,26.1,25.7,25.7,638400
12,2004-02-20,25.65,25.65,25.04,25.05,767200
13,2004-02-23,25.0,25.05,23.7,23.7,1291100
14,2004-02-24,23.5,23.85,23.23,23.5,867100
15,2004-02-25,23.5,24.15,23.5,24.1,684300
16,2004-02-26,24.0,24.72,23.95,24.6,295600
17,2004-02-27,24.65,25.05,24.6,25.05,377700
18,2004-03-01,25.01,25.25,24.75,25.15,299400
19,2004-03-02,25.2,25.5,25.2,25.4,210700
20,2004-03-03,25.3,25.55,25.09,25.21,202400
21,2004-03-04,25.22,25.4,25.16,25.26,221500
22,2004-03-05,25.15,25.64,25.13,25.32,101800
23,2004-03-08,25.35,25.35,25.09,25.1,128600
24,2004-03-09,25.0,25.0,24.37,24.37,147100
25,2004-03-10,24.37,24.5,22.75,23.15,354800
26,2004-03-11,23.1,23.39,23.0,23.14,171500
27,2004-03-12,23.15,23.2,22.65,22.85,314000
28,2004-03-15,22.8,22.8,21.0,21.88,592000
29,2004-03-16,22.15,22.4,21.25,21.54,299200
30,2004-03-17,21.64,22.09,21.64,21.9,506400
31,2004-03-18,21.9,22.1,21.9,21.95,267000
32,2004-03-19,22.0,22.0,21.34,21.48,150800
33,2004-03-22,21.0,21.01,20.29,20.8,766400
34,2004-03-23,20.82,21.5,20.82,21.0,227200
35,2004-03-24,21.0,21.51,20.8,21.21,279100
36,2004-03-25,21.54,21.8,21.4,21.75,184700
37,2004-03-26,21.8,22.1,21.75,21.85,75300
38,2004-03-29,22.12,22.65,22.1,22.37,88200
39,2004-03-30,22.25,22.28,21.95,22.05,161600
40,2004-03-31,22.1,22.11,21.75,21.75,193300
41,2004-04-01,21.83,22.17,21.75,21.97,250900
42,2004-04-02,22.13,22.27,22.04,22.08,91400
43,2004-04-05,22.12,22.6,22.12,22.4,96900
44,2004-04-06,22.41,22.5,22.3,22.45,43800
45,2004-04-07,22.4,22.41,21.73,21.97,77100
46,2004-04-08,22.0,22.2,21.5,21.6,108800
47,2004-04-12,21.65,21.65,21.0,21.08,65600
48,2004-04-13,21.22,21.26,20.92,21.0,199300
49,2004-04-14,20.95,20.96,20.5,20.56,271300
50,2004-04-15,20.62,21.0,20.61,20.97,100500
51,2004-04-16,21.05,21.85,21.05,21.66,95800
52,2004-04-19,21.89,22.04,21.4,21.58,52000
53,2004-04-20,21.63,22.0,21.58,21.7,75500
54,2004-04-21,21.75,22.0,21.56,21.86,75600
55,2004-04-22,21.93,22.5,21.86,22.33,128800
56,2004-04-23,22.49,22.49,22.02,22.25,103000
57,2004-04-26,22.2,22.43,21.79,21.95,96900
58,2004-04-27,22.05,22.1,21.8,21.9,42200
59,2004-04-28,21.9,21.9,21.22,21.45,124300
60,2004-04-29,21.31,21.55,21.1,21.1,44900
61,2004-04-30,21.0,21.16,20.82,20.94,36700
62,2004-05-03,20.95,21.16,20.56,21.1,118800
