,DateTime,Open,High,Low,Close,Volume
0,2012-06-28,14.0,14.0,12.82,13.5,1265817
1,2012-06-29,13.65,14.15,13.5,13.88,40368
2,2012-07-02,13.9,13.98,13.54,13.95,16400
3,2012-07-03,13.56,13.7,13.53,13.61,2495
4,2012-07-05,13.61,13.91,13.6,13.91,61295
5,2012-07-06,13.72,13.9899,13.66,13.89,4114
6,2012-07-09,14.0,14.0,13.6801,13.83,13589
7,2012-07-10,13.56,13.959,13.56,13.85,12271
8,2012-07-11,13.98,14.0,13.51,13.73,9860
9,2012-07-12,13.56,13.7,13.5,13.7,13014
10,2012-07-13,13.79,13.94,13.52,13.74,30009
11,2012-07-16,13.6,14.0,13.6,14.0,36897
12,2012-07-17,14.0,14.18,13.62,13.88,21831
13,2012-07-18,13.65,14.08,13.65,13.93,49555
14,2012-07-19,13.97,14.05,13.798,14.0,29275
15,2012-07-20,14.1071,14.12,13.53,13.57,34041
16,2012-07-23,13.7,14.0,13.7,13.875,37164
17,2012-07-24,14.0,14.09,13.75,14.03,106848
18,2012-07-25,14.0,14.016,13.84,14.0,6875
19,2012-07-26,14.0,14.0,13.6001,13.61,28242
20,2012-07-27,13.61,13.75,13.59,13.59,3230
21,2012-07-30,13.6,13.79,13.59,13.6,1759
22,2012-07-31,13.7,13.79,13.2,13.2,18463
23,2012-08-01,13.13,13.49,13.06,13.49,16089
24,2012-08-02,13.53,13.6,13.1,13.165,24667
25,2012-08-03,13.22,13.88,13.0,13.28,28840
26,2012-08-06,13.64,13.64,13.0,13.05,31865
27,2012-08-07,13.16,13.5,13.02,13.12,28939
28,2012-08-08,13.3,13.47,13.02,13.06,36619
29,2012-08-09,13.495,13.6,13.13,13.35,45599
30,2012-08-10,13.63,13.7299,13.25,13.63,51597
31,2012-08-13,13.46,13.659,13.105,13.26,61895
32,2012-08-14,13.39,13.56,12.89,13.0,60323
33,2012-08-15,12.99,13.649,12.2,13.3,14725
34,2012-08-16,13.12,13.12,12.3001,12.99,15377
35,2012-08-17,12.88,12.89,12.73,12.87,15822
36,2012-08-20,12.88,12.92,12.8,12.92,8300
37,2012-08-21,12.88,13.35,12.85,12.8947,6232
38,2012-08-22,12.9,12.9,12.0,12.69,13343
39,2012-08-23,12.67,12.79,12.39,12.55,10250
40,2012-08-24,12.7,12.85,12.23,12.8,33493
41,2012-08-27,12.48,12.48,11.16,11.2,43622
42,2012-08-28,11.3,11.6,11.2,11.28,12886
43,2012-08-29,11.88,11.88,11.05,11.25,4704
44,2012-08-30,11.69,11.94,11.34,11.86,18980
45,2012-08-31,12.05,13.28,11.67,12.3,16209
46,2012-09-04,12.29,12.73,12.05,12.73,8812
47,2012-09-05,12.4,13.19,12.4,12.99,5740
48,2012-09-06,12.99,13.23,12.69,12.74,15888
49,2012-09-07,12.22,13.46,12.22,13.46,9227
50,2012-09-10,13.45,13.5,12.5301,13.38,89563
51,2012-09-11,13.32,14.0,13.27,14.0,6676
52,2012-09-12,13.58,14.0,13.4,13.73,15595
53,2012-09-13,13.5,13.89,13.5,13.61,19061
54,2012-09-14,13.44,13.65,13.4,13.54,4800
55,2012-09-17,13.45,13.71,13.3,13.51,93323
56,2012-09-18,13.6,13.93,13.39,13.57,22547
57,2012-09-19,13.72,14.06,13.72,14.06,14900
58,2012-09-20,14.25,14.29,13.6,14.23,12022
59,2012-09-21,14.28,14.35,14.001,14.25,38937
60,2012-09-24,14.31,15.05,14.01,14.17,42045
61,2012-09-25,14.0,14.25,13.71,14.0,30340
62,2012-09-26,14.0,14.3,13.53,14.2,125745
63,2012-09-27,14.32,14.555,14.01,14.23,27700
64,2012-09-28,14.21,14.5,13.995,14.28,363937
65,2012-10-01,14.41,15.71,13.83,15.39,54383
66,2012-10-02,15.27,15.5,15.01,15.5,51097
67,2012-10-03,15.4,15.49,14.69,15.04,59880
68,2012-10-04,14.84,15.44,14.53,14.99,29382
69,2012-10-05,15.03,16.34,14.7,15.11,26707
70,2012-10-08,15.11,15.11,14.68,14.91,10333
71,2012-10-09,14.97,15.09,14.8,15.0,64711
72,2012-10-10,14.98,15.12,14.91,15.05,35202
73,2012-10-11,15.14,15.14,14.82,15.01,33444
74,2012-10-12,15.0,15.08,15.0,15.02,5518
75,2012-10-15,15.02,15.15,14.95,15.15,5639
76,2012-10-16,15.12,15.21,15.0,15.19,8155
77,2012-10-17,15.2,15.27,15.12,15.21,10713
78,2012-10-18,15.222,15.35,15.1,15.31,5340
79,2012-10-19,15.09,15.35,15.01,15.31,12550
80,2012-10-22,15.5,15.53,14.9,14.9325,29620
81,2012-10-23,14.8,15.1,14.6,15.06,14776
82,2012-10-24,15.02,15.39,14.82,15.28,3342
83,2012-10-25,15.8,15.95,14.75,15.21,15310
84,2012-10-26,15.6,15.7,14.74,15.11,8901
85,2012-10-31,15.14,16.26,14.96,16.26,34001
86,2012-11-01,16.07,16.3,15.03,15.33,67980
87,2012-11-02,15.42,16.08,14.95,15.36,18284
88,2012-11-05,15.39,15.75,15.39,15.61,28531
89,2012-11-06,15.8,15.9,15.68,15.75,14413
90,2012-11-07,15.86,16.2,15.01,15.11,85835
91,2012-11-08,15.0,15.41,14.95,15.0,17123
92,2012-11-09,14.98,15.58,14.97,14.97,11097
93,2012-11-12,15.96,16.02,15.55,16.0,170998
94,2012-11-13,16.03,16.42,15.8,16.2,84570
95,2012-11-14,16.43,16.8,16.35,16.67,112693
96,2012-11-15,16.5,16.72,15.56,15.84,58275
97,2012-11-16,15.92,16.09,15.5,15.9,81616
98,2012-11-19,15.95,16.47,15.9,16.3,57254
99,2012-11-20,16.34,16.52,15.9801,16.52,32053
100,2012-11-21,16.48,16.5,16.41,16.5,32007
101,2012-11-23,16.6,17.15,16.52,17.15,39832
102,2012-11-26,17.5,17.63,17.05,17.63,50652
103,2012-11-27,17.28,18.2499,17.27,17.87,65786
104,2012-11-28,18.13,18.65,17.62,18.63,62648
105,2012-11-29,18.91,20.0,18.75,19.33,140796
106,2012-11-30,19.57,19.57,17.91,18.46,558756
107,2012-12-03,19.0,19.24,18.55,18.87,117447
108,2012-12-04,19.04,19.25,17.51,17.89,63183
109,2012-12-05,17.87,18.6,17.07,17.3,49172
110,2012-12-06,17.48,17.53,16.56,17.0,78595
111,2012-12-07,16.99,17.22,16.88,16.99,24063
112,2012-12-10,17.0,17.23,16.7501,17.04,12297
113,2012-12-11,17.14,18.03,17.06,17.25,25321
114,2012-12-12,17.65,17.91,16.66,16.93,37570
115,2012-12-13,16.83,17.07,16.5,16.94,27489
116,2012-12-14,16.8,18.27,16.78,17.0,16856
117,2012-12-17,16.9,17.07,15.36,15.99,52704
118,2012-12-18,15.99,16.37,15.79,16.32,25885
119,2012-12-19,16.85,17.4199,16.03,16.64,29731
120,2012-12-20,16.69,17.26,16.5,16.74,18252
121,2012-12-21,16.59,17.2,15.99,17.18,114319
122,2012-12-24,17.16,17.17,16.206,16.52,50437
123,2012-12-26,16.53,16.72,16.041,16.35,79126
124,2012-12-27,16.32,16.41,15.73,16.02,315619
125,2012-12-28,15.97,16.75,15.55,16.47,63054
126,2012-12-31,16.46,17.05,15.71,16.89,34886
127,2013-01-02,17.13,17.55,16.52,17.38,37379
128,2013-01-03,17.28,18.185,16.97,17.88,26519
129,2013-01-04,18.0,18.44,17.55,18.0,85110
130,2013-01-07,18.01,18.0255,17.44,17.44,10707
131,2013-01-08,17.62,18.335,17.5,18.1,17582
132,2013-01-09,17.96,18.25,17.6,18.23,20871
133,2013-01-10,18.35,18.35,17.8,18.15,16226
134,2013-01-11,18.1,18.1,16.85,17.7,20155
135,2013-01-14,17.69,17.71,17.08,17.5,53296
136,2013-01-15,17.38,17.67,16.9,17.36,88132
137,2013-01-16,17.39,17.87,17.27,17.565,54025
138,2013-01-17,17.53,18.18,17.47,18.04,43938
139,2013-01-18,18.06,18.56,17.771,18.14,17369
140,2013-01-22,18.09,18.72,17.81,18.515,26589
141,2013-01-23,18.48,18.89,18.43,18.47,37146
142,2013-01-24,18.46,18.5598,17.93,18.22,10907
143,2013-01-25,18.15,18.2,17.91,18.15,27822
144,2013-01-28,18.22,18.39,17.9,18.19,34829
145,2013-01-29,18.12,18.47,17.91,18.35,28587
146,2013-01-30,18.21,18.4,17.95,18.2,32019
147,2013-01-31,18.08,18.32,17.82,18.0,19074
148,2013-02-01,18.06,18.3,17.95,18.21,19689
149,2013-02-04,18.0529,18.2,17.7701,18.13,25138
150,2013-02-05,18.16,18.19,17.88,18.08,6054
151,2013-02-06,18.3,19.16,18.25,18.64,149629
152,2013-02-07,18.73,19.07,18.03,18.71,82791
153,2013-02-08,18.74,18.97,18.3301,18.74,10432
