,DateTime,Open,High,Low,Close,Volume
0,2013-11-07,45.1,50.09,44.0,44.91,117354531
1,2013-11-08,45.93,46.94,40.685,41.65,27789092
2,2013-11-11,40.5,43.0,39.4,43.0,16074897
3,2013-11-12,43.66,43.78,41.83,41.92,6217777
4,2013-11-13,41.03,42.87,40.76,42.43,8673751
5,2013-11-14,42.37,45.67,42.24,44.71,11065160
6,2013-11-15,45.24,45.27,43.43,43.94,7862230
7,2013-11-18,43.5,43.95,40.85,41.01,12026593
8,2013-11-19,41.39,41.9,40.0,41.7299,7383768
9,2013-11-20,41.39,41.75,40.51,41.03,5709704
10,2013-11-21,41.22,42.49,40.37,42.09,8060078
11,2013-11-22,41.81,42.28,40.97,40.99,5867952
12,2013-11-25,41.08,41.14,38.8,39.06,14061582
13,2013-11-26,39.2,40.55,38.92,40.15,9195280
14,2013-11-27,40.4,41.4,40.35,40.89,5526329
15,2013-11-29,41.4,41.58,40.9,41.57,3013002
16,2013-12-02,41.79,42.0,40.4,40.74,6408485
17,2013-12-03,40.65,41.6,40.54,41.44,5727718
18,2013-12-04,41.27,43.92,41.27,43.6499,10864314
19,2013-12-05,43.44,46.35,42.83,45.35,11773625
20,2013-12-06,45.75,45.8,44.54,44.96,6223717
21,2013-12-09,45.59,49.84,45.02,49.19,16659398
22,2013-12-10,48.85,52.58,48.7,52.0,24881752
23,2013-12-11,52.35,53.87,51.0,52.311,25638213
24,2013-12-12,52.19,55.87,50.69,55.33,21866319
25,2013-12-13,56.21,59.41,55.45,59.1501,37466866
26,2013-12-16,57.86,60.24,55.76,56.66,38041610
27,2013-12-17,56.97,57.38,54.62,56.41,21483309
28,2013-12-18,56.98,57.0,54.23,55.44,16268195
29,2013-12-19,55.18,57.75,55.0,57.43,12777059
30,2013-12-20,58.51,60.25,58.01,59.9377,25051533
31,2013-12-23,59.85,64.99,59.7,64.6,21357521
32,2013-12-24,66.43,70.87,65.56,69.8,34437372
33,2013-12-26,72.88,74.73,69.1301,73.21,79729896
