,DateTime,Open,High,Low,Close,Volume
0,2000-01-03,80.36,80.74,73.79,75.43,6741621
1,2000-01-04,73.07,74.81,71.46,71.96,5260402
2,2000-01-05,71.96,72.08,68.6,70.59,6369019
3,2000-01-06,69.97,71.71,69.35,69.72,5301570
4,2000-01-07,69.59,71.09,67.73,70.84,3934253
5,2000-01-10,72.2,73.45,71.46,72.95,3202003
6,2000-01-11,73.32,73.32,67.73,67.98,5593475
7,2000-01-12,64.98,65.96,62.54,64.13,4978873
8,2000-01-13,66.24,68.35,64.87,68.23,4512799
9,2000-01-14,71.73,71.73,67.21,69.34,5627914
10,2000-01-18,74.52,80.05,73.5,79.54,10601514
11,2000-01-19,77.55,78.42,74.94,75.43,9082906
12,2000-01-20,76.12,76.37,74.38,75.25,4078186
13,2000-01-21,75.75,78.1,75.38,77.73,5897581
14,2000-01-24,78.1,78.23,75.5,75.5,4998657
15,2000-01-25,70.16,72.29,69.46,71.58,3943423
16,2000-01-26,75.56,78.42,74.44,78.17,7799651
17,2000-01-27,78.85,85.68,78.23,85.06,14054973
18,2000-01-28,85.0,87.24,82.02,83.51,9974676
19,2000-01-31,83.82,86.43,81.71,85.56,4933035
20,2000-02-01,84.38,84.63,81.65,82.77,5987744
21,2000-02-02,83.76,83.76,79.54,80.53,5518629
22,2000-02-03,81.52,82.52,80.04,81.4,3446045
23,2000-02-04,82.52,82.52,79.04,79.54,2956046
24,2000-02-07,79.29,79.41,75.94,77.92,4331180
25,2000-02-08,81.01,82.9,80.26,82.02,4142818
26,2000-02-09,81.46,82.95,80.72,81.71,4474019
27,2000-02-10,81.9,82.76,80.16,80.66,2794901
28,2000-02-11,81.81,81.81,78.41,78.79,2441991
29,2000-02-14,77.67,79.29,76.68,77.42,2655119
30,2000-02-15,77.93,78.44,76.3,76.8,3841967
31,2000-02-16,76.31,76.8,74.69,75.93,2817805
32,2000-02-17,76.49,79.11,74.87,78.73,9059717
33,2000-02-18,78.11,78.61,74.5,74.75,4104495
34,2000-02-22,76.3,76.55,74.94,76.06,2041071
35,2000-02-23,75.99,75.99,74.26,74.5,2520235
36,2000-02-24,77.8,79.1,74.28,75.06,4118644
37,2000-02-25,71.96,77.79,71.84,77.67,4596134
38,2000-02-28,77.55,78.42,74.56,77.92,3317505
39,2000-02-29,76.12,77.21,73.45,73.57,4635551
40,2000-03-01,73.57,77.39,73.21,73.57,7959140
41,2000-03-02,76.74,78.23,74.01,74.13,5437243
42,2000-03-03,77.3,80.77,76.56,80.28,9576296
43,2000-03-06,81.28,83.64,80.28,80.9,6736682
44,2000-03-07,81.15,81.77,76.81,78.3,6740945
45,2000-03-08,80.11,84.02,79.99,83.51,5685685
46,2000-03-09,82.4,90.96,82.4,88.85,11601091
47,2000-03-10,94.28,99.11,92.75,96.44,12309433
48,2000-03-13,90.35,95.08,90.22,91.34,6541562
49,2000-03-14,91.15,93.76,87.55,88.3,4771918
50,2000-03-15,88.85,92.59,86.48,92.09,4483846
51,2000-03-16,91.78,94.76,90.79,94.63,5092032
52,2000-03-17,91.99,95.06,91.87,93.95,4467339
53,2000-03-20,94.82,97.18,94.57,95.32,3217736
54,2000-03-21,95.38,95.75,92.9,95.51,3138641
55,2000-03-22,95.01,97.37,93.64,96.38,4800657
56,2000-03-23,97.87,99.85,97.25,98.24,4974500
57,2000-03-24,100.26,106.78,99.64,103.4,6754449
58,2000-03-27,102.4,102.4,100.41,100.54,4041403
59,2000-03-28,98.86,101.72,98.61,100.48,2710051
60,2000-03-29,100.48,101.47,97.87,99.23,3563997
61,2000-03-30,99.23,104.33,97.37,99.23,4983430
62,2000-03-31,101.03,101.9,99.42,100.04,2611630
63,2000-04-03,101.28,101.28,99.29,100.29,2390831
64,2000-04-04,99.98,100.35,86.18,94.01,7341520
65,2000-04-05,92.77,94.88,92.65,93.14,2460862
66,2000-04-06,93.83,97.18,93.7,94.95,2187235
67,2000-04-07,95.75,99.86,95.5,99.11,2724989
68,2000-04-10,99.48,100.23,97.11,98.36,2896388
69,2000-04-11,96.56,99.05,95.81,98.43,1579223
70,2000-04-12,97.3,99.04,91.84,92.71,3567529
71,2000-04-13,93.08,93.7,91.47,91.47,3050858
72,2000-04-14,89.29,89.54,84.82,86.68,4252675
73,2000-04-17,84.7,91.4,83.95,91.28,3803462
74,2000-04-18,90.6,90.85,83.75,86.87,7179291
75,2000-04-19,87.37,89.85,87.12,87.74,3433415
76,2000-04-20,88.17,91.53,88.05,89.29,2915601
77,2000-04-24,89.29,90.78,88.17,88.3,2671963
78,2000-04-25,90.47,96.44,90.1,95.69,3343326
79,2000-04-26,95.63,97.99,93.64,93.77,2987818
80,2000-04-27,93.64,94.26,93.02,93.77,1725853
81,2000-04-28,94.45,94.57,91.09,91.34,1886749
82,2000-05-01,91.28,96.37,90.91,95.13,2222622
83,2000-05-02,94.57,96.56,93.95,95.57,2325362
84,2000-05-03,94.51,96.74,92.03,93.15,2092645
85,2000-05-04,93.45,97.06,93.45,95.57,2925792
86,2000-05-05,95.44,99.3,95.07,98.18,3354667
87,2000-05-08,96.81,100.54,95.94,99.42,3301543
88,2000-05-09,100.29,101.16,98.3,98.55,3516848
89,2000-05-10,98.18,99.05,95.44,97.43,3203519
90,2000-05-11,98.24,98.86,94.63,96.75,2290530
91,2000-05-12,97.31,100.54,96.69,99.54,3589577
92,2000-05-15,100.1,102.09,98.99,100.97,2730891
93,2000-05-16,100.29,102.03,99.42,101.53,2641181
94,2000-05-17,100.66,101.16,99.42,100.54,1936891
95,2000-05-18,100.41,100.66,98.43,99.79,1470371
96,2000-05-19,94.9,97.38,94.28,94.53,4840400
97,2000-05-22,89.85,90.32,84.54,87.49,3704250
98,2000-05-23,87.24,87.86,81.29,83.77,9443574
99,2000-05-24,86.23,89.24,85.98,88.24,3744991
100,2000-05-25,88.92,93.76,88.8,90.53,3173993
101,2000-05-26,89.85,90.1,87.74,88.49,1640466
102,2000-05-30,88.92,93.27,88.92,92.52,2309726
103,2000-05-31,92.21,94.32,90.97,93.58,2207362
104,2000-06-01,94.2,98.05,93.95,96.56,3126165
105,2000-06-02,96.84,97.34,94.98,96.34,2762715
106,2000-06-05,95.13,95.63,93.39,93.89,1574104
107,2000-06-06,93.21,97.31,92.71,97.18,2865181
108,2000-06-07,95.63,96.0,94.14,95.38,1438260
109,2000-06-08,94.45,94.57,91.71,93.7,2576206
110,2000-06-09,92.46,93.08,87.25,91.72,5826515
111,2000-06-12,92.84,92.96,89.72,90.6,1990957
112,2000-06-13,91.71,94.7,91.59,94.08,2449611
113,2000-06-14,93.58,96.56,92.46,96.07,2628561
114,2000-06-15,95.44,98.3,95.07,97.18,2127544
115,2000-06-16,94.57,95.94,93.58,94.57,2744980
116,2000-06-19,94.45,94.57,89.48,92.34,3091339
117,2000-06-20,91.16,92.68,86.98,87.49,7062045
