Unnamed: 0,DateTime,Open,High,Low,Close,Volume
0.0,2003-12-31,9.5,9.5,8.7,8.7,4700
1.0,2004-01-02,8.65,9.0,8.25,8.35,6500
2.0,2004-01-05,8.65,8.65,7.55,7.98,15700
3.0,2004-01-06,7.55,7.65,7.35,7.56,7200
4.0,2004-01-07,7.68,8.18,7.39,7.75,19400
5.0,2004-01-08,7.85,7.99,7.45,7.99,17400
6.0,2004-01-09,8.0,8.24,7.85,8.0,9800
7.0,2004-01-12,8.3,8.35,7.6,7.6,12700
8.0,2004-01-13,7.8,8.19,7.75,7.8,7700
9.0,2004-01-14,7.8,7.8,7.1,7.4,7200
10.0,2004-01-15,7.73,7.73,7.26,7.69,29300
11.0,2004-01-16,7.5,7.85,7.4,7.45,7900
12.0,2004-01-20,7.95,7.95,7.45,7.45,5400
13.0,2004-01-21,7.61,7.61,7.41,7.58,4100
14.0,2004-01-22,7.55,9.0,7.55,8.59,25300
15.0,2004-01-23,9.3,9.62,8.0,9.5,38600
16.0,2004-01-26,10.6,10.6,8.75,8.99,36100
17.0,2004-01-27,9.0,9.08,8.75,9.03,9800
18.0,2004-01-28,9.5,9.65,9.02,9.1,8200
19.0,2004-01-29,9.02,9.24,8.79,9.0,4400
20.0,2004-01-30,8.79,9.0,8.79,9.0,400
21.0,2004-02-02,8.75,9.66,8.6,9.05,9300
22.0,2004-02-03,8.6,9.41,8.6,9.0,6700
23.0,2004-02-04,9.1,9.1,8.4,8.4,2600
24.0,2004-02-05,8.4,8.5,8.4,8.4,2600
25.0,2004-02-06,8.4,8.5,8.02,8.1,7000
26.0,2004-02-09,8.1,8.3,8.05,8.09,3000
27.0,2004-02-10,8.5,8.5,8.07,8.07,2500
28.0,2004-02-11,9.1,9.1,8.11,8.14,8400
29.0,2004-02-12,8.49,8.61,8.11,8.26,8200
30.0,2004-02-13,8.61,8.61,7.8,8.05,10000
31.0,2004-02-17,8.06,8.7,8.06,8.25,11000
32.0,2004-02-18,8.6,8.6,8.23,8.5,1400
33.0,2004-02-19,8.5,8.5,8.15,8.15,7500
34.0,2004-02-20,8.15,8.4,8.15,8.4,300
35.0,2004-02-23,8.49,8.6,8.2,8.55,3800
36.0,2004-02-24,7.59,8.75,7.59,8.7,6700
37.0,2004-02-25,8.28,8.9,8.28,8.75,4800
38.0,2004-02-26,9.08,9.08,8.25,8.25,8200
39.0,2004-02-27,8.29,8.29,7.95,7.99,6500
40.0,2004-03-01,7.99,8.0,7.6,8.0,6400
41.0,2004-03-02,8.0,8.2,8.0,8.0,2700
42.0,2004-03-03,7.95,7.95,7.95,7.95,200
43.0,2004-03-04,8.02,8.02,8.01,8.01,700
44.0,2004-03-05,8.4,8.4,7.82,8.0,4500
45.0,2004-03-08,8.35,8.35,8.25,8.25,1000
46.0,2004-03-09,8.2,8.25,7.8,7.93,5900
47.0,2004-03-10,7.8,7.84,7.56,7.75,1900
48.0,2004-03-11,7.8,7.8,7.6,7.69,4900
49.0,2004-03-12,7.56,7.7,7.56,7.7,3000
50.0,2004-03-15,7.7,7.7,7.56,7.56,1000
51.0,2004-03-16,7.7,8.1,7.7,8.1,3200
52.0,2004-03-17,8.06,8.35,8.06,8.35,900
53.0,2004-03-18,8.05,8.23,7.81,8.14,1500
54.0,2004-03-19,8.07,8.07,7.91,7.91,200
55.0,2004-03-22,7.73,7.73,7.54,7.54,1500
56.0,2004-03-23,7.51,7.55,7.51,7.51,1300
57.0,2004-03-24,7.51,8.1,7.51,7.93,2500
58.0,2004-03-25,7.5,7.95,7.5,7.95,8600
59.0,2004-03-26,7.96,8.11,7.55,7.93,9000
