,DateTime,Open,High,Low,Close,Volume
0,2006-02-06,34.82,34.94,33.7,33.9,1833266
1,2006-02-07,33.9,33.9,31.73,32.99,2921629
2,2006-02-08,31.46,32.4,30.88,32.0,8186978
3,2006-02-09,29.79,34.98,29.51,34.5,7207232
4,2006-02-10,33.92,35.57,33.6,34.24,2221314
5,2006-02-13,36.01,36.22,34.43,35.09,4357071
6,2006-02-14,34.03,36.25,34.03,36.23,2999069
7,2006-02-15,35.2,36.61,35.2,36.61,2970349
8,2006-02-16,36.04,36.29,35.45,35.53,1950154
9,2006-02-17,36.11,37.0,35.07,36.91,1723434
10,2006-02-21,35.88,36.23,35.25,35.5,1984761
11,2006-02-22,35.71,36.7,35.34,36.12,1645812
12,2006-02-23,35.5,36.98,35.4,36.1,1576920
13,2006-02-24,35.52,35.99,35.45,35.68,1363572
14,2006-02-27,35.7,35.85,35.2,35.52,2360475
15,2006-02-28,35.69,36.32,35.28,35.41,1080573
16,2006-03-01,35.26,36.4,35.06,36.05,1387917
17,2006-03-02,35.65,36.34,35.61,36.07,1325776
18,2006-03-03,36.0,36.95,36.0,36.52,1621086
19,2006-03-06,36.43,37.2,36.43,36.89,735123
20,2006-03-07,36.76,38.0,36.75,37.21,795367
21,2006-03-08,37.03,37.52,37.0,37.39,875658
22,2006-03-09,37.41,37.41,37.09,37.29,693884
23,2006-03-10,37.15,38.15,36.92,38.11,1375334
24,2006-03-13,37.95,38.89,37.8,38.23,3121541
25,2006-03-14,38.11,39.1,38.11,38.92,2487529
26,2006-03-15,39.08,39.8,38.87,39.57,1547734
27,2006-03-16,39.31,39.57,39.17,39.28,504185
28,2006-03-17,39.03,39.2,38.77,39.2,1301266
29,2006-03-20,38.76,40.24,38.76,40.07,1638455
30,2006-03-21,40.78,42.24,40.54,40.94,2912056
31,2006-03-22,40.65,43.0,40.62,42.51,1587470
32,2006-03-23,42.35,42.73,41.51,41.69,1360012
33,2006-03-24,41.7,42.46,41.4,41.64,606176
34,2006-03-27,41.33,42.44,41.3,42.2,780124
35,2006-03-28,41.98,42.22,40.53,40.8,1092983
36,2006-03-29,40.46,41.0,39.55,40.5,775309
37,2006-03-30,40.5,40.77,38.5,39.01,1256529
38,2006-03-31,38.85,40.37,38.62,39.74,989756
39,2006-04-03,39.5,39.9,39.0,39.17,660243
40,2006-04-04,38.87,39.82,38.12,39.04,926812
41,2006-04-05,39.3,39.4,38.92,39.34,612933
42,2006-04-06,39.02,39.39,38.69,38.92,540505
43,2006-04-07,38.65,39.32,38.48,38.82,595328
44,2006-04-10,38.47,38.75,37.21,37.68,1350172
45,2006-04-11,37.02,38.7,37.02,38.31,2400019
46,2006-04-12,38.07,39.28,38.07,38.9,2807456
47,2006-04-13,38.5,40.05,38.3,39.45,2009727
48,2006-04-17,39.33,39.34,38.06,38.61,1636500
49,2006-04-18,38.31,39.1,37.5,38.0,1440887
50,2006-04-19,37.99,38.68,37.3,38.0,2695225
51,2006-04-20,37.83,38.34,36.4,36.82,1769661
52,2006-04-21,36.54,36.93,34.01,34.45,1582970
53,2006-04-24,33.9,36.4,33.61,36.04,1763450
54,2006-04-25,35.58,36.15,34.56,36.06,1628404
55,2006-04-26,35.97,36.22,35.21,35.77,1108532
56,2006-04-27,35.36,36.88,35.36,36.82,814177
57,2006-04-28,36.73,36.85,35.8,35.83,1132863
58,2006-05-01,35.86,36.6,34.8,35.28,1576188
59,2006-05-02,35.19,36.34,35.16,36.1,1823064
60,2006-05-03,35.76,38.09,35.28,37.7,1333517
