,DateTime,Open,High,Low,Close,Volume
0,2000-01-03,4464.0,4529.25,4194.0,4338.0,43900
1,2000-01-04,4277.25,4729.5,4275.0,4531.5,74900
2,2000-01-05,4662.0,4887.0,4347.0,4842.0,71900
3,2000-01-06,4860.0,4864.5,4401.0,4500.0,35700
4,2000-01-07,4599.0,4720.5,4500.0,4639.5,23300
5,2000-01-10,4914.0,4932.0,4428.0,4455.0,37400
6,2000-01-11,4428.0,4572.0,4086.0,4158.0,39000
7,2000-01-12,4122.0,4122.0,3636.0,3759.75,44400
8,2000-01-13,3996.0,4023.0,3618.0,3703.5,45500
9,2000-01-14,3901.5,4090.5,3672.0,3807.0,52400
10,2000-01-18,3910.5,4648.5,3831.75,4448.25,65000
11,2000-01-19,4486.5,4662.0,4230.0,4320.0,39200
12,2000-01-20,4536.0,4743.0,4410.0,4504.5,74000
13,2000-01-21,4810.5,5040.0,4608.0,5040.0,115400
14,2000-01-24,5103.0,5112.0,4509.0,4536.0,61100
15,2000-01-25,4531.5,4725.0,4160.25,4612.5,42900
16,2000-01-26,4617.0,4837.5,4405.5,4518.0,27400
17,2000-01-27,4558.5,4659.75,4279.5,4416.75,24200
18,2000-01-28,4450.5,4450.5,3933.0,4212.0,33300
19,2000-01-31,4140.0,4180.5,3852.0,3960.0,43400
20,2000-02-01,4059.0,4133.25,3897.0,4110.75,43500
21,2000-02-02,4122.0,4306.5,4005.0,4187.25,42700
22,2000-02-03,4320.0,4464.0,4234.5,4356.0,39900
23,2000-02-04,4707.0,4941.0,4668.75,4792.5,101700
24,2000-02-07,4684.5,5013.0,4668.75,4979.25,77500
25,2000-02-08,5042.25,5076.0,4864.5,4896.0,56800
26,2000-02-09,4923.0,5004.0,4698.0,4707.0,37300
27,2000-02-10,4729.5,4729.5,4572.0,4707.0,34000
28,2000-02-11,4716.0,4716.0,4356.0,4360.5,33900
29,2000-02-14,4367.25,4369.5,4104.0,4266.0,56500
30,2000-02-15,4180.5,4248.0,3897.0,4182.75,162600
31,2000-02-16,4160.25,4513.5,4068.0,4450.5,111300
32,2000-02-17,4554.0,4788.0,4502.25,4677.75,96000
33,2000-02-18,4677.75,4981.5,4673.25,4954.5,135200
34,2000-02-22,5044.5,5069.25,4860.0,4925.25,131100
35,2000-02-23,4952.25,5382.0,4950.0,5292.0,127900
36,2000-02-24,5373.0,5382.0,5145.75,5193.0,92300
37,2000-02-25,5310.0,5512.5,5256.0,5508.0,131900
38,2000-02-28,5546.25,5546.25,5112.0,5166.0,60700
39,2000-02-29,5211.0,5287.5,4977.0,5026.5,66500
40,2000-03-01,5024.25,5364.0,5022.0,5152.5,52400
41,2000-03-02,5220.0,5571.0,5199.75,5298.75,86200
42,2000-03-03,5397.75,5436.0,5058.0,5166.0,37400
43,2000-03-06,5159.25,5616.0,5154.75,5409.0,60000
44,2000-03-07,5490.0,5499.0,5193.0,5222.25,46200
45,2000-03-08,5269.5,5348.25,4680.0,5220.0,65400
46,2000-03-09,5508.0,6462.0,5445.0,6102.0,145400
47,2000-03-10,6126.75,7488.0,6120.0,7227.0,127400
48,2000-03-13,6759.0,7128.0,6466.5,6466.5,86600
49,2000-03-14,6804.0,7038.0,6012.0,6126.75,66400
50,2000-03-15,6300.0,6340.5,5343.75,5490.0,81600
51,2000-03-16,5764.5,6012.0,5256.0,5827.5,96600
52,2000-03-17,5976.0,6102.0,5553.0,5748.75,44100
53,2000-03-20,5868.0,5892.75,5112.0,5145.75,40600
54,2000-03-21,5148.0,5283.0,4680.0,5184.0,60300
55,2000-03-22,5310.0,5634.0,5310.0,5431.5,49300
56,2000-03-23,5559.75,5724.0,5386.5,5436.0,31100
57,2000-03-24,5510.25,5679.0,5395.5,5562.0,23800
58,2000-03-27,5640.75,6444.0,5562.56,6165.0,56700
59,2000-03-28,5976.0,6372.0,5922.0,6185.25,46600
60,2000-03-29,6480.56,6545.25,5962.5,6099.75,64900
61,2000-03-30,5778.0,6102.0,4927.5,5289.75,53800
62,2000-03-31,5508.56,5899.5,4968.0,5872.5,47600
63,2000-04-03,5760.0,5782.5,4824.0,4905.0,41800
64,2000-04-04,4961.25,5001.75,3366.0,4351.5,112400
65,2000-04-05,4212.0,4500.0,3996.0,4038.75,92500
66,2000-04-06,4176.0,4590.0,4176.0,4241.25,92300
67,2000-04-07,4443.75,5094.0,4389.75,5049.0,72900
68,2000-04-10,4995.0,5175.0,4482.0,4533.75,60500
69,2000-04-11,4441.5,4536.0,3982.5,4032.0,67200
70,2000-04-12,4225.5,4315.5,3411.0,3438.0,106500
71,2000-04-13,3537.0,3678.75,2589.75,2592.0,134600
72,2000-04-14,2592.0,2610.0,1800.0,2016.0,185900
73,2000-04-17,1917.0,2902.5,1899.0,2900.25,152900
74,2000-04-18,2983.5,2997.0,2398.5,2772.0,120800
75,2000-04-19,2733.75,3159.0,2574.0,2661.75,119200
76,2000-04-20,2997.0,3024.0,2342.25,2436.75,146700
77,2000-04-24,2214.0,2315.25,1944.0,2245.5,82800
78,2000-04-25,2412.0,2493.0,2124.0,2387.25,93700
79,2000-04-26,2443.5,2551.5,2272.5,2346.75,90500
80,2000-04-27,2196.0,2655.0,2155.5,2625.75,73600
81,2000-04-28,2790.56,3042.0,2700.0,3024.0,93700
82,2000-05-01,3132.0,3366.0,3010.5,3123.0,87400
83,2000-05-02,3060.0,3123.0,2772.0,2817.0,43400
84,2000-05-03,2783.25,2783.25,2538.0,2711.25,46800
85,2000-05-04,2686.5,2999.25,2628.0,2796.75,40800
86,2000-05-05,2783.25,2949.75,2772.0,2808.0,26400
87,2000-05-08,2846.25,3030.75,2700.0,2702.25,53000
88,2000-05-09,2790.0,2844.0,2430.0,2511.0,64300
89,2000-05-10,2475.0,2520.0,2196.0,2205.0,59900
90,2000-05-11,2337.75,2515.5,2214.0,2486.25,65500
91,2000-05-12,2610.0,2727.0,2542.5,2547.0,48200
92,2000-05-15,2614.5,2898.0,2466.0,2889.0,33400
93,2000-05-16,2947.5,3010.5,2664.0,2952.0,98300
94,2000-05-17,2773.12,3190.5,2754.0,3006.0,95500
95,2000-05-18,3183.75,3258.0,2916.0,2916.0,124000
96,2000-05-19,2839.5,2862.0,2560.5,2650.5,69000
97,2000-05-22,2619.0,2812.5,2376.0,2778.75,82900
98,2000-05-23,2668.5,2839.5,2412.0,2425.5,51200
99,2000-05-24,2398.5,2502.0,2160.0,2416.5,72600
100,2000-05-25,2511.0,2520.0,2304.0,2346.75,62600
101,2000-05-26,2328.75,2407.5,2232.0,2407.5,27500
102,2000-05-30,2506.5,2547.0,2403.0,2497.5,62800
103,2000-05-31,2463.75,2697.75,2408.06,2517.75,82900
104,2000-06-01,2569.5,2785.5,2569.5,2760.75,71900
105,2000-06-02,2916.0,3145.5,2916.0,3134.25,86900
106,2000-06-05,3042.0,3361.5,3010.5,3213.0,79600
107,2000-06-06,3224.25,3510.0,3215.25,3341.25,90400
108,2000-06-07,3312.0,3384.0,3132.0,3316.5,41500
109,2000-06-08,3426.75,3433.5,3240.0,3384.0,31900
110,2000-06-09,3507.75,3537.0,3325.5,3332.25,27800
111,2000-06-12,3334.5,3370.5,2961.0,2997.0,51300
112,2000-06-13,2882.25,2961.0,2776.5,2848.5,78800
113,2000-06-14,2882.25,3075.75,2882.25,2999.25,77000
114,2000-06-15,3035.25,3069.0,2853.0,3037.5,36000
115,2000-06-16,3069.0,3091.5,2916.0,2970.0,22900
116,2000-06-19,2842.87,3001.5,2749.5,2880.0,50300
117,2000-06-20,2911.5,2970.0,2673.0,2702.25,61900
118,2000-06-21,2657.25,3078.0,2628.0,2817.0,83000
119,2000-06-22,3080.25,3096.0,2871.0,2880.0,49000
120,2000-06-23,2921.62,2947.5,2664.0,2686.5,46000
121,2000-06-26,2738.25,2799.0,2556.0,2664.0,49900
122,2000-06-27,2684.25,2731.5,2439.0,2448.0,111600
123,2000-06-28,2592.0,2592.0,2416.5,2466.0,89600
124,2000-06-29,2448.0,2461.5,2340.0,2376.0,47800
125,2000-06-30,2405.25,2407.5,2313.0,2344.5,71800
126,2000-07-03,2360.25,2605.5,2358.0,2574.0,38300
127,2000-07-05,2556.0,2556.0,2412.0,2434.5,58500
128,2000-07-06,2538.0,2551.5,2263.5,2286.0,126000
129,2000-07-07,2376.0,2389.5,2178.0,2245.5,120900
130,2000-07-10,2322.0,2488.5,2281.5,2452.5,106800
131,2000-07-11,2488.5,2533.5,2364.75,2380.5,133500
132,2000-07-12,2483.43,2790.0,2434.5,2756.25,96400
133,2000-07-13,2832.75,3073.5,2695.5,3057.75,102000
134,2000-07-14,3048.75,3096.0,2763.0,2954.25,63800
135,2000-07-17,2934.0,3235.5,2817.0,3168.0,75900
136,2000-07-18,3046.5,3366.0,3046.5,3258.0,83800
137,2000-07-19,3206.25,3224.25,3001.5,3048.75,75300
138,2000-07-20,3064.5,3224.25,2997.0,3181.5,59800
139,2000-07-21,3393.0,3861.0,3388.5,3615.75,300700
140,2000-07-24,3591.0,3757.5,3528.0,3593.25,100900
141,2000-07-25,3627.0,3681.0,3168.0,3294.0,94400
142,2000-07-26,3186.0,3397.5,3181.5,3231.0,65900
143,2000-07-27,3093.75,3093.75,2691.0,2731.5,91000
144,2000-07-28,2790.0,2835.0,2529.0,2727.0,51800
145,2000-07-31,2774.25,2875.5,2578.5,2875.5,52000
146,2000-08-01,2913.75,2974.5,2718.0,2880.0,45400
147,2000-08-02,2844.0,3024.0,2790.0,2925.0,63600
148,2000-08-03,2704.5,2882.25,2700.0,2871.0,36500
149,2000-08-04,2940.75,3021.75,2781.56,2835.0,28900
150,2000-08-07,2925.0,2949.75,2745.0,2794.5,25400
151,2000-08-08,2808.0,3015.0,2785.5,2810.25,32400
152,2000-08-09,3064.5,3492.0,3063.93,3280.5,433900
153,2000-08-10,3177.0,3726.0,3163.5,3660.75,274500
154,2000-08-11,3498.75,3528.0,3168.0,3228.75,210600
155,2000-08-14,3298.5,3303.0,3096.0,3132.0,67900
156,2000-08-15,3132.0,3244.5,3078.0,3093.75,64100
157,2000-08-16,3134.25,3141.0,2990.25,3057.75,54900
158,2000-08-17,3013.87,3030.75,2898.0,2965.5,59400
159,2000-08-18,3003.75,3114.0,2961.0,3080.25,64800
160,2000-08-21,3145.5,3218.62,3033.0,3215.25,50100
161,2000-08-22,3188.25,3240.0,3150.0,3210.75,51400
162,2000-08-23,3170.25,3276.0,3057.75,3078.0,45500
163,2000-08-24,3100.5,3102.75,2934.0,2952.0,48900
164,2000-08-25,2994.75,3240.0,2976.75,3181.5,55500
165,2000-08-28,3231.0,3273.75,3132.0,3208.5,39300
166,2000-08-29,3211.87,3213.0,3042.0,3105.0,28300
167,2000-08-30,3073.5,3222.0,3046.5,3116.25,41800
168,2000-08-31,3143.25,3415.5,3127.5,3327.75,86200
169,2000-09-01,3386.25,3537.0,3276.0,3510.0,63000
170,2000-09-05,3492.0,3658.5,3492.0,3629.25,74200
171,2000-09-06,3570.75,3636.0,3361.5,3399.75,78300
172,2000-09-07,3372.75,3525.75,3357.0,3496.5,88900
173,2000-09-08,3582.0,3582.0,3456.0,3510.0,52000
174,2000-09-11,3406.5,3417.75,3258.0,3305.25,39100
175,2000-09-12,3363.75,3370.5,3163.5,3210.75,33800
176,2000-09-13,3199.5,3258.0,3123.0,3172.5,45500
177,2000-09-14,3243.37,3379.5,3213.0,3330.0,45200
178,2000-09-15,3305.25,3334.5,3163.5,3188.25,28600
179,2000-09-18,3177.0,3177.0,3042.0,3098.25,35500
180,2000-09-19,3147.75,3361.5,3147.75,3350.25,68500
181,2000-09-20,3361.5,3663.0,3240.0,3649.5,110800
182,2000-09-21,3577.5,4000.5,3564.0,3951.0,166500
183,2000-09-22,3710.25,3955.5,3690.0,3816.0,68100
184,2000-09-25,3888.0,4335.75,3874.5,4171.5,137200
185,2000-09-26,4117.5,4394.25,4009.5,4356.0,105100
186,2000-09-27,4383.0,4567.5,4176.0,4333.5,113000
187,2000-09-28,4304.25,4401.0,4106.25,4395.93,52200
188,2000-09-29,4356.0,4383.0,4068.0,4090.5,58900
189,2000-10-02,4158.0,4180.5,3946.5,3975.75,45900
190,2000-10-03,3995.43,4068.0,3690.0,3710.25,66700
191,2000-10-04,3701.25,4061.25,3582.0,4034.25,74800
192,2000-10-05,3991.5,4000.5,3629.25,3784.5,52100
193,2000-10-06,3773.25,3888.0,3393.0,3510.0,61600
194,2000-10-09,3494.25,3897.0,3456.0,3883.5,55600
195,2000-10-10,3746.25,4167.0,3672.0,3978.0,115100
196,2000-10-11,3802.5,3919.5,3280.5,3296.25,139400
197,2000-10-12,3413.25,3420.0,2776.5,2830.5,149200
198,2000-10-13,2772.0,3168.0,2664.0,3028.5,108200
199,2000-10-16,3073.5,3420.0,2929.5,3161.25,84900
200,2000-10-17,3204.0,3429.0,3028.5,3386.25,89200
201,2000-10-18,3134.25,3411.0,2979.0,3012.75,88500
202,2000-10-19,3422.25,3726.0,3384.0,3600.0,151200
203,2000-10-20,3548.25,4146.75,3543.75,4144.5,140800
204,2000-10-23,3984.75,4027.5,3692.25,3741.75,128400
205,2000-10-24,3757.5,4000.5,3744.0,3879.0,113500
206,2000-10-25,3746.25,3969.0,3456.0,3539.25,77600
207,2000-10-26,3604.5,3798.0,3060.0,3426.75,115300
208,2000-10-27,3497.06,3573.0,3190.5,3350.25,63200
209,2000-10-30,3217.5,3375.0,3062.25,3064.5,59200
210,2000-10-31,3159.0,3345.75,3096.0,3332.25,71300
211,2000-11-01,3204.0,3420.0,3204.0,3307.5,56900
212,2000-11-02,3388.5,3793.5,3330.0,3678.75,116100
213,2000-11-03,3685.5,3901.5,3541.5,3816.0,84000
214,2000-11-06,3786.75,4014.0,3784.5,3928.5,64800
215,2000-11-07,3885.75,3888.0,3631.5,3807.0,40400
216,2000-11-08,3795.75,3879.0,3483.0,3487.5,48700
217,2000-11-09,3392.43,3451.5,3096.0,3251.25,77200
218,2000-11-10,3204.0,3246.75,2961.0,2983.5,38800
219,2000-11-13,2907.0,3010.5,2682.0,2792.25,109600
220,2000-11-14,3042.0,3255.75,3003.75,3165.75,103500
221,2000-11-15,3132.0,3359.25,3091.5,3251.25,111800
222,2000-11-16,3136.5,3343.5,3123.0,3217.5,72500
223,2000-11-17,3262.5,3262.5,2974.5,3159.0,103400
224,2000-11-20,3103.83,3108.33,2591.02,2869.92,88288
225,2000-11-21,2898.0,2898.0,2376.0,2466.0,86450
226,2000-11-22,2282.73,2282.73,1692.91,1882.02,331491
227,2000-11-24,1986.93,2337.56,1928.49,2324.07,64893
228,2000-11-27,2410.79,2410.79,2041.98,2084.71,87772
229,2000-11-28,2085.94,2092.7,1730.03,1757.06,68914
230,2000-11-29,1755.0,1905.75,1620.0,1800.0,87149
231,2000-11-30,1704.42,1721.31,1523.05,1640.21,159400
232,2000-12-01,1693.2,2073.21,1690.95,1918.05,130662
233,2000-12-04,1887.75,1948.5,1710.0,1878.75,70061
