,DateTime,Open,High,Low,Close,Volume
0,2000-01-03,0.313,0.313,0.313,0.313,88200
1,2000-01-04,0.313,0.313,0.313,0.313,88200
2,2000-01-05,0.313,0.313,0.313,0.313,57000
3,2000-01-06,0.313,0.313,0.313,0.313,32000
4,2000-01-11,0.3125,0.3125,0.25,0.25,52400
5,2000-01-14,0.2504,0.313,0.2504,0.313,94400
6,2000-01-18,0.25,0.25,0.25,0.25,30600
7,2000-01-19,0.25,0.3125,0.25,0.25,9400
8,2000-01-20,0.25,0.3125,0.25,0.25,71000
9,2000-01-24,0.313,0.313,0.2504,0.313,105200
10,2000-01-25,0.313,0.313,0.313,0.313,104200
11,2000-01-26,0.3125,0.3125,0.25,0.25,111000
12,2000-01-27,0.2504,0.313,0.2504,0.313,76000
13,2000-01-31,0.313,0.313,0.2504,0.313,17600
14,2000-02-01,0.25,0.25,0.25,0.25,24000
15,2000-02-02,0.25,0.25,0.25,0.25,27200
16,2000-02-03,0.313,0.313,0.313,0.313,19400
17,2000-02-08,0.25,0.3125,0.25,0.25,54000
18,2000-02-10,0.313,0.313,0.2504,0.313,34400
19,2000-02-11,0.3125,0.375,0.3125,0.375,53400
20,2000-02-14,0.3125,0.3125,0.25,0.25,34200
21,2000-02-15,0.313,0.313,0.313,0.313,56800
22,2000-02-18,0.2504,0.313,0.2504,0.313,35000
23,2000-02-22,0.313,0.313,0.313,0.313,8000
24,2000-02-23,0.3125,0.3125,0.25,0.25,63200
25,2000-02-24,0.2504,0.313,0.2504,0.313,7800
26,2000-02-25,0.3125,0.3125,0.25,0.25,15600
27,2000-02-28,0.25,0.25,0.25,0.25,34000
28,2000-02-29,0.2504,0.313,0.2504,0.313,44800
29,2000-03-01,0.3125,0.3125,0.25,0.25,12400
30,2000-03-02,0.25,0.25,0.25,0.25,2000
31,2000-03-03,0.2504,0.313,0.2504,0.313,57800
32,2000-03-06,0.313,0.313,0.2504,0.313,36800
33,2000-03-07,0.313,0.313,0.2504,0.313,57600
34,2000-03-08,0.313,0.3756,0.313,0.313,88600
35,2000-03-09,0.313,0.3756,0.313,0.313,20600
36,2000-03-10,0.313,0.313,0.313,0.313,59600
37,2000-03-13,0.25,0.25,0.25,0.25,14000
38,2000-03-14,0.25,0.25,0.25,0.25,8400
39,2000-03-15,0.25,0.3125,0.25,0.25,42000
40,2000-03-20,0.25,0.25,0.25,0.25,16600
41,2000-03-21,0.25,0.3125,0.25,0.25,18800
42,2000-03-22,0.25,0.25,0.25,0.25,83000
43,2000-03-27,0.25,0.25,0.25,0.25,12200
44,2000-03-28,0.25,0.3125,0.25,0.25,10200
45,2000-03-29,0.25,0.25,0.25,0.25,8400
46,2000-03-30,0.25,0.3125,0.25,0.25,43200
47,2000-03-31,0.25,0.25,0.25,0.25,120200
48,2000-04-04,0.25,0.25,0.25,0.25,7200
49,2000-04-05,0.25,0.25,0.25,0.25,4800
50,2000-04-06,0.2504,0.313,0.2504,0.313,12200
51,2000-04-07,0.25,0.25,0.25,0.25,5800
52,2000-04-10,0.2504,0.313,0.2504,0.313,46600
53,2000-04-13,0.313,0.313,0.2504,0.313,4400
54,2000-04-14,0.25,0.25,0.25,0.25,29800
55,2000-04-17,0.2504,0.313,0.2504,0.313,35400
56,2000-04-18,0.3125,0.3125,0.25,0.25,30400
57,2000-04-19,0.25,0.3125,0.25,0.25,8000
58,2000-04-20,0.2504,0.313,0.2504,0.313,91400
59,2000-04-24,0.313,0.313,0.2504,0.313,91400
60,2000-04-25,0.25,0.25,0.25,0.25,15000
61,2000-04-26,0.25,0.25,0.25,0.25,5000
62,2000-04-27,0.25,0.3125,0.25,0.25,2800
63,2000-04-28,0.2504,0.313,0.2504,0.313,21000
64,2000-05-01,0.313,0.313,0.2504,0.313,21000
65,2000-05-02,0.313,0.313,0.2504,0.313,32000
66,2000-05-03,0.3129,0.438,0.3129,0.438,180400
67,2000-05-04,0.4382,0.4382,0.313,0.313,363600
68,2000-05-05,0.3125,0.375,0.3125,0.375,39400
69,2000-05-08,0.375,0.375,0.375,0.375,8800
70,2000-05-09,0.375,0.375,0.3125,0.375,4200
71,2000-05-10,0.3756,0.3756,0.313,0.313,42200
72,2000-05-11,0.375,0.375,0.375,0.375,6800
73,2000-05-12,0.375,0.4375,0.375,0.375,68400
74,2000-05-15,0.3754,0.438,0.3754,0.438,59600
75,2000-05-19,0.438,0.438,0.438,0.438,19600
76,2000-05-22,0.438,0.5006,0.438,0.438,64800
