Unnamed: 0,DateTime,Open,High,Low,Close,Volume
0.0,2008-10-28,9.0,9.0,8.0,8.0,520
1.0,2008-10-29,9.0,9.0,9.0,9.0,80
2.0,2008-10-31,8.5,9.5,8.5,9.5,370
3.0,2008-11-03,10.0,10.0,10.0,10.0,10
4.0,2008-11-04,11.0,11.0,10.0,10.0,336
5.0,2008-11-05,9.5,10.0,9.5,10.0,300
6.0,2008-11-06,9.5,10.0,9.5,10.0,100
7.0,2008-11-11,10.0,10.0,10.0,10.0,128
8.0,2008-11-12,9.0,9.0,9.0,9.0,6
9.0,2008-11-13,8.0,9.0,8.0,8.5,180
10.0,2008-11-14,8.5,9.5,8.5,9.5,260
11.0,2008-11-17,9.0,9.0,8.0,8.0,432
12.0,2008-11-18,7.5,7.5,7.5,7.5,224
13.0,2008-11-19,7.5,7.5,7.0,7.0,240
14.0,2008-11-20,6.5,7.5,6.0,7.5,1070
15.0,2008-11-21,7.5,7.5,6.0,6.0,364
16.0,2008-11-24,6.0,8.0,6.0,6.5,410
17.0,2008-11-25,6.5,6.5,6.0,6.0,380
18.0,2008-11-26,5.0,5.5,5.0,5.5,440
19.0,2008-11-28,5.0,5.5,5.0,5.5,280
20.0,2008-12-01,5.5,5.5,5.0,5.0,240
21.0,2008-12-02,5.0,5.0,5.0,5.0,40
22.0,2008-12-03,5.0,5.5,4.5,4.5,242
23.0,2008-12-04,4.5,6.0,4.5,5.5,212
24.0,2008-12-05,6.5,7.5,6.5,7.0,900
25.0,2008-12-09,6.0,6.0,5.5,5.5,120
26.0,2008-12-10,5.5,5.5,5.0,5.5,984
27.0,2008-12-11,6.0,6.5,6.0,6.5,126
28.0,2008-12-12,6.0,6.0,5.5,5.5,2088
29.0,2008-12-15,5.5,6.0,5.0,5.0,710
30.0,2008-12-16,5.0,5.0,5.0,5.0,50
31.0,2008-12-18,5.0,5.5,5.0,5.5,300
32.0,2008-12-19,7.0,7.0,7.0,7.0,200
33.0,2008-12-22,5.5,6.0,5.5,6.0,122
34.0,2008-12-24,6.5,7.0,6.5,7.0,180
35.0,2008-12-29,6.5,7.0,6.0,7.0,584
36.0,2008-12-30,6.0,8.5,6.0,7.5,582
37.0,2008-12-31,8.0,8.5,7.0,8.5,82
38.0,2009-01-02,9.0,12.0,9.0,12.0,1500
39.0,2009-01-05,15.0,17.0,14.0,17.0,516
40.0,2009-01-06,19.0,19.5,17.0,18.0,738
41.0,2009-01-07,18.0,18.0,15.5,18.0,30
42.0,2009-01-08,14.0,14.0,12.5,13.5,254
43.0,2009-01-12,13.5,14.0,13.5,14.0,134
44.0,2009-01-13,12.5,12.5,12.5,12.5,220
45.0,2009-01-14,11.5,11.5,11.5,11.5,20
46.0,2009-01-20,11.5,11.5,11.0,11.0,108
47.0,2009-01-21,11.0,11.5,11.0,11.5,300
48.0,2009-01-22,11.5,11.5,11.5,11.5,80
49.0,2009-01-23,11.5,11.5,11.5,11.5,20
50.0,2009-01-26,15.0,15.0,13.5,14.0,700
51.0,2009-01-27,13.0,13.0,10.5,10.5,710
52.0,2009-01-28,10.0,11.5,10.0,11.5,340
53.0,2009-01-29,10.0,11.5,10.0,11.5,9856
54.0,2009-02-04,11.0,11.0,11.0,11.0,4
55.0,2009-02-09,12.0,12.0,11.5,11.5,70
56.0,2009-02-10,11.5,12.0,11.5,12.0,120
57.0,2009-02-11,12.0,12.0,12.0,12.0,400
58.0,2009-02-17,11.0,11.0,9.5,9.5,414
59.0,2009-02-18,9.5,9.5,9.5,9.5,200
60.0,2009-02-19,10.0,11.0,10.0,10.0,398
61.0,2009-02-20,10.0,10.0,9.5,10.0,490
62.0,2009-02-23,9.5,9.5,9.5,9.5,120
63.0,2009-02-24,10.0,10.0,10.0,10.0,20
64.0,2009-02-26,10.0,10.0,10.0,10.0,20
65.0,2009-02-27,8.5,8.5,8.5,8.5,120
66.0,2009-03-02,9.0,9.0,7.5,7.5,270
67.0,2009-03-03,7.0,7.0,7.0,7.0,20
68.0,2009-03-05,7.5,7.5,7.5,7.5,40
69.0,2009-03-06,7.0,7.0,6.5,6.5,98
70.0,2009-03-16,7.5,7.5,7.0,7.0,1520
71.0,2009-03-17,8.0,8.0,8.0,8.0,80
72.0,2009-03-24,8.5,8.5,8.5,8.5,144
73.0,2009-03-25,8.5,8.5,8.5,8.5,52
74.0,2009-03-26,8.5,8.5,8.0,8.0,166
75.0,2009-03-30,7.5,7.5,7.5,7.5,50
76.0,2009-03-31,8.5,8.5,8.5,8.5,20
77.0,2009-04-02,10.0,10.0,10.0,10.0,20
78.0,2009-04-06,12.5,12.5,12.5,12.5,100
79.0,2009-04-09,11.5,11.5,11.5,11.5,10
80.0,2009-04-13,11.5,11.5,11.5,11.5,200
81.0,2009-04-14,11.5,11.5,11.0,11.0,56
82.0,2009-04-16,10.5,11.0,10.5,11.0,230
83.0,2009-04-17,11.0,11.0,11.0,11.0,100
84.0,2009-04-21,11.0,11.0,11.0,11.0,50
85.0,2009-04-22,10.5,10.5,10.5,10.5,40
86.0,2009-04-24,12.5,12.5,12.5,12.5,60
87.0,2009-04-27,12.0,15.0,12.0,15.0,390
88.0,2009-04-28,16.0,17.5,16.0,16.0,570
89.0,2009-04-29,17.5,18.5,17.5,18.5,170
90.0,2009-04-30,18.5,18.5,16.5,16.5,150
91.0,2009-05-01,17.0,18.0,17.0,18.0,246
92.0,2009-05-04,18.5,18.5,18.0,18.0,1162
93.0,2009-05-05,17.5,18.0,17.5,18.0,46
94.0,2009-05-06,18.0,19.0,18.0,19.0,448
95.0,2009-05-07,20.0,20.0,19.5,19.5,28
96.0,2009-05-08,25.0,27.0,22.5,23.0,2040
97.0,2009-05-11,24.0,26.0,23.5,23.5,210
98.0,2009-05-12,23.5,23.5,23.5,23.5,40
99.0,2009-05-13,21.5,21.5,18.5,19.0,138
100.0,2009-05-14,18.5,18.5,18.5,18.5,42
101.0,2009-05-15,19.5,19.5,19.5,19.5,40
102.0,2009-05-19,19.0,19.5,18.5,18.5,490
103.0,2009-05-20,19.5,19.5,19.5,19.5,220
104.0,2009-05-21,19.5,19.5,18.5,18.5,220
105.0,2009-05-22,18.5,18.5,18.0,18.5,760
106.0,2009-05-26,18.0,18.0,16.5,16.5,5940
107.0,2009-05-28,16.0,16.5,16.0,16.5,46
108.0,2009-05-29,18.5,18.5,18.5,18.5,52
109.0,2009-06-01,19.5,19.5,19.0,19.0,370
110.0,2009-06-02,19.5,19.5,18.5,18.5,872
111.0,2009-06-05,18.0,18.0,17.0,17.0,1230
112.0,2009-06-08,18.5,18.5,18.0,18.0,16
113.0,2009-06-09,18.0,18.0,17.5,17.5,126
114.0,2009-06-12,17.5,18.0,17.5,18.0,410
115.0,2009-06-15,16.5,16.5,16.5,16.5,66
116.0,2009-06-17,17.0,17.0,17.0,17.0,28
117.0,2009-06-18,16.0,16.0,16.0,16.0,40
118.0,2009-06-19,16.0,16.5,16.0,16.5,34
119.0,2009-06-22,16.0,16.0,14.5,14.5,76
120.0,2009-06-23,14.5,14.5,14.5,14.5,140
121.0,2009-06-25,14.0,14.0,14.0,14.0,70
122.0,2009-06-29,14.5,14.5,13.5,13.5,174
123.0,2009-06-30,14.5,14.5,14.5,14.5,60
124.0,2009-07-06,15.0,15.0,15.0,15.0,20
125.0,2009-07-07,14.5,15.0,14.5,15.0,290
126.0,2009-07-08,14.0,14.0,13.0,13.5,680
127.0,2009-07-09,13.0,13.0,12.5,12.5,412
128.0,2009-07-13,13.5,13.5,13.5,13.5,200
129.0,2009-07-14,14.0,14.5,13.0,13.0,68
130.0,2009-07-15,13.5,13.5,13.5,13.5,50
131.0,2009-07-16,13.5,15.0,13.5,15.0,3190
132.0,2009-07-17,15.0,16.0,15.0,15.5,2338
133.0,2009-07-20,17.0,17.5,16.5,16.5,966
134.0,2009-07-21,17.0,17.0,16.0,16.0,98
135.0,2009-07-22,15.5,15.5,15.0,15.0,436
136.0,2009-07-23,15.5,16.5,15.5,15.5,272
137.0,2009-07-24,14.5,15.0,14.5,15.0,1362
