,DateTime,Open,High,Low,Close,Volume
0,2003-10-09,3.3663,3.3663,3.308,3.308,3448800
1,2003-10-10,3.3058,3.3058,3.2792,3.3,1636800
2,2003-10-13,3.3045,3.4253,3.3045,3.392,5607600
3,2003-10-14,3.4122,3.4872,3.4122,3.458,6442800
4,2003-10-15,3.4588,3.4697,3.4255,3.443,4314000
5,2003-10-16,3.3962,3.4337,3.3903,3.417,1651200
6,2003-10-17,3.4205,3.433,3.4038,3.408,5268000
7,2003-10-20,3.4092,3.4125,3.375,3.4,8072400
8,2003-10-21,3.3998,3.4165,3.3748,3.384,6938400
9,2003-10-22,3.3773,3.3873,3.3007,3.304,2199600
10,2003-10-23,3.2502,3.271,3.221,3.271,5217600
11,2003-10-24,3.2497,3.258,3.2163,3.233,2490000
12,2003-10-27,3.1915,3.254,3.1915,3.254,4126800
13,2003-10-28,3.2463,3.2672,3.2422,3.263,8796000
14,2003-10-29,3.2578,3.2962,3.2578,3.277,7868400
15,2003-10-30,3.2735,3.3935,3.2735,3.391,6246000
16,2003-10-31,3.3837,3.3837,3.3212,3.367,4525200
17,2003-11-03,3.362,3.3662,3.332,3.352,5198400
18,2003-11-04,3.3502,3.4085,3.3252,3.371,2544000
19,2003-11-05,3.3667,3.3683,3.28,3.3,7303200
20,2003-11-06,3.2957,3.2957,3.2057,3.229,4486800
21,2003-11-07,3.2545,3.2712,3.222,3.242,4485600
22,2003-11-10,3.2378,3.2378,3.1545,3.167,2114400
23,2003-11-11,3.1662,3.1662,3.1112,3.112,6228000
24,2003-11-12,3.1542,3.1917,3.1542,3.18,4172400
25,2003-11-13,3.1958,3.2083,3.1658,3.195,7527600
26,2003-11-14,3.1978,3.2012,3.1728,3.192,2898000
27,2003-11-17,3.1795,3.1795,3.1112,3.132,3517200
28,2003-11-18,3.146,3.1668,3.126,3.131,2590800
29,2003-11-19,3.1292,3.15,3.1133,3.15,3884400
30,2003-11-20,3.1377,3.1385,3.1193,3.121,3598800
31,2003-11-21,3.1308,3.1417,3.1275,3.14,1500000
32,2003-11-24,3.125,3.1575,3.125,3.155,4681200
33,2003-11-25,3.1503,3.2337,3.1337,3.217,9470400
34,2003-11-26,3.2242,3.2542,3.2233,3.25,4023600
35,2003-11-28,3.25,3.25,3.2258,3.24,3789600
36,2003-12-01,3.2628,3.432,3.2586,3.392,8058000
37,2003-12-02,3.392,3.417,3.3703,3.417,4314000
38,2003-12-03,3.3955,3.4305,3.3905,3.418,3616800
39,2003-12-04,3.4378,3.5495,3.4378,3.542,9667200
40,2003-12-05,3.5537,3.6703,3.5412,3.632,5167200
41,2003-12-08,3.653,3.783,3.653,3.783,3256800
42,2003-12-09,3.875,3.9417,3.8667,3.89,8162400
43,2003-12-10,3.8905,3.9005,3.7922,3.793,3123600
44,2003-12-11,3.8005,3.8047,3.7505,3.773,4335600
45,2003-12-12,3.7792,3.9692,3.7508,3.9,4108800
46,2003-12-15,4.0413,4.0413,3.908,3.908,5581200
47,2003-12-16,3.983,3.983,3.9163,3.933,4282800
48,2003-12-17,3.9172,3.9613,3.9163,3.938,5668800
49,2003-12-18,3.9253,3.9712,3.9195,3.967,9421200
50,2003-12-19,3.9502,4.0085,3.9502,4.006,6556800
51,2003-12-22,4.0086,4.242,4.007,4.242,4114800
52,2003-12-23,4.2918,4.2993,4.2293,4.271,4387200
