,DateTime,Open,High,Low,Close,Volume
0,2000-01-03,10.48,11.08,10.48,11.0,147300
1,2000-01-04,10.4,10.4,9.6,9.6,403600
2,2000-01-05,10.16,10.52,10.0,10.52,73600
3,2000-01-06,10.56,12.04,10.32,11.6,379000
4,2000-01-07,12.04,12.24,11.48,11.56,1338000
5,2000-01-10,11.56,12.0,11.4,11.48,327200
6,2000-01-11,11.56,12.56,11.48,12.44,755400
7,2000-01-12,12.44,13.16,11.6,12.48,2489700
8,2000-01-13,13.0,15.0,13.0,15.0,4486800
9,2000-01-14,15.0,15.0,14.28,14.28,971800
10,2000-01-18,14.36,14.36,13.48,14.08,316300
11,2000-01-19,13.56,14.32,13.0,14.32,511800
12,2000-01-20,14.08,14.24,13.48,13.48,538100
13,2000-01-21,13.44,15.0,13.16,15.0,821700
14,2000-01-24,14.16,14.56,14.08,14.08,342700
15,2000-01-25,14.16,14.44,14.08,14.08,110000
16,2000-01-26,14.24,14.44,14.08,14.32,65400
17,2000-01-27,14.16,14.32,14.0,14.24,208200
18,2000-01-28,14.18,14.18,14.0,14.0,589000
19,2000-01-31,14.0,14.08,14.0,14.0,274500
20,2000-02-01,14.0,14.56,14.0,14.24,139100
21,2000-02-02,14.48,14.48,14.16,14.24,77300
22,2000-02-03,14.3,17.2,14.3,17.16,2438800
23,2000-02-04,17.56,19.24,17.24,18.16,2647800
24,2000-02-07,18.48,20.0,18.16,19.2,1209000
25,2000-02-08,18.4,19.24,15.6,16.0,622700
26,2000-02-09,16.4,19.32,16.4,18.48,759000
27,2000-02-10,19.0,19.0,18.0,18.48,540800
28,2000-02-11,18.32,19.08,17.32,18.48,850800
29,2000-02-14,18.56,19.08,18.48,18.56,965400
30,2000-02-15,18.52,18.56,18.08,18.16,489900
31,2000-02-16,18.0,18.56,18.0,18.56,459000
32,2000-02-17,18.4,18.56,18.0,18.56,300000
33,2000-02-18,18.6,20.0,18.56,19.32,1019900
34,2000-02-22,19.36,21.0,19.16,20.32,1578000
35,2000-02-23,20.4,22.56,20.24,22.0,708100
36,2000-02-24,21.32,21.4,20.04,20.08,391800
37,2000-02-25,20.24,20.24,18.48,18.48,594500
38,2000-02-28,18.44,18.52,17.0,18.16,891700
39,2000-02-29,18.08,20.32,18.08,20.0,340000
40,2000-03-01,20.08,20.32,19.32,19.56,486300
41,2000-03-02,20.0,25.32,20.0,22.56,1523500
42,2000-03-03,23.56,24.0,22.04,22.24,491800
43,2000-03-06,22.4,22.48,22.04,22.08,471800
44,2000-03-07,22.26,22.48,22.08,22.24,348100
45,2000-03-08,22.4,22.4,22.08,22.32,469000
46,2000-03-09,22.0,23.56,22.0,23.32,308200
47,2000-03-10,23.32,24.0,21.48,22.16,570800
48,2000-03-13,21.48,22.16,21.08,21.48,160000
49,2000-03-14,21.4,22.48,21.4,22.16,158200
50,2000-03-15,22.28,23.0,22.0,22.56,390000
51,2000-03-16,22.56,23.24,17.4,19.0,1496200
52,2000-03-17,18.56,18.56,17.52,18.32,504500
53,2000-03-20,18.56,20.56,18.16,18.6,477200
54,2000-03-21,19.0,19.16,18.24,19.0,199100
55,2000-03-22,19.6,20.32,18.4,19.56,505400
