Unnamed: 0,DateTime,Open,High,Low,Close,Volume
0.0,2012-03-26,0.561,0.574,0.47,0.47,10418000
1.0,2012-03-27,0.465,0.499,0.458,0.46,3148000
2.0,2012-03-28,0.453,0.468,0.445,0.45,2096000
3.0,2012-03-29,0.446,0.45,0.425,0.435,1816000
4.0,2012-03-30,0.447,0.454,0.425,0.439,1272000
5.0,2012-04-02,0.435,0.464,0.435,0.438,1972000
6.0,2012-04-03,0.456,0.468,0.423,0.426,1866000
7.0,2012-04-04,0.423,0.43,0.412,0.43,1367000
8.0,2012-04-05,0.425,0.45,0.425,0.435,515000
9.0,2012-04-09,0.448,0.46,0.43,0.438,840000
10.0,2012-04-10,0.436,0.465,0.436,0.452,1594000
11.0,2012-04-11,0.455,0.475,0.445,0.465,1019000
12.0,2012-04-12,0.461,0.48,0.461,0.465,1328000
13.0,2012-04-13,0.462,0.484,0.461,0.482,2417000
14.0,2012-04-16,0.485,0.512,0.482,0.501,2003000
15.0,2012-04-17,0.504,0.565,0.504,0.544,2819000
16.0,2012-04-18,0.541,0.59,0.541,0.59,3352000
17.0,2012-04-19,0.59,0.598,0.577,0.595,1856000
18.0,2012-04-20,0.593,0.598,0.581,0.596,1071000
19.0,2012-04-23,0.59,0.6,0.567,0.6,1282000
20.0,2012-04-24,0.61,0.61,0.59,0.602,1569000
21.0,2012-04-25,0.605,0.605,0.523,0.525,3282000
22.0,2012-04-26,0.525,0.563,0.511,0.531,1346000
23.0,2012-04-27,0.532,0.553,0.525,0.53,601000
24.0,2012-04-30,0.527,0.561,0.527,0.54,930000
25.0,2012-05-01,0.545,0.559,0.534,0.546,731000
26.0,2012-05-02,0.571,0.576,0.558,0.569,830000
27.0,2012-05-03,0.571,0.575,0.55,0.556,510000
28.0,2012-05-04,0.526,0.573,0.526,0.549,236000
29.0,2012-05-07,0.547,0.56,0.531,0.538,460000
30.0,2012-05-08,0.534,0.55,0.522,0.53,833000
31.0,2012-05-09,0.522,0.549,0.52,0.537,311000
32.0,2012-05-10,0.537,0.558,0.509,0.517,1598000
33.0,2012-05-11,0.516,0.548,0.51,0.54,480000
34.0,2012-05-14,0.546,0.575,0.546,0.565,1716000
35.0,2012-05-15,0.57,0.582,0.517,0.529,830000
36.0,2012-05-16,0.533,0.54,0.501,0.505,648000
37.0,2012-05-17,0.505,0.517,0.5,0.511,645000
38.0,2012-05-18,0.516,0.53,0.515,0.515,1082000
39.0,2012-05-21,0.524,0.539,0.5,0.503,278000
40.0,2012-05-22,0.503,0.518,0.462,0.486,517000
41.0,2012-05-23,0.479,0.486,0.431,0.469,680000
42.0,2012-05-24,0.474,0.486,0.474,0.48,201000
43.0,2012-05-25,0.481,0.51,0.481,0.5,292000
44.0,2012-05-29,0.504,0.514,0.494,0.506,697000
45.0,2012-05-30,0.506,0.531,0.5,0.529,2237000
46.0,2012-05-31,0.529,0.552,0.529,0.55,910000
47.0,2012-06-01,0.54,0.554,0.528,0.551,669000
48.0,2012-06-04,0.557,0.56,0.537,0.55,222000
49.0,2012-06-05,0.55,0.567,0.55,0.562,483000
50.0,2012-06-06,0.563,0.588,0.559,0.588,1163000
51.0,2012-06-07,0.586,0.6,0.56,0.569,917000
52.0,2012-06-08,0.563,0.586,0.56,0.573,304000
53.0,2012-06-11,0.585,0.589,0.562,0.583,673000
