,DateTime,Open,High,Low,Close,Volume
0,2007-08-15,52.11,59.87,51.11,57.7,10448000
1,2007-08-16,60.99,61.49,52.71,57.0,6611500
2,2007-08-17,59.0,59.0,54.45,55.68,2991400
3,2007-08-20,56.05,57.5,55.61,57.4,2127200
4,2007-08-21,57.25,66.59,56.5,65.88,7060900
5,2007-08-22,70.18,73.95,66.56,66.87,10138500
6,2007-08-23,68.07,70.88,65.01,70.24,4254500
7,2007-08-24,70.2,72.65,69.45,71.3,3796800
8,2007-08-27,71.73,73.35,71.01,72.3,2330200
9,2007-08-28,71.9,72.1,66.5,69.91,3664000
10,2007-08-29,72.0,72.48,67.15,68.1,3581800
11,2007-08-30,67.58,70.0,66.25,68.5,1729400
12,2007-08-31,69.82,70.11,68.54,69.0,916700
13,2007-09-04,69.06,69.13,67.25,67.46,1232800
14,2007-09-05,66.55,66.59,63.65,64.2,2192800
15,2007-09-06,64.6,70.1,64.09,69.71,2548400
16,2007-09-07,67.01,71.3,66.8,69.5,2636300
17,2007-09-10,71.99,79.15,68.85,76.76,6495200
18,2007-09-11,78.7,82.75,76.5,76.7,10421550
19,2007-09-12,78.44,80.65,77.06,78.29,5866945
20,2007-09-13,79.55,80.55,76.53,77.79,3161175
21,2007-09-14,77.22,79.55,76.55,77.91,2967100
22,2007-09-17,76.15,77.6,73.19,73.72,4684700
23,2007-09-18,75.35,75.75,72.8,73.98,2839400
24,2007-09-19,75.3,78.83,74.86,77.55,4120940
25,2007-09-20,77.66,79.27,76.17,76.64,2358700
26,2007-09-21,77.35,79.21,76.6,78.95,3974400
27,2007-09-24,81.0,85.17,80.32,83.78,5658150
28,2007-09-25,82.31,85.0,82.0,83.05,2965200
29,2007-09-26,83.99,84.4,82.11,82.26,1540710
30,2007-09-27,83.05,84.05,82.05,83.0,1856100
31,2007-09-28,83.89,85.52,82.5,84.91,3422900
32,2007-10-01,84.75,89.23,83.62,88.62,3849200
33,2007-10-02,88.97,92.52,88.36,92.15,2871200
34,2007-10-03,92.43,93.98,87.5,88.11,3972800
35,2007-10-04,89.15,90.5,88.0,89.73,1755400
36,2007-10-05,91.59,92.15,89.22,91.0,1884400
37,2007-10-08,91.21,95.9,91.15,94.95,3031300
38,2007-10-09,97.5,101.89,96.11,101.31,5870700
39,2007-10-10,102.51,107.49,101.61,107.3,4774600
40,2007-10-11,109.98,114.88,99.06,102.65,11109900
41,2007-10-12,103.13,107.37,98.05,102.98,6392785
42,2007-10-15,104.49,105.5,96.29,99.75,4888200
43,2007-10-16,97.1,101.18,95.02,99.6,4335800
44,2007-10-17,103.04,105.4,101.51,103.18,4330800
45,2007-10-18,102.0,103.6,100.24,101.61,1942600
