Unnamed: 0,DateTime,Open,High,Low,Close,Volume
0.0,2010-04-06,12.375,12.375,12.375,12.375,73.3
1.0,2010-04-29,7.83,7.83,7.83,7.83,640.0
2.0,2010-05-13,8.1,8.1,8.1,8.1,66.7
3.0,2010-05-19,11.25,11.25,11.25,11.25,26.7
4.0,2010-05-20,7.9125,9.375,7.9125,9.375,733.0
5.0,2010-05-28,10.5,10.5,10.5,10.5,0.413
6.0,2010-06-01,9.675,9.675,9.675,9.675,120.0
7.0,2010-06-02,8.1375,9.5625,8.1375,9.5625,147.0
8.0,2010-06-03,9.0,9.0,9.0,9.0,53.3
9.0,2010-06-04,8.25,8.25,8.25,8.25,1.0
10.0,2010-06-09,8.5125,8.5125,8.5125,8.5125,62.7
11.0,2010-06-10,8.25,8.25,8.25,8.25,1.0
12.0,2010-06-14,8.25,8.25,8.25,8.25,180.0
13.0,2010-06-16,8.25,8.25,8.25,8.25,1153.0
14.0,2010-06-28,6.75,6.75,6.75,6.75,20.0
15.0,2010-07-08,6.2625,6.2625,6.2625,6.2625,107.0
16.0,2010-07-26,6.9,6.9,6.9,6.9,20.0
17.0,2010-07-27,6.9375,6.9375,6.8925,6.8925,86.7
18.0,2010-08-03,8.25,8.25,8.25,8.25,86.7
19.0,2010-08-17,22.5,22.5,22.5,22.5,45.3
20.0,2010-08-18,6.1875,6.21,6.1875,6.2025,267.0
21.0,2010-08-23,5.925,5.925,5.925,5.925,58.7
22.0,2010-08-25,5.85,5.85,5.85,5.85,44.0
23.0,2010-08-30,5.3325,5.3325,5.3325,5.3325,133.0
24.0,2010-09-08,8.25,8.25,5.25,8.25,942.0
25.0,2010-09-09,6.225,8.25,5.82,5.835,813.0
26.0,2010-09-15,8.25,8.25,6.75,6.75,833.0
27.0,2010-09-22,7.275,7.275,7.275,7.275,133.0
28.0,2010-09-23,8.25,12.75,8.25,8.325,1537.0
29.0,2010-09-24,9.75,10.5,8.25,9.375,925.0
30.0,2010-09-27,10.5,14.25,9.375,10.5,517.0
31.0,2010-09-28,11.25,11.25,9.75,9.75,444.0
32.0,2010-09-29,9.75,10.5,9.375,9.375,394.0
33.0,2010-09-30,10.125,10.125,10.125,10.125,567.0
34.0,2010-10-01,9.75,10.125,9.75,9.75,667.0
35.0,2010-10-04,10.5,11.25,9.75,9.75,1105.0
36.0,2010-10-05,9.75,9.75,7.8,8.25,1804.0
37.0,2010-10-06,9.75,9.75,9.75,9.75,32.0
38.0,2010-10-07,7.5,8.25,7.5,8.25,313.0
39.0,2010-10-08,9.75,9.75,6.75,8.25,906.0
40.0,2010-10-12,7.5,7.5,6.84,7.5,684.0
41.0,2010-10-14,8.25,8.25,8.25,8.25,1.8
42.0,2010-10-18,8.25,8.25,8.25,8.25,57.3
43.0,2010-10-19,7.5,7.5,6.0,6.0,644.0
44.0,2010-10-20,6.0,6.0,6.0,6.0,667.0
45.0,2010-10-21,6.75,8.25,6.0,6.0,843.0
46.0,2010-10-22,7.5,7.5,6.0,6.0,610.0
47.0,2010-10-26,6.0,6.0,6.0,6.0,66.7
48.0,2010-10-27,6.0,6.0,5.25,5.25,707.0
49.0,2010-10-28,6.75,6.75,5.25,5.25,1017.0
50.0,2010-10-29,7.5,7.5,6.75,6.75,679.0
