,DateTime,Open,High,Low,Close,Volume
0,2012-11-12,46.64,46.64,44.0,44.77,7709
1,2012-11-13,46.31,46.97,44.33,46.97,1682
2,2012-11-14,46.2,48.51,44.66,48.51,6018
3,2012-11-15,47.85,49.39,47.85,48.07,8618
4,2012-11-16,51.81,51.81,46.42,47.74,33436
5,2012-11-19,46.75,46.75,45.65,46.31,7300
6,2012-11-20,46.75,46.86,46.31,46.64,827
7,2012-11-21,46.2,48.18,45.76,46.31,16173
8,2012-11-23,48.29,48.62,45.98,46.31,1755
9,2012-11-26,46.2,47.63,46.2,47.41,618
10,2012-11-27,47.19,47.74,46.97,47.74,327
11,2012-11-28,47.41,47.96,47.3,47.3,1018
12,2012-11-29,47.3,47.85,47.3,47.52,636
13,2012-11-30,47.08,48.4,47.08,48.4,5564
14,2012-12-03,48.4,49.17,46.97,47.3,3373
15,2012-12-04,47.19,47.63,46.75,47.08,1818
16,2012-12-05,47.08,47.3,46.53,47.08,2109
17,2012-12-06,47.08,47.19,46.31,46.64,1091
18,2012-12-07,46.64,47.3,46.64,46.64,900
19,2012-12-10,46.75,46.97,46.64,46.75,1609
20,2012-12-11,46.97,47.3,46.42,46.75,8100
21,2012-12-12,46.64,46.75,46.31,46.31,1609
22,2012-12-13,46.09,46.2,45.1,45.21,1136
23,2012-12-14,45.1,45.76,44.33,45.21,3964
24,2012-12-17,44.55,45.76,44.22,44.55,3673
25,2012-12-18,44.55,45.21,44.44,44.77,1791
26,2012-12-19,44.55,44.88,44.0,44.0,1827
27,2012-12-20,44.0,44.55,44.0,44.22,2600
28,2012-12-21,43.23,44.66,38.72,44.44,12400
29,2012-12-24,43.56,43.56,41.91,43.12,509
30,2012-12-26,43.01,43.45,42.9,42.9,2509
31,2012-12-27,43.34,43.34,42.02,42.9,964
32,2012-12-28,42.35,44.0,42.35,43.56,2355
33,2012-12-31,44.0,44.33,43.45,43.89,3500
34,2013-01-02,44.0,44.0,43.45,43.45,964
35,2013-01-03,44.0,44.0,43.45,44.0,1427
36,2013-01-04,44.0,48.4,43.45,45.76,15100
37,2013-01-07,46.2,46.97,44.55,46.09,2891
38,2013-01-08,45.65,45.65,43.78,43.78,2818
39,2013-01-09,43.89,45.1,42.9,43.01,2618
40,2013-01-10,43.78,44.33,43.45,43.45,2745
41,2013-01-11,44.33,47.96,44.33,46.31,13300
42,2013-01-14,46.2,46.53,44.77,45.43,2900
43,2013-01-15,45.1,45.1,44.22,44.77,8955
44,2013-01-16,44.77,45.43,44.33,45.21,2545
45,2013-01-17,45.65,46.64,45.1,45.87,2927
46,2013-01-18,47.08,47.08,45.1,45.21,718
47,2013-01-22,44.66,45.76,44.0,45.21,1345
48,2013-01-23,44.55,46.09,43.12,43.45,4418
49,2013-01-24,43.12,44.0,43.12,43.78,800
50,2013-01-25,43.45,43.78,43.34,43.45,1591
51,2013-01-28,43.45,44.0,43.12,43.12,382
52,2013-01-29,43.12,44.55,43.12,43.78,245
53,2013-01-30,44.0,44.22,43.12,43.12,555
54,2013-01-31,43.12,44.88,43.12,43.45,1418
55,2013-02-01,43.45,44.11,43.45,43.45,827
56,2013-02-04,43.12,43.56,43.12,43.45,964
57,2013-02-05,43.34,43.89,43.12,43.45,2027
58,2013-02-06,43.12,43.89,43.12,43.78,1164
59,2013-02-07,43.45,43.78,43.23,43.78,518
60,2013-02-08,43.34,43.56,42.9,42.9,1573
61,2013-02-11,42.9,43.12,42.79,42.9,600
62,2013-02-12,43.01,44.0,42.9,44.0,3291
63,2013-02-13,43.34,44.77,43.34,44.77,3645
64,2013-02-14,44.77,46.2,44.33,45.1,6800
65,2013-02-15,45.98,46.64,43.67,43.67,1582
66,2013-02-19,43.56,45.54,43.56,44.77,1973
67,2013-02-20,44.88,45.54,44.77,44.77,809
68,2013-02-21,44.22,45.32,44.22,44.66,782
69,2013-02-22,44.88,46.2,43.89,44.44,1955
70,2013-02-25,43.56,45.32,43.56,44.44,1309
71,2013-02-26,43.56,44.55,43.56,44.0,2191
72,2013-02-27,44.0,44.88,43.78,44.44,1082
73,2013-02-28,43.56,44.22,43.56,43.89,182
74,2013-03-01,43.78,44.33,43.56,43.56,209
75,2013-03-04,43.34,44.99,43.34,44.77,4055
76,2013-03-05,44.22,45.1,43.01,43.01,1836
77,2013-03-06,43.12,44.88,42.57,43.78,1882
78,2013-03-07,43.89,44.0,42.68,43.01,1473
79,2013-03-08,43.01,43.56,42.79,43.12,1109
80,2013-03-11,43.23,43.45,42.9,43.23,755
81,2013-03-12,42.9,43.45,42.68,42.79,1545
82,2013-03-13,42.9,43.34,42.46,42.57,1527
83,2013-03-14,42.35,45.1,42.35,44.55,1227
84,2013-03-15,44.0,44.0,43.34,43.78,955
85,2013-03-18,44.11,44.11,43.01,43.23,336
86,2013-03-19,43.34,44.0,42.35,42.9,655
87,2013-03-20,44.0,44.0,41.8,42.35,6427
88,2013-03-21,41.8,43.78,41.8,43.78,2136
89,2013-03-22,42.57,43.89,42.13,43.89,727
90,2013-03-25,43.89,43.89,43.89,43.89,155
91,2013-03-26,43.45,43.89,42.57,42.68,1991
