Unnamed: 0,DateTime,Open,High,Low,Close,Volume
0.0,2000-01-04,2.9762,3.7793,2.9289,3.5431,10134577
1.0,2000-01-05,3.5903,3.5903,3.1179,3.3069,5218706
2.0,2000-01-06,3.4014,3.5431,3.2596,3.4486,3265693
3.0,2000-01-07,3.4958,4.2517,3.4958,4.2517,12942909
4.0,2000-01-10,4.1572,4.2045,3.7793,3.7793,6563800
5.0,2000-01-11,3.6848,3.9683,3.4014,3.7793,5812733
6.0,2000-01-12,3.732,3.7793,3.0234,3.4486,5016551
7.0,2000-01-13,3.5903,3.6848,3.2124,3.2596,3861837
8.0,2000-01-14,3.3069,3.5903,3.2596,3.4014,3905761
9.0,2000-01-18,3.6848,3.9683,3.4486,3.8738,5984590
10.0,2000-01-19,3.8265,5.0548,3.7793,5.0548,10122934
11.0,2000-01-20,4.8186,4.8186,4.0155,4.2045,11738582
12.0,2000-01-21,4.1572,4.2045,3.7793,3.8738,4560778
13.0,2000-01-24,4.0155,4.0627,3.5903,3.5903,4409956
14.0,2000-01-25,3.6848,4.1572,3.5903,4.1572,4471475
15.0,2000-01-26,3.9683,4.3462,3.732,4.3462,3638911
16.0,2000-01-27,3.8738,4.0627,3.4958,3.4958,4885574
17.0,2000-01-28,3.5903,3.8738,3.5431,3.7793,2849213
18.0,2000-01-31,3.732,3.732,3.4958,3.5903,1684708
19.0,2000-02-01,3.5903,3.6376,3.4486,3.5431,2208087
20.0,2000-02-02,3.4958,3.5903,3.4486,3.5903,1715931
21.0,2000-02-03,3.5431,3.921,3.4958,3.8265,4035018
22.0,2000-02-04,3.921,3.9683,3.6848,3.8265,2687013
23.0,2000-02-07,3.8265,4.1572,3.7793,3.9683,3958548
24.0,2000-02-08,3.9683,4.2045,3.7793,3.8738,4029858
25.0,2000-02-09,3.8738,3.921,3.6848,3.7793,2308238
26.0,2000-02-10,3.7793,3.7793,3.5903,3.6376,3250082
27.0,2000-02-11,3.6376,3.732,3.2124,3.732,3543788
28.0,2000-02-14,3.5431,3.5903,3.4958,3.5431,1948911
29.0,2000-02-15,3.4958,3.5431,3.4014,3.4014,2244734
30.0,2000-02-16,3.4958,3.4958,3.4014,3.4014,1789490
31.0,2000-02-17,3.4486,3.5431,3.4014,3.4014,2305195
32.0,2000-02-18,3.4486,3.4486,3.2596,3.2596,2331523
33.0,2000-02-22,3.2596,3.4014,3.2124,3.2124,2160856
