,DateTime,Open,High,Low,Close,Volume
0,2013-10-31,21.2,27.0,21.0,24.31,20467389
1,2013-11-01,25.1,26.0,24.47,25.0,2770709
2,2013-11-04,24.97,25.24,24.03,24.65,1091777
3,2013-11-05,24.4,28.0,24.3101,27.88,1391622
4,2013-11-06,27.56,27.58,26.0,26.745,919410
5,2013-11-07,26.41,27.73,25.66,26.55,827448
6,2013-11-08,26.0,28.79,25.7,28.57,1087304
7,2013-11-11,29.0,34.45,28.5,31.83,1656646
8,2013-11-12,32.2,33.6,31.37,33.06,744972
9,2013-11-13,33.1,38.5,32.5023,36.24,1461717
10,2013-11-14,37.83,37.83,34.83,35.5,799705
11,2013-11-15,35.32,35.5343,34.0,34.11,678231
12,2013-11-18,34.27,35.8,34.2,34.76,489732
13,2013-11-19,35.19,37.68,35.0,35.95,748860
14,2013-11-20,36.1,37.4957,35.8,35.8001,405675
15,2013-11-21,36.0,37.21,36.0,36.45,322132
16,2013-11-22,36.98,38.7,32.63,33.6,1004458
17,2013-11-25,33.59,34.81,31.66,32.62,382697
18,2013-11-26,33.43,38.15,33.3,37.3,755387
19,2013-11-27,33.5,34.6,32.39,33.5,1854020
20,2013-11-29,34.0,34.0,31.55,32.67,694418
21,2013-12-02,32.75,32.775,30.0,30.78,955754
22,2013-12-03,30.1,31.05,28.0101,28.1331,1397472
23,2013-12-04,28.15,30.19,27.66,29.94,833924
24,2013-12-05,30.0,31.18,29.25,31.12,542412
25,2013-12-06,31.15,31.7,30.0,30.1,370771
26,2013-12-09,31.0,31.47,29.0,29.4695,275468
27,2013-12-10,29.84,30.2,29.0572,29.61,250393
28,2013-12-11,29.79,30.75,29.5,29.71,448429
29,2013-12-12,30.45,31.49,29.33,31.195,467718
30,2013-12-13,31.2,32.43,29.8,30.16,585517
31,2013-12-16,30.58,30.8,29.0,29.29,282069
32,2013-12-17,29.29,29.66,28.75,29.65,214787
33,2013-12-18,29.75,30.3299,29.5,30.03,281353
34,2013-12-19,30.09,30.62,29.74,30.5,203752
35,2013-12-20,30.85,31.8499,30.76,31.08,808148
36,2013-12-23,31.81,32.02,31.45,31.72,602424
37,2013-12-24,31.75,31.98,31.05,31.25,190896
38,2013-12-26,31.43,35.74,31.4,35.71,821325
39,2013-12-27,35.5,39.63,34.21,38.99,1421235
40,2013-12-30,38.78,39.83,37.55,38.97,1240095
