DateTime,Open,High,Low,Close,Volume
01/02/2002,33.1,33.4,32.35,33.18,97400
01/02/2003,46.15,46.65,45.65,46.0,389700
01/02/2004,38.38,39.02,38.37,38.98,522800
01/02/2008,44.91,45.1,43.87,44.88,552900
01/02/2009,29.31,29.52,28.67,29.11,418858
01/02/2013,53.81,54.27,52.3,53.11,460833
01/02/2014,33.05,33.3,31.63,32.3,1172032
01/02/2015,24.4,24.4,21.21,21.53,3242866
01/02/2018,46.0,47.9,45.31,47.83,3068565
01/02/2019,37.71,40.36,36.69,39.89,3047671
01/02/2020,38.64,38.64,34.7,35.37,3953796
01/02/2024,8.68,8.74,8.17,8.58,4250201
01/02/2025,1.31,1.46,1.305,1.43,5530351
01/03/2002,33.0,33.0,32.4,32.4,57800
01/03/2003,46.0,46.36,45.9,46.0,215200
01/03/2005,41.07,42.27,41.07,42.25,994200
01/03/2006,49.68,49.92,48.84,49.15,552100
01/03/2007,52.38,53.25,52.19,52.97,572900
01/03/2008,45.09,45.09,43.19,43.5,456400
01/03/2011,37.9,38.2499,37.75,37.92,246206
01/03/2012,56.78,56.8186,53.74,53.87,1620998
01/03/2013,53.2,57.83,53.2,56.73,1421462
01/03/2014,32.4,32.724,31.7301,32.35,839588
01/03/2017,11.56,11.64,11.02,11.08,3486421
01/03/2018,48.0,48.34,45.94,47.18,1810800
01/03/2019,39.9,39.9,36.37,36.55,3436744
01/03/2020,34.97,36.69,34.8,36.34,2384061
01/03/2022,16.26,17.48,16.2497,16.79,1695460
01/03/2023,3.92,4.0799,3.7515,3.92,1323715
01/03/2024,8.12,8.2,7.55,7.64,8619547
01/03/2025,1.44,1.55,1.39,1.54,4988173
01/04/2002,31.6,32.35,31.6,32.26,257700
01/04/2005,42.25,42.29,41.09,41.15,695700
01/04/2006,49.22,49.5,48.62,48.8,457600
01/04/2007,53.0,53.25,52.74,53.25,520200
01/04/2008,43.1,43.96,43.06,43.8,454900
01/04/2010,29.49,29.49,29.04,29.18,440889
01/04/2011,38.0,38.14,36.63,37.08,347921
01/04/2012,53.53,57.92,53.5,57.69,2620506
01/04/2013,56.57,59.48,56.57,58.54,1385338
01/04/2016,21.34,21.93,20.52,21.72,4998981
01/04/2017,11.27,13.99,11.22,13.4,10676558
01/04/2018,47.18,47.62,46.03,46.7,950903
01/04/2019,37.0,37.72,36.38,37.32,4474048
01/04/2021,24.99,25.21,22.83,23.14,2980922
01/04/2022,16.85,17.25,16.5269,16.84,1407632
01/04/2023,4.02,4.41,3.94,4.35,1824993
01/04/2024,7.34,7.34,6.395,6.79,16655371
01/05/2004,38.98,39.7,38.98,39.51,893500
01/05/2005,41.1,41.12,40.51,40.58,556600
01/05/2006,48.95,49.01,48.41,48.5,608900
01/05/2007,53.25,53.25,52.64,52.75,559300
01/05/2009,29.16,29.16,27.94,28.37,560278
01/05/2010,29.2,29.25,29.09,29.13,152773
01/05/2011,37.07,37.64,37.07,37.5,227864
01/05/2012,57.39,67.57,56.82,62.52,7531221
01/05/2015,21.34,21.39,20.02,21.26,2515645
01/05/2016,22.7,23.42,20.76,21.05,4479825
01/05/2017,13.31,13.33,12.07,12.61,5476591
01/05/2018,46.78,46.94,46.03,46.91,642349
01/05/2021,23.38,23.81,22.43,22.98,2844830
01/05/2022,16.87,16.87,15.33,15.38,1927555
01/05/2023,4.27,4.37,4.115,4.29,972649
01/05/2024,6.74,6.98,6.28,6.445,6882660
01/06/2003,46.0,46.0,44.68,44.78,784700
01/06/2004,39.25,39.41,39.1,39.32,778200
01/06/2005,40.98,41.75,40.78,40.91,203500
01/06/2006,48.6,48.8,47.58,47.92,730200
01/06/2007,53.25,53.25,52.64,52.75,559300
01/06/2009,28.37,28.61,28.17,28.4,591277
01/06/2010,29.22,29.59,29.17,29.38,274747
01/06/2011,37.48,37.77,37.23,37.68,213707
01/06/2012,63.0,69.26,62.2,68.0,5247954
01/06/2014,32.33,32.391,31.44,31.89,1864588
01/06/2015,21.35,21.53,19.58,19.74,1748800
01/06/2016,20.44,21.32,19.55,21.0,3737962
01/06/2017,12.81,12.83,11.94,11.94,2888208
01/06/2020,36.66,39.31,36.35,39.14,3838358
01/06/2021,23.19,25.76,23.1,25.23,2380819
01/06/2022,15.225,15.91,14.84,15.73,1616036
01/06/2023,4.3,4.53,4.22,4.46,878015
01/06/2025,1.62,1.83,1.5716,1.77,7068503
01/07/2002,32.3,32.35,31.91,32.0,69900
01/07/2003,44.78,44.78,41.6,42.03,1678100
01/07/2004,39.32,39.74,39.31,39.5,953500
01/07/2005,40.91,41.38,40.91,41.31,327500
01/07/2007,53.25,53.25,52.64,52.75,559300
01/07/2008,44.02,45.14,44.02,44.91,392300
01/07/2009,28.16,28.19,27.19,27.48,522754
01/07/2010,29.42,29.515,29.1,29.38,368460
01/07/2011,37.69,38.09,37.13,37.52,187146
01/07/2013,58.39,58.5,54.3,55.6,1437068
01/07/2014,32.31,32.64,31.766,32.52,1147440
01/07/2015,19.83,20.49,19.59,20.35,1090069
01/07/2016,20.12,20.61,19.5,19.7,2941146
01/07/2019,37.55,38.32,35.2,35.95,4799975
01/07/2020,39.44,41.27,39.4,41.04,4332279
01/07/2021,25.46,26.89,24.11,24.2,3314556
01/07/2022,15.68,15.99,15.19,15.2,1198269
01/07/2025,1.79,1.8595,1.625,1.67,8207160
01/08/2002,32.0,32.1,31.35,31.95,82100
01/08/2003,42.65,43.4,41.9,42.15,1025300
01/08/2004,39.66,39.95,39.3,39.58,466400
01/08/2007,52.75,52.8,52.42,52.49,411600
01/08/2008,44.81,45.83,44.81,45.25,558900
01/08/2009,27.54,27.71,26.61,27.12,387602
01/08/2010,29.15,29.53,29.04,29.37,134028
01/08/2013,55.5,56.665,55.395,56.56,846666
01/08/2014,32.65,32.79,32.28,32.38,1166715
01/08/2015,20.49,20.67,20.06,20.32,948695
01/08/2016,20.01,20.14,14.44,14.85,14745728
01/08/2018,47.09,53.7217,47.09,52.62,5512874
01/08/2019,36.11,36.82,35.27,36.77,3512734
01/08/2020,40.93,47.19,40.74,45.14,8452016
01/08/2021,24.26,25.0,23.72,24.03,1619026
01/08/2024,6.53,6.76,6.21,6.67,5227093
