,DateTime,Open,High,Low,Close,Volume
0,2000-01-03,52.0,53.4375,51.0,51.3125,447900
1,2000-01-04,51.13,51.13,48.0,49.06,444399
2,2000-01-05,49.688,50.0631,49.062,49.4373,606434
3,2000-01-06,49.375,50.5625,49.0,49.875,601300
4,2000-01-07,50.13,53.5,50.13,53.19,462100
5,2000-01-10,54.125,54.812,53.1885,54.063,394550
6,2000-01-11,54.125,54.125,52.5625,53.125,472200
7,2000-01-12,53.13,53.13,51.0,51.38,1873286
8,2000-01-13,51.8125,51.8125,49.125,51.375,660900
9,2000-01-14,51.38,51.94,50.56,51.56,347600
10,2000-01-18,53.3125,53.3125,50.625,50.8125,540400
11,2000-01-19,50.8125,51.1875,50.625,50.75,581000
12,2000-01-20,51.75,52.25,50.5625,51.125,292300
13,2000-01-21,50.88,50.94,49.5,49.81,423400
14,2000-01-24,49.9375,50.5,48.3125,48.375,296900
15,2000-01-25,48.625,49.0,47.625,47.8125,260000
16,2000-01-26,48.5,48.5625,46.5,46.6875,220500
17,2000-01-27,47.0,48.13,46.81,47.69,253300
18,2000-01-28,47.8125,47.8125,46.3125,46.625,379600
19,2000-01-31,46.301,46.301,45.313,45.375,248838
20,2000-02-01,45.3437,45.6564,44.9684,45.5938,976835
21,2000-02-02,46.125,46.5,44.75,44.9375,685900
22,2000-02-03,43.25,46.875,42.625,46.625,987500
23,2000-02-04,46.5,48.375,46.375,47.125,231200
24,2000-02-07,47.0,47.0,45.125,45.25,391700
25,2000-02-08,45.25,46.125,45.125,45.25,482300
26,2000-02-09,45.125,45.125,44.5,44.5625,507100
27,2000-02-10,45.75,45.75,44.25,44.375,620500
28,2000-02-11,43.75,44.4375,43.75,43.9375,850600
29,2000-02-14,43.62,44.12,42.38,42.69,199067
30,2000-02-15,43.36,45.07,43.36,44.56,2016176
31,2000-02-16,44.88,45.75,44.81,45.19,332800
32,2000-02-17,45.44,45.5,43.75,44.06,294000
33,2000-02-18,43.625,43.625,41.5,42.0,1265300
34,2000-02-22,42.752,42.9397,41.498,41.6,267015
35,2000-02-23,41.88,42.25,41.06,41.38,418798
36,2000-02-24,41.19,41.19,39.38,39.81,476896
37,2000-02-25,39.47,40.03,39.09,39.47,451834
38,2000-02-28,41.0,41.375,39.625,40.6875,404300
39,2000-02-29,41.19,41.5,40.25,40.5,496941
40,2000-03-01,40.94,42.25,40.69,41.88,461903
41,2000-03-02,42.19,43.25,42.0,42.63,332900
42,2000-03-03,42.625,44.0625,42.625,43.5,216400
43,2000-03-06,42.5,42.875,41.0625,42.5625,343600
44,2000-03-07,41.75,43.1875,41.625,42.25,438000
45,2000-03-08,42.25,42.75,42.19,42.44,555697
46,2000-03-09,42.44,42.44,41.69,41.69,348600
