,DateTime,Open,High,Low,Close,Volume
0,2000-01-03,43.0,45.88,37.5,39.44,167600
1,2000-01-04,38.0,38.25,36.38,36.81,271200
2,2000-01-05,37.88,41.13,36.25,40.5,87900
3,2000-01-06,41.0,45.0,37.5,37.5,155600
4,2000-01-07,39.13,41.0,38.0,39.0,111400
5,2000-01-10,41.38,41.56,39.13,39.19,124600
6,2000-01-11,39.56,41.5,39.0,40.0,128300
7,2000-01-12,39.53,39.63,38.0,38.38,125200
8,2000-01-13,38.25,38.25,31.0,32.69,360100
9,2000-01-14,34.63,37.0,33.13,35.19,569500
10,2000-01-18,36.94,36.97,35.06,35.25,126200
11,2000-01-19,35.25,36.63,34.5,35.5,130900
12,2000-01-20,36.25,40.25,35.75,39.56,200600
13,2000-01-21,39.0,39.0,37.5,38.13,55900
14,2000-01-24,38.63,44.0,38.19,39.75,377000
15,2000-01-25,40.0,41.0,31.0,32.06,730200
16,2000-01-26,32.0,33.69,31.0,32.38,5226100
17,2000-01-27,33.13,33.63,30.0,30.75,1336700
18,2000-01-28,30.69,30.88,28.06,28.06,794400
19,2000-01-31,28.75,29.88,27.0,28.63,705100
20,2000-02-01,30.13,30.75,27.5,30.44,760100
21,2000-02-02,30.84,30.88,28.63,29.81,448800
22,2000-02-03,30.06,31.88,29.19,30.56,644200
23,2000-02-04,30.56,32.88,30.56,32.19,654200
24,2000-02-07,32.25,33.38,31.75,32.06,249700
25,2000-02-08,32.5,33.0,30.25,30.94,557300
26,2000-02-09,31.19,31.75,28.0,28.0,476000
27,2000-02-10,29.0,30.5,28.0,29.81,402800
28,2000-02-11,32.06,34.0,31.25,31.56,666000
29,2000-02-14,32.25,33.63,31.5,32.0,277700
30,2000-02-15,32.94,33.0,30.56,31.75,101600
31,2000-02-16,32.13,40.69,31.0,39.56,1534900
32,2000-02-17,41.06,41.56,37.0,40.0,678000
33,2000-02-18,41.13,41.5,40.0,41.0,761500
34,2000-02-22,40.16,40.94,37.81,38.78,353500
35,2000-02-23,38.75,39.25,37.5,38.19,432500
36,2000-02-24,38.0,38.63,36.88,37.75,407300
37,2000-02-25,37.38,40.75,37.38,39.88,303800
38,2000-02-28,39.94,40.0,38.5,39.22,46000
39,2000-02-29,39.44,42.0,39.44,39.94,304300
40,2000-03-01,41.56,46.5,41.5,45.0,492000
41,2000-03-02,44.53,46.0,43.25,43.5,428400
42,2000-03-03,44.19,45.5,43.0,43.72,123900
43,2000-03-06,44.75,47.38,44.0,45.22,484600
44,2000-03-07,45.44,50.0,44.56,45.13,268900
45,2000-03-08,46.0,46.13,44.5,45.94,381400
46,2000-03-09,46.72,46.75,44.06,44.63,201100
47,2000-03-10,46.5,46.5,41.88,42.5,268500
48,2000-03-13,40.75,42.0,38.5,41.38,429300
49,2000-03-14,42.0,45.0,41.81,43.63,341600
50,2000-03-15,44.0,44.0,38.88,39.0,182200
51,2000-03-16,40.31,43.44,37.25,43.06,194200
52,2000-03-17,43.25,44.5,42.0,43.75,136200
53,2000-03-20,42.75,43.0,39.06,39.06,205500
54,2000-03-21,39.31,41.0,37.25,39.38,178700
55,2000-03-22,40.75,42.25,40.5,42.0,199100
56,2000-03-23,43.5,45.5,41.0,41.75,206600
57,2000-03-24,41.81,43.25,40.88,42.25,214600
58,2000-03-27,42.56,42.56,38.0,38.88,308600
59,2000-03-28,39.13,40.0,36.5,36.63,183200
60,2000-03-29,37.0,37.13,33.5,34.75,365900
61,2000-03-30,34.53,36.63,33.0,33.69,224000
62,2000-03-31,35.0,37.0,33.56,34.88,270500
63,2000-04-03,35.88,36.88,32.0,32.5,209500
64,2000-04-04,33.25,33.25,24.63,28.0,604700
65,2000-04-05,27.75,30.72,27.5,29.5,358300
66,2000-04-06,30.06,33.5,30.06,33.25,183500
67,2000-04-07,34.06,34.06,31.5,31.94,59900
68,2000-04-10,32.0,32.5,30.5,30.5,150800
69,2000-04-11,30.38,30.63,28.0,28.75,230000
70,2000-04-12,28.75,28.75,24.25,24.63,266200
71,2000-04-13,25.38,27.5,23.88,25.75,587300
72,2000-04-14,26.0,26.0,21.38,21.56,216600
73,2000-04-17,21.25,24.44,18.13,19.0,666700
74,2000-04-18,21.0,24.5,20.75,24.0,606800
75,2000-04-19,25.0,29.13,24.25,27.0,311000
76,2000-04-20,29.0,29.13,23.5,24.0,285300
77,2000-04-24,23.63,24.63,23.0,23.5,323900
78,2000-04-25,24.25,28.63,23.88,27.56,175700
79,2000-04-26,28.38,28.44,24.56,25.63,106600
80,2000-04-27,25.0,29.75,24.75,28.0,139900
81,2000-04-28,29.25,29.94,28.5,28.81,38900
82,2000-05-01,28.75,31.0,28.5,31.0,267300
83,2000-05-02,30.75,31.0,27.75,28.75,120500
84,2000-05-03,28.75,28.75,25.5,27.63,86000
85,2000-05-04,28.25,29.0,26.81,29.0,117500
86,2000-05-05,28.0,29.19,27.0,28.88,60100
87,2000-05-08,28.44,28.88,26.75,27.19,92200
88,2000-05-09,27.63,27.63,25.75,26.63,94200
89,2000-05-10,26.81,27.5,25.81,26.44,106100
90,2000-05-11,26.59,29.0,26.38,27.56,94200
91,2000-05-12,27.75,28.0,26.5,26.88,55400
92,2000-05-15,26.63,27.13,25.81,26.38,84600
93,2000-05-16,27.13,27.75,26.88,27.63,69300
94,2000-05-17,27.19,27.19,26.38,26.56,73600
95,2000-05-18,26.91,27.5,25.94,26.63,81000
96,2000-05-19,26.25,26.25,23.19,25.0,101000
97,2000-05-22,25.5,25.81,24.0,25.0,84400
98,2000-05-23,25.13,25.69,24.47,25.63,125900
99,2000-05-24,25.25,26.63,24.5,26.63,258500
100,2000-05-25,26.5,28.0,26.0,26.94,171500
101,2000-05-26,26.91,29.38,25.25,27.81,137300
102,2000-05-30,29.0,31.13,28.75,30.25,252200
103,2000-05-31,29.88,30.13,28.88,30.0,162600
104,2000-06-01,30.13,31.63,30.0,30.38,135200
105,2000-06-02,31.0,32.75,30.56,32.0,177300
106,2000-06-05,31.94,34.5,30.5,33.13,138700
107,2000-06-06,32.5,34.5,32.5,33.03,231700
108,2000-06-07,33.75,34.0,32.25,33.19,169000
109,2000-06-08,33.5,35.0,30.88,31.5,143100
110,2000-06-09,32.66,33.13,31.75,32.75,72000
111,2000-06-12,32.88,33.75,30.0,30.25,147000
112,2000-06-13,29.94,31.25,29.13,30.44,164800
113,2000-06-14,30.5,31.88,30.5,31.06,209100
114,2000-06-15,30.75,31.38,30.0,30.75,32100
115,2000-06-16,31.0,31.0,29.31,29.88,65800
116,2000-06-19,30.34,30.88,29.63,30.88,88800
117,2000-06-20,30.5,32.0,30.5,31.75,105900
118,2000-06-21,32.0,33.5,31.25,33.5,108200
119,2000-06-22,34.0,36.19,33.5,34.5,217000
120,2000-06-23,34.5,35.44,34.0,34.63,136600
121,2000-06-26,35.06,35.13,33.75,33.94,237900
122,2000-06-27,34.25,35.06,34.0,34.69,100100
123,2000-06-28,34.63,37.44,33.94,37.13,282100
124,2000-06-29,37.0,38.5,35.5,37.94,240400
125,2000-06-30,39.13,39.25,36.0,37.0,509600
126,2000-07-03,37.06,37.25,34.75,35.81,160000
127,2000-07-05,35.88,36.88,34.5,36.19,106200
128,2000-07-06,36.75,38.25,36.38,38.13,274900
129,2000-07-07,37.97,40.25,37.81,40.25,234100
130,2000-07-10,38.13,38.38,35.63,36.0,615200
131,2000-07-11,35.75,39.0,35.75,39.0,157300
132,2000-07-12,39.63,40.25,38.94,39.38,209900
133,2000-07-13,39.5,39.75,38.5,39.0,198100
134,2000-07-14,39.38,44.0,39.0,40.88,251900
135,2000-07-17,41.25,41.25,39.38,39.94,75900
136,2000-07-18,39.75,40.88,39.56,39.88,115500
137,2000-07-19,40.31,40.88,39.94,40.38,157000
138,2000-07-20,40.5,40.5,39.38,40.13,65500
139,2000-07-21,39.75,40.0,36.5,37.25,78600
140,2000-07-24,37.63,37.63,34.19,36.0,84300
141,2000-07-25,36.06,36.06,32.44,33.25,214900
142,2000-07-26,32.84,33.5,31.5,33.38,84700
143,2000-07-27,32.75,33.56,31.88,33.38,27600
144,2000-07-28,33.28,33.44,30.25,30.5,60400
145,2000-07-31,30.78,31.63,30.13,31.0,103800
146,2000-08-01,31.25,33.44,31.0,33.38,93700
147,2000-08-02,33.19,33.19,31.44,32.13,40000
148,2000-08-03,31.38,32.13,30.63,31.88,57700
149,2000-08-04,32.22,38.75,32.22,37.69,208900
150,2000-08-07,38.0,39.63,37.5,38.0,336700
151,2000-08-08,38.5,39.0,37.69,39.0,103600
152,2000-08-09,39.0,40.56,38.63,39.69,341800
153,2000-08-10,39.25,39.5,37.5,37.56,501100
154,2000-08-11,37.69,39.5,37.31,39.38,423900
155,2000-08-14,38.88,45.25,38.63,42.0,327900
156,2000-08-15,41.56,43.5,39.75,39.75,413700
157,2000-08-16,39.84,40.25,38.63,39.56,203900
158,2000-08-17,39.47,40.25,38.5,39.13,122200
159,2000-08-18,40.0,41.13,39.0,39.0,162300
160,2000-08-21,38.47,39.13,36.25,36.5,319500
161,2000-08-22,37.0,39.0,35.88,37.94,173100
162,2000-08-23,37.75,40.13,35.5,40.0,105400
163,2000-08-24,40.13,41.44,39.31,40.88,100500
164,2000-08-25,40.5,41.5,40.0,40.94,112600
165,2000-08-28,41.0,41.25,37.5,38.25,214200
166,2000-08-29,38.25,38.91,37.31,38.38,229500
167,2000-08-30,38.38,43.0,38.31,41.75,396800
168,2000-08-31,41.66,43.5,41.44,42.75,773100
169,2000-09-01,43.0,45.5,43.0,44.5,214600
170,2000-09-05,44.38,46.94,44.19,45.44,194200
171,2000-09-06,45.0,45.44,44.31,45.38,276100
172,2000-09-07,44.5,44.94,41.56,43.69,248600
173,2000-09-08,43.38,43.63,42.63,43.0,69600
174,2000-09-11,42.88,43.38,42.75,43.0,50000
175,2000-09-12,43.06,43.75,43.06,43.5,54900
176,2000-09-13,43.19,45.0,43.0,44.56,218700
177,2000-09-14,44.75,45.13,43.56,44.5,179200
178,2000-09-15,43.75,46.88,43.0,43.31,229000
179,2000-09-18,43.31,44.44,42.5,43.38,156200
180,2000-09-19,43.75,44.25,43.0,43.5,100800
181,2000-09-20,43.5,43.63,41.88,42.38,82000
182,2000-09-21,42.25,42.41,39.0,39.69,219400
183,2000-09-22,39.06,39.88,38.13,38.25,292700
184,2000-09-25,38.78,44.0,38.75,42.0,145000
185,2000-09-26,41.38,42.0,40.38,40.38,72000
186,2000-09-27,38.13,40.0,38.13,38.56,103600
187,2000-09-28,38.75,41.03,38.38,41.03,242000
188,2000-09-29,41.19,43.75,40.5,42.94,260600
189,2000-10-02,43.06,43.75,41.69,42.44,55600
190,2000-10-03,42.25,42.88,41.0,41.38,72500
191,2000-10-04,41.5,41.5,37.19,39.88,235600
192,2000-10-05,39.56,39.81,38.25,38.63,127000
193,2000-10-06,38.63,39.56,35.0,35.69,120800
194,2000-10-09,36.0,36.0,33.56,35.13,149000
195,2000-10-10,35.38,36.5,34.13,34.75,109200
196,2000-10-11,33.59,34.63,31.0,32.13,246800
197,2000-10-12,32.25,33.06,29.81,30.25,168400
198,2000-10-13,30.0,32.94,29.0,32.94,251100
199,2000-10-16,31.69,32.75,30.38,31.25,130400
200,2000-10-17,31.25,31.63,28.75,28.94,159600
201,2000-10-18,27.94,28.94,27.25,27.63,272800
202,2000-10-19,29.0,33.06,28.97,32.88,500500
203,2000-10-20,33.5,33.5,30.75,31.25,216700
204,2000-10-23,31.19,31.25,29.81,30.63,252600
205,2000-10-24,30.5,31.5,30.44,30.88,212000
206,2000-10-25,30.94,33.13,29.88,30.31,128100
207,2000-10-26,31.25,31.25,29.38,30.31,225400
208,2000-10-27,30.31,31.25,29.0,29.13,149900
209,2000-10-30,29.56,30.25,27.63,27.88,153300
210,2000-10-31,28.5,29.81,28.13,29.0,368900
211,2000-11-01,30.25,31.44,29.5,30.44,248800
212,2000-11-02,30.44,31.44,29.25,29.44,279000
213,2000-11-03,30.0,31.63,29.75,31.63,498300
214,2000-11-06,31.44,31.44,30.13,30.44,131200
215,2000-11-07,30.19,31.0,30.19,31.0,182100
216,2000-11-08,30.75,31.5,29.25,29.56,140400
217,2000-11-09,29.03,29.25,27.25,28.88,92900
218,2000-11-10,27.81,27.88,25.88,26.56,144700
219,2000-11-13,26.5,27.25,23.56,26.63,201800
220,2000-11-14,27.31,28.56,25.88,26.88,291600
221,2000-11-15,27.63,27.63,25.25,26.13,215800
222,2000-11-16,25.38,26.13,25.13,25.75,132000
223,2000-11-17,26.0,26.0,24.44,24.75,216400
224,2000-11-20,24.88,25.13,22.75,23.0,149100
225,2000-11-21,23.47,25.31,20.31,20.31,281800
226,2000-11-22,20.31,21.13,15.31,15.63,1129000
227,2000-11-24,17.0,18.38,16.44,18.0,423900
228,2000-11-27,19.38,21.0,17.69,18.19,413600
229,2000-11-28,18.75,18.75,14.69,14.81,482800
230,2000-11-29,15.13,15.19,12.13,13.13,1386400
231,2000-11-30,13.0,13.25,12.5,13.13,934000
232,2000-12-01,13.88,15.31,13.31,15.0,1280700
233,2000-12-04,15.25,16.0,13.5,14.63,541500
234,2000-12-05,15.31,17.13,15.0,17.13,563900
235,2000-12-06,17.34,18.19,16.0,16.69,302400
236,2000-12-07,16.25,16.44,15.69,15.75,219700
237,2000-12-08,16.38,17.81,16.31,17.81,433300
238,2000-12-11,17.38,18.13,16.25,17.38,397000
239,2000-12-12,17.31,18.06,15.94,16.0,522800
240,2000-12-13,16.0,16.13,15.06,16.0,409800
241,2000-12-14,16.41,16.44,13.0,13.81,412700
242,2000-12-15,13.81,16.75,13.5,15.5,531000
243,2000-12-18,16.13,16.25,14.75,15.0,143900
244,2000-12-19,14.88,15.5,14.88,15.5,236700
245,2000-12-20,14.94,15.38,14.0,15.0,528600
246,2000-12-21,14.97,15.56,14.13,14.31,298400
247,2000-12-22,14.25,17.31,14.25,17.25,598100
248,2000-12-26,16.63,17.63,14.75,15.41,379300
249,2000-12-27,15.56,16.44,14.94,16.44,195800
250,2000-12-28,16.03,18.0,16.0,17.69,336000
251,2000-12-29,17.69,17.88,15.5,16.06,480800
252,2001-01-02,16.06,16.44,14.94,16.0,205900
253,2001-01-03,16.06,17.75,15.0,17.5,668300
254,2001-01-04,17.88,18.63,16.5,17.5,409800
255,2001-01-05,17.88,17.88,15.13,16.19,411800
256,2001-01-08,16.56,17.13,15.5,16.75,364500
257,2001-01-09,16.13,16.69,15.69,16.19,508100
258,2001-01-10,15.69,15.75,14.88,15.56,831600
