,DateTime,Open,High,Low,Close,Volume
0,2013-08-08,21.1,25.3625,21.07,24.63,10633152
1,2013-08-09,25.1,31.44,24.75,28.988,2302052
2,2013-08-12,29.0,30.34,29.0,29.7,649623
3,2013-08-13,29.99,29.99,26.63,28.7,507277
4,2013-08-14,28.26,28.59,26.51,27.23,397947
5,2013-08-15,26.65,26.99,25.1101,25.8,519979
6,2013-08-16,25.8,25.99,24.84,25.76,336612
7,2013-08-19,26.09,26.47,25.52,25.88,305788
8,2013-08-20,25.71,26.239,24.0,24.1,442087
9,2013-08-21,24.08,25.28,22.62,23.75,637212
10,2013-08-22,23.99,23.99,22.87,22.92,460017
11,2013-08-23,22.88,23.6499,22.8,23.48,221986
12,2013-08-26,23.41,23.74,22.41,22.74,249503
13,2013-08-27,22.5,22.545,20.65,21.62,637344
14,2013-08-28,21.45,22.03,20.962,21.42,364119
15,2013-08-29,21.9,22.81,21.62,22.2761,394097
16,2013-08-30,22.29,22.56,21.6,21.75,181227
17,2013-09-03,22.28,22.74,21.13,22.31,532498
18,2013-09-04,22.5,23.3,22.0,22.35,708630
19,2013-09-05,23.0,24.9064,22.44,24.3099,559857
20,2013-09-06,24.79,25.91,23.68,25.56,387869
21,2013-09-09,25.85,27.46,25.01,25.98,591452
22,2013-09-10,26.76,27.08,26.0,26.78,272265
23,2013-09-11,26.98,26.98,24.16,25.42,467019
24,2013-09-12,25.95,25.95,24.32,24.6,222884
25,2013-09-13,24.62,25.0,23.73,23.89,198755
26,2013-09-16,24.01,24.01,22.1,22.57,441045
27,2013-09-17,22.5,24.15,22.33,23.98,428307
28,2013-09-18,24.15,25.09,23.31,24.3,326731
29,2013-09-19,24.5,24.7499,23.5,23.7,166040
30,2013-09-20,23.31,23.595,21.31,22.15,604730
31,2013-09-23,22.13,22.88,21.24,22.2036,410545
32,2013-09-24,21.98,22.2,21.12,21.42,542923
33,2013-09-25,21.53,22.27,21.25,22.21,1012970
34,2013-09-26,22.5,22.78,22.11,22.62,438943
35,2013-09-27,22.4,23.6,22.4,22.98,449907
36,2013-09-30,22.37,24.23,22.0895,23.78,997554
37,2013-10-01,23.69,24.32,23.45,24.24,463411
38,2013-10-02,23.99,25.95,23.89,25.49,572215
39,2013-10-03,25.55,25.92,24.29,25.15,419810
40,2013-10-04,25.01,25.14,23.36,23.59,272657
41,2013-10-07,23.51,23.58,22.85,23.13,337903
42,2013-10-08,23.84,23.84,22.2,22.26,355138
43,2013-10-09,22.46,22.46,20.75,21.21,669367
44,2013-10-10,21.61,21.95,20.85,21.14,405967
45,2013-10-11,20.95,21.88,20.1,21.84,492725
46,2013-10-14,21.67,22.8,21.475,22.5,327471
47,2013-10-15,22.46,22.7,22.125,22.3,147328
48,2013-10-16,22.42,23.08,22.3601,23.02,117903
49,2013-10-17,23.0,23.34,22.824,23.22,143211
50,2013-10-18,23.5,23.55,22.2601,23.01,253722
51,2013-10-21,23.03,23.12,21.76,21.82,152696
52,2013-10-22,21.98,22.35,21.07,21.23,245107
53,2013-10-23,21.17,21.17,20.7,20.91,188144
54,2013-10-24,20.92,21.57,20.16,21.5,377756
55,2013-10-25,21.6,22.04,20.7,22.03,191562
56,2013-10-28,22.0,22.72,21.8101,22.4,330847
57,2013-10-29,22.85,22.85,21.91,22.09,133222
58,2013-10-30,22.1,22.1,21.0,21.55,216908
59,2013-10-31,21.6,21.7199,21.03,21.21,129486
60,2013-11-01,21.22,21.2692,20.5,20.86,166478
61,2013-11-04,20.89,21.2,20.52,20.62,100516
62,2013-11-05,20.56,20.7,20.02,20.37,199119
63,2013-11-06,20.44,20.54,18.2801,18.659,412506
64,2013-11-07,18.7,19.0399,17.52,17.68,354004
65,2013-11-08,18.35,20.15,17.9,19.36,734601
66,2013-11-11,19.41,19.93,18.95,19.63,217667
67,2013-11-12,19.83,19.95,19.02,19.21,213502
68,2013-11-13,19.02,19.62,19.02,19.2,198634
69,2013-11-14,19.26,19.44,17.82,18.12,283929
70,2013-11-15,20.39,20.45,19.43,19.66,1386515
71,2013-11-18,19.67,19.95,19.13,19.54,461801
72,2013-11-19,19.39,19.66,19.01,19.43,377184
73,2013-11-20,19.44,19.929,19.0204,19.61,222145
74,2013-11-21,19.73,21.32,19.73,20.99,531876
75,2013-11-22,21.07,22.87,21.01,21.65,473347
76,2013-11-25,21.62,21.86,20.8,21.3,303341
77,2013-11-26,21.26,21.81,21.2,21.59,380532
78,2013-11-27,21.75,22.065,21.3,21.93,191639
79,2013-11-29,22.2,23.16,22.0,22.87,185898
80,2013-12-02,22.58,22.7,20.95,21.05,620441
81,2013-12-03,21.1,21.56,19.95,20.2,804479
82,2013-12-04,20.1,20.96,20.01,20.73,336318
83,2013-12-05,20.67,21.14,20.48,20.81,167983
84,2013-12-06,21.15,21.2999,19.79,20.53,251294
85,2013-12-09,21.0,21.0,19.54,19.81,265567
86,2013-12-10,19.83,20.05,19.45,19.47,336392
87,2013-12-11,19.56,19.56,18.91,19.22,937116
88,2013-12-12,19.21,19.7501,19.0,19.6,271826
89,2013-12-13,19.66,19.835,19.21,19.72,255461
90,2013-12-16,19.82,19.99,19.62,19.92,349028
91,2013-12-17,19.82,19.97,19.44,19.84,135169
92,2013-12-18,19.87,20.94,19.8,20.27,241721
93,2013-12-19,20.28,20.56,19.96,20.11,178545
94,2013-12-20,20.04,20.98,20.01,20.36,261622
95,2013-12-23,20.36,21.9,20.36,21.42,390538
96,2013-12-24,21.64,21.778,21.5,21.64,65061
97,2013-12-26,21.75,21.9,21.27,21.52,105924
98,2013-12-27,21.51,21.9,21.2601,21.825,123988
99,2013-12-30,22.04,22.97,22.03,22.51,713288
100,2013-12-31,23.43,24.5,23.1,23.79,547656
101,2014-01-02,23.65,23.85,23.0,23.78,237927
102,2014-01-03,23.78,23.885,23.43,23.49,238376
103,2014-01-06,23.73,23.73,22.53,22.77,312425
104,2014-01-07,23.2,23.8477,22.75,23.67,303470
105,2014-01-08,24.0,27.0,23.798,25.64,813330
106,2014-01-09,26.77,27.38,25.55,26.96,432906
107,2014-01-10,27.4,29.9,27.27,29.88,1028792
108,2014-01-13,30.24,30.44,28.3075,28.74,816719
109,2014-01-14,28.71,31.74,28.61,31.25,484418
110,2014-01-15,32.2,34.27,31.5,34.125,887639
111,2014-01-16,34.22,35.84,32.79,35.67,709633
112,2014-01-17,35.8,37.73,35.4651,36.8,662164
113,2014-01-21,37.16,38.5,33.5,34.18,956510
114,2014-01-22,35.0,36.9299,33.79,35.189,241703
115,2014-01-23,35.5,36.1255,34.0604,35.0599,329878
116,2014-01-24,34.75,35.15,32.51,33.15,549614
117,2014-01-27,33.8,34.0799,31.561,32.55,378822
118,2014-01-28,32.64,35.18,32.0025,34.58,232636
119,2014-01-29,34.08,34.85,32.7501,32.99,230016
120,2014-01-30,33.56,33.76,32.57,32.85,375194
121,2014-01-31,32.15,34.77,31.6,33.55,319036
122,2014-02-03,33.27,34.3,31.28,31.77,509589
123,2014-02-04,32.0,32.62,30.76,31.31,418636
124,2014-02-05,30.92,31.9,30.0,31.0,544852
125,2014-02-06,31.31,31.79,29.66,30.05,390141
126,2014-02-07,30.02,30.48,29.6,30.16,551196
127,2014-02-10,29.66,29.95,28.72,29.33,624448
128,2014-02-11,29.52,29.9168,28.9206,29.0,422848
129,2014-02-12,28.99,29.12,28.13,28.27,440555
130,2014-02-13,27.96,28.99,27.59,28.45,475145
131,2014-02-14,28.38,28.52,26.715,27.076,382485
132,2014-02-18,27.03,27.82,26.82,27.65,941491
133,2014-02-19,27.86,28.0,27.05,27.15,321162
134,2014-02-20,27.15,27.2258,26.145,26.18,404959
135,2014-02-21,26.17,26.2,25.412,25.49,572926
136,2014-02-24,25.67,26.1,24.77,24.98,711609
137,2014-02-25,25.24,28.995,24.02,27.98,1878566
138,2014-02-26,29.1,29.47,26.31,26.43,797763
139,2014-02-27,26.43,26.7899,25.66,25.85,321016
140,2014-02-28,25.72,27.9,25.61,25.93,532783
141,2014-03-03,25.49,25.71,24.5,24.72,419826
142,2014-03-04,25.2,26.81,25.1201,25.9,544299
143,2014-03-05,27.08,29.1,26.82,28.63,991348
144,2014-03-06,29.41,29.5099,26.5601,27.12,844547
145,2014-03-07,27.37,27.37,25.9,26.74,534311
146,2014-03-10,26.55,27.81,26.33,27.27,560931
147,2014-03-11,27.41,29.217,26.9101,27.45,766674
148,2014-03-12,27.03,31.24,27.03,30.52,1201032
149,2014-03-13,31.0,31.1096,28.71,29.57,1032103
150,2014-03-14,28.6,30.92,28.37,30.15,543724
151,2014-03-17,30.5,31.12,29.61,29.89,545983
152,2014-03-18,29.99,30.99,29.13,30.86,550660
153,2014-03-19,31.05,31.7,29.9,30.66,460434
154,2014-03-20,30.47,30.92,29.63,30.73,426917
155,2014-03-21,30.86,30.87,27.42,28.12,2718905
156,2014-03-24,28.01,28.5,26.76,27.6699,827303
157,2014-03-25,28.35,28.45,26.77,27.05,612360
158,2014-03-26,27.39,27.77,25.3901,25.73,615824
159,2014-03-27,25.83,26.42,25.16,26.28,390790
160,2014-03-28,26.2,26.65,23.87,24.2,830148
161,2014-03-31,25.35,26.72,25.06,26.29,808710
162,2014-04-01,26.26,26.6,24.76,25.55,1239373
163,2014-04-02,25.6,25.91,24.84,25.13,678726
164,2014-04-03,25.21,25.4499,24.0875,24.56,933041
165,2014-04-04,24.77,25.0,22.62,23.48,991777
166,2014-04-07,23.06,23.14,20.99,22.46,1798249
167,2014-04-08,22.25,23.99,21.77,23.67,1023084
168,2014-04-09,23.89,24.2,23.14,23.86,538774
169,2014-04-10,23.78,23.85,21.47,21.78,660620
170,2014-04-11,21.22,22.69,20.8501,21.48,798789
171,2014-04-14,21.55,21.87,20.0,20.31,511876
172,2014-04-15,20.33,20.62,18.0,19.5,1423110
173,2014-04-16,19.73,19.7399,18.68,19.64,842483
174,2014-04-17,19.9299,19.99,19.03,19.28,548453
175,2014-04-21,19.44,19.89,19.07,19.6499,308250
176,2014-04-22,19.71,21.4,19.595,21.11,1333345
177,2014-04-23,21.26,21.29,19.615,20.16,872931
178,2014-04-24,20.22,20.22,19.08,19.61,464424
179,2014-04-25,19.42,19.6,18.61,18.66,544540
180,2014-04-28,18.66,19.35,18.01,18.61,566964
181,2014-04-29,18.69,19.2299,18.46,18.88,298226
182,2014-04-30,18.9,18.98,18.33,18.88,332624
183,2014-05-01,18.98,18.98,18.01,18.32,384528
184,2014-05-02,18.26,18.5,18.01,18.45,363186
185,2014-05-05,18.2,18.3,16.75,18.0,1411429
186,2014-05-06,17.93,18.24,17.3,17.32,912513
187,2014-05-07,17.33,17.4,15.06,15.39,1372717
188,2014-05-08,16.14,16.31,15.101,15.3,1363704
189,2014-05-09,15.2,15.86,13.13,15.77,1560152
190,2014-05-12,15.96,16.19,15.54,15.73,646074
191,2014-05-13,15.7,16.29,15.47,15.49,506906
192,2014-05-14,16.55,18.39,16.19,17.5,1841059
193,2014-05-15,17.33,18.29,16.55,18.21,839609
194,2014-05-16,18.35,18.3595,17.54,18.03,626606
195,2014-05-19,17.4,18.3,17.4,17.81,398075
196,2014-05-20,17.23,17.78,16.53,16.71,652096
197,2014-05-21,16.66,17.37,16.6001,17.08,359491
198,2014-05-22,17.02,18.8793,16.88,17.84,666774
199,2014-05-23,18.4,18.4,17.7,17.99,469633
200,2014-05-27,18.01,18.88,17.82,18.88,902498
201,2014-05-28,18.79,21.25,18.79,20.332,1512848
202,2014-05-29,20.48,21.56,20.47,21.028,1117977
203,2014-05-30,21.14,21.71,20.94,21.09,843314
204,2014-06-02,21.45,22.497,21.38,22.28,1045354
205,2014-06-03,22.04,23.09,22.0,22.96,1222992
206,2014-06-04,22.78,23.36,22.3801,23.3,518383
207,2014-06-05,23.31,24.0775,22.6806,22.96,612920
208,2014-06-06,22.96,23.64,22.5,23.49,416996
209,2014-06-09,23.5,24.63,23.45,24.04,711242
210,2014-06-10,24.1,24.88,23.94,24.7,513741
211,2014-06-11,24.64,25.65,24.12,25.27,901391
212,2014-06-12,25.24,25.45,24.45,24.96,437457
213,2014-06-13,24.78,24.93,23.93,24.65,470173
214,2014-06-16,24.61,26.27,24.51,25.7,667936
215,2014-06-17,25.48,26.24,25.211,25.39,431994
216,2014-06-18,25.47,25.82,24.96,25.65,413780
217,2014-06-19,25.84,25.96,25.1,25.69,376684
218,2014-06-20,25.72,25.99,25.3,25.91,467692
219,2014-06-23,25.88,25.982,25.4318,25.58,295635
220,2014-06-24,25.49,25.95,24.35,24.73,477467
221,2014-06-25,24.61,26.0,24.05,25.04,607923
222,2014-06-26,25.23,25.5,24.83,25.4,346267
223,2014-06-27,25.2,25.78,24.9,25.38,2396712
224,2014-06-30,25.22,26.23,24.872,25.15,372752
225,2014-07-01,25.26,25.69,24.37,24.67,532959
226,2014-07-02,24.56,25.54,24.56,25.4,381066
227,2014-07-03,25.44,26.62,25.29,26.57,425610
228,2014-07-07,26.34,26.55,25.845,26.06,543570
229,2014-07-08,25.94,25.94,23.44,23.65,712890
230,2014-07-09,23.67,23.93,22.57,23.23,580390
231,2014-07-10,22.5,25.07,22.12,24.8,799549
232,2014-07-11,24.67,25.2,23.93,25.07,365446
233,2014-07-14,25.25,25.37,24.7601,24.84,162161
234,2014-07-15,24.8,24.83,22.91,23.04,523489
235,2014-07-16,23.13,23.89,22.881,23.4,302335
236,2014-07-17,23.44,23.44,21.43,21.52,591941
237,2014-07-18,21.51,22.82,21.34,22.39,461291
238,2014-07-21,22.24,22.48,21.83,22.37,256474
239,2014-07-22,22.66,22.82,22.09,22.26,244824
240,2014-07-23,22.46,23.6499,22.38,23.58,279832
241,2014-07-24,23.6,24.345,23.0,23.99,348178
242,2014-07-25,23.87,24.5,23.612,24.2,303170
243,2014-07-28,23.98,24.36,22.64,22.71,361034
244,2014-07-29,22.67,23.79,22.67,23.2,261147
245,2014-07-30,23.47,24.23,23.47,23.9,207409
246,2014-07-31,23.62,23.62,22.0,22.1,330367
247,2014-08-01,22.0,22.515,21.26,21.96,256349
248,2014-08-04,22.11,22.49,21.3,21.8,493880
249,2014-08-05,21.57,22.38,21.3,21.84,472706
250,2014-08-06,22.18,22.69,21.55,21.98,435591
251,2014-08-07,22.0,23.2,21.83,22.53,655292
252,2014-08-08,22.48,23.03,22.09,22.71,511414
253,2014-08-11,22.95,23.25,22.4,22.51,348143
254,2014-08-12,22.27,22.533,21.5,21.91,274987
255,2014-08-13,22.0,22.57,21.86,22.27,240029
256,2014-08-14,22.32,22.6565,21.88,22.4,289987
257,2014-08-15,23.5,23.62,20.7,21.645,1140886
258,2014-08-18,21.97,22.145,21.435,21.52,496047
259,2014-08-19,21.45,21.59,20.65,20.78,565266
260,2014-08-20,20.6,20.789,20.363,20.57,303338
261,2014-08-21,20.42,20.56,19.59,19.76,391363
262,2014-08-22,19.74,20.46,19.42,20.09,255213
263,2014-08-25,20.16,20.96,20.16,20.3,298026
264,2014-08-26,20.33,20.74,20.04,20.6698,197781
