,DateTime,Open,High,Low,Close,Volume
0,2014-05-15,11.4,13.92,11.06,13.37,8260208
1,2014-05-16,13.6,15.75,13.44,15.34,1812854
2,2014-05-19,16.0,17.94,15.99,16.6,1476853
3,2014-05-20,16.75,18.17,15.67,17.0699,849963
4,2014-05-21,17.2,17.33,16.3,17.19,373647
5,2014-05-22,17.3,17.3,15.95,16.13,1306784
6,2014-05-23,16.45,16.46,14.8,16.4,929917
7,2014-05-27,16.5,16.7,15.92,16.12,111527
8,2014-05-28,16.29,18.45,16.17,17.38,487184
9,2014-05-29,17.5,18.059,17.29,17.49,261415
10,2014-05-30,17.85,17.9,15.83,15.97,209730
11,2014-06-02,15.95,15.96,14.17,15.02,313635
12,2014-06-03,15.06,16.0,14.77,15.06,278079
13,2014-06-04,15.09,15.51,14.31,15.3,169696
14,2014-06-05,15.3,15.62,14.73,15.22,168070
15,2014-06-06,15.35,15.59,15.0,15.39,209854
16,2014-06-09,15.24,17.57,14.76,17.28,422300
17,2014-06-10,17.44,18.12,16.5,16.53,235157
18,2014-06-11,16.39,18.75,16.2301,18.49,403253
19,2014-06-12,18.44,18.44,17.34,17.93,218713
20,2014-06-13,18.05,18.09,16.0,16.75,410070
21,2014-06-16,16.69,18.25,16.19,17.38,253506
22,2014-06-17,17.37,18.0,17.24,17.67,80854
23,2014-06-18,17.74,18.11,17.31,17.52,120216
24,2014-06-19,17.53,18.01,17.52,18.0,210029
25,2014-06-20,18.1,18.29,16.97,17.56,294925
26,2014-06-23,17.49,18.4,17.21,17.99,125528
27,2014-06-24,17.81,18.025,17.53,17.84,93976
28,2014-06-25,17.93,18.02,17.5,17.97,94539
29,2014-06-26,17.9,18.0,17.57,17.67,65130
30,2014-06-27,17.67,18.4,17.3,17.3,955917
31,2014-06-30,17.27,17.6,16.34,17.4,258132
32,2014-07-01,17.4,17.5,17.0,17.31,144856
33,2014-07-02,17.37,17.37,16.31,16.42,182264
34,2014-07-03,16.43,16.71,16.16,16.49,83728
35,2014-07-07,16.51,16.51,15.5,15.8,222369
36,2014-07-08,15.85,16.47,15.5445,16.46,186671
37,2014-07-09,16.48,16.48,15.71,16.05,147121
38,2014-07-10,15.81,16.34,15.5,16.08,219022
39,2014-07-11,16.05,16.079,15.65,15.95,179011
40,2014-07-14,16.04,16.59,16.04,16.54,99018
41,2014-07-15,16.51,17.19,16.33,17.07,141327
42,2014-07-16,17.01,17.39,16.82,17.16,201665
43,2014-07-17,17.16,17.74,17.05,17.13,229279
44,2014-07-18,17.14,17.77,17.14,17.63,231504
45,2014-07-21,17.62,17.88,17.19,17.32,148404
46,2014-07-22,17.33,17.88,17.0,17.26,118993
47,2014-07-23,17.36,17.64,17.2,17.41,73891
48,2014-07-24,17.4,17.74,17.262,17.49,155365
49,2014-07-25,17.35,17.69,16.8501,17.02,269787
50,2014-07-28,17.0,17.45,16.8,17.25,310047
51,2014-07-29,17.39,17.53,17.09,17.27,157646
52,2014-07-30,17.39,18.0,17.3,17.77,122754
53,2014-07-31,17.63,17.88,17.04,17.4,90595
54,2014-08-01,17.36,17.63,17.3,17.63,115957
55,2014-08-04,17.58,17.736,17.31,17.51,131762
56,2014-08-05,17.71,18.33,17.52,17.96,380609
57,2014-08-06,19.2,20.5,18.84,19.2,1156024
58,2014-08-07,19.42,19.7799,19.11,19.51,178506
59,2014-08-08,19.49,21.45,19.37,21.3,251629
60,2014-08-11,21.39,23.58,21.35,22.9101,310561
61,2014-08-12,23.04,23.44,22.21,22.69,175447
62,2014-08-13,22.9,23.46,22.81,23.29,115607
63,2014-08-14,23.27,24.44,23.2265,23.31,217008
64,2014-08-15,23.33,24.01,22.6336,23.95,167013
65,2014-08-18,24.25,24.335,23.77,24.24,97765
66,2014-08-19,24.61,25.44,24.3,25.16,178034
67,2014-08-20,25.08,25.22,24.53,25.0,122548
68,2014-08-21,24.9,25.09,24.72,24.94,38142
69,2014-08-22,24.89,25.07,24.52,24.91,97493
70,2014-08-25,24.97,25.2799,24.76,25.21,40708
71,2014-08-26,25.29,27.3042,25.29,26.25,286388
72,2014-08-27,26.66,27.96,26.41,26.71,122680
73,2014-08-28,26.72,27.16,26.03,27.07,99078
74,2014-08-29,27.25,27.3,26.5301,27.11,128830
75,2014-09-02,27.68,28.05,27.33,27.74,126885
76,2014-09-03,27.71,27.8,26.85,26.89,180218
77,2014-09-04,27.02,27.3799,24.75,24.88,213406
78,2014-09-05,24.88,25.21,23.87,24.65,120634
79,2014-09-08,24.67,25.45,23.66,24.24,218136
80,2014-09-09,24.62,24.82,24.071,24.25,117964
81,2014-09-10,24.1,24.81,23.79,24.2101,203067
82,2014-09-11,24.19,24.75,24.132,24.36,148360
83,2014-09-12,24.41,24.41,23.45,23.49,209204
84,2014-09-15,23.42,23.42,21.86,22.055,190870
85,2014-09-16,21.86,22.221,21.58,21.77,225275
86,2014-09-17,21.52,23.19,21.47,22.78,281602
87,2014-09-18,22.83,24.1297,22.76,23.09,341678
88,2014-09-19,23.08,23.8,22.01,22.65,815422
89,2014-09-22,22.53,22.7399,21.41,21.78,269956
90,2014-09-23,21.74,21.97,21.0605,21.34,100611
91,2014-09-24,21.32,21.9,20.829,21.77,86838
92,2014-09-25,21.76,22.22,21.45,21.79,103474
93,2014-09-26,21.79,22.15,21.55,21.9,78006
94,2014-09-29,21.57,22.59,21.57,21.88,117233
95,2014-09-30,21.96,22.07,21.1825,21.6,139836
